name,link,ingredients,steps,nutrition,image_url
Pain au Chocolat (Chocolate Croissants),https://www.allrecipes.com/recipe/142764/pain-au-chocolat-chocolate-filled-croissant/,"{'quantity': '¼', 'unit': 'cup', 'name': 'warm water'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'instant nonfat dry milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'instant yeast'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk'}, {'quantity': '9', 'unit': 'ounces', 'name': 'semisweet chocolate chunks'}","Gather the ingredients.. Pour water into a bread machine pan; add flour. Sprinkle milk powder over flour. Place sugar, salt, and 2 tablespoons of softened butter into the corners of the pan. Make a small indent in the top of the dry ingredients and place yeast in the indent. Run the bread machine on the basic dough setting.. Meanwhile, lay out a sheet of waxed or parchment paper. Shape the remaining 1/2 cup of butter into a 3x5-inch rectangle on the waxed paper; wrap and chill until ready to use.. Remove butter from the refrigerator and allow to soften while you roll out dough. Turn dough out onto a lightly floured surface; roll into a 8x12-inch rectangle. Place butter on half of the dough, leaving a 1/2-inch border of dough on 3 sides. Fold the other half of dough over butter and press the edges firmly to seal.. Roll the dough out to a 6x14-inch rectangle. Fold the dough in thirds from the long ends, as you would fold a business letter. Cover dough loosely with plastic wrap and refrigerate for 20 minutes.. Remove the dough from the refrigerator. Place it onto a lightly floured surface so that the folded edge faces you. Roll the dough out again into a 6x14-inch rectangle, and fold into thirds. Cover with plastic and chill for 20 minutes.. Repeat step 5, then chill the dough for 30 minutes.. In a small bowl, beat together the egg yolk and milk; set aside. Grease two baking sheets.. Roll dough out into a 12x21-inch rectangle. Cut dough into thirds in both directions, to make 9 rectangles. Divide chocolate among the rectangles. Lightly brush egg yolk mixture around the edges of each piece. Starting at a short end, roll each piece of dough around the chocolate; press the edges together to seal.. Place the croissants onto the prepared baking sheets; cover with greased plastic wrap and allow to rise in a warm place until they have doubled in size, about 30 minutes.. Preheat oven to 400 degrees F (200 degrees C). Brush the top of the pastries with the remaining egg yolk mixture.. Bake in the preheated oven until golden brown, about 15 minutes. Cool for 5 minutes on the baking sheets, then transfer croissants to wire racks. Serve warm or at room temperature.","calories: 1326, fat: 78g, carbs: 153g, protein: 16g, servings: 9",https://www.allrecipes.com/thmb/q5M2FoA7t8lpMdjiOT4xeiCp0SM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-142764-pain-au-chocolat-chocolate-filled-croissant-VAT-4x3-1-73bcb8610c144ce89d28ae0bc8ab5e72.jpg
Danish Pastry,https://www.allrecipes.com/recipe/27342/danish-pastry/,"{'quantity': '2', 'unit': 'cups', 'name': 'unsalted butter, softened'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '8', 'unit': 'cups', 'name': 'all-purpose flour, divided'}, {'quantity': '4 ½', 'unit': 'teaspoons', 'name': 'active dry yeast'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'fruit preserves, any flavor'}, {'quantity': '1', 'unit': 'large', 'name': 'egg white, beaten'}","Cream butter and 2/3 cup flour in a medium bowl until well combined. Divide into 2 equal parts, then roll each half between 2 pieces waxed paper into a 6x12-inch sheet. Chill butter sheets in the refrigerator.. Mix 3 cups flour with active dry yeast in a mixing bowl; set aside.. Stir together milk, sugar, and salt in a small saucepan over medium heat. Heat until warm, but not hot to the touch, about 115 degrees F (43 degrees C).. Pour warm milk mixture over flour mixture. Add eggs, lemon extract, and almond extract. Stir for 3 minutes. Knead in remaining flour, 1/2 cup at a time, until dough is firm and pliable. Cover and let rise at room temperature until doubled in size, 30 minutes to 1 hour.. Cut dough in half. Roll each half out to a 14-inch square. Place one cold butter sheet over half of each dough square, off to one side, then fold dough over butter sheet like the cover of a book. Pinch the edges of dough together with your fingers.. Roll each piece out to a 20x12-inch rectangle. Fold into thirds like a letter. Repeat rolling and folding one more time. Wrap in plastic and refrigerate for at least 30 minutes.. Roll and fold each piece of dough two more times. Wrap in plastic and refrigerate for at least 30 minutes.. Roll dough out to 1/4-inch thickness. Cut dough into squares. Place a dollop of fruit preserves in the center. Fold 2 opposite corners over the center to form a filled diamond shape. Place danishes on an ungreased baking sheet. Allow to rise at room temperature until doubled in size, about 30 minutes.. Preheat the oven to 450 degrees F (220 degrees C).. Brush beaten egg white over pastries.. Bake in the preheated oven until the bottoms are golden brown, 8 to 10 minutes.","calories: 273, fat: 11g, carbs: 39g, protein: 4g, servings: 36",https://www.allrecipes.com/thmb/UQruI_SY3YOjF3ICWxNiZUFr7iQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4091235-6d0e982828d44f728da65873cc0e7063.jpg
Baked Apple Roses,https://www.allrecipes.com/recipe/244198/baked-apple-roses/,"{'quantity': '1', 'unit': 'large', 'name': 'red apple, cored and very thinly sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': '(17.25 ounce)', 'name': 'sheet frozen puff pastry, thawed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': ""confectioners' sugar (Optional)""}","Preheat the oven to 400 degrees F (200 degrees C). Adjust an oven rack to the middle position. Butter two (6 to 8-ounce) ramekins and dust with white sugar.. Place apple slices on a microwave-safe plate, overlapping slightly if necessary. Microwave on high until slices slightly soften, about 45 seconds. Cover the plate with plastic wrap and a kitchen towel.. Mix sugar and cinnamon in a small bowl.. Roll puff pastry sheet to less than 1/8-inch thickness. Using a pizza cutter, cut two (3x12-inch) rectangles. Reserve remaining pieces for another use.. Spread melted butter over dough; sprinkle with a generous amount of cinnamon sugar. Place apple slices along one long edge of dough, about 1/4 inch beyond the edge, overlapping slices slightly. Fold the bottom half of dough over apple slices to form a long ""folder"" of dough with rounded edges of apple slices exposed.. Beat together egg and water in a small bowl. Brush surface of dough with egg wash. Sprinkle with cinnamon sugar.. Starting at one end, roll dough to form a rose-shaped pastry. Seal roll with end of dough strip. Transfer roses to the prepared ramekins. Sprinkle with cinnamon sugar.. Bake on the middle rack in the preheated oven until well browned, about 45 minutes. Use tongs to remove the ramekins to a baking sheet to cool for 5 to 10 minutes. Remove apple roses from the ramekins and finish cooling on a wire rack. Dust with confectioners' sugar before serving.","calories: 1058, fat: 71g, carbs: 96g, protein: 12g, servings: 2",https://cdn.jwplayer.com/v2/media/rDCFiZ33/poster.jpg?width=720
Danish Kringle,https://www.allrecipes.com/recipe/23971/danish-kringle/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour, plus more as needed'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'cold butter, cubed'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'chopped English walnuts, toasted, divided'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water, or as needed'}",,"calories: 277, fat: 14g, carbs: 34g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/YkjgT0IKEDNdbwL9Td4oW6xHoZ8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-23971-danish-kringle-ddmfs-3x4-ceeaf37587f34968b17e508521228900.jpg
Easy Cream Cheese Danish,https://www.allrecipes.com/recipe/24145/easy-cream-cheese-danish/,"{'quantity': '2', 'unit': '(10 ounce) cans', 'name': 'refrigerated crescent roll dough'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, diced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, softened'}","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking pan.. Line bottom of baking pan with 1 can of crescent rolls. Pinch all seams together to seal.. In a large bowl, mix together cream cheese, white sugar, lemon juice, vanilla extract and sour cream. Spread filling on top of rolls. Place second can of rolls on top of filling.. Bake in preheated oven for 20 to 30 minutes.. In a small bowl, stir together confectioners' sugar, milk and butter. After Danish has cooled, drizzle with icing.","calories: 498, fat: 29g, carbs: 51g, protein: 8g, servings: 10",https://www.allrecipes.com/thmb/iPCfFVTpJqSThIhZSfHHVnt6GS8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9133257-easy-cream-cheese-danish-Mindyl-4x3-1-4729446fefd54b7890d58c87a60da801.jpg
Danish Almond Puff,https://www.allrecipes.com/recipe/64780/danish-almond-puff/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '3', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk, or as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'candy sprinkles'}","Place 1 cup of flour in a medium bowl. Mix in butter using a fork or a pastry blender. Sprinkle 2 tablespoons of water over, and stir with a fork until dough comes together. Divide into two balls. Pat dough into two long strips on an ungreased baking sheet, about 14 inches long and 3 inches wide. Set aside.. Preheat the oven to 350 degrees F (175 degrees C).. In a saucepan, combine 1/2 cup of butter and 1 cup of water. Bring to a rolling boil. Add 1 teaspoon of almond extract and remove from the heat. Immediately stir in 1 cup of flour until the mixture pulls away from the sides of the pan. Gradually stir in the eggs until well blended. Divide evenly, and spread over the two crusts on the baking sheet.. Bake in the preheated oven until golden, about 1 hour. Allow to cool almost to room temperature before frosting.. To make the frosting, mix together the confectioners' sugar, 1 teaspoon of almond extract and a splash of milk in a small bowl until smooth. Add more milk if necessary to make a pourable glaze. Drizzle over the Danish, and decorate with candy sprinkles if desired.","calories: 424, fat: 26g, carbs: 42g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/4BimDpMCAc9DfDez24TX0SUBER4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6199819-danish-almond-puff-DIZ9829-4x3-1-ea822501c1cd4bb9a78fdb9e20a72163.jpg
Apple Danish,https://www.allrecipes.com/recipe/216785/apple-danish/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'instant yeast'}, {'quantity': '¾', 'unit': 'cup', 'name': 'hot water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter at room temperature'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'apples - peeled, cored, and chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '⅔', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'milk'}","Combine 1 cup flour, 2 tablespoons brown sugar, 1 teaspoon salt, and instant yeast in a mixing bowl. Add the water and room temperature butter and beat for 1 minute. Stir in the remaining cup of flour and mix well. Turn the dough out onto a lightly floured surface and knead until smooth and elastic, about 10 minutes. Shape the dough into a ball and transfer to an oiled bowl, turning to coat the surface of the dough. Cover the bowl with plastic wrap and let the dough rise until doubled in bulk, about 1 hour.. Meanwhile, make the filling. Place the chopped apples and 3 tablespoons butter in a medium saucepan. Combine 1/2 cup brown sugar, 1 1/2 tablespoons flour, 1/4 teaspoon salt, cinnamon, and nutmeg and mix well; add the mixture to the saucepan. Bring the mixture to a boil over medium-high heat and then reduce the heat to a simmer. Cook until the apples are tender, about 5 minutes. Remove from heat and allow the filling to cool.. Transfer the Danish dough to a floured surface and punch the dough down. Let the dough rest, covered, for 15 minutes. Roll the dough out into a 13 x 8-inch rectangle. Place the dough on a greased or parchment-lined baking sheet.. Turn the baking sheet so that you face the short side of the dough. Spread the apple filling down the center third of the dough. With a sharp paring knife, make cuts in the dough along the right side, starting each cut about 1/4 inch from the apple filling. Cut to the edge of the dough strip, with each cut angled to about 4 o'clock. Each strip of dough should be about 1-inch thick. Repeat on the left side of the dough, angling the cuts to 8 o'clock.. Starting at the top, fold the dough strips across the apple filling, alternating left and right. The pastry will look like a long braid. Pinch the top and bottom ends of the braid to seal in the filling. Cover the pastry and let it rise at room temperature until the dough is puffy, 30 to 40 minutes.. Preheat an oven to 375 degrees F (190 degrees C). Bake the braid for 20 minutes, covering it with aluminum foil during the last 10 minutes of baking to prevent over-browning. Remove the pastry from the oven and allow it to cool.. To make the glaze, heat the 2 tablespoons of butter in a saucepan over medium heat. Swirl the pan occasionally and cook until the milk solids turn brown and give off a nutty fragrance, about 5 minutes. Remove from heat and transfer to a bowl to cool slightly. Stir in the confectioners' sugar and vanilla. Mix in the milk a teaspoon at a time until the glaze is thin enough to drizzle. Decorate the Danish braid with the glaze.","calories: 336, fat: 11g, carbs: 58g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/5zRs_T-yAGqpmPRtrEBw8-M0InE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9385011-e0d0325318784775aef668905f46037a.jpg
Swedish Tea Ring,https://www.allrecipes.com/recipe/15452/swedish-tea-ring/,"{'quantity': '1', 'unit': 'cup', 'name': 'lukewarm milk'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, room temperature'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3 ¼', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'active dry yeast'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '¾', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar, sifted""}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk, or as needed'}","In a bread machine, put milk, egg, butter, sugar, salt, bread flour, and yeast in the order suggested by the manufacturer. Select the Dough cycle and press Start. When dough is mixed, transfer to a greased bowl; cover with plastic wrap and let rise until doubled, about 1 to 1 1/2 hours.. Grease 2 baking sheets or line them with parchment paper; set aside.. Divide dough in half. Roll each piece out into rectangles about 12x16 inches. Spread each dough rectangle with 1 tablespoon softened butter. In a small bowl, combine 2 teaspoons ground cinnamon, 3/4 cup light brown sugar, and 1/2 cup raisins.. Sprinkle cinnamon mixture onto buttered dough. Roll them up jelly-roll fashion, along long side. Pinch edges to seal. Stretch and twist into rings, pinching ends to seal. Place them seam-side down onto prepared baking sheets. Using clean scissors, cut 2/3 way of the way through the loaf at about 1-inch intervals. Spread each cut slightly. you wish to. [At this point, the dough can be refrigerated: cover dough with greased plastic wrap and refrigerate overnight. The next morning, let pastries come to room temperature for about half an hour before baking as directed in step 7.]. Alternately, cover each ring with a clean towel or greased plastic wrap and let loaves rise until double, about 40 minutes.. Arrange two oven racks so that both baking sheets will fit. Preheat oven to 350 degrees F (175 degrees C).. Bake for 10 minutes in preheated; rotate baking sheets. Bake until rings are light brown and the filling is oozing and bubbling, about 10 minutes more.. In a small mixing bowl, combine confectioners sugar, almond extract, and milk until icing is desired consistency. Drizzle icing over warm pastries.","calories: 83, fat: 2g, carbs: 16g, protein: 1g, servings: 24",https://www.allrecipes.com/thmb/c3MhlBMR4msLVH29NYLC2QIdYMs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/937036-c1dc78d837b64f34b2277f848af24c50.jpg
Danish Cinnamon Snails,https://www.allrecipes.com/recipe/216784/danish-cinnamon-snails/,"{'quantity': '1', 'unit': 'cup', 'name': 'warm milk (110 degrees F/45 degrees C)'}, {'quantity': '3', 'unit': '(0.6 ounce) blocks', 'name': 'fresh yeast'}, {'quantity': '6 ½', 'unit': 'tablespoons', 'name': 'butter, room temperature'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cardamom'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour, or as needed'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground cinnamon'}","To make the dough: Pour the warm milk into a mixing bowl and mash in the fresh cake yeast. Mix in butter, eggs, cardamom, sugar, salt, and 3 1/2 cups flour. Use a wooden spoon to mix the dough. If it's very sticky, mix in the remaining 1/2 cup flour. Cover the bowl and let the dough rise for 30 minutes.. Meanwhile, make the filling: Beat together the butter and sugar in a medium bowl until creamy. Stir in the cinnamon until incorporated. Set aside.. Transfer the dough to a floured surface and knead until firm, about 3 minutes. Divide the dough in half; roll each half into a rectangle, no more than 1/2-inch thick. Spread each rectangle with 1/2 of the filling.. Stack 1 dough rectangle on top of the other dough rectangle, filling-side up. Roll the dough up, starting with the edge closest to you, to form a long log. Cut the log into 1-inch-thick slices.. Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment paper. Alternatively, grease a baking dish or 2 cake pans if you prefer pull-apart rolls.. Place the rolls on the prepared baking sheet, spacing them about 3 inches apart. If baking pull-apart rolls, arrange them in the greased baking dish or cake pans, spacing them about 1 inch apart. Place the uneven end pieces on the baking sheet cut-side up for the best presentation. Let the rolls rest at room temperature for 20 minutes.. Bake the rolls in the preheated oven until golden brown, about 10 minutes. Pull-apart rolls will take longer to bake: After 10 minutes, reduce the oven temperature to 350 degrees F (175 degrees C) and continue baking until the sides are fully set, about 10 minutes more. Cover the baking dish with foil if the rolls get too brown.","calories: 301, fat: 15g, carbs: 37g, protein: 6g, servings: 15",https://cdn.jwplayer.com/v2/media/AZRh2CI1/poster.jpg?width=720
Chocolate Babka,https://www.allrecipes.com/recipe/176381/chocolate-babka/,"{'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'active dry yeast'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water (Optional)'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '5', 'unit': '(1 ounce) squares', 'name': 'semisweet chocolate, finely chopped'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, chilled'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, chilled'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water (Optional)'}","Prepare the dough: Warm milk and melt butter in a glass or ceramic bowl in the microwave for 30 seconds, or in a saucepan on the stovetop. Combine bread flour, all-purpose flour, yeast, and sugar. Add water, milk-butter mixture, egg, and salt to the dry ingredients and mix well.. Use the dough hook in a stand mixer on low speed or knead the dough by hand until the dough is smooth and elastic, about 15 minutes. If the dough is too wet, add more bread flour, about 2 tablespoons at a time (up to 8 tablespoons) to make a workable dough; too much flour can make the dough dry. Cover the dough with a damp cloth and let rise until double in size, about 1 to 1 ½ hours.. Make chocolate filling and streusel while the dough is rising.. For the filling: Stir together finely chopped chocolate, cinnamon, and sugar. Cut in chilled butter with a fork.. Make the streusel: Combine confectioners' sugar and all-purpose flour; cut in chilled butter until the mixture resembles coarse crumbs.. When the dough has doubled, punch the dough down and cut it into two equal pieces. Loosely shape each piece into a ball. Cover the dough with a damp cloth and let it rest for 10 minutes.. Roll out one portion of dough on a lightly floured surface to form a 15x4-inch rectangle. Sprinkle with 1/2 of the chocolate filling, roll up to form a long log, and seal the seam. Attach the ends to form a circle and place the ring, seam-side down, on a parchment-lined baking sheet.. Repeat with the second piece of dough.. Use a serrated knife or kitchen shears to cut slits at 1-inch intervals around the rings. Cover the rings with damp kitchen towels and let rise until doubled in size, about 30 minutes.. Preheat the oven to 350 degrees F (175 degrees C).. Make the egg wash: Combine egg and water in a small dish and whisk to combine.. Brush the loaves with egg wash. Sprinkle streusel on top. Bake the loaves, rotating the baking sheets to promote even browning, until the bread is a deep golden brown, about 25 minutes.","calories: 378, fat: 20g, carbs: 46g, protein: 6g, servings: 10",https://www.allrecipes.com/thmb/aVDZW01b7vIpuemfkuplGIoUKYY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8295520-chocolate-babka-Hungrymom13-4x3-1-59d32655494c473db64b526de2b79e7d.jpg
