name,link,ingredients,steps,nutrition
11 Diabetes-Friendly Dinner Recipes the Whole Family Will Love,https://www.allrecipes.com/gallery/diabetes-friendly-family-dinners/,,,
10 Foods to Eat Every Week to Help Control Diabetes,https://www.allrecipes.com/article/best-foods-for-diabetics/,,,
6 Ways You Can Reduce Blood Sugar Spikes After Meals,https://www.allrecipes.com/article/manage-blood-sugar-spikes-after-meals/,,,
The Best Grains (and Grain Alternatives) for People With Diabetes,https://www.allrecipes.com/article/best-grains-for-diabetics/,,,
Jamie's Sweet and Easy Corn on the Cob,https://www.allrecipes.com/recipe/222352/jamies-sweet-and-easy-corn-on-the-cob/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '6', 'unit': 'ears', 'name': 'corn on the cob, husks and silk removed'}",,"calories: 94, fat: 1g, carbs: 22g, protein: 3g, servings: 6"
The Worst Fruits for People With Diabetes (and the Best),https://www.allrecipes.com/article/best-fruits-for-diabetics/,,,
Black Beans and Rice,https://www.allrecipes.com/recipe/15559/black-beans-and-rice/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'low sodium, low fat vegetable broth'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'canned black beans, drained'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}","Gather all ingredients.. Heat oil in a saucepan over medium-high heat. Add onion and garlic; cook and stir until onion has softened, about 4 minutes.. Stir in rice to coat; cook and stir for 2 minutes.. Add vegetable broth and bring to a boil. Cover, reduce to a simmer, and cook until liquid is absorbed, about 20 minutes.. Stir in beans, cumin, and cayenne; cook until beans are warmed through.. Serve and enjoy!","calories: 140, fat: 1g, carbs: 27g, protein: 6g, servings: 6"
The Best and Worst Vegetables for People With Diabetes,https://www.allrecipes.com/article/vegetables-for-diabetics/,,,
World's Greatest Vegetable Broth,https://www.allrecipes.com/recipe/14033/worlds-greatest-vegetable-broth/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'sweet onions, peeled and cut into wedges'}, {'quantity': '1', 'unit': 'pound', 'name': 'tomatoes, cored and quartered'}, {'quantity': '1', 'unit': 'pound', 'name': 'carrots, cut into 1-inch pieces'}, {'quantity': '1', 'unit': 'pound', 'name': 'green bell pepper, cut into 1-inch pieces'}, {'quantity': '½', 'unit': 'pound', 'name': 'turnips, cubed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'celery, cut into 1-inch pieces'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh parsley, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '6', 'unit': '', 'name': 'whole black peppercorns'}, {'quantity': '3', 'unit': '', 'name': 'whole cloves'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '1', 'unit': 'gallon', 'name': 'water'}","Preheat the oven to 450 degrees F (230 degrees C).. Place onions, tomatoes, carrots, bell peppers, and turnips in a large roasting pan; drizzle with olive oil and toss to coat.. Roast in the preheated oven, stirring every 15 minutes, until vegetables are tender and onions are caramelized, about 1 hour.. Transfer roasted vegetables into a large stockpot. Add celery, parsley, garlic, peppercorns, cloves, and bay leaf. Pour in water and bring to a boil over high heat. Reduce heat to medium-low and simmer, uncovered, until liquid is reduced by half, 20 to 40 minutes.. Strain broth into a large bowl, reserving vegetables for another use.","calories: 133, fat: 4g, carbs: 23g, protein: 4g, servings: 8"
Puerto Rican Tostones (Fried Plantains),https://www.allrecipes.com/recipe/16768/puerto-rican-tostones-fried-plantains/,"{'quantity': '1', 'unit': '', 'name': 'green plantain'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'oil for frying'}, {'quantity': '3', 'unit': 'cups', 'name': 'cold water'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Gather all ingredients.. Peel plantain and cut into 1-inch slices. Fill a bowl with 3 cups of cold water.. Heat oil in a large deep skillet over medium-high heat; add plantain slices in an even layer and fry on both sides until golden brown, about 3 1/2 minutes per side. Set skillet aside.. Transfer plantain slices to a chopping board; flatten each one by placing a small plate on top and pressing down.. Dip plantain slices in cold water.. Reheat oil in the skillet over medium heat; cook plantain slices for 1 minute on each side.. Season to taste with salt and serve immediately.","calories: 136, fat: 3g, carbs: 29g, protein: 1g, servings: 2"
