name,link,ingredients,steps,nutrition,image_url
"Our 11 Best Indian Street Food Snacks, Appetizers, and Small Bites",https://www.allrecipes.com/gallery/indian-street-food/,,,,https://www.allrecipes.com/thmb/ysp6-teiQnm3bDhBeOgWKCZnDac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5205125-7d34fbf0984e466bad4ed6d311cbac62.jpg
Mutton Varuval (Malaysian Indian-Style Goat Curry),https://www.allrecipes.com/recipe/260794/mutton-varuval-malaysian-indian-style-goat-curry/,"{'quantity': '2', 'unit': 'pounds', 'name': 'goat stew meat, cut into chunks'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground turmeric, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'small', 'name': 'red onions, quartered'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'coconut oil'}, {'quantity': '1', 'unit': '', 'name': 'cinnamon stick, broken into pieces'}, {'quantity': '2', 'unit': '', 'name': 'whole star anise pods'}, {'quantity': '4', 'unit': '', 'name': 'cardamom pods'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fennel seeds'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'whole cloves'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'curry leaves, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ginger-garlic paste'}, {'quantity': '1', 'unit': 'small', 'name': 'tomato, diced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coconut oil'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'garam masala'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'curry powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground paprika'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro'}","Season goat meat with 1 teaspoon salt, 1/2 teaspoon turmeric, and black pepper.. Place red onions in a blender; grind into a smooth paste.. Heat 1 1/2 tablespoons coconut oil in a Dutch oven over medium heat. Add cinnamon stick, star anise, and cardamom pods; cook until aromatic, about 30 seconds. Add fennel and cloves; cook and stir for 30 seconds. Add remaining 1 teaspoon salt and 1 tablespoon curry leaves; stir in the onion paste. Increase heat to medium-high. Cook and stir curry mixture for 5 minutes; add ginger-garlic paste and continue cooking until flavors meld, about 10 minutes.. Stir diced tomato into the curry mixture. Cook and stir until mushy, about 4 minutes. Add the seasoned goat meat; cook until browned, 6 to 10 minutes. Transfer goat curry to a slow cooker; cook on High until meat is tender, 2 to 3 hours.. Heat 1 teaspoon coconut oil in a saucepan over medium heat. Cook and stir the remaining 1/2 teaspoon turmeric, garam masala, curry powder, and paprika until aromatic, about 1 minute. Add a few cups of the curry from the slow cooker; heat until oil rises to the top. Add remaining 1 tablespoon curry leaves and cilantro; cook until gravy thickens, 3 to 5 minutes. Pour back into the slow cooker and blend well.","calories: 206, fat: 8g, carbs: 6g, protein: 27g, servings: 6",https://www.allrecipes.com/thmb/PA9GZAnXKhLXwj6YTIYnA5VsScc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2961981-ffaaf32228f44215a676f080037a2314.jpg
9 Sweet Recipes to Complete Your Indian Dinner,https://www.allrecipes.com/gallery/popular-indian-dessert-recipes-complete-dinner/,,,,
Banana Malpua (Fried Indian Pancake for Diwali),https://www.allrecipes.com/recipe/264497/banana-malpua-fried-indian-pancake-for-diwali/,"{'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '5', 'unit': 'pods', 'name': 'green cardamom, crushed, or more to taste'}, {'quantity': '7', 'unit': '', 'name': 'saffron strands, or more to taste'}, {'quantity': '2', 'unit': '', 'name': 'ripe bananas'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'semolina flour (suji)'}, {'quantity': '7', 'unit': 'tablespoons', 'name': 'sweetened condensed milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground fennel seeds (saunf)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'baking soda (Optional)'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sunflower oil'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'ghee (clarified butter)'}, {'quantity': '8', 'unit': '', 'name': 'slivered almonds, or more to taste'}, {'quantity': '8', 'unit': '', 'name': 'raisins, or more to taste'}","Heat milk in a small saucepan over medium heat until it begins to bubble. Remove from heat and keep warm.. Bring 1 1/2 cups sugar and water to a boil in another saucepan. Add cardamom and saffron. Boil until syrup is thick and sticky, 4 to 7 minutes. Pour syrup into a bowl and place it over warm water to keep warm.. Blend warmed milk, remaining 1/2 cup sugar, bananas, flour, semolina, condensed milk, fennel, salt, and baking soda in a food processor until smooth, not be too thick or too runny. Cover and let rest, at least 30 minutes and up to 4 hours.. Heat oil and ghee in a nonstick pan over medium-high heat. Reduce heat to low. Drop 1 large spoonful of batter into the center to make a 2-inch pancake. Cook until edges turn golden brown, about 2 minutes. Flip and fry until both sides are golden, 1 to 2 minutes more. Remove with a slotted spoon and let cool. Repeat with remaining batter.. Dunk cooled pancakes into the syrup, one by one. Garnish with almonds and raisins.","calories: 429, fat: 11g, carbs: 80g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/FrZ9qA34w__oL-INNUwllGlp-fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5925246-c8f593f083b5434689ce745bc8e59e5b.jpg
Gajar Ka Halwa (Carrot Halwa),https://www.allrecipes.com/recipe/282238/gajar-ka-halwa-carrot-halwa/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'ghee or oil'}, {'quantity': '2', 'unit': 'pounds', 'name': 'carrots, grated'}, {'quantity': '1 ½', 'unit': 'quarts', 'name': 'whole milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins or sultanas'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cardamom'}, {'quantity': '1', 'unit': 'pinch', 'name': 'saffron threads'}, {'quantity': '8', 'unit': 'tablespoons', 'name': 'chopped pistachio nuts'}","Heat ghee in a large saucepan over medium heat and add carrots. Cook and stir briefly, about 3 minutes. Pour in milk and increase heat; bring to a boil and cook, stirring constantly, for 5 minutes. Reduce heat to low and simmer gently, uncovered, and stirring occasionally until moisture evaporates, about 1 hour.. Bring carrot mixture back to a boil; add sugar, raisins, cardamom, and saffron. Cook and stir until mixture has thickened, about 10 minutes.. Ladle carrot halwa into 8 individual serving dishes. Top each serving with 1 tablespoon pistachios. Serve warm or chill before serving.","calories: 459, fat: 14g, carbs: 80g, protein: 9g, servings: 8",https://www.allrecipes.com/thmb/pd_5xSH3OurJlX72LJlMeJSq7FA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8705070-67b871d0cecc4aca99d1426a736c619a.jpg
Chicken Biryani,https://www.allrecipes.com/recipe/16102/chicken-biryani/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'vegetable oil, divided'}, {'quantity': '4', 'unit': 'small', 'name': 'potatoes, peeled and halved'}, {'quantity': '2', 'unit': 'large', 'name': 'onions, finely chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced fresh ginger root'}, {'quantity': '2', 'unit': '', 'name': 'medium tomatoes, peeled and chopped'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'plain yogurt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh mint leaves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cardamom'}, {'quantity': '1', 'unit': '(2 inch) piece', 'name': 'cinnamon stick'}, {'quantity': '3', 'unit': 'pounds', 'name': 'boneless, skinless chicken pieces cut into chunks'}, {'quantity': '1', 'unit': 'pound', 'name': 'basmati rice'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, diced'}, {'quantity': '5', 'unit': 'pods', 'name': 'cardamom'}, {'quantity': '3', 'unit': '', 'name': 'whole cloves'}, {'quantity': '1', 'unit': '(1 inch) piece', 'name': 'cinnamon stick'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'pinch', 'name': 'powdered saffron'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}","Gather all ingredients.. Heat 2 tablespoons of oil in a large skillet. Fry potatoes in hot oil until lightly browned, about 3 to 5 minutes. Remove to a paper towel-lined plate to drain; set aside.. Add remaining 2 tablespoons of oil to the skillet. Add onions, garlic, and fresh ginger; cook and stir until onion is soft and golden. Add tomatoes, salt, cumin, chili powder, pepper, and turmeric; cook, stirring constantly, for 5 minutes.. Stir in yogurt, mint, ground cardamom, and cinnamon stick. Cover and cook over low heat, stirring occasionally, until tomatoes are cooked to a pulp. It may be necessary to add a little hot water if mixture becomes too dry and starts to stick to the pan.. Add chicken and stir well to coat. Cover and cook over very low heat until chicken is tender, 35 to 45 minutes. There should only be a little very thick gravy left when chicken is finished cooking. If necessary cook uncovered for a few minutes to reduce the gravy.. Meanwhile, make the rice: Wash rice well and drain in a colander for at least 30 minutes.. Heat oil in a large skillet. Add onion; cook and stir until golden. Add cardamom pods, cloves, cinnamon stick, ground ginger, and saffron; stir in rice until coated with spices.. Heat stock and salt in a medium pot until hot; pour over rice and stir well.. Add chicken mixture and potatoes; stir gently to combine. Bring to a boil.. Reduce heat to very low, cover with a tight-fitting lid, and steam for 20 minutes without lifting the lid or stirring.. Spoon biryani onto a warm serving dish.","calories: 832, fat: 35g, carbs: 79g, protein: 48g, servings: 6",https://cdn.jwplayer.com/v2/media/ia1w70He/poster.jpg?width=720
Crispy Vegetable Pakoras,https://www.allrecipes.com/recipe/23595/crispy-vegetable-pakoras/,"{'quantity': '1', 'unit': 'cup', 'name': 'chickpea flour'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garam masala'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'quart', 'name': 'oil for deep frying'}, {'quantity': '½', 'unit': 'head', 'name': 'cauliflower florets'}, {'quantity': '2', 'unit': 'medium', 'name': 'onions, sliced into rings'}","Sift chickpea flour into a medium bowl; mix in garlic, salt, coriander, turmeric, chili powder, and garam masala. Make a well in the center; gradually pour water into the well and mix to form a thick, smooth batter.. Heat oil in a large heavy saucepan over medium-high heat to 375 degrees F (190 degrees C).. While the oil is heating, dip cauliflower florets and onion rings in batter to coat.. Working in small batches, fry battered vegetables in hot oil until golden brown, about 4 to 5 minutes. Drain on paper towels before serving.","calories: 217, fat: 16g, carbs: 16g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/_H0pBHw1mnsRI4BCFElcNmEI0Ys=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1055227-d1163a06f20f4ce9b37f4e4d57b77850.jpg
Air Fryer Pakoras,https://www.allrecipes.com/recipe/270817/air-fryer-pakoras/,"{'quantity': '2', 'unit': 'cups', 'name': 'chopped cauliflower'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'chickpea flour (besan)'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced yellow potatoes'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': '', 'name': 'red onion, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'curry powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coriander'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cayenne pepper, or more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Mix together cauliflower, chickpea flour, potatoes, water, red onion, salt, garlic, curry powder, coriander, cayenne pepper, and cumin in a large bowl until well combined. Set batter aside to rest for 10 minutes.. Preheat the air fryer to 350 degrees F (175 degrees C). Grease the basket of the air fryer with cooking spray.. Spoon 2 tablespoons batter into the prepared basket and flatten. Repeat this as many times as the basket space allows without the pakoras touching. Mist the top of each pakora with cooking spray.. Cook in the preheated air fryer for 8 minutes. Flip and cook for 8 more minutes. Transfer pakoras to a paper towel-lined plate. Repeat steps 3 and 4 with remaining batter.","calories: 81, fat: 1g, carbs: 14g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/DVTpKfRw5om15PWPPtC3r33DXNc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7049344-air-fryer-pakoras-cricky87-4x3-1-271a4fff5a0b414b81cee4ae267214f4.jpg
Baked Onion Bhajis,https://www.allrecipes.com/recipe/262544/baked-onion-bhajis/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'extra-virgin olive oil, or as needed'}, {'quantity': '5', 'unit': 'small', 'name': 'onions, thinly sliced'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'chickpea flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato purée'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water, or as needed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-virgin olive oil, divided, or to taste'}","Preheat the oven to 400 degrees F (200 degrees C). Line a large baking sheet with parchment paper.. Cook the onions: Heat oil in a skillet over medium heat. Add onions; cook and stir until translucent, 6 to 8 minutes. Mix in chili powder, then stir in turmeric, coriander, cumin, and ginger until well combined. Remove from the heat.. Make the batter: Mix chickpea flour, cumin, coriander, and salt together in a bowl until well combined. Mix in onions and tomato purée, then add a little water until mixture is wet and easy to stir.. Drizzle 1 teaspoon olive oil onto the prepared baking sheet. Place 2 tablespoons onion mixture onto the baking sheet for each bhaji; flatten slightly with the back of a spoon.. Bake in the preheated oven for 20 to 25 minutes. Drizzle remaining oil over the bhajis and continue baking until golden brown, about 25 more minutes.","calories: 60, fat: 3g, carbs: 7g, protein: 1g, servings: 8",https://www.allrecipes.com/thmb/ElQN33HhGuNz_pMPPnmWdgHJpcY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5374389-baked-onion-bhajis-Susan-Meredith-4x3-1-b28174d4002c4fe1977c4adb2bc3d2ce.jpg
Dal Makhani (Indian Lentils),https://www.allrecipes.com/recipe/222667/dal-makhani-indian-lentils/,"{'quantity': '1', 'unit': 'cup', 'name': 'lentils'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dry kidney beans (Optional)'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}, {'quantity': '5', 'unit': 'cups', 'name': 'water'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cumin seeds'}, {'quantity': '4', 'unit': '', 'name': 'cardamom pods'}, {'quantity': '1', 'unit': '', 'name': 'cinnamon stick, broken'}, {'quantity': '4', 'unit': '', 'name': 'bay leaves'}, {'quantity': '6', 'unit': '', 'name': 'whole cloves'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'ginger paste'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'garlic paste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or more to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned tomato puree, or more to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground coriander'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried fenugreek leaves (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'cream (Optional)'}","Place lentils and kidney beans in a large bowl; cover with plenty of water. Soak for at least 2 hours or overnight. Drain.. Cook lentils, kidney beans, 5 cups water, and salt in a pot over medium heat until tender, stirring occasionally, about 1 hour. Remove from heat and set aside. Keep the lentils, kidney beans, and any excess cooking water in the pot.. Heat vegetable oil in a saucepan over medium-high heat. Cook cumin seeds in the hot oil until they begin to pop, 1 to 2 minutes. Add cardamom pods, cinnamon stick, bay leaves, and cloves; cook until bay leaves turn brown, about 1 minute. Reduce heat to medium-low; add ginger paste, garlic paste, turmeric, and cayenne pepper. Stir to coat.. Stir tomato puree into spice mixture; cook over medium heat until slightly reduced, about 5 minutes. Add chili powder, coriander, and butter; cook and stir until butter is melted.. Stir lentils, kidney beans and any leftover cooking water into tomato mixture; bring to a boil, reduce heat to low. Stir fenugreek into lentil mixture. Cover saucepan and simmer until heated through, stirring occasionally, about 45 minutes. Add cream and cook until heated through, 2 to 4 minutes.","calories: 390, fat: 22g, carbs: 37g, protein: 13g, servings: 6",https://www.allrecipes.com/thmb/gtwUVjEf37TO_1aobOc6Qh8cW0M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1257894-dal-makhani-indian-lentils-tox-4x3-1-0c7d3e0dc3ea4d96ba7ba733a38c5225.jpg
