name,link,ingredients,steps,nutrition
Easy Churro Cronuts,https://www.allrecipes.com/easy-churro-cronuts-recipe-8736194,"{'quantity': '2', 'unit': '(8 ounce) cans', 'name': 'crescent dough sheets'}, {'quantity': '4', 'unit': 'cups', 'name': 'oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': None, 'unit': None, 'name': 'chocolate sauce or chocolate hazelnut spread for serving'}","Remove dough from each can and unroll to a rectangular shape. Fold the shorter end of 1 sheet up 1/3 of the way. Fold the opposite edge 1/3 of the way to fold over (and cover) the first fold. The dough should have 3 layers. Use a 3-inch cutter to cut 3 circles from the dough. Form the scraps into another layered piece and cut out one more circle. Repeat with the remaining dough sheet.  Use a smaller cutter to cut the center out of each circle to form a donut shape and reserve for donut holes.. Fill a large saucepan halfway with oil and place over medium-high heat to reach a temperature of 350 to 365 degrees F (175 to 183 degrees C). Line a tray with paper towels.. Combine sugar and cinnamon in a shallow dish; set aside.. Working with 2 to 3 cronuts at a time, carefully lower each cronut into the hot oil. Fry about 1 minute, rotating occasionally, until browned evenly. Drain briefly on the prepared tray. While donuts are still hot, coat evenly in cinnamon sugar. Repeat with remaining cronuts and doughnut holes.. Serve with chocolate sauce or hazelnut spread for dipping.","calories: 508, fat: 28g, carbs: 60g, protein: 5g, servings: 8"
Mom's Apple Fritters,https://www.allrecipes.com/recipe/90295/moms-apple-fritters/,"{'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil for deep-frying'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'cups', 'name': 'apples - peeled, cored and chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'cinnamon-sugar'}",,"calories: 118, fat: 5g, carbs: 17g, protein: 2g, servings: 24"
Baked Apple Fritters,https://www.allrecipes.com/baked-apple-fritters-recipe-7504941,"{'quantity': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour, sifted'}, {'quantity': '1/2', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'oneycrisp apple'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'whole milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.. Whisk together all-purpose flour, brown sugar, baking powder, cinnamon, nutmeg, and salt in a large bowl. Cut in butter with a pastry blender until mixture resembles coarse crumbs.. Whisk milk, egg, and vanilla extract together in a cup. Stir into flour mixture just until combined; stir in chopped apple. Use a scoop or spoon to drop 1/4-cup mounds onto prepared baking sheet.. Bake in the preheated oven until a skewer inserted near the center of fritter comes out clean, 11 to 12 minutes. Remove to a wire rack.. Preheat the oven’s broiler. Whisk together confectioner's sugar, milk, and vanilla extract. Brush a thin layer of glaze over fritters, and place under broiler.. Broil fritters until glaze is bubbly, about 2 minutes.","calories: 234, fat: 8g, carbs: 37g, protein: 3g, servings: 10"
Can You Freeze Donuts? Yes — And Here's Why You Should,https://www.allrecipes.com/can-you-freeze-donuts-7503973,,,
Zeppole,https://www.allrecipes.com/recipe/19847/zeppole/,"{'quantity': '2', 'unit': 'quarts', 'name': 'vegetable oil for frying'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'ricotta cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'cup', 'name': ""confectioners' sugar for dusting""}","Heat oil in a deep fryer to 375 degrees F (190 degrees C).. Combine flour, baking powder, sugar, and salt in a medium saucepan. Stir in eggs, ricotta cheese, and vanilla. Mix gently over low heat until combined. Batter will be sticky.. Drop by tablespoons into the hot oil a few at a time. Zeppole will turn over by themselves. Fry until golden brown, about 3 or 4 minutes. Drain in a paper sack and dust with confectioners' sugar. Serve warm.","calories: 69, fat: 5g, carbs: 5g, protein: 1g, servings: 35"
Churros,https://www.allrecipes.com/recipe/24700/churros/,"{'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'quarts', 'name': 'oil for frying'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}",,"calories: 364, fat: 14g, carbs: 57g, protein: 3g, servings: 4"
Funnel Cakes,https://www.allrecipes.com/recipe/18505/funnel-cakes/,"{'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil for frying, or as needed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': ""confectioners' sugar""}",,"calories: 524, fat: 33g, carbs: 50g, protein: 8g, servings: 6"
Sour Cream Donuts,https://www.allrecipes.com/sour-cream-donuts-recipe-8647022,"{'quantity': '2 ¼', 'unit': 'cups', 'name': 'bleached cake flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'sour cream, room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'egg yolks, room temperature'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter, melted and cooled slightly'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': None, 'unit': None, 'name': 'vegetable oil as needed for frying'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'powdered sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'hot water'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'light corn syrup'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Whisk flour, baking powder, salt, nutmeg, and cinnamon together in a bowl until well combined.. Whisk sour cream, granulated sugar, egg yolks, melted butter, oil, and vanilla together in a large bowl until well combined.. Gradually fold flour mixture into sour cream mixture just until combined. (Dough will be quite soft and sticky.). Cover, and chill in the refrigerator until dough is cold and just slightly firmed, about 2 hours.. Turn dough out onto a heavily-floured surface and pat or roll to 3/8- to 1/2-inch thickness, flouring hands or rolling pin as needed. Cut dough using a floured 3 ½-inch round cutter. Cut holes in the center of the dough circles using a floured 1 ¼-inch round cutter. Transfer dough rings to a parchment-lined baking sheet. Reroll, and cut dough scraps, repeating process as needed.. Heat 3 inches of oil in a large Dutch oven over medium heat until a deep-fry thermometer registers 360 degrees F to 365 degrees F (182 degrees C to 185 degrees C).. Fry 1 to 2 donuts at a time until golden brown and cooked through, about 1 to 1 ½ minutes per side, adjusting heat as necessary to maintain oil temperature.. Transfer donuts to a baking sheet lined with paper towels using a spider strainer. Let drain, and cool for 5 minutes (see note).. Whisk together powdered sugar, melted butter, hot water, corn syrup, salt, and vanilla in a large bowl for the glaze until smooth and well combined.. Place 1 warm donut in the powdered sugar mixture, craggy side up; use a spoon to coat donut completely in the glaze.. Remove donut from glaze using two forks placed underneath; let excess drip off, and then transfer donut to a wire rack placed over a rimmed baking sheet. Repeat with remaining donuts and glaze.. Let donuts stand until glaze is set before serving, about 25 minutes.","calories: 643, fat: 22g, carbs: 107g, protein: 6g, servings: 8"
Uncrustable Donuts,https://www.allrecipes.com/uncrustable-donuts-recipe-7563438,"{'quantity': '1', 'unit': None, 'name': 'uncrustables sandwiches'}, {'quantity': '6', 'unit': 'cups', 'name': 'peanut oil, or as needed'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'granulated sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}","Preheat oil to 400 degrees F (200 degrees C) in a large saucepan over medium-high heat.. Meanwhile, use a 1-inch cutter to cut a hole in the center of each Uncrustable. Press edges around the center of the hole to seal sandwich closed in the middle. Fry each sandwich in hot oil until browned, 8 to 10 seconds per side. Drain on paper towels.. Stir together sugar and cinnamon on a plate; dredge donuts lightly in cinnamon sugar.","calories: 521, fat: 40g, carbs: 39g, protein: 5g, servings: 4"
Classic Glazed Doughnuts,https://www.allrecipes.com/recipe/8536673/classic-glazed-doughnuts/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'milk'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'cake flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '4 ¼', 'unit': 'cups', 'name': 'cake flour, plus more for dusting'}, {'quantity': '1', 'unit': 'package', 'name': 'active dry yeast'}, {'quantity': '5', 'unit': 'ounces', 'name': 'evaporated milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted and cooled'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '4', 'unit': 'cups', 'name': 'vegetable oil for frying'}, {'quantity': '3', 'unit': 'cups', 'name': 'powdered sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'hot water'}","For tangzhong, whisk together 1/3 cup milk and 1/3 cup cake flour in a small saucepan. Cook, stirring constantly, over medium heat until a very thick paste forms, about 3 minutes (watch constantly—it thickens quickly). Cool briefly.. Heat 1 cup milk in a second saucepan to 105 degrees F to 115 degrees F (40 degrees C to 46 degrees C). Transfer warm milk to the bowl of a stand mixer; stir in yeast and let stand for 5 minutes.. Add evaporated milk, melted butter, eggs, sugar, salt, vanilla, the cooled tangzhong, and 2 cups cake flour to the stand mixer. Using the paddle attachment, beat at low speed until mixture is smooth, about 3 minutes. Gradually beat in remaining 2 1/4 cups cake flour to make a soft dough. Continue beating at low speed until dough is smooth, 2 to 3 minutes. Dough will be soft.. Turn dough out onto a lightly floured surface. Knead dough until smooth, 2 to 3 minutes, adding 2 to 4 tablespoons additional cake flour. Be careful not to add too much flour. (If dough begins to stick to surface, use a bench scraper to lift dough from surface and add a dusting of flour. If your dough is too soft to knead, chill covered for 2 hours or up to overnight before kneading.) Shape dough into a ball. Transfer to a lightly greased bowl, turning once to grease surface; cover. Let rise in a warm place until doubled in size, 1 to 1 1/2 hours.. Punch down dough and turn out onto floured surface. Roll dough into a 10x15-inch rectangle about 1/2-inch thick. If dough springs back, let it rest an additional 10 minutes. Lightly flour 2 large baking sheets.. Cut dough using 3-inch and 1-inch round cutters to create doughnuts and doughnut holes. Arrange cutouts 1 inch apart on the prepared baking sheets. Cover with a towel and let cutouts rise in a warm place until very light and fluffy, about 1 hour. [If you have scraps, gently knead together, being careful not to overwork dough; let rest 10 minutes before cutting.]. Arrange wire racks in two 10x15-inch rimmed baking pans (one for cooling, one for finished glazed doughnuts).. About 20 minutes before doughnuts are done rising, pour oil to a depth of 2 1/2 to 3 inches into a large skillet or a deep-fat fryer. Heat to 365 degrees F (185 degrees C).. Working in batches of 2 to 3 doughnuts, fry, turning once halfway through, until golden, about 90 seconds. Transfer to prepared cooling rack to cool slightly. Repeat with remaining doughnuts. For doughnut holes, working in batches, fry, constantly moving with a slotted spoon, until evenly golden, about 1 minute. Transfer to prepared rack to cool slightly.. Whisk together powdered sugar, melted butter, vanilla extract and salt in a bowl to make the vanilla glaze. Whisk in hot water, 1 tablespoon at a time, until desired consistency. If glaze thickens, stir in additional hot water, 1 teaspoon at a time.. Dip warm doughnuts and doughnut holes into vanilla glaze, turning to coat both sides. Arrange doughnuts on the second prepared rack to allow glaze to set, about 30 minutes.",
