name,link,ingredients,steps,nutrition,image_url
Orange Chocolate Chip Cookies,https://www.allrecipes.com/recipe/10599/orange-chocolate-chip-cookies/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orange zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'semisweet chocolate chips'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped pecans'}","Preheat the oven to 350 degrees F (175 degrees C). Grease cookie sheets.. Sift flour, baking powder, and salt into a medium bowl and set aside.. Cream butter, sugars, orange zest, and vanilla extract together in a large bowl until light and fluffy.. Add eggs, one at a time, beating well after each addition. Add dry ingredients and stir until combined. Stir in chocolate chips and pecans; mix until well-blended.. Drop dough by slightly rounded tablespoonfuls 2 inches apart on cookie sheets; flatten slightly.. Bake cookies in the preheated oven until golden, about 15 minutes. Let cookies cool briefly on the cookie sheets or transfer to a wire rack to cool completely.","calories: 244, fat: 14g, carbs: 29g, protein: 3g, servings: 48",https://www.allrecipes.com/thmb/rIwN_iG0gV5sgIcJ58zqjrLfb-Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5776881-b7e57a2b8be4479f8cb0828c0feb8dc0.jpg
Potato Chip Cookies,https://www.allrecipes.com/potato-chip-cookies-recipe-8413963,"{'quantity': '2 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter (2 sticks)'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'potato chips'}, {'quantity': '1', 'unit': 'cup', 'name': 'dark chocolate chips'}",,"calories: 149, fat: 8g, carbs: 19g, protein: 1g, servings: 36",https://cdn.jwplayer.com/v2/media/vogZhzde/thumbnails/dvYcJ2wF.jpg
Gooey Butter Cookies,https://www.allrecipes.com/recipe/16773/gooey-butter-cookies/,"{'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '(15.25 ounce) package', 'name': 'yellow cake mix'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Place confectioners' sugar into a shallow bowl.. Beat cream cheese and butter with an electric mixer in a medium bowl until creamy. Stir in egg and vanilla.. Add cake mix and stir until well blended. Roll dough into 1-inch balls.. Roll balls in confectioners' sugar to coat; place 1 inch apart onto an ungreased cookie sheet.. Bake in the preheated oven until set, 10 to 13 minutes.. Remove from the oven and transfer to wire racks to cool.","calories: 142, fat: 8g, carbs: 16g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/LrLaF6z4QKAy6dKt6DSmuMdiYW4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16773gooey-butter-cookieslutzflcat4x3-1b0ddabcd6654ce1be091ccce1a12fcb.jpg
Easy Nutella Cookies,https://www.allrecipes.com/recipe/273912/nutella-cookies/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter, at room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'chocolate-hazelnut spread (such as Nutella)'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped hazelnuts'}",Preheat the oven to 350 degrees F (175 degrees C). Line 2 baking sheets with aluminum foil or parchment paper.. Cream butter and sugar in a medium bowl with an electric mixer until light and fluffy. Add egg and vanilla extract; beat well. Mix in chocolate-hazelnut spread until well combined. Gradually mix in flour and cocoa powder. Stir in chocolate chips and hazelnuts.. Drop spoonfuls of dough 2 inches apart onto the prepared baking sheets.. Bake in the preheated oven for 8 minutes. Turn the oven off and allow the cookies to sit in the oven for 2 minutes more. Serve cookies warm or transfer to a wire rack to cool completely.,"calories: 180, fat: 11g, carbs: 20g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/sYHbQ3BPGTWDb5qz5F93sDNvqMU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/273912nutella-cookiesfabeveryday-8c51520f811f4117a2fe5917d45abafb.jpg
Granola Oatmeal Cookies,https://www.allrecipes.com/recipe/8489191/granola-oatmeal-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'finely crumbled prepared granola'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened to room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'firmly packed light brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white granulated sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'cup', 'name': 'old-fashioned rolled oats'}",,"calories: 122, fat: 7g, carbs: 12g, protein: 2g, servings: 18",https://cdn.jwplayer.com/v2/media/aQFArwfv/poster.jpg?width=720
Cranberry Pumpkin Cookies,https://www.allrecipes.com/recipe/9707/cranberry-pumpkin-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'solid pack pumpkin puree'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'halved fresh cranberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orange zest'}","Preheat the oven to 375 degrees F (190 degrees C). Grease two cookie sheets.. Cream sugar and butter in a large bowl with an electric mixer until light and fluffy. Mix in pumpkin purée, egg, and vanilla.. Sift flour, baking powder, baking soda, cinnamon, and salt together into a medium bowl. Stir flour mixture into pumpkin mixture until well blended. Stir in cranberries, walnuts, and orange zest. Drop teaspoonfuls of dough 2 inches apart onto the prepared baking sheets.. Bake in the preheated oven until the edges are golden, 10 to 12 minutes.. Remove from the oven and transfer to wire racks to cool.","calories: 90, fat: 4g, carbs: 13g, protein: 1g, servings: 36",https://www.allrecipes.com/thmb/QDAxyyRgJ7uA_7aoPIDbmyWf7lk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5848165-51f4085874754884af73e316d9e22ea7.jpg
Best Chocolate Chip Cookies,https://www.allrecipes.com/recipe/10813/best-chocolate-chip-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot water'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'semisweet chocolate chips'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}",,"calories: 146, fat: 8g, carbs: 19g, protein: 2g, servings: 48",https://cdn.jwplayer.com/v2/media/qHQSNVCK/thumbnails/tibAvzY8.jpg
"Best Big, Fat, Chewy Chocolate Chip Cookie",https://www.allrecipes.com/recipe/25037/best-big-fat-chewy-chocolate-chip-cookie/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'semisweet chocolate chips'}","Gather all ingredients. Preheat the oven to 325 degrees F (165 degrees C). Grease cookie sheets or line with parchment paper.. Sift flour, baking soda, and salt together; set aside.. Beat brown sugar, melted butter, and white sugar with an electric mixer in a large bowl until smooth.. Beat in egg, egg yolk, and vanilla until light and creamy; add flour mixture and stir until dough is just combined.. Stir in chocolate chips.. Drop spoonfuls of dough 3 inches apart onto the prepared baking sheets.. Bake cookies in the preheated oven until edges are golden, about 15 to 17 minutes.. Cool on the cookie sheets briefly before transferring them to a wire rack to cool completely.","calories: 284, fat: 14g, carbs: 39g, protein: 3g, servings: 18",https://cdn.jwplayer.com/v2/media/v6CGViZU/thumbnails/qHcXu0O2.jpg
Chewy Chocolate Chip Oatmeal Cookies,https://www.allrecipes.com/recipe/24445/chewy-chocolate-chip-oatmeal-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed light brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'cups', 'name': 'quick-cooking oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'semisweet chocolate chips'}",,"calories: 145, fat: 8g, carbs: 17g, protein: 2g, servings: 42",https://cdn.jwplayer.com/v2/media/1yoxafPg/thumbnails/sTsFZNpq.jpg
Iced Pumpkin Cookies,https://www.allrecipes.com/recipe/10033/iced-pumpkin-cookies/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned pumpkin puree'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'melted butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 122, fat: 3g, carbs: 22g, protein: 1g, servings: 36",https://cdn.jwplayer.com/v2/media/raN7vgWK/thumbnails/d7UBTc7G.jpg
