name,link,ingredients,steps,nutrition
Lace Skirt Dumplings,https://www.allrecipes.com/lace-skirt-dumplings-recipe-8723057,"{'quantity': '1/3', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'all-purpose flour'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'vegetable oil'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '7', 'unit': None, 'name': 'dumplings or potstickers'}",,"calories: 778, fat: 33g, carbs: 104g, protein: 16g, servings: 1"
"Spaetzle, Sauerkraut, and Sausage Casserole",https://www.allrecipes.com/recipe/219021/spaetzle-sauerkraut-and-sausage-casserole/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'slices', 'name': 'bacon, diced'}, {'quantity': '½', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'small', 'name': 'Gala apple, cored and chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'sauerkraut'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'kielbasa sausage, cut into 2-inch pieces'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a metal colander with oil.. Whisk flour and salt together in a bowl. Mix eggs and water, and pour into the flour mixture. Stir to form a dough.. Bring a pot of water to a boil. Place spaetzle dough into the oiled colander, and set the colander over the pot of water. Use a flexible spatula to push the dough into the boiling water through the holes in the colander. Stir the spaetzle as they boil. When they have floated to the top, they are done (about 5 minutes). Scoop the spaetzle out of the boiling water, and place into an ungreased 9x9-inch baking dish.. Place the bacon in a skillet over medium heat, and cook, stirring often, until the bacon is crisp, about 8 minutes. Remove bacon, leaving drippings in pan, and set aside. Cook the onion in the same pan as the bacon until browned, about 10 minutes.. In a large skillet, melt the butter over medium heat until foamy, and stir in the apple and brown sugar. Cook and stir until the apple is soft, about 5 minutes. Transfer the cooked bacon, onions, and sauerkraut into the skillet, and cook, stirring often, until the flavors have blended, about 5 minutes. Pour the sauerkraut mixture into the 9x9-inch baking dish on top of the spaetzle.. Place the kielbasa pieces into a microwave-safe dish, and cook on full power in a microwave oven until the sausage is hot and has lost its pink color, 2 or 3 minutes. Transfer the sausage to the baking dish.. Bake in the preheated oven until bubbling, about 15 minutes.","calories: 496, fat: 32g, carbs: 34g, protein: 18g, servings: 6"
Rustic Chicken and Dumplin's,https://www.allrecipes.com/rustic-chicken-and-dumplins-recipe-8707675,"{'quantity': '1', 'unit': None, 'name': 'whole chicken'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Morton Nature’s Seasons seasoning blend'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': '(32 ounce) carton', 'name': 'low-sodium chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1/2', 'unit': None, 'name': 'onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'poultry seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '3', 'unit': 'medium', 'name': 'carrots'}, {'quantity': '3', 'unit': 'medium', 'name': 'celery'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': None, 'name': 'egg'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'whole buttermilk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley'}",,"calories: 465, fat: 29g, carbs: 21g, protein: 29g, servings: 8"
Homemade Dumplings,https://www.allrecipes.com/recipe/6900/dumplings/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter or margarine'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}",,"calories: 105, fat: 2g, carbs: 18g, protein: 3g, servings: 6"
Gnocchi,https://www.allrecipes.com/recipe/18465/gnocchi-i/,"{'quantity': '3', 'unit': 'medium', 'name': 'russet potatoes, scrubbed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}",,"calories: 314, fat: 2g, carbs: 64g, protein: 10g, servings: 4"
Apple Sausage Gravy Dumplings,https://www.allrecipes.com/apple-sausage-gravy-dumplings-recipe-8714162,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'pork sausage'}, {'quantity': '1/2', 'unit': 'large', 'name': 'yellow onion,'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'large', 'name': 'apple'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'milk'}, {'quantity': None, 'unit': None, 'name': 'ground black pepper'}, {'quantity': None, 'unit': None, 'name': 'cayenne pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'apple cider vinegar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'apple cider'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'creme fraiche'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme leaves'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'green onions'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}",,"calories: 498, fat: 33g, carbs: 31g, protein: 20g, servings: 6"
"Our 15 Favorite Potsticker, Gyoza, and Dumpling Recipes",https://www.allrecipes.com/best-potsticker-gyoza-and-dumpling-recipes-8650336,,,
Sweet Potato Dumplings with Peach-Thai Chili Sauce,https://www.allrecipes.com/sweet-potato-dumplings-with-peach-thai-chili-sauce-recipe-8347235,"{'quantity': '2', 'unit': '(8 ounce)', 'name': 'sweet potatoes, peeled and coarsely chopped'}, {'quantity': '1/4 cup plus 2', 'unit': 'teaspoons', 'name': 'vegetable oil, divided'}, {'quantity': '2', 'unit': None, 'name': 'apples - peeled, cored, and chopped into 1/2-inch pieces'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'peach jam'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'sweet chili sauce'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'fresh cilantro, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese (4 ounces)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'jalapeno pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 (16', 'unit': 'ounce) package', 'name': 'wonton wrappers'}, {'quantity': '12', 'unit': 'tablespoons', 'name': 'water, divided'}","Put sweet potatoes in a large pot. Cover with salted water; bring to a boil. Reduce heat to medium-low. Simmer, covered, until tender, about 20 minutes. Drain and coarsely mash. Let cool 10 to 15 minutes.. Meanwhile, heat 2 teaspoons oil in a large skillet over medium-high heat. Cook apples, stirring frequently, until lightly browned and crisp-tender, about 5 minutes. Let cool.. For dipping sauce, stir together peach jam, chili sauce, and 2 tablespoons cilantro.. For filling, stir together mashed sweet potatoes, apples, cheddar, jalapeño, salt, and remaining 3 tablespoons cilantro in a medium bowl. Line a baking sheet with parchment paper or waxed paper.. For each dumpling, spoon about 1 tablespoon filling onto center of a wonton wrapper. Cover remaining wrappers with a damp towel while you work. Dampen edges of wrapper with water; fold wrapper diagonally over filling and pinch edges together to seal. Transfer dumpling to prepared baking sheet. Repeat with remaining wrappers and filling. Cover filled dumplings with a damp towel.. Heat 1 tablespoon oil in a large skillet over medium heat. Add 12 dumplings to skillet. Cook, turning once, until lightly browned, about 4 minutes. Carefully add 3 tablespoons water to skillet. Cook, covered, until dumplings are softened, 3 to 4 minutes.. Remove lid. Increase heat to medium-high. Cook until most of water has evaporated, 2 to 3 minutes more. Transfer dumplings to a serving dish. Working in batches of 12, repeat with remaining dumplings, oil, and water. Serve with dipping sauce.","calories: 88, fat: 2g, carbs: 15g, protein: 2g, servings: 48"
Beef and Mushroom Dumplings in Broth,https://www.allrecipes.com/beef-and-mushroom-dumplings-in-broth-recipe-7369568,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '8', 'unit': 'ounces', 'name': 'crimini mushrooms, minced'}, {'quantity': '2', 'unit': None, 'name': 'garlic cloves, minced'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh ginger'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'low-sodium soy sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '4', 'unit': None, 'name': 'green onions, chopped'}, {'quantity': None, 'unit': '36', 'name': 'wonton wrappers, or more as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, or more as needed'}, {'quantity': '2', 'unit': None, 'name': 'shallots, sliced'}, {'quantity': '2', 'unit': None, 'name': 'garlic cloves, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh ginger'}, {'quantity': '4', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'red pepper flakes (optional)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil, or as needed'}, {'quantity': '2', 'unit': None, 'name': 'green onions, chopped, or as needed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame seeds, or as needed'}",,"calories: 888, fat: 45g, carbs: 63g, protein: 55g, servings: 4"
Collard Green Wontons,https://www.allrecipes.com/collard-green-wontons-recipe-7254880,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'grapeseed oil'}, {'quantity': '3', 'unit': None, 'name': 'green onions, chopped'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper, chopped'}, {'quantity': '1/2', 'unit': None, 'name': 'orange bell pepper, chopped'}, {'quantity': '1', 'unit': 'bunch', 'name': 'collard greens, stems removed, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'greens seasoning'}, {'quantity': '1', 'unit': 'package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'tablespoons', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'package', 'name': 'wonton wrappers'}, {'quantity': None, 'unit': None, 'name': 'oil for frying'}","Heat grapeseed oil in wok over medium heat; cook and stir green onions, red bell pepper, and orange bell pepper for 5 minutes. Add collard greens, garlic, and greens seasoning; cook and stir until greens are wilted, about 10 minutes. Allow to cool for 10 minutes.. Stir cream cheese and sour cream together in a large bowl until smooth; stir in greens, a little at a time, until well mixed.. Place ½ to 1 teaspoon greens mixture in center of wonton wrapper. Dip a finger into a small bowl of water, and trace edges of wonton wrapper to moisten; fold wonton into a triangle and press edges together to seal securely. Repeat with remaining wonton wrappers and greens.. Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Fry wontons in small batches until golden and crisp, 2 to 3 minutes. Remove to a paper towel-lined plate.",
