name,link,ingredients,steps,nutrition
Copycat Chili's Southwestern Eggrolls,https://www.allrecipes.com/copycat-chilis-southwestern-eggrolls-recipe-8653098,"{'quantity': '1', 'unit': None, 'name': 'avocado'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'whole buttermilk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ranch dressing mix'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'rotisserie chicken (about 8 ounces)'}, {'quantity': '1', 'unit': 'cup', 'name': 'Monterey Jack cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'frozen corn'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'drained and rinsed canned black beans'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'baby spinach'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red bell pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'scallions'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'pickled jalapeño chile'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'taco seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '8', 'unit': '(8 inch)', 'name': 'flour tortillas'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable oil'}",,"calories: 640, fat: 39g, carbs: 49g, protein: 23g, servings: 4 to 6"
Easter Egg Rolls,https://www.allrecipes.com/easter-egg-rolls-recipe-8602830,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh ginger'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'carrot'}, {'quantity': '4', 'unit': 'cups', 'name': 'green cabbage'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'button mushrooms'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'oyster sauce'}, {'quantity': '2', 'unit': 'ounces', 'name': 'vermicelli noodles'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'green peas, thawed, well drained'}, {'quantity': '6', 'unit': 'ounces', 'name': 'deli ham, cut into thin strips'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '14', 'unit': 'large (6 to 7-inch) square', 'name': 'egg roll wrappers'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': None, 'unit': None, 'name': 'vegetable oil'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'Dijon mustard'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'riracha hot sauce, or to taste'}","Heat 1 tablespoon vegetable oil over medium-high heat, and add garlic and ginger. Stir-fry until fragrant but not browned, about 30 seconds, then add carrot, cabbage, green onions, mushrooms, and salt. Sook, stirring, for a few minutes or until the vegetables just start to soften up and lose their rigidity.. Stir in sesame oil and oyster sauce, and cook for 1 minute more; reduce the heat to medium-low. Add the uncooked vermicelli noodles, and use tongs to cover noodles with hot vegetable mixture. The noodles will quickly loosen up and separate; continue to use tongs to toss and stir everything until uniformly mixed.. Transfer mixture to a bowl, and add peas, ham, cayenne, and black pepper. Mix thoroughly to combine. Taste for seasoning, and add more salt if desired. Let mixture cool, then wrap and transfer into the refrigerator until ready to use.. Place 1 egg roll wrapper on a clean work surface, and position it in a diamond shape. Paint egg wash on all 4 edges. Spoon about 1/3 cup of filling on the bottom third of the wrapper. Make sure it’s centered and evenly distributed. Fold the bottom tip of the wrapper up and over the filling and roll once to cover filling. Fold in sides, making sure to cover filling and align sides nice and straight. Finish rolling egg roll up, ending with the tip and seam at the bottom. Repeat with remaining wrappers and filling.. Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Fry egg rolls until browned and crisp, 4 to 5 minutes. Drain on a paper towel-lined plate and let rest for a minute or two before serving.. Optional: Whisk mustard, rice vinegar, and sriracha together in a small bowl. Serve egg rolls with mustard sauce, or other prepared egg roll sauce.","calories: 222, fat: 11g, carbs: 23g, protein: 9g, servings: 12"
You Can Make Cheesecake Factory Avocado Egg Rolls in Your Air Fryer With This Copycat Recipe,https://www.allrecipes.com/copycat-cheesecake-factory-avocado-egg-rolls-7970663,"{'quantity': '1/2', 'unit': 'cup', 'name': 'raw cashews'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tbsp', 'name': 'honey'}, {'quantity': '2', 'unit': 'tbsp', 'name': 'thinly sliced scallions'}, {'quantity': '3', 'unit': None, 'name': 'garlic cloves, crushed'}, {'quantity': '1 1/2', 'unit': 'tbsp', 'name': 'balsamic vinegar'}, {'quantity': '2', 'unit': 'tsp', 'name': 'tamarind purée'}, {'quantity': '2', 'unit': 'tsp', 'name': 'tamari'}, {'quantity': '1/2', 'unit': 'tsp', 'name': 'ground turmeric'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh cilantro, divided'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'tap water, divided'}, {'quantity': '3', 'unit': 'tbsp', 'name': 'fresh lime juice'}, {'quantity': '1 1/4', 'unit': 'tsp', 'name': 'kosher salt, divided'}, {'quantity': '3', 'unit': None, 'name': 'avocados, diced (about 3 cups)'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sun dried tomatoes packed in oil, chopped'}, {'quantity': '10', 'unit': None, 'name': 'egg roll wrappers'}, {'quantity': None, 'unit': None, 'name': 'Cooking spray'}",,"calories: 964, fat: 63g, carbs: 87g, protein: 22g, servings: 5"
Jalapeño Popper Egg Rolls,https://www.allrecipes.com/jalapeno-popper-egg-rolls-recipe-7481614,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '6', 'unit': 'ounces', 'name': 'fully cooked luncheon meat (such as SPAM®), chopped'}, {'quantity': '3', 'unit': None, 'name': 'jalapeno peppers, seeded and chopped'}, {'quantity': '1', 'unit': 'ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water, or as needed'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'vegetable oil for frying, or as needed'}, {'quantity': '8', 'unit': '(7-inch) square', 'name': 'egg roll wrappers'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'sweet and sour sauce for dipping (optional)'}","Heat 2 tablespoons vegetable oil in a large wok over medium-high heat. Stir-fry luncheon meat and jalapeño until lightly browned, about 7 minutes. Remove from heat, transfer to a paper towel-lined plate, and let cool slightly.. Stir luncheon meat, jalapeños, cream cheese, and Cheddar cheese together in a bowl until well combined.. Prepare egg rolls: Lay one egg roll wrapper on a work surface with one corner pointed toward you like a diamond. Place about 1/4 to 1/3 cup filling in the center of wrapper. Fold the bottom corner up and over filling. Fold the left and right corners in toward the center. Push the egg roll away from you and roll toward the top corner. Brush a bit of water over the inside of that corner to help seal the egg roll. Repeat with remaining ingredients.. Fill a large saucepan with about 1 inch oil; heat over medium-high heat. Working in batches of 3 to 4, fry egg rolls until browned on all sides, 3 to 4 minutes. Drain on a paper towel-lined plate.","calories: 462, fat: 31g, carbs: 29g, protein: 16g, servings: 8"
Traditional Filipino Lumpia,https://www.allrecipes.com/recipe/35151/traditional-filipino-lumpia/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '½', 'unit': 'cup', 'name': 'minced carrots'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green onions'}, {'quantity': '½', 'unit': 'cup', 'name': 'thinly sliced green cabbage'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'soy sauce'}, {'quantity': '30', 'unit': '', 'name': 'lumpia wrappers'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable oil for frying, or as needed'}",,"calories: 168, fat: 11g, carbs: 11g, protein: 7g, servings: 15"
Best Egg Rolls,https://www.allrecipes.com/recipe/14704/best-egg-rolls/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger, or more to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder, or more to taste'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded cabbage'}, {'quantity': '2', 'unit': 'ounces', 'name': 'shredded carrots'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1', 'unit': 'quart', 'name': 'peanut oil for frying, or as needed'}, {'quantity': '8', 'unit': '(7 inch square)', 'name': 'egg roll wrappers'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame seeds (Optional)'}",,"calories: 334, fat: 21g, carbs: 23g, protein: 14g, servings: 8"
Southwestern Egg Rolls,https://www.allrecipes.com/recipe/25502/southwestern-egg-rolls/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil, divided'}, {'quantity': '1', 'unit': '', 'name': 'skinless, boneless chicken breast half'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced green onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced red bell pepper'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'frozen corn kernels'}, {'quantity': '¼', 'unit': 'cup', 'name': 'black beans, rinsed and drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'frozen chopped spinach, thawed and drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'diced jalapeño peppers'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'minced fresh parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '⅓', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cayenne pepper'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded Monterey Jack cheese'}, {'quantity': '5', 'unit': '(6 inch)', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': 'quart', 'name': 'oil for deep frying'}","Rub 1 tablespoon vegetable oil over chicken breast. Cook chicken in a medium saucepan over medium heat until meat is no longer pink and juices run clear, about 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove from heat and set aside.. Heat remaining 1 tablespoon vegetable oil in the saucepan over medium heat. Stir in green onion and bell pepper. Cook and stir until tender, about 5 minutes.. Dice chicken and mix into the pan with green onion and bell pepper. Mix in corn, black beans, spinach, jalapeño peppers, parsley, cumin, chili powder, salt, and cayenne pepper. Cook and stir until well blended and tender, 5 minutes. Remove from heat and stir in Monterey Jack cheese so that it melts.. Wrap tortillas with a clean, lightly moist cloth. Microwave on high until hot and pliable, about 1 minute.. Spoon even amounts of the mixture into each tortilla. Fold ends of tortillas, then roll tightly around the mixture. Secure with toothpicks. Arrange in a medium dish, cover with plastic, and place in the freezer. Freeze for at least 4 hours.. Heat oil in a large, deep skillet for deep-frying to 375 degrees F (190 degrees C). Deep-fry frozen, stuffed tortillas until dark golden brown, about 10 minutes each. Drain on paper towels before serving.","calories: 419, fat: 31g, carbs: 22g, protein: 14g, servings: 5"
Quick Egg Roll Dipping Sauce,https://www.allrecipes.com/recipe/150107/quick-egg-roll-dipping-sauce/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'sesame oil'}","Gather all ingredients.. Whisk together soy sauce, rice vinegar, ginger, garlic powder, onion powder, and sesame oil in a bowl until smooth. Serve in small dipping dishes.","calories: 11, fat: 0g, carbs: 2g, protein: 1g, servings: 4"
Authentic Vietnamese Spring Rolls (Nem Ran Hay Cha Gio),https://www.allrecipes.com/recipe/245343/authentic-vietnamese-spring-rolls-nem-ran-hay-cha-gio/,"{'quantity': '2', 'unit': 'ounces', 'name': 'dried thin rice noodles'}, {'quantity': '¾', 'unit': 'cup', 'name': 'ground chicken'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shrimp - washed, peeled, and cut into small pieces'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': '', 'name': 'carrot, grated'}, {'quantity': '4', 'unit': '', 'name': 'wood fungus mushrooms, chopped'}, {'quantity': '2', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '24', 'unit': '', 'name': 'rice paper wrappers'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable oil for frying'}","Gather all ingredients.. Soak rice noodles in cold water until soft, about 20 minutes. Drain well; cut into 2-inch long pieces.. Combine noodle pieces, chicken, shrimp, eggs, carrot, wood fungus mushrooms, and green onions in a large bowl. Add sugar, salt, and black pepper; stir well.. Soak 1 rice paper wrapper in a shallow bowl of warm water to soften, about 15 seconds. Place on a damp cloth laid out on a flat surface.. Place 1 tablespoon filling mixture into the center of softened rice paper. Fold the bottom edge into the center, covering filling. Fold in opposing edges and roll up tightly. Repeat with remaining rice paper wrappers, soaking and filling each one individually.. Heat oil in a wok or large skillet over medium heat.. Working in batches of 3 or 4, fry spring rolls in hot oil until crisp and golden brown on both sides, about 5 minutes. Drain on paper towels.","calories: 132, fat: 5g, carbs: 14g, protein: 7g, servings: 12"
Authentic Chinese Egg Rolls (from a Chinese person),https://www.allrecipes.com/recipe/61913/authentic-chinese-egg-rolls-from-a-chinese-person/,"{'quantity': '4', 'unit': 'teaspoons', 'name': 'vegetable oil, divided'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'medium head', 'name': 'cabbage, finely shredded'}, {'quantity': '½', 'unit': '', 'name': 'carrot, julienned'}, {'quantity': '1', 'unit': 'pound', 'name': 'Chinese barbequed or roasted pork, cut into matchsticks'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'shredded bamboo shoots'}, {'quantity': '1', 'unit': 'cup', 'name': 'dried, shredded wood ear mushroom, rehydrated'}, {'quantity': '2', 'unit': '', 'name': 'green onions, thinly sliced'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'monosodium glutamate (MSG)'}, {'quantity': '1', 'unit': '(14 ounce) package', 'name': 'egg roll wrappers'}, {'quantity': '1', 'unit': '', 'name': 'egg white, beaten'}, {'quantity': '4', 'unit': 'cups', 'name': 'oil for frying, or as needed'}","Heat 1 teaspoon vegetable oil in a wok or large skillet over medium heat. Pour in beaten eggs and cook, without stirring, until firmed up. Flip eggs over and cook for an additional 20 seconds to firm the other side. Set egg pancake aside to cool, then slice into thin strips.. Heat remaining vegetable oil in a wok or large skillet over high heat. Stir in cabbage and carrot; cook for 2 minutes to wilt. Add pork, bamboo shoots, mushroom, green onions, soy sauce, salt, sugar, and MSG; continue cooking until vegetables soften, about 6 minutes. Stir in sliced egg, then spread the mixture out onto a pan, and refrigerate until cold, about 1 hour.. To assemble the egg rolls: Place a wrapper onto your work surface with one corner pointing towards you. Place about 3 tablespoons of cooled filling in a heap onto the bottom third of the wrapper. Brush a little beaten egg white onto the top two edges of the wrapper, then fold the bottom corner over the filling and roll firmly to the halfway point. Fold the left and right sides snugly over the egg roll, then continue rolling until the top corners seal the egg roll with the egg white. Repeat with remaining egg roll wrappers, covering finished egg rolls with plastic wrap to keep from drying out.. Heat about 6 inches of oil in a wok or deep-fryer to 350 degrees F (175 degrees C).. Fry egg rolls 3 or 4 at a time until golden brown, 5 to 7 minutes. Drain on paper towels.","calories: 169, fat: 7g, carbs: 16g, protein: 10g, servings: 20"
