name,link,ingredients,steps,nutrition
Delicious Egg Salad,https://www.allrecipes.com/recipe/147103/delicious-egg-salad-for-sandwiches/,"{'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped green onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'prepared yellow mustard'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}",,"calories: 333, fat: 30g, carbs: 2g, protein: 13g, servings: 4"
Deviled Egg Potato Salad,https://www.allrecipes.com/deviled-egg-potato-salad-recipe-8682219,"{'quantity': '3', 'unit': 'pounds', 'name': 'potatoes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '9', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Djon mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white vinegar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sweet relish'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery'}, {'quantity': '1/2', 'unit': 'small', 'name': 'red onion'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': None, 'unit': 'chopped', 'name': 'chives'}","Place potatoes in a large pot and cover with water up to 3 inches above the potatoes. Add salt and eggs and bring to a boil over high heat; reduce heat to a low boil and cook for 10 minutes.. Remove eggs from water using a slotted spoon and place them in an ice bath. Continue cooking potatoes until tender, 5 to 10 minutes more, and drain. Let cool slightly.. Peel eggs and cut each one in half. Remove yolks and place in a large bowl. Finely chop whites and set aside. Mash yolks with a fork until fully broken down. Add mayonnaise, mustard, vinegar and pepper to yolks and stir well.. Add cooked potatoes, reserved egg whites, relish, celery and onion to the bowl and stir until well combined. Season with more salt and pepper to taste. Transfer salad to a serving bowl and sprinkle with paprika and chives.","calories: 355, fat: 21g, carbs: 33g, protein: 9g, servings: 10"
Air Fryer Loaded Egg Salad Sandwiches,https://www.allrecipes.com/air-fryer-loaded-egg-salad-sandwiches-recipe-7509591,"{'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '4', 'unit': 'slices', 'name': 'bacon, crisp-cooked and crumbled'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, finely chopped'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'green onion'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'pickle relish'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'yellow mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Sriracha sauce'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'dried dill'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'orcestershire sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '8', 'unit': 'slices', 'name': 'bread'}, {'quantity': '4', 'unit': 'leaves', 'name': 'romaine lettuce, torn'}","Preheat air fryer to 250 degrees F (120 degrees C).. Arrange whole eggs in shells in an even layer in the fryer basket; cook for 20 minutes. Immediately plunge eggs into an ice bath. Let stand until cool, about 5 minutes; drain. Peel and coarsely chop eggs. Meanwhile, stir together bacon, celery, mayonnaise, onion, relish, mustard, sriracha, dill, Worcestershire, black pepper, paprika, and salt in a large bowl. Gently stir chopped eggs into mayonnaise mixture until combined. Chill, covered, at least 1 hour or up to 3 days. Serve egg salad in bread with lettuce.","calories: 473, fat: 26g, carbs: 35g, protein: 23g, servings: 4"
Curried Egg Sandwiches,https://www.allrecipes.com/recipe/104804/curried-egg-sandwiches/,"{'quantity': '4', 'unit': '', 'name': 'hard-cooked eggs, peeled and chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'curry powder'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '8', 'unit': 'slices', 'name': 'bread'}","Gather your ingredients.. Mix together mayonnaise and curry powder in a bowl. Gently stir in eggs, then season to taste with salt and pepper.. Evenly divide between 4 slices of bread, top with remaining 4 slices.","calories: 410, fat: 29g, carbs: 27g, protein: 10g, servings: 4"
A Healthy Egg Salad,https://www.allrecipes.com/recipe/240974/a-healthy-egg-salad/,"{'quantity': '12', 'unit': '', 'name': 'hard-cooked eggs, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'low-fat mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh chives'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'celery salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}","Peel and chop 8 eggs; place in a medium bowl.. Peel remaining 4 eggs. Cut each in half to remove yolks, reserving them for another use. Chop whites and add to the bowl.. Mix in mayonnaise, chives, Dijon, celery salt, paprika, kosher salt, and pepper until salad is well combined.","calories: 131, fat: 9g, carbs: 3g, protein: 10g, servings: 8"
Southern-Style Egg Salad,https://www.allrecipes.com/recipe/280034/southern-style-egg-salad/,"{'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sweet India pickle relish'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'yellow mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'dashes', 'name': 'hot sauce (such as Tabasco®) (Optional)'}","Cover eggs with water in a saucepan, bring to a low boil, let boil slowly for 5 minutes. Remove from heat and let stand, covered, for 5 minutes.. Transfer eggs to ice water to chill for 5 minutes; peel. Grate eggs into a medium mixing bowl and add mayonnaise, relish, mustard, sugar, lemon juice, salt, pepper, and hot sauce. Mix well.. Chill in the refrigerator for at least 30 minutes.","calories: 102, fat: 9g, carbs: 2g, protein: 4g, servings: 10"
Egg Salad with Celery,https://www.allrecipes.com/recipe/279938/egg-salad-with-celery/,"{'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, finely chopped'}, {'quantity': '½', 'unit': 'cup', 'name': ""mayonnaise (such as Hellman's)""}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely chopped onion'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'mustard powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}","Place eggs in a medium saucepan and cover with cold water. Bring to a boil, remove from heat, and let eggs stand in hot water for 10 minutes. Remove eggs; cool under cold running water.. Peel eggs and chop both ways in an egg slicer into a bowl. Add celery, mayonnaise, onion, mustard powder, and salt; stir to combine. Serve.","calories: 313, fat: 29g, carbs: 3g, protein: 10g, servings: 4"
Magical Egg Salad,https://www.allrecipes.com/recipe/221011/magical-egg-salad/,"{'quantity': '5', 'unit': '', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Dijon mustard'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sweet pickle relish'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'steak sauce'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried dill weed'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}",,"calories: 366, fat: 29g, carbs: 11g, protein: 16g, servings: 2"
16 Excellent Ways to Make Egg Salad,https://www.allrecipes.com/gallery/best-egg-salad-recipes/,,,
Avocado Egg Salad,https://www.allrecipes.com/recipe/170446/avocado-egg-salad/,"{'quantity': '6', 'unit': None, 'name': 'hard-boiled eggs, peeled'}, {'quantity': '2', 'unit': None, 'name': 'avocados - peeled, pitted, and cubed'}, {'quantity': '½', 'unit': 'cup', 'name': 'minced red onion'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped sweet pickles'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'prepared yellow mustard'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': None, 'unit': None, 'name': 'salt and pepper to taste'}","Mash eggs lightly with a fork in a bowl. Add avocado, onion, pickles, mustard, and mayonnaise. Gently mash together until just blended. Season to taste with salt and pepper.","calories: 284, fat: 25g, carbs: 9g, protein: 8g, servings: 6"
