name,link,ingredients,steps,nutrition,image_url
Crown Jewel Holiday Cocktail,https://www.allrecipes.com/crown-jewel-holiday-cocktail-recipe-8409667,"{'quantity': '2', 'unit': 'ounces', 'name': 'whiskey'}, {'quantity': '2', 'unit': 'ounces', 'name': 'eggnog'}, {'quantity': '1/2', 'unit': 'luid ounc', 'name': 'triple sec'}, {'quantity': '1', 'unit': None, 'name': 'cinnamon stick or orange twist'}","Add whiskey, eggnog, and orange liqueur to a cocktail shaker. Fill shaker with ice and shake well.. Pour into a frosted martini glass and garnish with a cinnamon stick or orange twist.","calories: 222, fat: 3g, carbs: 10g, protein: 3g, servings: 1",https://www.allrecipes.com/thmb/XTPKxcvl5WW8p-Pr3kgL8POxduw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8409667_Crown-Jewel-Holiday-Cocktail_Shelia-Johnson_4x3-ffcf54ef49f34dbabaed91fd1eb27e86.jpg
Rich Almond Milk Eggnog,https://www.allrecipes.com/rich-almond-milk-eggnog-recipe-8409698,"{'quantity': '1', 'unit': None, 'name': 'duck egg'}, {'quantity': '1', 'unit': 'cup', 'name': 'vanilla almond milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sugar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'tablespoons non-dairy', 'name': 'whipped topping'}, {'quantity': '1', 'unit': 'pinch', 'name': 'nutmeg'}","Crack duck egg into a glass bowl. Using an electric wire whip, whip egg until yellow and frothy. Add almond milk, sugar, and vanilla; whip until combined.. Divide beverage between two cups. Garnish with non-dairy whipped topping and freshly grated nutmeg. Serve immediately.","calories: 185, fat: 9g, carbs: 16g, protein: 8g, servings: 2",https://www.allrecipes.com/thmb/i4IUYwhNwaFWaAJmADswawIZZ3Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8409698_Rich-Almond-Milk-Eggnog_TheDailyGourmet_4x3-9c9dc8a6783742c388eb3c530f3e914a.jpg
Ponche de Crème (Trinidad's Eggnog),https://www.allrecipes.com/recipe/56190/trinidads-ponche-de-creme-punch-with-cream/,"{'quantity': '6', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grated lime zest'}, {'quantity': '3', 'unit': '(14 ounce) cans', 'name': 'sweetened condensed milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'canned evaporated milk'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'rum'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'aromatic bitters'}, {'quantity': '1', 'unit': 'pinch', 'name': 'freshly grated nutmeg'}","Beat eggs and lime zest in a large bowl using an electric mixer until light and fluffy. Gradually pour in condensed milk while continuing to mix, and then pour in evaporated milk.. Stir in rum and bitters and sprinkle with nutmeg. Transfer to a bottle and chill for at least 1 hour before serving.. Serve over crushed ice.",,https://www.allrecipes.com/thmb/xYhRz3Y6ICHOOSPL4hykIw8anZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7541141-a76a780d50cd42c9a62d3caba16840d4.jpg
Amazingly Good Eggnog,https://www.allrecipes.com/recipe/57028/amazingly-good-eggnog/,"{'quantity': '4', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '5', 'unit': '', 'name': 'whole cloves'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'vanilla extract, divided'}, {'quantity': '12', 'unit': None, 'name': 'egg yolks'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'cups', 'name': 'light cream'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'light rum (Optional)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}",,"calories: 364, fat: 21g, carbs: 32g, protein: 12g, servings: 12",https://cdn.jwplayer.com/v2/media/WgZtfcaZ/poster.jpg?width=720
Eggnog Milkshake,https://www.allrecipes.com/recipe/8495590/eggnog-milkshake/,"{'quantity': '¼', 'unit': 'cup', 'name': 'eggnog'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'butter pecan ice cream'}, {'quantity': '¼', 'unit': 'cup', 'name': '1% milk'}, {'quantity': '', 'unit': '', 'name': 'whipped cream as topping (optional)'}, {'quantity': '', 'unit': '', 'name': 'cinnamon'}","Combine eggnog, ice cream, and milk in a blender. Blend on high until incorporated. Pour into a glass, garnish with whipped cream, and dust with cinnamon if desired.","calories: 1196, fat: 86g, carbs: 82g, protein: 22g, servings: 1",https://www.allrecipes.com/thmb/YSxsD94i6iLkU8CPee_iBjAk3gs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/eggnog-milkshake-2000-ed43b5f417354ed3b224d53a5424041f.jpg
Peppermint Eggnog Milkshake,https://www.allrecipes.com/recipe/8496238/peppermint-egg-nog-milkshake/,"{'quantity': '¼', 'unit': 'cup', 'name': 'eggnog'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'vanilla ice cream'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'peppermint extract'}, {'quantity': '', 'unit': '', 'name': 'whipped cream (Optional)'}, {'quantity': '', 'unit': '', 'name': 'crushed peppermint (Optional)'}","Combine eggnog, vanilla ice cream, and peppermint extract in a blender, blend until smooth.. Pour milkshake into a glass and garnish with whipped cream and crushed peppermint. Serve immediately.","calories: 555, fat: 30g, carbs: 63g, protein: 11g, servings: 1",https://www.allrecipes.com/thmb/ruaeqweXYfUrtUjEdwZaTsmwBEQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/peppermint-eggnog-1x1-1-c70861e8530c4132a51285887ab2ab31.jpg
Chocolate Eggnog Milkshake,https://www.allrecipes.com/recipe/8503936/chocolate-eggnog-milkshake/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'low-fat vanilla ice cream'}, {'quantity': '¾', 'unit': 'cup', 'name': 'low-fat eggnog'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chocolate syrup, plus more for garnish'}, {'quantity': '', 'unit': '', 'name': 'whipped cream (optional)'}","Combine ice cream, eggnog, and 2 tablespoons of chocolate syrup in a blender, and process until well-combined.. Drizzle some chocolate syrup down the sides of the glass in a random pattern, and pour in the milkshake. Top with whipped cream, if desired.","calories: 575, fat: 16g, carbs: 88g, protein: 19g, servings: 1",https://www.allrecipes.com/thmb/QOo1HNoAAydpgiHgjFQmywaziRk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1667147637Eggnog-Chocolate20Milkshake-2000-b289fd9c049042809d3a14774a881db8.jpeg
Coquito,https://www.allrecipes.com/recipe/44187/coquito/,"{'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '2', 'unit': 'large', 'name': 'egg yolks, beaten'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'cream of coconut'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'white rum'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}",,"calories: 354, fat: 14g, carbs: 46g, protein: 7g, servings: 10",https://cdn.jwplayer.com/v2/media/B124breL/thumbnails/QNZvPvxz.jpg
Easiest Eggnog,https://www.allrecipes.com/recipe/18387/easiest-eggnog/,"{'quantity': '2 ⅓', 'unit': 'cups', 'name': 'low-fat milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'dash', 'name': 'ground nutmeg'}","Gather the ingredients.. Blend milk, eggs, sugar, vanilla, and nutmeg together in a large pitcher until well combined.. Chill in the refrigerator before serving.","calories: 201, fat: 7g, carbs: 22g, protein: 11g, servings: 3",https://www.allrecipes.com/thmb/0rLM_N3bSs9738KE_JDqR-D5t7E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/18387-Easiest-Eggnog-ddmfs-4x3-d350cbedab864e85bedb3d990278da14.jpg
Eggnog (Spiked with Rum),https://www.allrecipes.com/recipe/260825/eggnog-spiked-with-rum/,"{'quantity': '12', 'unit': '', 'name': 'eggs, separated'}, {'quantity': '3', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '16', 'unit': 'fluid ounces', 'name': 'dark rum (such as Captain Morgan® Spiced Rum)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': 'quart', 'name': 'half-and-half'}","Gather all ingredients.. Mix egg yolks, 2 cups sugar, rum, and nutmeg together in a large bowl. Cover with plastic wrap and refrigerate 8 hours to overnight to ""cure."". Beat egg whites and remaining 1 cup sugar in a bowl using an electric mixer until firm peaks form.. Fold in heavy cream. Fold in the egg yolk mixture. Beat in half-and-half until well combined.. Pour into lidded jars or containers, refrigerate, and shake before serving.","calories: 445, fat: 22g, carbs: 41g, protein: 7g, servings: 16",https://www.allrecipes.com/thmb/FU0HuhLKjR_T2kF9qT7VRqyOoh0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4588090-8b8cb83f76c9410fb064485aaed3c28a.jpg
