name,link,ingredients,steps,nutrition
Eggplant Parmesan,https://www.allrecipes.com/recipe/25321/eggplant-parmesan-ii/,"{'quantity': '3', 'unit': 'large', 'name': 'eggplant, peeled and thinly sliced'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '4', 'unit': 'cups', 'name': 'Italian seasoned bread crumbs'}, {'quantity': '6', 'unit': 'cups', 'name': 'spaghetti sauce, divided'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'mozzarella cheese, shredded and divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}",,"calories: 487, fat: 16g, carbs: 62g, protein: 24g, servings: 10"
Air Fryer Eggplant Parmesan,https://www.allrecipes.com/recipe/270940/air-fryer-eggplant-parmesan/,"{'quantity': '½', 'unit': 'cup', 'name': 'Italian bread crumbs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'medium', 'name': 'eggplant, sliced into 1/2-inch rounds'}, {'quantity': '1', 'unit': 'cup', 'name': 'marinara sauce, or more to taste'}, {'quantity': '8', 'unit': 'slices', 'name': 'mozzarella cheese, or as needed'}","Combine bread crumbs, Parmesan cheese, Italian seasoning, salt, basil, garlic powder, onion powder, and black pepper in a shallow bowl. Place flour in a separate shallow bowl and beaten eggs in a third shallow bowl.. Dip sliced eggplant first in flour, then in beaten eggs, and finally coat with bread crumb mixture. Place coated eggplant on a tray and let rest for 5 minutes.. Preheat an air fryer to 370 degrees F (185 degrees C).. Place breaded eggplant rounds in the air fryer basket, making sure they are not touching; work in batches if necessary. Cook for 8 to 10 minutes, flip each round, and cook until desired crispiness is achieved, 4 to 6 minutes more.. Top each eggplant round with marinara sauce and 1 slice of mozzarella cheese. Place the basket back in the air fryer and cook until cheese has started to melt, 1 to 2 minutes. Repeat with remaining eggplant, if necessary.. Serve hot and enjoy!","calories: 377, fat: 16g, carbs: 36g, protein: 24g, servings: 4"
Baked Eggplant Parmesan,https://www.allrecipes.com/recipe/229369/baked-eggplant-parmesan/,"{'quantity': '2', 'unit': None, 'name': 'eggplant, peeled and cut into ½-inch slices'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'Italian-style bread crumbs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '2', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': '(28 ounce) jar', 'name': 'garlic-and-tomato pasta sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'shredded mozzarella cheese, or as needed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}","Place eggplant slices in a colander; sprinkle both sides of each slice with salt. Allow to sit for at least 3 hours. Wipe excess moisture from eggplant slices with paper towels.. Preheat the oven to 350 degrees F (175 degrees C). Grease a baking sheet.. Mix bread crumbs and 1/4 cup Parmesan cheese together in a shallow bowl. Beat eggs in a separate shallow bowl.. Dip eggplant slices in beaten egg. Lift up so excess egg drips back into the bowl. Press into bread crumbs to coat both sides; arrange coated eggplant slices in a single layer on the prepared baking sheet.. Bake in the preheated oven until lightly browned and crisp, about 5 minutes per side.. Cover the bottom of a 9x13-inch casserole dish with a layer of pasta sauce; top with a layer of eggplant slices. Sprinkle with about 1 tablespoon of the remaining Parmesan cheese and 1/3 of the mozzarella cheese. Repeat layers with remaining ingredients, ending with a cheese layer. Sprinkle with basil.. Bake in the preheated oven until cheese is bubbling and golden brown, about 35 minutes.","calories: 474, fat: 20g, carbs: 44g, protein: 30g, servings: 6"
Quick Eggplant Parmesan,https://www.allrecipes.com/recipe/13943/quick-eggplant-parmesan/,"{'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'dried bread crumbs, seasoned'}, {'quantity': '1', 'unit': '', 'name': 'small eggplant, cut into 3/4 inch thick slices'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil, or as needed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'spaghetti sauce'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}","Beat together egg and water in a small bowl. Place bread crumbs in a shallow dish.. Dip eggplant slices in egg mixture, then press in bread crumbs to coat.. Heat oil in a large skillet over medium-high heat. Add eggplant slices to hot oil, then reduce heat to medium. Cook until golden brown and tender, 3 to 4 minutes per side. Sprinkle mozzarella cheese over eggplant during the last minute of cooking to melt.. While eggplant is cooking, combine spaghetti sauce and red pepper flakes in a microwave-safe measuring cup. Cover with plastic wrap and cook on high until heated through, about 2 minutes.. Top fried eggplant slices with sauce and Parmesan cheese to serve.","calories: 644, fat: 28g, carbs: 64g, protein: 37g, servings: 2"
Stuffed Eggplant Parmesan,https://www.allrecipes.com/recipe/52148/stuffed-eggplant-parmesan/,"{'quantity': '2', 'unit': 'medium', 'name': 'eggplants, cut in half lengthwise and hollowed out to 1/4 inch flesh rim'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': None, 'unit': None, 'name': 'freshly ground black pepper to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped fresh Italian parsley'}, {'quantity': '2', 'unit': 'cups', 'name': 'tomato sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}","Preheat the oven to 325 degrees F (165 degrees C).. Roughly chop eggplant centers.. Heat olive oil in a large skillet over medium-high heat. Cook and stir chopped eggplant, onion, garlic, oregano, and black pepper in hot oil until lightly browned. Spoon mixture into hollowed-out eggplants.. Sprinkle each stuffed eggplant with Parmesan cheese, bread crumbs, and parsley. Place in a shallow baking dish. Cover with tomato sauce and mozzarella cheese.. Bake in the preheated oven until eggplant is fork-tender and cheese is bubbly, about 30 minutes.","calories: 316, fat: 14g, carbs: 36g, protein: 15g, servings: 4"
Eggplant Parmesan - Gluten-Free,https://www.allrecipes.com/recipe/254982/eggplant-parmesan-gluten-free/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'gluten-free bread crumbs (such as Hodgson Mill®)'}, {'quantity': '1', 'unit': '', 'name': 'eggplant, peeled into long strips 1/4-inch thick'}, {'quantity': '2', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '¾', 'unit': 'cup', 'name': 'grated Parmesan cheese, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'spaghetti sauce, divided'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded mozzarella cheese, divided'}, {'quantity': '1', 'unit': 'pinch', 'name': 'dried basil'}","Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper. Pour bread crumbs in a shallow bowl.. Dip eggplant into eggs; coat with gluten-free bread crumbs. Place in a single layer on prepared baking sheet; lightly sprinkle with Parmesan cheese.. Bake in the preheated oven for 6 minutes; remove from oven. Flip eggplant with a spatula; brush with olive oil. Bake until golden brown, about 6 minutes. Remove from oven; reduce heat to 350 degrees F (175 degrees C).. Spread enough spaghetti sauce into a 7x11-inch baking pan to cover the bottom; layer on some of the eggplant slices. Sprinkle mozzarella cheese over eggplant; top with Parmesan cheese. Repeat layering sauce, eggplant, mozzarella cheese, and Parmesan cheese in this order; top with basil.. Bake in the preheated oven until cheese is bubbly and lightly golden, about 25 minutes.","calories: 292, fat: 16g, carbs: 24g, protein: 14g, servings: 8"
Slow Cooker Eggplant Parmesan,https://www.allrecipes.com/recipe/223360/eggplant-parmesan-for-the-slow-cooker/,"{'quantity': '4', 'unit': '', 'name': 'eggplant, peeled and cut into 1/2-inch slices'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'extra-virgin olive oil, or as needed'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'seasoned bread crumbs'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': '(32 ounce) jar', 'name': 'prepared marinara sauce'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'mozzarella cheese, sliced'}","Place eggplant slices in a large bowl in layers, sprinkling each layer with salt. Let stand for 30 minutes to drain. Rinse and dry on paper towels.. Heat olive oil in a large skillet over medium heat. Whisk together eggs, water, and flour in a medium bowl until batter is smooth. Dip eggplant slices in batter and fry in hot oil until golden brown, working in batches of 2 to 3 slices at a time. Drain on a paper towel-lined plate.. Mix together seasoned bread crumbs and Parmesan cheese in a small bowl until well combined. Place 1/4 of the eggplant slices into a slow cooker and top with 1/4 of the bread crumb mixture, 1/4 of the marinara sauce, and 1/4 of the mozzarella cheese. Repeat layers three more times.. Cover and cook on Low until tender and flavors have blended, 4 to 5 hours.","calories: 401, fat: 18g, carbs: 39g, protein: 23g, servings: 8"
Fried Eggplant Parmesan,https://www.allrecipes.com/recipe/261526/fried-eggplant-parmesan/,"{'quantity': '', 'unit': '', 'name': 'canola oil for frying'}, {'quantity': '2', 'unit': 'cups', 'name': 'Italian seasoned bread crumbs'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'grated Parmesan cheese, divided'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': '', 'name': 'eggplant, peeled and sliced'}, {'quantity': '1', 'unit': '(13.5 ounce) jar', 'name': 'roasted garlic flavored spaghetti sauce (such as Ragu® Roasted Garlic Pasta Sauce)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}","Heat canola oil to 350 degrees F (175 degrees C) in a large saucepan over medium-high heat.. Mix bread crumbs, flour, and 1/2 cup Parmesan cheese together in a bowl. Place eggs in a small bowl.. Dip eggplant slices in the eggs, then the bread crumb mixture. Drop into oil a few slices at a time until breading turns golden brown, about 2 1/2 minutes. Drain on paper towels.. Heat spaghetti sauce in a saucepan over medium heat until heated through, about 10 minutes. Stir in remaining 1/4 cup Parmesan cheese and garlic powder.","calories: 488, fat: 13g, carbs: 73g, protein: 19g, servings: 6"
Eggplant Parmesan I,https://www.allrecipes.com/recipe/13981/eggplant-parmesan-i/,"{'quantity': '1', 'unit': '', 'name': 'eggplant, cut into 3/4 inch slices'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '8', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '8', 'unit': 'ounces', 'name': 'ricotta cheese'}, {'quantity': '6', 'unit': 'ounces', 'name': 'shredded mozzarella cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh basil'}, {'quantity': '4', 'unit': 'cups', 'name': 'pasta sauce'}","Sprinkle both sides of the eggplant slices with salt. Place slices in a colander, and place a dish underneath the colander to capture liquid that will sweat out of the eggplant. Allow to sit for 30 minutes.. Preheat oven to 350 degrees F (175 degrees C). In a medium bowl, mix the ricotta, mozzarella cheese and 1/4 cup Parmesan cheese. Mix in egg and basil.. Rinse the eggplant in cold water until all salt is removed. In a large skillet, heat 4 tablespoons olive oil over medium heat. Place one layer of eggplant in the pan, brown each side. Repeat with remaining eggplant slices, using additional oil if necessary.. In a 9x13 inch baking dish, evenly spread 1 1/2 cups of spaghetti sauce. Arrange a single layer of eggplant slices on top of the sauce. Top the eggplant with 1/2 of the cheese mixture. Repeat layering process until all the eggplant and cheese mixture is used. Pour remaining sauce on top of layers, and sprinkle with remaining Parmesan cheese.. Bake 30 to 45 minutes in the preheated oven, until sauce is bubbly.","calories: 369, fat: 25g, carbs: 24g, protein: 14g, servings: 8"
Italian Eggplant Parmigiana,https://www.allrecipes.com/recipe/260024/italian-baked-eggplant-with-parmesan-parmigiana-di-melanzane/,"{'quantity': '3', 'unit': 'pounds', 'name': 'large eggplants, sliced lengthwise into ¼-inch slices'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'coarse salt, or as needed'}, {'quantity': '5', 'unit': 'cups', 'name': 'vegetable oil for frying'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'flour for dredging'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '½', 'unit': '', 'name': 'onion, finely chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, halved'}, {'quantity': '3', 'unit': '(15 ounce) cans', 'name': 'tomato puree'}, {'quantity': '8', 'unit': 'leaves', 'name': 'fresh basil leaves, halved'}, {'quantity': None, 'unit': None, 'name': 'salt to taste'}, {'quantity': '1 ½', 'unit': '(16 ounce) packages', 'name': 'fresh mozzarella cheese, sliced'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'freshly grated Parmesan cheese'}","Place a single layer of eggplant slices in a colander sitting on a plate and sprinkle with coarse salt. Cover with a second layer and sprinkle with salt. Repeat with remaining eggplant. Place a plate on top and add a weight to put pressure on the eggplant slices. Let stand at room temperature for about 1 hour.. Rinse eggplant slices under running cold water to wash off all the salt. Pat dry on all sides with paper towels.. Heat oil in a deep skillet over medium-high heat. Dredge eggplant slices in flour on both sides and add to the hot oil, working in batches. Deep fry eggplant until golden, 2 to 3 minutes per side. Drain on paper towels.. Heat olive oil in a large pot over medium heat; cook garlic and onion until soft and translucent, about 5 minutes. Add tomato puree, 4 basil leaves, and salt. Cook, stirring often, until sauce starts to thicken, about 20 minutes. Remove sauce from heat. Discard garlic and stir in remaining 4 leaves basil.. Preheat oven to 350 degrees F (175 degrees C).. Spread a layer of tomato sauce over the bottom of a baking dish. Cover with a single layer of eggplant slices. Top with more sauce, mozzarella slices, and Parmesan cheese. Continue making layers, a total of 3 to 5, finishing with tomato sauce and grated Parmesan cheese.. Bake in the preheated oven until heated through and bubbling, 30 to 40 minutes. Remove from oven and let stand for 20 minutes before serving.","calories: 592, fat: 39g, carbs: 31g, protein: 35g, servings: 8"
