name,link,ingredients,steps,nutrition,image_url
English Muffins,https://www.allrecipes.com/recipe/6947/english-muffins/,"{'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '6', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'melted shortening'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cornmeal, or more as needed'}","Gather all ingredients.. Warm milk in a small saucepan until it bubbles, then remove from heat. Stir in sugar until dissolved and let cool until lukewarm.. Mix together warm water and yeast in a small bowl; let stand until creamy, about 10 minutes.. Combine milk mixture, yeast mixture, 3 cups flour, and shortening in a large bowl; beat until smooth. Mix in salt and remaining 3 cups flour; knead until a soft dough forms. Place in a greased bowl, cover, and let rise in a warm place until doubled in volume, about 1 hour.. Punch down dough. Roll on a lightly floured surface to about 1/2-inch thick. Cut rounds with a biscuit cutter, drinking glass, or empty tuna can.. Sprinkle cornmeal on waxed paper and place dough rounds on top. Dust tops with cornmeal, cover, and let rise for 30 minutes.. Heat a greased griddle over medium heat.. Cook muffins on griddle until lightly browned, about 10 minutes per side. Split and toast as desired. Enjoy!","calories: 190, fat: 4g, carbs: 34g, protein: 5g, servings: 18",https://cdn.jwplayer.com/v2/media/34NsmdY3/poster.jpg?width=720
Portuguese Muffins - Bolo Levedo,https://www.allrecipes.com/recipe/33121/portuguese-muffins-bolo-levedo/,"{'quantity': '1', 'unit': '(.25 ounce) envelope', 'name': 'active dry yeast'}, {'quantity': '¼', 'unit': 'cup', 'name': 'warm water'}, {'quantity': '6', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'melted butter, cooled'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'milk'}","In a small bowl, dissolve yeast in warm water with a pinch of the sugar. Set aside to ferment, about 10 minutes.. Transfer the yeast mixture to a large bowl, and stir in the sugar, eggs, salt, flour, and milk until the dough comes together. Stir in the melted butter, then turn the dough out onto a floured surface, and knead for about 10 minutes, or until smooth and elastic. Cover dough with a cloth and set aside to rise until doubled in bulk, about 45 minutes.. Divide dough into about 15 to 20 pieces, and shape them into flat round cakes about 1/2 inch thick. Place a cloth on the table and dust it with flour. Arrange the cakes on the cloth, allowing space for rising. Allow them to set for 1 1/2 hours.. Place the cakes in a heavy ungreased skillet, and cook over low heat. Fry the cakes on each side until golden.","calories: 287, fat: 5g, carbs: 53g, protein: 7g, servings: 15",https://www.allrecipes.com/thmb/0pZhUL7mMAxoOSpfoYkxa5salto=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8137087-34b3f6ea64f0422bb274a08913e575a1.jpg
Sourdough English Muffins,https://www.allrecipes.com/recipe/272371/sourdough-english-muffins/,"{'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'sourdough starter'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'unbleached all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornmeal, or as needed'}","Stir milk and sourdough starter together in a large bowl until mostly smooth. Mix in flour. Cover bowl and leave to ferment at room temperature, 8 hours to overnight.. Add sugar, baking soda, and salt to the preferment, stirring just enough to incorporate. Turn dough out onto a lightly floured work surface. Knead for 4 to 5 minutes, adding as much of the 1/2 cup flour as needed to make the dough workable.. Use a rolling pin to flatten dough to an even 1/2-inch thickness. Cut into 4-inch rounds using a clean tuna can or biscuit cutter; keep edges well floured to avoid sticking.. Sprinkle a thin layer of cornmeal over a sheet of waxed paper. Arrange cut-outs over the cornmeal. Sprinkle a thin layer over the dough. Let rest for 45 minutes.. Heat a griddle or cast iron skillet over medium-low heat. Cook English muffins until lightly browned, 5 to 6 minutes. Cool on a wire rack.","calories: 152, fat: 1g, carbs: 30g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/0OSXvYA-b3XDyGhXrzDBRALr-J4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7658501-fb6405f566e54ba8830ddd8d4e3dc16f.jpg
English Muffin Bread,https://www.allrecipes.com/recipe/20159/english-muffin-bread/,"{'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornmeal'}, {'quantity': '6', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '2', 'unit': '(.25 ounce) packages', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking soda'}","Warm the milk and water in a small saucepan until very warm (125 degrees F/50 degrees C). Lightly grease two 8x4 inch loaf pans; sprinkle cornmeal inside pans.. In a large bowl, mix together 3 cups flour, yeast, sugar, salt and soda. Stir milk into the flour mixture; beat well. Stir in the remaining flour, 1 cup at a time, until a stiff batter is formed. Spoon batter into prepared pans. Cover and let rise in a warm place for until nearly doubled in size, about 45 minutes. Meanwhile, preheat oven to 400 degrees F (200 degrees C).. Bake in preheated oven until golden brown, about 25 minutes. Remove from pans immediately and cool.","calories: 168, fat: 1g, carbs: 32g, protein: 6g, servings: 20",https://www.allrecipes.com/thmb/7uIl_NIZ4dqMOBhl-oAcWARZ41A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5379856-63f71f60d89d450fa5af7b6447fcc5f9.jpg
Microwave English Muffin Bread,https://www.allrecipes.com/recipe/22391/microwave-english-muffin-bread/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'yellow cornmeal'}, {'quantity': '¼', 'unit': 'cup', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'cup', 'name': 'lukewarm milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole wheat flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}","Lightly grease a 9x5-inch microwave-safe loaf pan and sprinkle with cornmeal.. Pour water into a large bowl. Add yeast and stir to dissolve. Add milk, sugar, salt, and baking soda, then add whole wheat flour; beat until well combined. Beat in all-purpose flour, 1/2 cup at a time, until a soft dough forms.. Turn dough out onto a lightly floured surface and knead until smooth, about 5 minutes. Shape dough into a loaf and place into the prepared pan.. Cook, uncovered, in a 650-watt microwave oven set at 50% power for 1 minute. Let rest for 10 minutes.. Repeat Step 4 one or two times, until loaf has doubled in size.. Microwave on high until top of loaf is no longer moist, 4 to 6 minutes.. Remove from the microwave and let stand in the pan for 5 minutes. Remove to a wire rack to finish cooling.","calories: 152, fat: 1g, carbs: 31g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/MU786YqTwuh9_cUO0pPI-NXgWfM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4457495-microwave-english-muffin-bread-curlychickadee-4x3-1-088c415a2d754dba9b56b046964b9532.jpg
Easy English Muffins,https://www.allrecipes.com/recipe/245360/easy-english-muffins/,"{'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'active dry yeast'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour, divided, plus more for rolling'}, {'quantity': '¾', 'unit': 'cup', 'name': 'warm water, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': '', 'name': 'egg white'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornmeal, or as needed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'clarified butter (ghee)'}","Place 1/4 cup flour, yeast, and 1/2 cup water in a mixing bowl. Whisk together and set aside for about 10 minutes to see if thin layer of foam develops to ensure yeast is active. Drizzle in vegetable oil; add salt, egg white, remaining 1 ¾ cup flour, and remaining 1/4 cup warm water. Mix together until dough is very wet and sticky. Cover. Set in a warm spot and let rise until doubled, about 2 hours.. Pull dough gently from sides of bowl, stirring slightly, and turn out onto a well-floured surface. Work in just enough flour until dough is easily handled and can be cut into pieces, about 1 minute. Cut dough into 6 equal portions. Form each into a seamless ball of dough, adding a pinch of flour to keep them from sticking. Flatten to make thick disks. Transfer dough disks onto a lined baking sheet sprinkled generously with cornmeal. Let rise until doubled, about 1 to 1 ½ hours.. Add clarified butter to skillet over medium heat. Carefully transfer muffin disks to skillet. Cook in batches to avoid overcrowding. Brown on one side, 5 or 6 minutes. Turn, and brown the other side, 5 or 6 minutes. Continue turning to get muffins evenly browned and cooked through, 7 or 8 minutes total per side. Transfer to a cooking rack and cool completely (this is key as you can't split the muffins unless they are cooled).. Split cooled muffins with a fork, inserting tines all the way around edges so the two sides can be pulled apart. Toast and serve with jam.","calories: 256, fat: 11g, carbs: 35g, protein: 6g, servings: 6",https://cdn.jwplayer.com/v2/media/TXbLOxto/poster.jpg?width=720
Grandma's English Muffin Bread,https://www.allrecipes.com/recipe/6903/grandmas-english-muffin-bread/,"{'quantity': '1', 'unit': 'cup', 'name': 'warm milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '2 ¼', 'unit': 'teaspoons', 'name': 'active dry yeast'}","Place milk, water, flour, sugar, salt, baking powder, and yeast into a bread machine in the order listed, or follow the order recommended by the manufacturer if different. Run Dough cycle. Remove dough from the machine after the cycle is done, about 90 minutes.. Shape 2/3 of the dough into a loaf; place into a 9x5-inch nonstick loaf pan. Shape remaining dough into a smaller loaf; place into a 7x3-inch nonstick loaf pan. Cover and let rise until doubled in volume, about 30 minutes.. Meanwhile, preheat the oven to 400 degrees F (200 degrees C).. Bake loaves in the preheated oven until golden brown on top, about 15 minutes. Carefully tip loaves out of the pans onto a work surface and gently tap bottoms. If they sound hollow, bread is done.","calories: 84, fat: 1g, carbs: 17g, protein: 3g, servings: 18",https://www.allrecipes.com/thmb/elPViKqBW5yLJxqQnwoDJkXGqY4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/343742-068a9770ba29456ca4410ead073ff398.jpg
Homemade English Muffins,https://www.allrecipes.com/recipe/277886/homemade-english-muffins/,"{'quantity': '21', 'unit': 'ounces', 'name': '(4 1/2 cups) white bread flour'}, {'quantity': '2 ¼', 'unit': 'teaspoons', 'name': 'instant dry yeast'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '14', 'unit': 'ounces', 'name': 'lukewarm whole milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature, slightly beaten'}, {'quantity': '¼', 'unit': 'cup', 'name': 'semolina, or as needed'}","Place flour in a large mixing bowl. Sprinkle yeast on one side of flour and salt on other side. Add milk, sugar, butter, and egg; stir to make a soft dough.. Turn dough out onto a lightly floured surface; knead until soft, smooth, and stretchy, about 10 minutes.. Place dough into a large oiled bowl. Cover and let rise in a warm place until doubled in volume, about 1 hour.. Deflate dough; divide into 16 pieces. Press each dough piece into English muffin rings; sprinkle both sides with semolina. Let rest 30 minutes.. Preheat a griddle to 400 degrees F (200 degrees C), or a heavy skillet over low heat. Cook muffins on the preheated griddle or skillet until an instant-read thermometer inserted into centers reaches 200 F (93 degrees C), 7 to 10 minutes per side.","calories: 182, fat: 3g, carbs: 32g, protein: 6g, servings: 16",https://www.allrecipes.com/thmb/G8rmoIk4QAeeKdkHpGEFMDvxdoU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4951279-f7b78b049051442da54a620e69f5ef34.jpg
No-Knead English Muffin Loaves,https://www.allrecipes.com/recipe/21149/no-knead-english-muffin-loaves/,"{'quantity': '2', 'unit': '(.25 ounce) packages', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '2', 'unit': 'cups', 'name': 'warm milk (110 degrees F/45 degrees C)'}, {'quantity': '6', 'unit': 'cups', 'name': 'bread flour, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'yellow cornmeal'}","In a small bowl, dissolve yeast and sugar in warm water. Let stand until creamy, about 10 minutes.. In a large bowl, combine the yeast mixture with warm milk, 3 cups flour, salt and baking soda; stir well to combine. Stir in the remaining flour, 1 cup at a time until a stiff batter is formed. Spoon batter into two lightly greased 9x5 inch loaf pans that have each been sprinkled with 1 tablespoon cornmeal. Cover and let rise in a warm place until doubled in size, about 45 minutes.. Preheat an oven to 400 degrees F (200 degrees C).. Bake in preheated oven for about 25 to 30 minutes or until the top is golden brown and the bottom of the loaf sounds hollow when tapped. Remove from pans immediately and place on wire racks to cool.","calories: 125, fat: 1g, carbs: 24g, protein: 5g, servings: 24",https://www.allrecipes.com/thmb/nyDLxYVTuF7R5XlmLFUcHW8mvNA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/800101-3a9bba83e5b14be99899eaeb43176ab5.jpg
How to Make Homemade Honey Whole Wheat English Muffins,https://www.allrecipes.com/article/how-make-whole-wheat-english-muffins/,,,,https://www.allrecipes.com/thmb/HUb2cqk5bqUq53nGDeI_uOpaRPY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/EnglishMuffin-THUMB-rev201-3b159e0c1e194948a225d490172e2846.jpg
