name,link,ingredients,steps,nutrition,image_url
Louisiana Crawfish Étouffée,https://www.allrecipes.com/recipe/76155/louisiana-crawfish-etouffee/,"{'quantity': '3', 'unit': 'cups', 'name': 'long grain white rice'}, {'quantity': '7', 'unit': 'cups', 'name': 'water, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'canned tomato sauce'}, {'quantity': '1', 'unit': 'pound', 'name': 'crawfish tails'}, {'quantity': '6', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'Cajun seasoning, or to taste'}",,"calories: 636, fat: 25g, carbs: 83g, protein: 19g, servings: 6",https://cdn.jwplayer.com/v2/media/bQu1N6HI/thumbnails/xDOl0IMb.jpg
Chef John's Shrimp Étouffée,https://www.allrecipes.com/recipe/236320/chef-johns-shrimp-etouffee/,"{'quantity': '¾', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground thyme'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'pounds', 'name': 'shrimp, peeled and deveined'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'chicken stock, or as needed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'diced green bell pepper'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'thinly sliced celery'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour, or as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced tomatoes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'dash', 'name': 'hot sauce, or more to taste'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced green onions'}, {'quantity': '', 'unit': '', 'name': 'cayenne pepper for garnish'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked rice, or to taste'}",,"calories: 424, fat: 15g, carbs: 30g, protein: 41g, servings: 4",https://cdn.jwplayer.com/v2/media/OmeYwPmT/poster.jpg?width=720
Chicken Etouffee,https://www.allrecipes.com/recipe/231769/chicken-etouffee/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cayenne pepper'}, {'quantity': '¼', 'unit': 'cup unsalted', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken breasts, cubed'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, chopped, or more to taste'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'tablespoons unsalted', 'name': 'butter, or more to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'water, or as needed to cover'}, {'quantity': '4', 'unit': '', 'name': 'bay leaves'}, {'quantity': '3', 'unit': 'cups', 'name': 'cooked rice'}","Whisk flour, salt, black pepper, and cayenne pepper together in a bowl; add cubed chicken and dredge to coat. Reserve remaining seasoned flour.. Heat 1/4 cup butter and olive oil in a large skillet; add chicken and cook until golden brown and no longer pink inside, about 10 minutes. Transfer to a bowl, leaving butter mixture in skillet. Reduce heat to low.. Stir 1 tablespoon reserved seasoned flour into pan drippings; cook and stir until mixture forms a paste and dark caramel color, 10 to 15 minutes. Watch carefully and stir constantly to avoid burning. Add celery, bell pepper, onion, garlic, and remaining 2 tablespoons butter to flour paste; toss to coat with butter and browned flour mixture. Cook and stir until vegetables soft, about 10 minutes.. Add water to cover vegetables; add bay leaves and bring to a simmer. Return chicken to skillet; cook until flavors blended, about 10 minutes more. Serve with cooked rice.","calories: 480, fat: 16g, carbs: 60g, protein: 22g, servings: 6",https://www.allrecipes.com/thmb/MIfQh5UHxtMP_6cP7sG1jd6gF18=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8237315-85e21ceac11c40ada160f2e8809a3355.jpg
Cajun Crawfish and Shrimp Étouffée,https://www.allrecipes.com/recipe/70483/cajun-crawfish-and-shrimp-etouffee/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'small', 'name': 'green bell pepper, diced'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '2', 'unit': 'medium', 'name': 'fresh tomatoes, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Louisiana-style hot sauce'}, {'quantity': '⅓', 'unit': 'teaspoon', 'name': 'ground cayenne pepper (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'seafood seasoning'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'fish stock'}, {'quantity': '1', 'unit': 'pound', 'name': 'crawfish tails'}, {'quantity': '1', 'unit': 'pound', 'name': 'medium shrimp, peeled and deveined'}","Heat the oil in a heavy skillet over medium heat. Gradually stir in flour, and stir constantly until the mixture turns 'peanut butter' brown or darker, at least 15 or 20 minutes. I use a large fork with the flat side to the bottom of the pan in a side to side motion. This is your base sauce or 'roux'. It is very important to stir this constantly. If by chance the roux burns, discard and start over.. Once the roux is browned, add the onions, garlic, celery and bell pepper to the skillet, and saute for about 5 minutes to soften. Stir in the chopped tomatoes and fish stock, and season with the seafood seasoning. Reduce heat to low, and simmer for about 20 minutes, stirring occasionally.. Season the sauce with hot pepper sauce and cayenne pepper (if using), and add the crawfish and shrimp. Cook for about 10 minutes, or until the shrimp are opaque.","calories: 264, fat: 14g, carbs: 9g, protein: 25g, servings: 6",https://cdn.jwplayer.com/v2/media/5dOSwifu/poster.jpg?width=720
Crawfish Etouffee IV,https://www.allrecipes.com/recipe/24508/crawfish-etouffee-iv/,"{'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'margarine'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced green bell pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'pound', 'name': 'peeled crawfish'}, {'quantity': '3', 'unit': '(10.75 ounce) cans', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'diced tomatoes with green chile peppers'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried parsley'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","In an 8 quart stock pot over medium heat, add vegetable oil and margarine. Saute onions, green pepper and garlic until onions are translucent.. Add crawfish to the onion mixture, and cook for 5 minutes. Add a little water to keep crawfish moist while cooking.. Stir in soup and diced tomatoes. Bring to a boil and simmer for 30 minutes. Sprinkle in parsley after about 10 minutes. Salt and pepper to taste while simmering. Water can be added to thin as desired.","calories: 501, fat: 43g, carbs: 16g, protein: 14g, servings: 6",https://www.allrecipes.com/thmb/Y6ubgGYEtgsxp88Xjykix-aSTo4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/18212-8825eda4f760427b8468e5d26c2782f4.jpg
Go-To Crawfish Etouffee,https://www.allrecipes.com/recipe/217163/go-to-crawfish-etouffee/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed golden mushroom soup'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Cajun seasoning, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'pounds', 'name': 'crawfish tail meat'}","Melt the butter in a large, heavy skillet over medium heat, and stir in the onion, green bell pepper, green onions, and celery; cook the vegetables, stirring frequently, until the onion is translucent and the vegetables have begun to soften, about 10 minutes. Stir in the golden mushroom soup, parsley, Cajun seasoning, salt, and black pepper, and bring the sauce to a boil.. Gently mix in the crawfish tail meat, and simmer until the crawfish tails are opaque, 10 to 15 minutes.","calories: 236, fat: 14g, carbs: 9g, protein: 19g, servings: 8",https://www.allrecipes.com/thmb/wMjQ52Vpyhj3Qgexf8E_6P7593s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/652290-7cc447f558534346b3bd68df70c0eabd.jpg
Heather's Crawfish Etouffee,https://www.allrecipes.com/recipe/139196/heathers-crawfish-etouffee/,"{'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'long-grain white rice'}, {'quantity': '½', 'unit': 'cup', 'name': 'margarine'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'green bell pepper, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '½', 'unit': 'cup', 'name': 'water, or as needed'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}, {'quantity': None, 'unit': None, 'name': 'cayenne pepper to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'peeled crawfish tails'}","Combine 4 cups water and rice in a saucepan; bring to a boil. Cover; reduce heat to low. Simmer until rice is tender and water has been absorbed, 15 to 20 minutes.. While rice is cooking, melt margarine in a large skillet over medium heat. Add onion and bell pepper; cook and stir until tender, 10 to 15 minutes. Stir in garlic; cook 1 minute.. Add cream of mushroom soup and 1/2 cup water to skillet; stir to combine. Season with salt, black pepper, and cayenne pepper; stir in crawfish tails. Cover and reduce heat to low; simmer for 15 to 20 minutes, stirring occasionally. Add water to thin sauce as needed. Serve over rice.","calories: 703, fat: 29g, carbs: 85g, protein: 24g, servings: 4",https://www.allrecipes.com/thmb/Y7EjnLiQGG4TU6R_rB0PMCDgyu8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1117926-1655db5c8b8f4d64a5b25708892267a2.jpg
Crawfish Étouffée Like Maw-Maw Used to Make,https://www.allrecipes.com/recipe/22732/crawfish-etouffee-like-maw-maw-used-to-make/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': '', 'name': 'onions, minced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, diced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, diced'}, {'quantity': '16', 'unit': 'ounces', 'name': 'cleaned crawfish tails'}, {'quantity': '1', 'unit': 'cup', 'name': 'water, or as needed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'hot sauce'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","In a stockpot, melt butter over medium heat until bubbling. Add flour to make a roux, stirring constantly to prevent or remove any lumps. Cook the roux for 5 minutes. Do not brown.. Stir in onions and bell peppers; sauté for 10 minutes, or until onions are translucent. Add garlic and sauté for 3 minutes. Stir in crawfish tails. Slowly pour in enough water to reach a consistency that's a little thicker than soup. Season with cumin, Worcestershire sauce, hot sauce, salt, and pepper. Reduce the heat and simmer for 10 minutes.","calories: 535, fat: 48g, carbs: 12g, protein: 18g, servings: 4",https://www.allrecipes.com/thmb/SVX7Nc5cN_LN2vCmXlt5mRvw-Og=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/17672-d9d0a627aeab4c81a11194a78a3357c3.jpg
Catfish Etouffee,https://www.allrecipes.com/recipe/45970/catfish-etouffee/,"{'quantity': '1', 'unit': 'cup', 'name': 'enriched white rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'brown roux'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'cups', 'name': 'beef broth'}, {'quantity': '1', 'unit': 'pound', 'name': 'tomatoes, coarsely chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'pounds', 'name': 'catfish fillets, cut into 1 inch pieces'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '', 'unit': '', 'name': 'red pepper flakes (to taste)'}","Combine rice and water in a small saucepan. Bring to a boil, reduce heat to low, and simmer for 15 to 20 minutes, or until done.. In a large saucepan, warm roux over medium heat. Stir in onion, green bell pepper, and garlic; cook for about 5 minutes, or until soft. Stir in broth and tomatoes. Season with lemon juice, Worcestershire sauce, bay leaf, black pepper, thyme, and salt. Reduce heat to low, cover, and simmer for 30 minutes.. Stir in catfish and parsley. Simmer, partially covered, for 10 minutes, or until fish flakes easily with a fork.. Stir in 2 cups cooked white rice, and season with red pepper flakes. Serve.","calories: 306, fat: 10g, carbs: 31g, protein: 22g, servings: 8",https://www.allrecipes.com/thmb/TqycRjuBlnVwgdK0TgUjQCWS7yE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/856584-ad7a49054ad34379b7c3845c64886a36.jpg
Microwave Shrimp Étouffée,https://www.allrecipes.com/recipe/17999/shrimp-etouffee-ii/,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '4', 'unit': 'cloves', 'name': 'minced garlic'}, {'quantity': '½', 'unit': 'cup', 'name': 'celery, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': 'pound', 'name': 'cleaned shrimp'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'hot pepper sauce to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}","In a 2-quart microwave safe dish, combine butter, onion, green onion, bell pepper, garlic and celery. Heat on High settings for 8 to 9 minutes.. Stir in parsley, tomato paste, soup, shrimp, salt, hot pepper sauce and cayenne. Heat on High setting for 5 minutes. Stir and cook for another 5 minutes until mixture thickens. Serve over white rice.","calories: 195, fat: 11g, carbs: 9g, protein: 15g, servings: 6",https://www.allrecipes.com/thmb/bgAdwKqJT1FXD4LsE8TLQmIctXo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/478218-23fce3bf518d47769b9f374c43a9490a.jpg
