name,link,ingredients,steps,nutrition,image_url
Sheet Pan Steak and Shrimp Fajitas,https://www.allrecipes.com/sheet-pan-steak-and-shrimp-fajitas-recipe-8305215,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cayenne pepper, or to taste'}, {'quantity': '1', 'unit': None, 'name': 'green bell pepper, thinly sliced'}, {'quantity': '1', 'unit': None, 'name': 'red bell pepper, thinly sliced'}, {'quantity': '1', 'unit': None, 'name': 'onion, thinly sliced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '1', 'unit': 'pound', 'name': 'sirloin steak, sliced 1/4-inch thick across the grain'}, {'quantity': '16', 'unit': 'medium', 'name': 'shrimp, peeled and deveined'}, {'quantity': '1', 'unit': None, 'name': 'lime, halved'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'fresh cilantro sprigs'}, {'quantity': '8', 'unit': '(8-inch)', 'name': 'flour tortillas'}","Preheat the oven to 425 degrees F (220 degrees C). Line 2 sheet pans with parchment paper or aluminum foil.. Combine chili powder, smoked paprika, oregano, salt, cumin, garlic powder, and cayenne in a small bowl.. In a large bowl, combine green bell pepper, red bell pepper, and onion with 1 1/2 tablespoons olive oil and 1/2 of dry seasoning mixture. Toss until evenly coated with seasoning mixture and spread out in a single layer on one of the prepared pans.. Meanwhile, in the same large bowl, toss steak and shrimp with remaining 1 1/2 tablespoons olive oil; add remaining seasoning and toss again. Place steak on one side of second prepared pan, with shrimp on the other side of pan.. Place steak and shrimp on a rack below vegetables and roast both pans for 10 minutes. After 10 minutes, swap rack positions of the pans, bringing the lower pan up, and placing the other pan on the rack below. Continue roasting until shrimp is pink and tightly curled, steak is cooked to medium, and vegetables are tender, about 5 minutes more. An instant read thermometer inserted in center of steak should read 140 degrees F (60 degrees C) . If steak or vegetables require more time, remove shrimp to a plate and keep warm, while other ingredients continue cooking. Squeeze juice of half a lime over contents of each sheet pan.. To serve: Place a few steak strips, onion and pepper strips, 2 shrimp, and some cilantro on each tortilla. Roll up tortillas and contents jelly-roll fashion, and enjoy!","calories: 1074, fat: 41g, carbs: 121g, protein: 54g, servings: 4",https://www.allrecipes.com/thmb/h81xtJIp44mEvE0JZIlw_BVQwzI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8305215_Sheet-Pan-Steak-and-Shrimp-Fajitas_Bibi_4x3-c329f2e4d14b48728cd79a21fcafc534.jpg
Skillet Shrimp Fajitas with Cilantro-Lime Cream,https://www.allrecipes.com/skillet-shrimp-fajitas-with-cilantro-lime-cream-recipe-7561267,"{'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cilantro'}, {'quantity': '2', 'unit': None, 'name': 'limes, zested and juiced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chili powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'oregano'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '2', 'unit': 'pounds', 'name': 'shrimp, peeled and deveined'}, {'quantity': '1', 'unit': None, 'name': 'onion, thinly sliced'}, {'quantity': '1', 'unit': None, 'name': 'green pepper, sliced vertically'}, {'quantity': '1', 'unit': None, 'name': 'red pepper, sliced vertically'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'avocado oil, divided'}, {'quantity': '1', 'unit': None, 'name': 'lime, juiced, divided'}, {'quantity': '10', 'unit': None, 'name': 'flour tortillas, warmed'}, {'quantity': '1', 'unit': None, 'name': 'avocado - peeled, pitted, and sliced (optional)'}, {'quantity': '1', 'unit': 'cup', 'name': 'pico de gallo, (optional)'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh cilantro, chopped (optional)'}","For cilantro-lime cream, place sour cream in a small bowl with a lid. Add cilantro, zest and juice of 2 limes, garlic, and 1/2 teaspoon salt. Stir together well, cover, and refrigerate until ready to serve.. For fajita seasoning, combine chili powder, cayenne pepper, cumin, paprika, oregano, salt and pepper in a small bowl; set aside.. In a large bowl or resealable plastic bag, add 2 tablespoons oil, half of lime juice, and fajita seasoning. Stir together or squeeze the bag to combine. Add shrimp and mix well to coat shrimp; set aside.. Heat remaining 2 tablespoons oil in a large skillet over medium heat. Stir onion and peppers into the hot oil, and cook, stirring frequently, until some color begins to develop on the vegetables, 3 to 5 minutes. Remove vegetables from the skillet and set aside.. Add shrimp to the same skillet and cook for 2 to 3 minutes. Return cooked vegetables to the skillet. Cook and stir until shrimp is opaque and pink, 2 to 3 minutes. Squeeze remaining lime juice over the skillet contents.. Fill warm tortillas with shrimp, peppers, and onions, and garnish with avocado slices, pico de gallo, and additional cilantro, if desired. Drizzle with cilantro-lime cream.","calories: 1167, fat: 48g, carbs: 125g, protein: 62g, servings: 5",https://www.allrecipes.com/thmb/jqdvs23LlktDdA4Cc3oVWrZAYA8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7561267_Skillet-Shrimp-Fajitas-wtih-Cilantro-Lime-Cream_Bibi_4x3-440fc9c9a2c441bf875e094df5b34e83.jpg
12 Best Side Dishes for Fajitas,https://www.allrecipes.com/article/side-dishes-fajitas/,,,,https://www.allrecipes.com/thmb/7njnp6KQZ01kbsTdd83HH8ZgZIo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/256657-4f1b5a9b5bf4493a97e4013a8d3247e7.jpg
Chicken Fajita Skillet Casserole,https://www.allrecipes.com/chicken-fajita-skillet-casserole-recipe-8701199,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': None, 'name': 'poblano peppers'}, {'quantity': '1', 'unit': None, 'name': 'orange bell pepper'}, {'quantity': '1', 'unit': None, 'name': 'white onion'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'chili powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'diced tomatoes and green chiles'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'rotisserie chicken'}, {'quantity': '1', 'unit': '(15 ounce)', 'name': 'can pinto beans, drained and rinsed'}, {'quantity': '2', 'unit': 'cups', 'name': 'sharp Cheddar cheese'}, {'quantity': '3', 'unit': 'cups', 'name': 'tortilla chips'}, {'quantity': None, 'unit': None, 'name': 'lettuce'}","Preheat the oven to 375 degrees F (190 degrees C).. Heat oil in a large, oven proof skillet over medium-high heat. Add peppers and onions and cook, undisturbed, 5 minutes or until browned. Add chili powder, cumin, garlic powder, salt and pepper and continue cooking until vegetables are soft, stirring often, 1 to 2  minutes. Remove vegetables from the pan and set aside.. Add butter to the pan and melt over moderate heat. Whisk in flour and cook for 1 minute, stirring constantly. Add in tomatoes and broth and cook until thick and creamy, stirring constantly, about 3 minutes. Stir in chicken and beans. Top chicken mixture with 1 cup cheese. Spread reserved peppers and onions evenly over the cheese and top with chips and remaining cheese.. Bake in the preheated oven until bubbly and lightly browned on top, about 15  minutes. Serve with desired toppings.","calories: 775, fat: 49g, carbs: 37g, protein: 51g, servings: 6",https://www.allrecipes.com/thmb/V3q6sgxT3nDIMdxwWsXs2N_6QMk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8701199_Chicken-Fajita-Skillet-Casserole_Dotdash-Meredith-Food-Studios_4x3-983455ff8e114960bfd8a185b48d32c4.jpg
Chicken Fajita Tacos,https://www.allrecipes.com/chicken-fajita-tacos-recipe-8384320,"{'quantity': '1/4', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'taco seasoning (see Note)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless skinless chicken breasts, cut into strips'}, {'quantity': '1/2', 'unit': None, 'name': 'onion, cut into strips'}, {'quantity': '1/2', 'unit': None, 'name': 'green bell pepper, seeded and cut into strips'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper, seeded and cut into strips'}, {'quantity': '8', 'unit': '6 inch', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': None, 'name': 'avocado, pitted and sliced, or as needed'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sour cream, or as needed'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'cotija cheese, or as needed'}","Combine orange juice, taco seasoning, and vegetable oil in a large resealable bag. Add chicken, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator overnight.. Heat a cast iron skillet over medium high heat.. Cook chicken in the hot skillet for 5 minutes. Add onion, green bell pepper, and red bell pepper. Cook until peppers are crisp tender, 4 to 5 minutes. An instant-read thermometer inserted into center of chicken strips should read 165 degrees F (74 degrees C).. Heat tortillas until soft and pliable. Top with chicken fajita mixture, avocado, sour cream, and cotija cheese. Serve immediately.","calories: 759, fat: 40g, carbs: 53g, protein: 47g, servings: 4",https://www.allrecipes.com/thmb/PbYtwaW0dU5oebmWkA31mM5b4M0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8384320_Chicken-Fajita-Tacos-081d5d65707c497e9a6fb8f9b01b4f04.jpg
Sheet Pan Chicken Fajitas,https://www.allrecipes.com/recipe/255038/sheet-pan-chicken-fajitas/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cayenne pepper'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'chicken tenders, quartered'}, {'quantity': '4', 'unit': 'cups', 'name': 'sliced bell peppers, any color'}, {'quantity': '1', 'unit': '', 'name': 'onion, sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '½', 'unit': '', 'name': 'lime, juiced'}","Gather all ingredients.. Combine oil, chili powder, oregano, garlic powder, onion powder, cumin, salt, black pepper, and cayenne pepper in a large resealable plastic bag. Add chicken tenders, bell peppers, and onion; seal the bag and shake to mix. Marinate in the refrigerator, 30 minutes to 2 hours.. Preheat the oven to 400 degrees F (200 degrees C). Line a rimmed sheet pan with aluminum foil.. Spread chicken mixture onto the prepared pan.. Roast in the preheated oven, stirring halfway, until chicken is no longer pink and bell peppers are softened, 15 to 20 minutes. An instant-read thermometer inserted into the center of chicken should read at least 165 degrees F (74 degrees C).. Sprinkle cilantro and pour lime juice over chicken mixture; stir to distribute.","calories: 200, fat: 11g, carbs: 6g, protein: 19g, servings: 8",https://cdn.jwplayer.com/v2/media/BlIyESID/poster.jpg?width=720
Beef Fajitas,https://www.allrecipes.com/recipe/231448/beef-fajitas/,"{'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'lime, juiced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'finely chopped onion'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, finely chopped'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': '(8 ounce)', 'name': 'boneless New York strip steaks, cut into thin strips'}, {'quantity': '8', 'unit': '(6 inch)', 'name': 'white corn tortillas, or more as needed'}, {'quantity': '1', 'unit': '(8 ounce) jar', 'name': 'salsa'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded Mexican cheese blend'}","Whisk oil, lime juice, cilantro, onion, garlic, cumin, salt, and pepper together in a bowl; pour into a resealable plastic bag. Add steak strips, coat with marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for 4 to 8 hours.. When ready to cook, heat a large skillet over medium heat. Add steak and marinade; cook and stir until steak is browned and cooked through and all liquid is absorbed, 15 to 20 minutes.. Serve steak on tortillas with salsa and Mexican cheese.","calories: 699, fat: 42g, carbs: 31g, protein: 50g, servings: 4",https://www.allrecipes.com/thmb/o8BqtohDFO2zz0PI1cwV7ZCnwoE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3125031-f4279ae3187446f5a72d5f41b1191d87.jpg
Slow Cooker Steak Fajitas,https://www.allrecipes.com/recipe/273820/slow-cooker-steak-fajitas/,"{'quantity': '1', 'unit': '(1 1/2 pound)', 'name': 'beef flank steak, cut into six equal portions'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'chopped tomatoes'}, {'quantity': '1', 'unit': '', 'name': 'onion, sliced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, sliced into strips'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, sliced into strips'}, {'quantity': '1', 'unit': None, 'name': 'jalapeño pepper, seeded and chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '6', 'unit': 'large', 'name': 'flour tortillas, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Mexican cheese blend'}","Place flank steak pieces into a slow cooker. Stir in tomatoes, onion, bell peppers, jalapeño pepper, garlic, chili powder, cumin, coriander, and salt.. Cook on Low for 8 to 10 hours or High for 4 to 6 hours, until steak is fall-apart tender.. Remove steak from the slow cooker and shred. Return to the slow cooker and stir into the sauce.. Serve hot with tortillas and shredded cheese, allowing everyone to make their own fajita.","calories: 598, fat: 23g, carbs: 69g, protein: 28g, servings: 6",https://www.allrecipes.com/thmb/E27ix7as9Owhkb5bhnKzEBOrVMU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7088033-bfbc39c38a5145559ea89501e7e102f8.jpg
Homemade Chicken Fajitas,https://www.allrecipes.com/recipe/281447/homemade-chicken-fajitas/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'skinless, boneless chicken breast, cut into strips'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'olive oil, or more as needed'}, {'quantity': '2', 'unit': '', 'name': 'bell peppers, sliced'}, {'quantity': '1', 'unit': '', 'name': 'onion, thinly sliced'}, {'quantity': '8', 'unit': '(6 inch)', 'name': 'flour tortillas'}","Whisk chili powder, paprika, salt, pepper, cayenne pepper, and garlic powder for fajita seasoning together in a small bowl.. Trim chicken of any excess fat and place in a large, lidded bowl. Add 2 tablespoons olive oil and sprinkle with about 3/4 of the fajita seasoning. Toss, adding more oil if necessary, until coated. Poke chicken with a knife to allow penetration of seasoning and oil. Place the lid on the bowl and shake until chicken is thoroughly coated. Marinate in the refrigerator, shaking every couple of hours, for 4 to 6 hours.. Remove the marinating bowl from the refrigerator and let sit on the counter until chicken is room temperature, about 1 hour.. Preheat an outdoor grill for medium heat and lightly oil the grate. Preheat the oven to 350 degrees F (175 degrees C). Make 2 stacks of 4 tortillas, and wrap each one in aluminum foil.. Heat remaining 2 tablespoons olive oil in a large skillet over medium heat. Add peppers and onion. Stir in remaining fajita seasoning and cook, stirring occasionally, until vegetables are soft, 8 to 10 minutes.. While vegetables are cooking, place tortillas in the oven to warm. At the same time, grill chicken, turning halfway through, until no longer pink in the center and the juices run clear, 2 to 3 minutes per side.. To assemble fajitas, fill warmed tortillas with chicken, peppers, and onions.","calories: 560, fat: 23g, carbs: 44g, protein: 42g, servings: 4",https://www.allrecipes.com/thmb/EBZdITtmJ2ubyBCcojht27fej_Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9190832-8680b9bffe344d9a9e774e241e0ed894.jpg
Venison Fajitas,https://www.allrecipes.com/recipe/93747/venison-fajitas/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'seasoned salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'venison, cut into 2 inch strips'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'red bell pepper, cut into 2 inch strips'}, {'quantity': '1', 'unit': 'medium', 'name': 'yellow bell pepper, cut into 2 inch strips'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, cut into 1/2-inch wedges'}, {'quantity': '12', 'unit': '', 'name': 'fajita size flour tortillas, warmed'}","Combine seasoned salt, garlic salt, black pepper, cayenne pepper, and oregano to make the fajita seasoning. Sprinkle two teaspoons of the seasoning over the sliced venison. Mix well, cover, and refrigerate for 30 minutes.. Heat 2 tablespoons of oil in a heavy frying pan. Cook bell peppers and onion until starting to soften, then remove. Pour in remaining oil, then cook venison until browned. Return pepper mixture to the pan, season with remaining fajita seasoning, and reheat. Served with the warmed tortillas.","calories: 688, fat: 23g, carbs: 79g, protein: 39g, servings: 6",https://www.allrecipes.com/thmb/keQ0UISDWWap6AXjBphyIs8Ssg4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2119344-venison-fajitas-DIZ9829-4x3-1-35e115bbd9394263b093c9d611d8b922.jpg
