name,link,ingredients,steps,nutrition
30 Ways to Spoil Dad With Chef John's Best Father's Day Recipes,https://www.allrecipes.com/gallery/chef-johns-best-fathers-day-recipes/,,,
"A Delicious, Easy Father's Day Menu He's Sure to Love",https://www.allrecipes.com/gallery/fathers-day-menu/,,,
Our 15 Most Beloved Recipes from Dad's Kitchen,https://www.allrecipes.com/gallery/most-popular-dad-recipes/,,,
18 Father's Day Cakes Your Papa Will Surely Love,https://www.allrecipes.com/gallery/fathers-day-cake/,,,
My Dad’s 4-Ingredient Salmon Recipe is the Meal I Always Beg For,https://www.allrecipes.com/dads-4-ingredient-salmon-dinner-8663542,,,
Chef John's Sausage and Egg Pizza,https://www.allrecipes.com/recipe/234535/chef-johns-sausage-and-egg-pizza/,"{'quantity': '6', 'unit': 'ounces', 'name': 'hot Italian sausage, sliced'}, {'quantity': '12', 'unit': 'ounces', 'name': 'unbaked pizza dough, at room temperature'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornmeal, or as needed'}, {'quantity': '¾', 'unit': 'cup', 'name': 'pizza sauce'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes, or to taste (Optional)'}, {'quantity': '6', 'unit': 'ounces', 'name': 'shredded Fontina cheese, divided'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '', 'unit': '', 'name': 'freshly ground black pepper to taste'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'baby arugula leaves, washed and dried'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}","Preheat the oven to 475 degrees F (245 degrees C).. Cook and stir sliced Italian sausage in a skillet over medium heat until some of the fat has rendered out and sausage is no longer pink inside, about 5 minutes. Transfer sausage slices to a paper towel-lined plate to drain.. Roll pizza dough out to about 12 inches in diameter and about 3/8-inch thick; sprinkle with cornmeal. Flip dough so the cornmeal side is down and transfer to a perforated 14-inch pizza pan.. Spread pizza sauce in a thin layer on top of the dough. Sprinkle with red pepper flakes and about 3/4 the Fontina cheese. Spread sausage slices onto the pizza, leaving 4 spaces about 3 inches across on the pizza for eggs. Sprinkle remaining Fontina cheese onto sausage slices.. Bake in the preheated oven until dough is hot, edges are starting to brown, and cheese has started to melt, 10 to 12 minutes.. Crack each egg into a separate ramekin or small bowl. Remove pizza from oven and use a spatula to press the spaces between sausage slices flat. Gently pour an egg onto each space. Grind a little black pepper onto each egg yolk. Lightly sprinkle Parmigiano-Reggiano cheese over entire pizza.. Return to oven and bake until eggs are set but yolks are still liquid, about 5 minutes, checking frequently to avoid overcooking eggs. Toss arugula leaves with olive oil in a bowl until coated. Remove pizza from oven, poke egg yolks with a fork, spread them around a little, and sprinkle arugula over the top of the pizza. Cut into 4 quarters, each with an egg, to serve.","calories: 649, fat: 34g, carbs: 50g, protein: 34g, servings: 4"
Peppercorn Sauce,https://www.allrecipes.com/peppercorn-sauce-recipe-7484937,"{'quantity': '2 to 3', 'unit': 'tablespoons', 'name': 'mixed peppercorns'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'shallot', 'name': 'minced'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'brandy or cognac'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'beef stock'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'heavy cream'}","Gather all ingredients.. Crush peppercorns slightly using a mortar and pestle or a rolling pin.. Melt butter in a saucepan over medium high heat. Add shallot and sauté until soft, about 3 minutes.. Add crushed peppercorns and brandy; bring to a boil and simmer rapidly until brandy is almost completely reduced, 2 to 3 minutes.. Add beef stock; bring to a boil, then reduce heat to medium and simmer until reduced by half, 3 to 4 minutes.. Reduce heat to medium-low; stir in cream and simmer until sauce coats the back of a spoon, or to desired consistency, without letting sauce boil too rapidly, 3 to 4 minutes. Season to taste and serve hot with your favorite steak.","calories: 214, fat: 17g, carbs: 7g, protein: 2g, servings: 4"
Easy Pancakes,https://www.allrecipes.com/recipe/45396/easy-pancakes/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}",,"calories: 247, fat: 10g, carbs: 34g, protein: 7g, servings: 4"
Classic Macaroni Salad,https://www.allrecipes.com/recipe/81108/classic-macaroni-salad/,"{'quantity': '4', 'unit': 'cups', 'name': 'uncooked elbow macaroni'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'distilled white vinegar'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'prepared yellow mustard'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, seeded and chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated carrot (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped pimento peppers (Optional)'}",,"calories: 390, fat: 19g, carbs: 49g, protein: 7g, servings: 10"
Banana Pancakes,https://www.allrecipes.com/recipe/20334/banana-pancakes-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': '', 'name': 'ripe bananas, mashed'}",,"calories: 193, fat: 7g, carbs: 29g, protein: 5g, servings: 6"
