name,link,ingredients,steps,nutrition,image_url
Creamy Sun-Dried Tomato and Basil Pasta,https://www.allrecipes.com/creamy-sun-dried-tomato-and-basil-pasta-recipe-8710283,"{'quantity': '8', 'unit': 'ounces', 'name': 'fettuccine'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless chicken breast,'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sun dried tomatoes'}, {'quantity': '2', 'unit': 'large', 'name': 'cloves garlic'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'mozzarella cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'fresh basil,'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'red pepper flakes'}","Fill a large pot with lightly salted water and bring to a rolling boil. Cook fettuccine at a boil until tender yet firm to the bite, about 8 minutes; drain and keep warm.. Meanwhile, season chicken with 1/2 teaspoon salt and 1/2 teaspoon pepper.. Heat oil in a large skillet. Add chicken to skillet, cook and stir for 3 minutes. Add sun-dried tomatoes and garlic, and cook until fragrant, about 1 more minute. Add cream, mozzarella cheese, Parmesan cheese, and 2 tablespoons basil. Cook on low, stirring constantly, until cheese is melted.. Stir red pepper flakes and fettuccine into sauce. Season with remaining salt and pepper. Top with remaining basil.","calories: 664, fat: 42g, carbs: 23g, protein: 48g, servings: 4",https://www.allrecipes.com/thmb/sU6fa4lq50x2etJOD9eZgmTLWHI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8710283_Creamy-Sun-Dried-Tomato-and-Basil-Pasta_Yolanda-Gutierrez_4x3-c3c4499dd28d43889773d79d8f99c2cf.jpg
One Pan Spicy Soy Noodles with Chicken,https://www.allrecipes.com/one-pan-spicy-soy-noodles-with-chicken-recipe-8693474,"{'quantity': '1 1/4', 'unit': 'pounds', 'name': 'tenders, cut into 1-inch pieces'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'water, plus more as needed'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'apple cider vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'oil, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ginger'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper, plus more for garnish to taste'}, {'quantity': '8', 'unit': 'ounces', 'name': 'linguine pasta'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame seeds'}, {'quantity': '3', 'unit': None, 'name': 'green onions, thinly sliced'}","Season chicken with garlic powder, paprika, salt, and pepper. Whisk together 1 1/2 cups water with soy sauce and vinegar in a 2 cup measuring cup or bowl. Set aside.. Heat 1 tablespoon oil in a large deep skillet over medium-high heat. Add chicken and cook, stirring occasionally, until browned on all sides (Chicken will not be cooked through at this point).  Remove chicken from skillet and set aside.. Add remaining neutral oil and sesame oil to skillet. Add garlic and ginger and cook until fragrant, about 1 minute, stirring constantly. Stir in crushed red pepper. Add pasta and stir to coat in garlic mixture. Add reserved soy sauce mixture and stir until everything is well incorporated, scraping any browned bits from bottom of skillet. Bring mixture to a boil and reduce to simmer.. Add chicken and any accumulated juices into skillet along with brown sugar. Stir and cook, stirring occasionally, until pasta is cooked and sauce is thickened, 10 to 12 minutes. Add additional water as needed to keep mixture saucy until pasta is cooked. Stir in green onions, sesame seeds and more crushed red pepper if desired.","calories: 648, fat: 34g, carbs: 54g, protein: 32g, servings: 4",https://www.allrecipes.com/thmb/W5wwBtrQQFj-dnfBUKRhCzmbDEM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8693474_SpicySoyNoodlesWithChickenNicole4x3-edf275b017a44c85a49131148cfcf4b3.jpg
Creamy Asparagus and Mushroom Pasta,https://www.allrecipes.com/creamy-asparagus-and-mushroom-pasta-recipe-8682796,"{'quantity': '8', 'unit': 'ounces', 'name': 'fettuccine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'asparagus'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'shallot'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'cups', 'name': 'mushrooms'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Bring a large pot of salted water to boil. Add fettuccine and cook until tender with a bite, 7 to 10 minutes. Remove fettuccine to a colander to drain, and reserve pasta water.. Meanwhile, heat olive oil and butter in a large nonstick skillet over medium heat. When butter has melted, swirl the skillet to mix with the oil.. Add asparagus and shallot to the skillet and cook, stirring, 2 to 3 minutes. Season with salt and pepper.. Add mushrooms and cook, stirring, about 2 minutes. Add garlic and Italian seasoning and cook an additional 30 seconds.. Stir in heavy cream and bring to a boil. Add grated Parmesan cheese and stir until melted. See note. Stir in 1/4 to 1/2 cup reserved pasta water, if desired. Serve immediately.",,https://www.allrecipes.com/thmb/zSB8btonHAJlzgamgnRCO0Gg3bE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8682796_Creamy-Asparagus-and-Mushroom-Pasta_Brenda-Venable_4x3-f8e7ea78ddbc43fe8cb6c9a75f05f647.jpg
"Fettuccine with Shrimp, Tomatoes, and Spinach Cream Sauce",https://www.allrecipes.com/fettuccine-with-shrimp-tomatoes-and-spinach-cream-sauce-recipe-8611703,"{'quantity': '8', 'unit': 'ounces', 'name': 'fettuccine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic,'}, {'quantity': '1', 'unit': 'pound', 'name': 'shrimp'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper, as needed'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shallot'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '2', 'unit': 'cups', 'name': 'cherry tomatoes'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'parsley'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh spinach'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': None, 'unit': None, 'name': 'flat-leaf parsley sprigs for garnish (optional)'}","Fill a large pot with lightly salted water and bring to a rolling boil. Cook fettuccine at a boil until tender yet firm to the bite, about 8 minutes. Drain; reserving about 1/2 cup pasta water.. Meanwhile, heat butter and olive oil in a large skillet over medium heat until butter is melted. Slice 2 garlic cloves, add to the skillet, and cook until lightly browned, about 2 minutes. Remove garlic from the skillet and discard.. Carefully add shrimp to the skillet with a pinch of salt and pepper. Cook until shrimp is pink, opaque, and curled into a “C” shape, 2 to 3 minutes per side. Remove from the skillet and keep warm.. Add shallot to the skillet and cook, stirring, until softened, 2 to 3 minutes; stir in red pepper flakes. Mince remaining 2 garlic cloves; add to skillet and cook, stirring, until fragrant, about 30 seconds.. Add sliced tomatoes, minced parsley, and white wine. Bring to a boil, and cook for 2 to 3 minutes. Stir in chopped spinach; cook until just wilted and bright green. Return cooked shrimp to the skillet; stir in cream. Season to taste with salt and pepper.. Remove from heat. If sauce is too thick, stir in 1 tablespoon pasta water at a time, until desired consistency is achieved. Stir in pasta, and ladle into serving bowls. Garnish with additional flat leaf parsley sprigs.","calories: 540, fat: 30g, carbs: 30g, protein: 32g, servings: 4",https://www.allrecipes.com/thmb/kkKffYDMn8e4jg4bjvM0jFNUdrg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8611703_Fettucine-with-Shrimp-Tomatoes-and-Spinach-Cream-Sauce_Brenda-Venable_4x3-9d6e4b7c9f494f35a619627691042ccd.jpg
To Die For Fettuccine Alfredo,https://www.allrecipes.com/recipe/23431/to-die-for-fettuccine-alfredo/,"{'quantity': '24', 'unit': 'ounces', 'name': 'dry fettuccine pasta'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¾', 'unit': 'pint', 'name': 'heavy cream'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'dash', 'name': 'garlic salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'grated Romano cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}",,"calories: 964, fat: 61g, carbs: 84g, protein: 24g, servings: 6",https://cdn.jwplayer.com/v2/media/snjcnaUM/thumbnails/P4po0j6B.jpg
Buttered Noodles,https://www.allrecipes.com/recipe/244458/buttered-noodles/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'fettuccine noodles'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter, cut into pieces'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 294, fat: 11g, carbs: 41g, protein: 9g, servings: 8",https://cdn.jwplayer.com/v2/media/bdBz4z5e/poster.jpg?width=720
Homemade Chicken Fettuccine,https://www.allrecipes.com/recipe/22760/homemade-chicken-fettuccine/,"{'quantity': '8', 'unit': 'ounces', 'name': 'fettuccini pasta'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '3', 'unit': '', 'name': 'skinless, boneless chicken breast halves - cut into chunks'}, {'quantity': '8', 'unit': 'ounces', 'name': 'mushrooms, sliced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Bring a large pot of lightly salted water to a boil. Add fettuccine and cook for 8 to 10 minutes or until al dente; drain.. Meanwhile, heat butter in a large skillet and brown chicken and mushrooms until chicken is cooked through. Season with garlic salt and pepper. Add whipping cream and cook until thick, stirring constantly. Add Parmesan cheese when at desired consistency. Serve over noodles.","calories: 791, fat: 44g, carbs: 46g, protein: 53g, servings: 4",https://www.allrecipes.com/thmb/ms3CkSYO6AzBsdAylaMT08o6JTI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2541026-homemade-chicken-fettuccine-leanne-4x3-01e1aae8d624476c8ea3fae84e20b6db.jpg
Shrimp Fettuccine Alfredo,https://www.allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo/,"{'quantity': '1', 'unit': 'pound', 'name': 'fettuccini pasta'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'pound', 'name': 'cooked shrimp - peeled and deveined'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Fill a large pot with lightly salted water and bring to a rolling boil. Cook fettuccine at a boil until tender yet firm to the bite, about 8 minutes. Drain.. Heat butter in a large skillet over medium heat. Cook and stir shrimp and garlic in butter for 1 minute. Pour in half-and-half; stir. Add Parmesan cheese, 1 tablespoon at a time, stirring constantly. Mix in parsley; season with salt. Simmer, stirring frequently, until sauce is thickened.. Stir fettuccine into sauce until evenly coated; serve hot.","calories: 440, fat: 11g, carbs: 58g, protein: 29g, servings: 6",https://cdn.jwplayer.com/v2/media/akOYVrU0/poster.jpg?width=720
Chef John's Creamy Mushroom Pasta,https://www.allrecipes.com/recipe/234667/chef-johns-creamy-mushroom-pasta/,"{'quantity': '8', 'unit': 'ounces', 'name': 'fettuccine pasta'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '¾', 'unit': 'pound', 'name': 'fresh white mushrooms, sliced'}, {'quantity': '¼', 'unit': 'pound', 'name': 'fresh shiitake mushrooms, stemmed and sliced'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'sherry'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken stock'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'chopped fresh thyme'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'chopped fresh chives'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'chopped fresh tarragon'}, {'quantity': '9', 'unit': 'tablespoons', 'name': 'freshly shredded Parmigiano-Reggiano cheese, divided'}","Gather the ingredients.. Fill a large pot with lightly salted water and bring to a rolling boil. Cook fettuccine at a boil until tender yet firm to the bite, about 8 minutes. Drain but do not rinse pasta; transfer to a large serving bowl and keep warm.. Meanwhile, heat olive oil in a large skillet over medium heat. Cook and stir white and shiitake mushrooms in hot oil with a pinch of salt until liquid from mushrooms evaporates and mushrooms are browned, about 10 minutes.. Stir garlic into mushrooms and cook for 1 minute; pour in sherry and cook until wine is nearly evaporated. Stir in chicken stock; season with salt and black pepper. Bring to a simmer, reduce heat, and cook until slightly thickened, about 5 minutes.. Pour cream into mushroom mixture, stir to combine, and simmer for 5 minutes. Mixture will foam and thicken slightly.. Stir thyme, chives, and tarragon into mushroom sauce and turn off heat; mix 1/2 cup Parmigiano-Reggiano cheese into sauce until cheese is melted.. Pour 1/2 of the mushroom sauce over pasta; toss to coat. Top with remaining mushroom sauce and 1 tablespoon Parmigiano-Reggiano cheese.","calories: 311, fat: 22g, carbs: 20g, protein: 8g, servings: 6",https://cdn.jwplayer.com/v2/media/VGUHdL5E/poster.jpg?width=720
Fettuccine Carbonara,https://www.allrecipes.com/recipe/42585/fettuccini-carbonara/,"{'quantity': '5', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '4', 'unit': '', 'name': 'shallots, diced'}, {'quantity': '1', 'unit': 'pound', 'name': 'bacon, cut into strips'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, cut into thin strips'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, chopped'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'dry fettuccine pasta'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '3', 'unit': '', 'name': 'egg yolks'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Heat olive oil in a large heavy saucepan over medium heat. Sauté shallots until softened. Stir in bacon and onion; cook and stir until bacon is evenly browned. Stir in garlic when bacon is about half done. Remove from heat.. Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente. Drain pasta, then return it to the pot.. Whisk Parmesan, cream, and egg yolks together in a medium bowl. Pour bacon mixture over pasta; stir in cream mixture. Season with salt and pepper.","calories: 614, fat: 29g, carbs: 65g, protein: 26g, servings: 6",https://www.allrecipes.com/thmb/kXyLYIPQSxcPdf57G9ZAxc4jCCk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8988638-db4bfa51c1d445129d16ecac0afa95a6.jpg
