name,link,ingredients,steps,nutrition,image_url
Spanish Flan,https://www.allrecipes.com/recipe/20979/spanish-flan/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}",,"calories: 406, fat: 11g, carbs: 66g, protein: 11g, servings: 8",https://cdn.jwplayer.com/v2/media/CAVbWy6r/thumbnails/5Nxz3kv6.jpg
Flan de Queso (Cream Cheese Flan),https://www.allrecipes.com/recipe/246830/flan-de-queso-cream-cheese-flan/,"{'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '⅓', 'unit': 'cup', 'name': '2% milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}","Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C).. Place sweetened condensed milk, evaporated milk, eggs, cream cheese, milk, and vanilla extract in a blender; blend until smooth.. Place sugar in an even layer in a saucepan over medium heat. Cook until the edges start to brown, about 1 minute; drag sugar into the center with a spatula once the edges start to brown. Continue cooking, stirring from time to time, until caramel is an even golden brown, 4 to 5 minutes.. Meanwhile, pour 1 inch boiling water into a large oven-safe pot or baking dish to make a water bath.. Pour caramel into a 9-inch flan mold or baking pan; swirl so that caramel reaches 1 inch up the sides. Pour the condensed milk mixture on top. Set in the water bath.. Set the flan and water bath in the preheated oven; bake until a damp table knife inserted into the center comes out clean, 45 minutes to 1 hour. Remove from the oven and let stand for 5 minutes.. Chill flan in the refrigerator until firm, 2 to 3 hours. Invert onto a serving plate so that caramel is on top.","calories: 475, fat: 22g, carbs: 58g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/gYkW_-c1w5kANw4IPMr_thx8pm4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8228565-ee0e66339c61471cb70c3f0045ddabb3.jpg
Baked Flan,https://www.allrecipes.com/recipe/44497/baked-flan/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (175 degrees C).. Heat sugar in a small nonstick saucepan over medium heat until completely dissolved; shake and swirl the pan until sugar has caramelized and is a dark golden brown color; pour into a 1 1/2-quart baking dish, and swirl to coat the bottom of the dish evenly.. Combine cream, condensed milk, eggs, milk, and vanilla in a blender; blend on high for one minute. Pour mixture over caramelized sugar.. Place the baking dish into a deep roasting pan; pour in enough boiling water to come 1 inch up the sides of the dish.. Bake in preheated oven until flan is set, 50 to 60 minutes.","calories: 490, fat: 30g, carbs: 47g, protein: 10g, servings: 8",https://cdn.jwplayer.com/v2/media/TfFZlQk2/poster.jpg?width=720
Flan Mexicano (Mexican Flan),https://www.allrecipes.com/recipe/214091/flan-mexicano-mexican-flan/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '¼', 'unit': 'cup', 'name': 'freshly squeezed orange juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated orange peel'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}","Place sugar into a heavy saucepan over medium-high heat. Cook, stirring constantly, until sugar melts and turns a golden amber color, about 10 minutes. Watch carefully once syrup begins to change color because it burns quickly. Carefully pour caramel syrup into a flan mold. Set aside to cool.. Preheat the oven to 350 degrees F (175 degrees C). Place an oven rack in the middle position.. Place sweetened condensed milk, whole milk, eggs, egg yolks, orange juice, orange peel, vanilla, and cornstarch into a blender; blend until smooth, about 1 minute. Pour in cream and pulse several times to incorporate. Pour mixture over cooled caramel syrup in the flan mold.. Line a roasting pan with a damp kitchen towel. Place the filled flan mold carefully on the towel in the roasting pan, then place the roasting pan on the oven rack. Fill the roasting pan with enough boiling water to reach halfway up the sides of the flan mold.. Bake in the preheated oven until the center of flan is set but still slightly jiggles when nudged, 45 minutes to 1 hour. Let cool, then refrigerate for at least 4 hours.. To serve, run a sharp paring knife around the inside of the mold to release flan. Place a serving plate on the mold, then flip the mold over. Gently lift the mold to release flan and allow caramel syrup to cascade over custard. Remove the mold.","calories: 434, fat: 20g, carbs: 56g, protein: 9g, servings: 8",https://www.allrecipes.com/thmb/0RRXJLJqN1Ek4ICOkxUGNMLAEWs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4485442-58b33eae8ca844589869edb287572626.jpg
Creamy Caramel Flan,https://www.allrecipes.com/recipe/22220/creamy-caramel-flan/,"{'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (175 degrees C).. Cook sugar in a small, heavy saucepan over medium-low heat, stirring occasionally, until golden. Pour caramel into a 10-inch round baking dish, tilting to coat the bottom and sides. Set aside.. Beat cream cheese in a large bowl until smooth. Beat in eggs, one at a time, until well incorporated. Mix in milks and vanilla until smooth. Pour into the caramel-coated baking dish.. Line a roasting pan with a damp kitchen towel. Place the baking dish inside the roasting pan on the towel, then place the roasting pan on the oven rack. Fill the roasting pan with boiling water to reach halfway up the sides of the baking dish.. Bake in the preheated oven until the center is just set, 50 to 60 minutes. Cool on a wire rack for 1 hour, then place in the refrigerator until completely cooled, 8 hours to overnight.. To unmold, run a knife around the edges of the baking dish and invert onto a rimmed serving platter.","calories: 350, fat: 17g, carbs: 41g, protein: 11g, servings: 10",https://www.allrecipes.com/thmb/EfYQLbkL9OUp1Wta67GFGuRbnYM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8898771-bb3a3e29d9164683ae4680f2a1f486e5.jpg
Quesillo (Venezuelan Flan),https://www.allrecipes.com/recipe/262054/quesillo-venezuelan-flan/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'milk, or as needed'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (175 degrees C).. Prepare a bain-marie, or water bath, by filling a 9-inch heat-proof container with water.. Melt sugar in a nonstick pan over medium-low heat, stirring constantly until melted, 7 to 10 minutes; be careful to keep it from burning. Pour sugar into a flan mold, coating the sides to ensure that the egg/milk mixture in the next step will not touch the container.. Pour sweetened condensed milk into a bowl. Fill the empty can with milk and add to the bowl; stir in eggs and vanilla extract. Blend well. Fold mixture with a spatula or tap against the counter to remove air bubbles.. Pour milk mixture into the slightly cooled flan mold. Put the lid on and place inside the water bath; don't let the water go over the rim.. Bake the quesillo in the bain-marie in the preheated oven for 45 minutes. Pry lid open with a knife carefully; continue baking until set, about 15 minutes more.. Let quesillo cool to room temperature, at least 25 minutes; refrigerate 8 hours to overnight. Slide a knife around the edges of the mold to loosen and invert onto a plate.","calories: 309, fat: 7g, carbs: 54g, protein: 8g, servings: 8",https://www.allrecipes.com/thmb/9Q-TPIbDLhtxx15IsBiScxH7MrA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1615311-quesillo-venezuelan-flan-imgoingbananas-4x3-1-a6b19557ae5c43b39e7bf7afacfe9517.jpg
Flan de Coco (Coconut Flan),https://www.allrecipes.com/recipe/108362/flan-de-coco-coconut-flan/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'fresh shredded coconut'}","Preheat the oven to 350 degrees F (175 degrees C).. Place 1 cup sugar in a small saucepan over medium heat. Cook gently without stirring, but shake occasionally until sugar is melted. Continue cooking until sugar turns golden brown, then pour into a large glass baking dish. Rotate and tilt the dish to spread caramel evenly over the bottom. Set aside for caramel to cool and harden, about 15 minutes.. Add condensed milk, evaporated milk, eggs, milk, coconut, and remaining 1/2 cup sugar to a blender. Blend until smooth, about 3 minutes. Pour over hardened caramel in the baking dish.. Bake in the preheated oven until custard is set, about 45 minutes. Allow flan to cool for 30 minutes at room temperature. Run a knife around the edges of the dish to separate the flan from the sides. Refrigerate until completely chilled, 8 hours to overnight.. To serve, carefully invert flan onto a rimmed serving plate; let caramel sauce flow over flan.","calories: 297, fat: 9g, carbs: 47g, protein: 8g, servings: 12",https://www.allrecipes.com/thmb/Vue3tlJBu3S7gscwNw52H6d7OxA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8586690-flan-de-coco-coconut-flan-Maria-Victoria-Dajud-4x3-1-4563caeb0fd844e3b3f8279fa38999a2.jpg
Leche Flan,https://www.allrecipes.com/recipe/262423/leche-flan/,"{'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': '(12 ounce) can', 'name': 'evaporated milk'}, {'quantity': '12', 'unit': '', 'name': 'egg yolks'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}","Preheat the oven to 375 degrees F (190 degrees C).. Combine sugar and water in a medium saucepan over medium-high heat. Bring to a boil without stirring to avoid the mixture crystallizing. Continue to boil, swirling the pan occasionally, until sugar syrup begins to brown, 7 to 10 minutes. Reduce the heat to medium low and watch the color. Once the caramel is a deep brown, 2 to 3 minutes, immediately pour it into a 10-inch flan mold. Carefully tilt the mold to make sure the whole bottom surface is covered.. Combine evaporated milk, condensed milk, egg yolks, and vanilla extract in a large bowl. Stir lightly to prevent bubbles or foam from forming; strain batter.. Place a roasting pan large enough to hold the flan mold on the oven rack. Fold two 32-inch long sheets of foil lengthwise in quarters to make strips. Cross the strips and place the flan mold in the roasting pan, with the ends of the strips extending over the edges of the roasting pan. Crimp ends slightly to keep them in place. Slowly pour the custard mixture into the caramel-lined flan mold. Add enough hot water to the roasting pan to come halfway up the side of the mold. Cover the roasting pan with aluminum foil.. Bake in the preheated oven until firm and a knife inserted near the center comes out clean, about 1 hour. Carefully remove the roasting pan from the oven. Carefully remove the flan mold from the roasting pan using the foil strips. Let cool on a wire rack, about 1 hour. Cover and chill in the refrigerator until completely cool, at least 4 hours or overnight.. Run a paring knife around the edges of the flan. Cover the mold with a rimmed platter and carefully flip it over to release the flan from the mold for serving. Scrape any excess caramel from the mold over the flan.","calories: 387, fat: 14g, carbs: 55g, protein: 11g, servings: 12",https://www.allrecipes.com/thmb/dE8YS5CMG6QOlbv3DYPtWGde3sY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9419043-leche-flan-Erik-Nash-4x3-1-3ab88a79c2774cf29f98c1d9149d3f08.jpg
Original Mexican Flan Napolitano,https://www.allrecipes.com/recipe/260650/original-mexican-flan-napolitano/,"{'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'evaporated milk'}, {'quantity': '5', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Place sugar into a 9-inch ring mold and cook over medium-high heat, stirring constantly, until sugar melts and turns golden, about 10 minutes. Watch carefully for syrup to start to change color as it burns easily. Let caramel cool and harden, about 20 minutes.. Combine sweetened condensed milk, evaporated milk, eggs, cream cheese, and vanilla extract in a blender; blend until smooth, about 1 minute. Pour mixture over the hard caramel syrup in the tin and cover with aluminum foil. Pierce foil in the center hole of the ring with a knife; peel back foil, leaving hole uncovered for steam to circulate.. Place a metal rack inside a large pot over medium heat. Add water to almost reach the rack; bring to a boil. Place the mold on the rack, cover the pot, and steam until flan is set and firm, about 45 minutes. Unmold flan onto a serving plate and let cool before serving.","calories: 261, fat: 14g, carbs: 26g, protein: 9g, servings: 12",https://cdn.jwplayer.com/v2/media/p2MwMxir/poster.jpg?width=720
Flan II,https://www.allrecipes.com/recipe/20524/flan-ii/,"{'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': '', 'name': 'egg yolks, beaten'}, {'quantity': '⅜', 'unit': 'cup', 'name': 'white sugar'}","Preheat oven to 350 degrees F (175 degrees C).. In a heavy bottomed saucepan over medium heat, melt 1/2 cup sugar until golden. Carefully pour hot sugar evenly into four oven-proof ramekins or custard cups, tilting cups to coat bottoms evenly.. In another saucepan, bring milk just to boiling over medium heat. Stir hot milk, a little at a time, into beaten eggs and egg yolks, until well combined. Stir in sugar. Pour milk mixture evenly into ramekins.. Line a roasting pan with a damp kitchen towel. Place ramekins on towel, inside roasting pan, and place roasting pan on oven rack. Fill roasting pan with boiling water to reach halfway up the sides of the ramekins.. Bake in preheated oven 40 minutes, until set. Let cool, invert and serve.","calories: 292, fat: 7g, carbs: 50g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/H9SHnoQGYNZ2MABXcRmI2qoYngA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/829191-f00ac0324b5b4bd3b120883ac2264b7f.jpg
