name,link,ingredients,steps,nutrition,image_url
Prosciutto Plum Focaccia,https://www.allrecipes.com/prosciutto-plum-focaccia-recipe-8682374,"{'quantity': '1', 'unit': 'packet', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '12', 'unit': 'slices', 'name': 'plum'}, {'quantity': '4', 'unit': 'slices', 'name': 'prosciutto'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt'}","Stir yeast and warm water together in a large bowl and let stand for 15 minutes.. Add 1 tablespoon olive oil, sugar, all-purpose flour, and salt. Use a wooden spoon to stir until a very soft, sticky dough forms. While stirring, incorporate any dough that sticks to the sides of the bowl.. Drizzle over a tablespoon of olive oil, and rub some on your hands. Pick up dough, and with your fingers under the dough pushing gently up, stretch the sides down and under several times while rotating the dough, in order to form a relatively smooth ball with some surface tension on top. Place dough ball into the bowl, smooth side up, cover the bowl, and refrigerate overnight.. The next morning, pull out dough and let rise at room temperature until doubled in size, about 1 1/2 hours.. Generously oil a work surface with about 1 tablespoon olive oil, and transfer dough to the work surface. Press into a large rectangle, and then fold into thirds one way, and then the other, forming a small rectangle, about 6x9 inches.. Generously oil a sheet pan with about 2 tablespoons olive oil, and transfer dough rectangle to the sheet pan. Press dough out to about 1/2-inch thick. Cover; let proof at room temperature until dough has spread out, risen slightly, and surface has bubbles, 1 1/2 to 2 hours.. Meanwhile, wrap plum sections with prosciutto and refrigerate until needed.. Preheat the oven to 475 degrees F (245 degrees C).. Sprinkle dough with rosemary. Push wrapped plum sections deep into the dough in a 3x4 pattern. Drizzle top lightly with olive oil; sprinkle with sea salt.. Bake in the preheated oven until browned, 17 to 20 minutes. As soon as focaccia is out of the oven, brush with more olive oil if desired. Transfer focaccia to a rack and let cool completely  before cutting.","calories: 171, fat: 5g, carbs: 26g, protein: 5g, servings: 12",https://cdn.jwplayer.com/v2/media/BK1S8BIa/thumbnails/ojwj9X2M.jpg
Feta and Sardine Flatbread,https://www.allrecipes.com/feta-and-sardine-flatbread-recipe-8633618,"{'quantity': '1', 'unit': '12 inch)', 'name': 'pizza crust'}, {'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'seasoning'}, {'quantity': '1/4', 'unit': None, 'name': 'red onion'}, {'quantity': '12', 'unit': None, 'name': 'pitted Kalamata olives'}, {'quantity': '1', 'unit': '4.375 ounce) tin', 'name': 'sardines packed in olive oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'feta cheese'}, {'quantity': '1', 'unit': 'tomato', 'name': 'Roma tomato'}, {'quantity': '1', 'unit': 'small', 'name': 'lemon'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'spinach leaves'}","Preheat the oven to 450 degrees F (230 degrees C). Place pizza crust on a round pizza pan.. Whisk olive oil and Greek seasoning together in a small bowl. Brush mixture over the entire pizza crust, including the edges.. Divide onion, olives, and sardines over pizza crust. Sprinkle on feta, then scatter on chopped tomatoes.. Bake in the preheated oven for 15 minutes. Remove pizza from the oven; add lemon slices and spinach leaves. Cut into slices and serve immediately.","calories: 493, fat: 23g, carbs: 61g, protein: 18g, servings: 4",https://www.allrecipes.com/thmb/xqBjgj0ycmW4qhMW-AexKfhNJt8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8633618_Feta-and-Sardine-Flatbread_Nicole-Russell_4x3-584b4155c4c04799ac03c340299ddbea.jpg
Focaccia Bread,https://www.allrecipes.com/recipe/17918/focaccia-bread/,"{'quantity': '2 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'mozzarella'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated Parmesan cheese'}",,"calories: 171, fat: 6g, carbs: 23g, protein: 6g, servings: 12",https://cdn.jwplayer.com/v2/media/9RHbrrjy/poster.jpg?width=720
Naan,https://www.allrecipes.com/recipe/14565/naan/,"{'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced garlic (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, melted'}",,"calories: 52, fat: 4g, carbs: 4g, protein: 1g, servings: 14",https://cdn.jwplayer.com/v2/media/QaWGJVRw/poster.jpg?width=720
Norwegian Potato Lefsa,https://www.allrecipes.com/recipe/16077/norwegian-potato-lefsa/,"{'quantity': '18', 'unit': '', 'name': 'baking potatoes, scrubbed'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}","Peel potatoes and place them in a large pot with a large amount of water. Bring water to a boil, and let the potatoes boil until soft. Drain and mash well.. In a large mixing bowl, combine 8 cups mashed potatoes, cream, butter, salt, and sugar. Cover potatoes and refrigerate until cold or overnight.. Mix flour into the mashed potatoes and roll the mixture into balls about the size of tennis balls, or smaller depending on preference. Keep balls of dough on plate in the refrigerator. It is important that dough balls stay cold till they are rolled out.. Taking one ball out of the refrigerator at a time, roll dough balls out on a floured board. To keep the dough from sticking while rolling it out, it helps to have a rolling pin with a cotton rolling pin covers.. Fry the lefsa in a grill or in an iron skillet at very high heat. If lefsa brown too much, turn the heat down. After cooking each piece of lefsa place on a dishtowel. Fold towel over lefsa to keep warm. Stack lefsa on top of each other and keep covered to keep from drying out.","calories: 756, fat: 18g, carbs: 133g, protein: 17g, servings: 8",https://www.allrecipes.com/thmb/0QSVEhAOgeN4Zdk5X-BJSc_r6Ms=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/120669-27098ad605fa446eb45546b92b5a5bbd.jpg
Grilled Gyro Flatbread,https://www.allrecipes.com/grilled-gyro-flatbread-recipe-7974500,"{'quantity': '1', 'unit': None, 'name': 'pizza dough'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil, or as needed'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'tzatziki sauce'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'feta cheese'}, {'quantity': '2', 'unit': 'ounces', 'name': 'gyro meat, chopped'}, {'quantity': '1', 'unit': None, 'name': 'roma tomato, sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'black olives'}, {'quantity': None, 'unit': 'sprigs', 'name': 'fresh dill, torn, or as needed (optional)'}","Preheat a gas grill with all burners on High for 10 to 15 minutes. Shape pizza dough and brush one side with olive oil.. Reduce the flame on half of the grill burners to Low, to create areas of direct and indirect heat.. Carefully place dough, olive oil side facing down, onto the grill over direct heat. Close the cover. Let dough grill until the bottom is just barely cooked and shows char marks, 1 to 3 minutes.. Use tongs to move dough to the indirect heat without turning dough over, and grill for 2 to 3 more minutes. Transfer dough to a baking sheet.. Spread tzatziki sauce over dough. Add quesadilla cheese, feta cheese, gyro meat, tomato slices, and black olives.. Return pizza to grill over indirect heat, and grill until cheese has melted, 3 to 4 minutes. Top with sprigs of fresh dill, Cut into wedges and serve.","calories: 441, fat: 18g, carbs: 55g, protein: 15g, servings: 4",https://www.allrecipes.com/thmb/8JN7-N77p_hVRatg86xI4ZKHhh0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7974500_Grilled-Gyro-Flatbread_TheDailyGourmet_4x3-77c4e188587d44d892657dea3c762596.jpg
Roasted Grape Flatbread,https://www.allrecipes.com/roasted-grape-flatbread-recipe-7182311,"{'quantity': '8', 'unit': 'oz', 'name': 'pizza dough'}, {'quantity': '4', 'unit': 'cups', 'name': 'seedless red grapes'}, {'quantity': None, 'unit': '1 tablespoon plus 2', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh rosemary'}, {'quantity': '1/4', 'unit': None, 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ricotta cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '1/4', 'unit': 'cup chopped', 'name': 'fresh parsley'}, {'quantity': '1/4', 'unit': None, 'name': 'black pepper'}, {'quantity': '1', 'unit': None, 'name': 'white wine vinegar'}, {'quantity': '2', 'unit': 'cups', 'name': 'arugula'}","Preheat the oven to 425 degrees F (220 degrees C). Grease a baking sheet. Unroll pizza dough onto prepared baking sheet. Bake for 6 minutes.. Line a 10x15-inch baking pan with foil. Arrange grapes in prepared baking pan. Drizzle with 1 tablespoon oil and sprinkle with 1/2 teaspoon rosemary and 1/4 teaspoon salt; toss to coat.. Roast grapes, stirring once halfway through, until slightly charred, about 40 minutes. Remove grapes from baking pan; pour accumulated juices into a small bowl.. Meanwhile, stir together ricotta, mozzarella, parsley, pepper, and remaining 1/2 teaspoon rosemary in a small bowl.. Spread ricotta mixture onto the parbaked crust. Top with roasted grapes. Bake until cheese is lightly golden, about 10 minutes.. Meanwhile, for dressing, whisk together reserved grape-roasting juices, vinegar, and remaining 2 teaspoons oil and 1/8 teaspoon salt in a bowl. Toss watercress with dressing. Top flatbread with dressed greens.","calories: 377, fat: 13g, carbs: 56g, protein: 11g, servings: 4",https://www.allrecipes.com/thmb/Gg2_f9zROgX9Y9z116F05Zvw3KY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7182311GrapeFlatbread4x3-b6fec620c0c5446aac2721bdf61fd74b.jpg
Tex-Mex Pork Crescent Roll Squares,https://www.allrecipes.com/recipe/8532983/tex-mex-pork-crescent-roll-squares/,"{'quantity': '2', 'unit': '(8 ounce) cans', 'name': 'refrigerated crescent roll dough'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded sharp Cheddar cheese, divided'}, {'quantity': '¾', 'unit': 'pound', 'name': 'cooked pulled pork, or any diced, cooked pork'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, rinsed and drained'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'diced tomatoes with green chile peppers (such as RO*TEL®), drained'}, {'quantity': '3', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'taco seasoning mix'}, {'quantity': '4', 'unit': 'ounces', 'name': 'crumbled cotija cheese'}, {'quantity': '1', 'unit': '', 'name': 'jalapeno pepper, thinly sliced'}, {'quantity': '1', 'unit': '', 'name': 'avocado, sliced (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro, or more to taste (Optional)'}, {'quantity': '1', 'unit': '', 'name': 'lime, cut into wedges (Optional)'}","Preheat oven to 375 degrees F (180 degrees C).. Cut a 13x18-inch piece of parchment paper; place on a work surface. Unroll crescent roll dough and place on the parchment paper, slightly overlapping the long sides of the two pieces of dough.. Lightly flour a rolling pin; roll over the overlapping dough edges and over the perforations to create one 12x17-inch seamless piece of dough. Carefully lift the parchment paper with dough and fit into a 13x18-inch metal sheet pan.. Sprinkle 1 cup shredded Cheddar evenly over the dough; follow with pulled pork. Scatter drained beans and drained RO-TEL® over pulled pork; sprinkle on green onions, taco seasoning, and remaining 1 cup Cheddar cheese.. Bake in the preheated oven until cheese is melted and the visible edges of the crescent dough are browned, 15 to 20 minutes.. Remove to a wire rack. Sprinkle crumbled cotija cheese over all.. Scatter jalapeño slices, avocado slices, and chopped cilantro over if using.. Cut into 32 squares with a sharp knife or a pizza cutter; place on a warmed serving platter with lime wedges, if using.","calories: 123, fat: 7g, carbs: 8g, protein: 6g, servings: 32",https://www.allrecipes.com/thmb/vf8VUuYzooJ59odpR1Ab7OBHOP8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8532983_Tex-Mex-Pork-Crescent-Roll-Squares_Bibi_4x3-d6c85e13feab42e2a6bbb2b42e4e31a9.jpg
Lentil Flatbread,https://www.allrecipes.com/recipe/8542186/lentil-flatbread/,"{'quantity': '1', 'unit': 'cup', 'name': 'red lentils'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, or to taste'}",,"calories: 177, fat: 1g, carbs: 30g, protein: 13g, servings: 4",https://cdn.jwplayer.com/v2/media/ztIxchPD/poster.jpg?width=720
South African Traditional Vetkoek (Fried Bread),https://www.allrecipes.com/recipe/245683/south-african-traditional-vetkoek-fried-bread/,"{'quantity': '2', 'unit': 'cups', 'name': 'lukewarm water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '7', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '3', 'unit': 'cups', 'name': 'oil for frying'}","Mix lukewarm water, sugar, and yeast in a small bowl. Let stand until yeast softens and bubbles slightly, about 5 minutes.. Sift together flour and salt in a large bowl.. Pour yeast mixture over flour mixture and knead until dough is smooth and elastic, 5 to 7 minutes. Cover bowl with a clean cloth and let dough rise until doubled in volume, about 45 minutes.. Pinch off a piece of dough about the size of a tennis ball; roll until smooth. Flatten ball of dough until it is palm-sized; set aside on a floured work surface. Repeat with remaining dough.. Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C).. Fry in hot oil, 2 to 3 pieces at a time, until golden brown, about 3 minutes per side. Drain on paper towels.","calories: 332, fat: 6g, carbs: 60g, protein: 8g, servings: 12",https://www.allrecipes.com/thmb/brolHkz_LpJ8wdUkMQtw3xayOlk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8144318-99b39d0df1c84f3eabbf4d9e1d156753.jpg
