name,link,ingredients,steps,nutrition
Perfect Flat Iron Steak,https://www.allrecipes.com/recipe/150685/perfect-flat-iron-steak/,"{'quantity': '1', 'unit': '(2 pound)', 'name': 'flat iron steak'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped fresh parsley'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'chopped fresh rosemary'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chopped fresh chives'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Cabernet Sauvignon (or other dry red wine)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dry mustard powder'}",,"calories: 345, fat: 23g, carbs: 1g, protein: 31g, servings: 6"
Grilled Flat Iron Steak with Blue Cheese-Chive Butter,https://www.allrecipes.com/recipe/161194/grilled-flat-iron-steak-with-blue-cheese-chive-butter/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cracked black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried rosemary leaves, crumbled'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'flat iron steak'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'softened unsalted butter'}, {'quantity': '1', 'unit': 'ounce', 'name': 'crumbled blue cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh chives'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'cracked black pepper'}","Whisk olive oil, vinegar, garlic, 1 tablespoon black pepper, rosemary, oregano, and kosher salt together in a bowl and pour into a resealable plastic bag. Add steak, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for 30 minutes.. Preheat an outdoor grill for medium-high heat and lightly oil grate. Remove steak from the marinade, shake off excess, and discard remaining marinade. Allow steak to stand at room temperature as the grill warms.. Meanwhile, mash butter, blue cheese, chives, and 1/8 teaspoon of black pepper together until combined; set aside.. Cook steaks on the preheated grill until firm and reddish-pink and juicy in the center, about 5 minutes per side. An instant-read thermometer inserted into the center should read 130 degrees F (54 degrees C). Allow steak to rest in a warm place for 10 minutes before slicing thinly across the grain. Serve with a dollop of blue cheese-chive butter.","calories: 551, fat: 44g, carbs: 3g, protein: 37g, servings: 4"
Marinated Flat Iron Steak,https://www.allrecipes.com/recipe/160405/marinated-flat-iron-steak/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'balsamic vinegar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried tarragon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried rosemary, crushed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'flat iron steak'}","Whisk together honey, vinegar, olive oil, lemon juice, Worcestershire sauce, tarragon, rosemary, garlic powder, white pepper, and salt in a large bowl until well combined; pour into a resealable plastic bag. Add flat iron steak; coat with marinade, squeeze out excess air, and seal the bag. Place in the refrigerator to marinate for at least 6 hours.. Preheat an outdoor grill for medium-high heat and lightly oil the grate.. Remove steak from marinade; shake off excess and discard marinade. Cook steak on the preheated grill to desired degree of doneness, about 4 minutes per side for medium-rare. An instant-read thermometer inserted into the center of steak should read 140 degrees F (60 degrees C) for medium-rare doneness.","calories: 312, fat: 20g, carbs: 11g, protein: 24g, servings: 6"
"What's the Difference Between Skirt, Flank, Hanger, and Flat Iron Steaks?",https://www.allrecipes.com/article/difference-between-skirt-hanger-flank-flat-iron-steak/,,,
Flat Iron Steak with Balsamic Reduction,https://www.allrecipes.com/recipe/158753/flat-iron-steak-with-balsamic-reduction/,"{'quantity': '3', 'unit': 'pounds', 'name': 'flat iron steak'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'coarsely ground mixed peppercorns'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh parsley'}","Brush steak with olive oil, then press into ground peppercorns and season with salt; set aside. Melt butter in a large skillet over medium high heat. Add flat iron, and cook to desired degree of doneness, about 4 minutes per side for medium-rare.. Once the steak has finished cooking, remove to a plate and keep warm. Stir the minced garlic into the skillet, and cook over medium heat until the garlic begins to brown around the edges, about 1 minute. Pour in the balsamic vinegar, increase heat to medium-high, and simmer until the vinegar has reduced by half.. Thinly slice the flat iron steak across the grain, and arrange on a serving platter. Pour the reduced balsamic overtop, and sprinkle with chopped parsley to serve.","calories: 536, fat: 35g, carbs: 8g, protein: 47g, servings: 6"
Foolproof Flat Iron Steaks,https://www.allrecipes.com/recipe/237831/foolproof-flat-iron-steaks/,"{'quantity': '2', 'unit': '(1 pound)', 'name': 'flat iron steaks'}, {'quantity': '¼', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'extra virgin olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'finely chopped green onions'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped fresh thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dry mustard'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Place steaks, balsamic vinegar, olive oil, green onions, garlic, soy sauce, thyme, mustard, and black pepper in an extra large resealable plastic bag, squeeze out excess air, and seal the bag. Knead the bag with your hands to distribute ingredients evenly and completely coat the steaks. Marinate in the refrigerator for 1 hour.. Preheat grill for medium-high heat and lightly oil the grate. Remove steaks from refrigerator and let sit at room temperature for 10 minutes.. Remove steaks from bag and discard marinade.. Cook steaks on the preheated grill until they start to firm and are reddish-pink and juicy in the center, 6 to 7 minutes per side. An instant-read thermometer inserted into the center should read 130 degrees F (54 degrees C). Remove steaks to a plate and let rest for 5 minutes before slicing.","calories: 537, fat: 36g, carbs: 4g, protein: 47g, servings: 4"
Roasted Garlic Flat Iron Steak,https://www.allrecipes.com/recipe/150353/roasted-garlic-flat-iron-steak/,"{'quantity': '15', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '4', 'unit': '(8 ounce)', 'name': 'flat iron steaks'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Preheat oven to 350 degrees F (175 degrees C).. Arrange garlic cloves on a baking sheet. Drizzle 1 tablespoon olive oil over garlic.. Bake garlic in preheated oven until golden brown, 15 to 20 minutes, stirring once to prevent burning. Remove from oven and allow to cool.. Place cooled garlic and 1/2 cup olive oil in a food processor; blend until mixture is a paste.. Season steaks with salt and pepper. Rub garlic paste on both sides of each steak.. Place a large skillet over medium heat. Cook the steaks until the internal temperature reaches 135 degrees to 140 degrees F (60 degrees C), about 5 minutes per side. Remove the whole pan from the heat and let stand until steaks reach an internal temperature of 145 degrees F (63 degrees C), or your desired degree of doneness.","calories: 711, fat: 57g, carbs: 4g, protein: 47g, servings: 4"
Lemon Basil Pesto Flat Iron Steak,https://www.allrecipes.com/recipe/161598/lemon-basil-pesto-flat-iron-steak/,"{'quantity': '4', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '2', 'unit': 'cups', 'name': 'packed fresh basil leaves'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'pine nuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'extra-virgin olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '6', 'unit': '(6 ounce)', 'name': 'flat iron steaks'}, {'quantity': '2', 'unit': 'large cloves', 'name': 'garlic, minced'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Chop garlic cloves in a food processor until minced. Add basil and pine nuts and pulse a few times to combine. With the food processor running, slowly pour in olive oil, stopping once or twice to scrape down the sides. Add Parmesan cheese, lemon juice, and red pepper flakes and pulse until blended. Season with salt and pepper.. Preheat an outdoor grill to medium-high heat and lightly oil the grate.. Rub steaks with minced garlic and season with salt and pepper.. Grill steaks to the desired degree of doneness on the preheated grill, about 4 minutes per side for medium. Baste steaks occasionally with a little of the pesto sauce. Once done, serve topped with the remaining pesto.","calories: 569, fat: 44g, carbs: 4g, protein: 40g, servings: 6"
Flat Iron Steak with Mushroom Sauce,https://www.allrecipes.com/recipe/231521/flat-iron-steak-with-mushroom-sauce/,"{'quantity': '1', 'unit': '(1 pound)', 'name': 'flat iron steak'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil, divided'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cremini mushrooms'}, {'quantity': '½', 'unit': 'cup', 'name': 'Burgundy wine'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef stock'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh chives'}","Preheat the oven to 325 degrees F (165 degrees C).. Season both sides flat iron steak with salt, black pepper, garlic powder, and onion powder. Heat a heavy, oven-proof skillet over medium-high heat; add 2 teaspoons vegetable oil and heat until oil shimmers. Add steak; sear until well browned, about 3 minutes per side. Remove steak from skillet and reduce heat to medium.. Add remaining 1 teaspoon vegetable oil to skillet. Add mushrooms; cook and stir until wilted and browned, about 10 minutes. Reduce heat to medium-low; add wine to skillet and bring to a boil. Cook until wine is slightly reduced, 3 to 5 minutes; add beef stock and bring to a simmer.. Mash butter and flour into a paste in a small bowl, using a fork; stir into mushroom mixture and simmer until sauce is thickened, about 5 minutes. Return flat iron steak to the skillet.. Cook in the preheated oven until steak is barely pink inside, about 10 minutes. Cut steak into thin slices on the diagonal; place on a platter.. Stir cream into mushroom sauce until heated through, 1 to 2 minutes; pour over steak and garnish with chives.","calories: 437, fat: 31g, carbs: 7g, protein: 28g, servings: 4"
Asian Flat Iron Steak,https://www.allrecipes.com/recipe/237770/asian-flat-iron-steak/,"{'quantity': '½', 'unit': 'cup', 'name': 'reduced-sodium soy sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'rice wine vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced green onions'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mustard powder'}, {'quantity': '2', 'unit': 'pounds', 'name': 'flat iron steak'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame seeds (Optional)'}","Whisk soy sauce, vinegar, brown sugar, green onions, garlic, and mustard powder together in a bowl; pour into a resealable plastic bag. Add the steak, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator, 3 to 4 hours.. Remove steak from marinade and discard remaining marinade.. Heat a non-stick skillet over medium-high heat; cook steak just until outside is browned and seared, about 1 minute per side. Continue to cook until desired doneness is reached, about 5 minutes more per side. An instant-read thermometer inserted into the center should read 140 degrees F (60 degrees C). Remove skillet from heat and allow steak to rest before cutting, 3 to 5 minutes. Sprinkle sesame seeds over steak.","calories: 538, fat: 29g, carbs: 19g, protein: 50g, servings: 4"
