name,link,ingredients,steps,nutrition
15 Christmas Cookies That Won't Crumble in the Mail,https://www.allrecipes.com/gallery/christmas-cookies-to-mail/,,,
30 Mason Jar Gift Ideas for Friends and Family,https://www.allrecipes.com/gallery/mason-jar-gift-ideas/,,,
14 Last Minute Christmas Food Gifts,https://www.allrecipes.com/gallery/last-minute-christmas-food-gifts/,,,
How to Make Homemade Liqueurs,https://www.allrecipes.com/article/homemade-liqueurs/,,,
Instant Gingerbread Hot Chocolate,https://www.allrecipes.com/instant-gingerbread-hot-chocolate-recipe-8418431,"{'quantity': '1', 'unit': 'cup', 'name': 'cocoa'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1/4', 'unit': 'easpoon', 'name': 'cloves'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper (optional)'}",,"calories: 73, fat: 0g, carbs: 17g, protein: 1g, servings: 20"
Panettone,https://www.allrecipes.com/recipe/9426/panettone-loaves/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '2', 'unit': '(.25 ounce) packages', 'name': 'active dry yeast'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'warm milk'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '12', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'candied mixed fruit'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'grated lemon zest'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'orange zest'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cream'}, {'quantity': '3', 'unit': '(7 x 4-inch)', 'name': 'round paper panettone molds'}","To make sponge, warm a small bowl by rinsing it with hot water. Pour in warm water and sprinkle 1 package yeast on it. Let stand until yeast has dissolved. Stir in 1/2 cup flour, cover with plastic wrap, and let stand 30 minutes, or until doubled. Sprinkle remaining yeast over warm milk. Let stand until dissolved. Beat together sugar, eggs, egg yolks, and vanilla. Stir in milk-yeast mixture. Add sponge and stir until well incorporated.. Combine butter and remaining 3 ½ cups flour until crumbly. Slowly pour in egg mixture and beat on high speed 3 to 4 minutes, until dough is elastic looking and long strands form. Beat in fruit and zests. Turn dough into oiled bowl, cover with plastic wrap, and leave in a warm place to rise until doubled, about 2 to 3 hours.. Brush inside of three 7 x 4-inch paper molds with melted butter. Turn dough out onto a lightly floured work surface and knead a few times to deflate. Divide dough into 3 pieces. Roll each piece into a ball and drop into prepared molds; place on a baking sheet about 4-inches apart and cover loosely with plastic wrap. Let rise in a warm place until doubled again, about 2 hours.. Preheat the oven to 400 degrees F (200 degrees C). Cut an X in top of each loaf with oiled scissors. Combine egg yolk with cream. Brush tops of loaves lightly with egg wash.. Place baking sheet with loaves in bottom 1/3 of preheated oven. After 10 minutes, lower heat to 375 degrees F (190 degrees C). Continue to bake for 30 more minutes; if tops get too brown, cover with foil. Loaves are done when a wooden skewer inserted into centers comes out clean. Cool on wire rack.","calories: 153, fat: 6g, carbs: 23g, protein: 3g, servings: 36"
Biscotti,https://www.allrecipes.com/recipe/17241/biscotti/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'anise extract, or 3 drops anise oil'}, {'quantity': '3 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}",,"calories: 96, fat: 4g, carbs: 14g, protein: 2g, servings: 36"
Creole Seasoning Blend,https://www.allrecipes.com/recipe/38214/creole-seasoning-blend/,"{'quantity': '5', 'unit': 'tablespoons', 'name': 'paprika'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'onion powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cayenne pepper'}","Gather all ingredients.. Combine paprika, salt, onion powder, garlic powder, oregano, basil, thyme, black pepper, white pepper, and cayenne pepper.. Store in an airtight container.","calories: 16, fat: 0g, carbs: 3g, protein: 1g, servings: 20"
The Best Scottish Shortbread,https://www.allrecipes.com/recipe/232956/scotch-shortbread/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, at room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar, or as needed'}","Preheat the oven to 300 degrees F (150 degrees C).. Mix together flour, butter, and 1/2 cup sugar in a bowl with your hands until well combined. Press dough into an ungreased 11 ½ x 7 ½-inch sheet tray or jelly roll pan. Sprinkle with 1 tablespoon sugar.. Bake in the preheated oven until edges are light brown, 20 to 30 minutes.. Cut shortbread into squares in the pan while still warm. Cool completely before removing squares from the pan.","calories: 267, fat: 16g, carbs: 29g, protein: 3g, servings: 12"
Russian Tea Cakes,https://www.allrecipes.com/recipe/10192/russian-tea-cakes-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped walnuts'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'powdered sugar, or more as needed'}",,"calories: 101, fat: 7g, carbs: 8g, protein: 1g, servings: 36"
