name,link,ingredients,steps,nutrition
Spanish-Style French Toast (Torrijas),https://www.allrecipes.com/spanish-style-french-toast-torrijas-recipe-8735953,"{'quantity': '4', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': None, 'name': 'orange, zested'}, {'quantity': '1', 'unit': None, 'name': 'lemon, zested'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '2', 'unit': None, 'name': 'whole cloves'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '2', 'unit': 'large', 'name': 'whole eggs'}, {'quantity': '4', 'unit': 'slices', 'name': 'French bread or brioche'}, {'quantity': '1', 'unit': 'cup', 'name': 'olive oil, or as needed, for frying'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'turbinado sugar (raw sugar)'}","Combine milk, white sugar, salt, orange zest, lemon zest, cinnamon, cloves, and vanilla in a saucepan, whisk, and bring to a simmer over medium-heat. Reduce heat to medium-low and simmer gently for 5 minutes.. Strain milk through a mesh strainer and transfer 2 cups into a shallow dish in which to soak stale bread; set aside.. Transfer remaining 2 cups infused milk into a saucepan to make the custard sauce; add yolks and whisk thoroughly. Return saucepan to medium-low heat, and cook, stirring with a spatula and scraping the bottom constantly, until the mixture gets hot and thickens enough to coat the back of a spoon. Remove from heat; immediately pour through a fine mesh strainer. Let cool and refrigerate until needed.. Soak stale bread in milk, turning a few times, until most of milk is absorbed and bread is saturated. Remove to a pan or plate and refrigerate until needed.. Beat whole eggs in a wide shallow bowl. Coat bread on both sides in the egg.. Pour olive oil, 1/4  to 1/2 inch deep into a nonstick skillet, and heat over medium heat. Fry soaked bread in the hot oil until browned and puffed, about 4 minutes per side. When fully cooked, the bread will spring back when touched in the center.. Remove to a plate. Top each slice with 1 tablespoon turbinado sugar. Use a blowtorch with a low flame to brûlée the surface. Serve immediately with custard sauce.","calories: 874, fat: 17g, carbs: 161g, protein: 30g, servings: 4"
Bacon Stuffed French Toast Sliders,https://www.allrecipes.com/bacon-stuffed-french-toast-sliders-recipe-8674932,"{'quantity': '1', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '1', 'unit': '(12 count) package', 'name': 'Hawaiian rolls'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper, or more to taste'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'maple syrup'}, {'quantity': None, 'unit': None, 'name': ""confectioner's sugar, for serving (optional)""}","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil, and lay bacon strips in a single layer on the sheet.. Bake in the preheated oven until browned and crisp, about 15 minutes. Drain bacon slices on paper towels.. Reduce the oven temperature to 325 degrees F (160 degrees C). Slice rolls in half lengthwise. Spread 2 tablespoons butter over the cut side of bottom half of rolls. Top evenly with brown sugar and cayenne pepper. Arrange bacon slices over brown sugar mixture.. Spread 1 tablespoon butter evenly into the bottom of a 9x13-inch casserole dish. Place the prepared sandwich half in the buttered pan.. Whisk eggs, half-and-half, vanilla, salt, and syrup together in a separate 9x13-inch baking dish. Add top half of rolls to egg mixture and turn a couple times to coat and lightly soak the bread. Allow the excess egg mixture to drip off and place top half of rolls over bacon layer. Cover with foil. Discard any excess egg mixture.. Bake in the preheated oven for 15 minutes. Uncover and bake until golden brown and lightly toasted, 5 to 10 minutes more.. Spread remaining butter over the tops. Cut into 12 servings. Dust with confectioner's sugar. Serve with syrup for dipping.","calories: 335, fat: 21g, carbs: 20g, protein: 17g, servings: 12"
Individual Bourbon-Pecan French Toast Bakes,https://www.allrecipes.com/individual-bourbon-pecan-french-toast-bakes-recipe-8690600,"{'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Bourbon whiskey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '5 1/2', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'whole-grain or challah bread cubes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'flour'}, {'quantity': '1/4', 'unit': 'cup packed', 'name': 'brown sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': None, 'unit': None, 'name': 'confectioners sugar, for garnish'}","Grease 4 (8 to 10 ounce) ramekins. Whisk together milk, eggs, maple syrup, bourbon, vanilla, cinnamon, and salt in a large bowl. Add bread. Toss to combine. Divide among prepared ramekins. Chill, covered, at least 2 hours or up to overnight.. Meanwhile, make Toasted Pecan Butter: Preheat the oven to 325 degrees F (165 degrees C). Spread pecans on a rimmed baking sheet.. Toast in the preheated oven, stirring once or twice, until lightly browned and fragrant, 12 to 15 minutes. Watch closely so they don’t burn. Let cool to room temperature.. Pulse butter, brown sugar, and vanilla in a food processor until combined. Add cooled pecans. Pulse until mixture reaches desired consistency. Chill Toasted Pecan Butter in an airtight container up to 1 month.. To assemble: Preheat the oven to 350 degrees F (175 degrees C). For streusel, stir together flour and brown sugar in a medium bowl. Cut in butter with a pastry blender or 2 knives until mixture resembles coarse crumbs; stir in pecans. Sprinkle streusel over bread mixture in ramekins.. Bake in the preheated oven until puffed and a knife inserted into centers comes out clean, about 30 minutes. Serve warm with Toasted Pecan Butter and garnish with powdered sugar.","calories: 1030, fat: 81g, carbs: 62g, protein: 17g, servings: 4"
Croissant French Toast Bake,https://www.allrecipes.com/croissant-french-toast-bake-recipe-8415810,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '8', 'unit': 'large', 'name': 'croissants (about 1 1/4 pounds), halved horizontally'}, {'quantity': None, 'unit': None, 'name': ""confectioner's sugar""}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Generously coat a 9x13-inch baking dish with nonstick cooking spray.. Whisk together eggs, milk, heavy cream, brown sugar, vanilla, cinnamon, and salt in a large bowl.. Dip each croissant half in the egg mixture until fully soaked.. Arrange dipped croissants in the prepared baking dish, overlapping as needed. Pour any remaining egg mixture over croissants.. Bake in the preheated oven until golden brown and a knife inserted in the center comes out clean, about 30 minutes.. Let stand 15 minutes before serving. Serve with desired toppings.","calories: 325, fat: 19g, carbs: 29g, protein: 9g, servings: 10"
Coffee Creamer French Toast,https://www.allrecipes.com/coffee-creamer-french-toast-recipe-8644003,"{'quantity': '1/2', 'unit': 'cup', 'name': 'coffee creamer'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'brown sugar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1', 'unit': 'splash', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '4', 'unit': 'slices', 'name': 'Italian bread'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': None, 'unit': None, 'name': 'whipped cream (optional)'}, {'quantity': None, 'unit': None, 'name': 'pinch ground cinnamon (optional)'}, {'quantity': None, 'unit': None, 'name': 'prepared caramel sauce, to taste (optional)'}","Whisk egg, coffee creamer, brown sugar, cinnamon, vanilla, and salt together in a shallow dish until foamy and smooth; set aside.. Melt butter in a large nonstick skillet over medium heat.. Soak each slice of bread in egg mixture, 5 to 7 seconds per side. Place bread into the skillet, cook until golden brown on both sides, 3 to 4 minutes per side.. Serve immediately. If desired, top with whipped cream, a dash of cinnamon, and caramel sauce.","calories: 271, fat: 13g, carbs: 31g, protein: 4g, servings: 2"
Baked Yogurt Custard Toast,https://www.allrecipes.com/baked-yogurt-custard-toast-recipe-8600851,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'slices', 'name': 'French bread'}, {'quantity': '1/2 cup plus 2', 'unit': 'tablespoons', 'name': 'Greek yogurt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'blueberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'strawberries'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh lemon juice'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with a silicone mat or parchment.. Butter one side of bread, and place butter-side-down on the prepared baking sheet.. Whisk together yogurt, honey, vanilla extract, lemon zest, egg, and salt in a mixing bowl. Spoon custard mixture over bread, all the way to the edges, and pressing down lightly as you apply, to help the bread absorb as much as possible. Try to use all the custard.. Bake in the preheated oven until golden brown, 20 to 25 minutes.. Meanwhile, stir blueberries, strawberries, maple syrup, and lemon juice together in a bowl; set aside until needed.. Serve custard toast immediately topped with fresh fruit.","calories: 562, fat: 17g, carbs: 78g, protein: 24g, servings: 2"
Baked French Toast,https://www.allrecipes.com/recipe/20934/baked-french-toast/,"{'quantity': '1', 'unit': '(1 pound) loaf', 'name': 'French bread, cut diagonally in 1 inch slices'}, {'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'half-and-half cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'brown sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'light corn syrup'}",,"calories: 395, fat: 20g, carbs: 44g, protein: 11g, servings: 12"
Orange French Toast Bake,https://www.allrecipes.com/orange-french-toast-bake-recipe-8559240,"{'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'riple Sec'}, {'quantity': '1/2', 'unit': None, 'name': 'orange, zested and juiced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'nutmeg'}, {'quantity': '12', 'unit': 'slices', 'name': 'cinnamon raisin bread'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'confectioners sugar, or as needed (optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'maple syrup, or as needed'}","Preheat the oven to 375 degrees F (190 degrees C). Lightly grease two large baking sheets or line with parchment paper, lightly sprayed with cooking spray, which will keep the bread from sticking.. In a bowl, whisk eggs until light in color. Add milk, sugar, orange liqueur, orange juice, orange zest, orange extract, salt, and nutmeg, whisking until well combined.. Coat bread slices in the egg custard, and place on the baking sheets without overlapping. Bake until golden brown, flipping halfway through baking time, about 15 minutes.. To serve, sprinkle with confectioners sugar and drizzle with maple syrup.","calories: 186, fat: 3g, carbs: 34g, protein: 5g, servings: 12"
Cinnamon-Raisin French Toast Muffins,https://www.allrecipes.com/cinnamon-raisin-french-toast-muffins-recipe-7972967,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'half and half'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'cups', 'name': 'cinnamon raisin bread'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'light brown sugar'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'maple syrup, or to taste (optional)'}","Preheat the oven to 350 degrees (180 degrees C). Butter a standard-size 6-muffin tin.. In a large mixing bowl, whisk together half and half, eggs, sugar, vanilla, and salt until well blended. Add bread cubes to liquid mixture; stir to coat all bread pieces. Divide batter evenly into the prepared muffin tin.. To prepare streusel, toss flour, brown sugar, and cinnamon together in a bowl. Cut cold butter into small pieces, then toss with flour mixture. Using a fork or pastry knife, cut the butter into the dry ingredients, until the mixture looks like a combination of coarse sand and small pebbles. Distribute streusel evenly over the 6 muffins.. Bake muffins in the center of the preheated oven until golden brown, 35 to 40 minutes. Cool muffins on a rack for 5 minutes. Drizzle with maple syrup, and serve warm.","calories: 450, fat: 15g, carbs: 68g, protein: 12g, servings: 6"
PB&J Stuffed French Toast,https://www.allrecipes.com/pb-and-j-stuffed-french-toast-recipe-7966411,"{'quantity': '8', 'unit': 'slices', 'name': 'brioche bread'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'jelly'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1/4', 'unit': None, 'name': 'butter, divided'}, {'quantity': '1/2', 'unit': 'tablespoon', 'name': 'powdered sugar, or to taste (for dusting)'}","Spread 1 tablespoon peanut butter over the center of 4 slices of bread, taking care not to spread it all the way to the edges. Repeat with remaining bread slices and jelly.  Place peanut butter slices on top of the jelly slices to make a peanut butter and jelly sandwich.. Whisk eggs, milk, and cinnamon together in a shallow dish until well combined.  Place one sandwich in egg mixture, allowing it to soak through just slightly.  Flip and repeat.. Heat 1 tablespoon butter in a skillet over medium heat.  Place sandwich into skillet and cook until golden and lightly toasted, about 4 minutes.  Flip and repeat until egg is cooked through and the sandwich is toasted on both sides.  Repeat with the remaining sandwiches,  egg mixture, and butter.. Dust with powdered sugar and serve immediately.","calories: 840, fat: 50g, carbs: 79g, protein: 22g, servings: 4"
