name,link,ingredients,steps,nutrition,image_url
Air Fryer Lemon Garlic Parmesan Chicken,https://www.allrecipes.com/air-fryer-lemon-garlic-parmesan-chicken-recipe-8726749,"{'quantity': '1 1/2', 'unit': 'pounds', 'name': 'skinless boneless chicken thighs'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'panko bread crumbs'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}","Gather all ingredients.. Preheat an air fryer to 400 degrees F (200 degrees C).. Place chicken in a large bowl. Add garlic, lemon zest, paprika, oregano, salt, and crushed red pepper; toss to coat chicken in the seasonings.. Combine Parmesan cheese and panko in a shallow dish. Dredge chicken in Parmesan mixture to coat. Sprinkle any remaining mixture over chicken; pat to adhere.. Coat the chicken generously with cooking spray.. Lightly coat air fryer basket with cooking spray. Place chicken in prepared basket (cook in batches, if needed). Air fry 12 minutes or until an instant-read thermometer inserted in the center reads 170 degrees F (77 degrees C).. Serve immediately.","calories: 365, fat: 17g, carbs: 8g, protein: 46g, servings: 4",https://www.allrecipes.com/thmb/5nJvgXENSeFx82N1d7DMd3TMKqo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8726749-Air-Fryer-Lemon-Garlic-Parmesan-Chicken-ddmfs-5770-4x3-beauty-5c66fac06d8040abac905e15b2b9c44a.jpg
Classic Spicy Southern Fried Chicken,https://www.allrecipes.com/classic-spicy-southern-fried-chicken-recipe-8707359,"{'quantity': '1', 'unit': None, 'name': 'whole chicken'}, {'quantity': '2', 'unit': 'cups', 'name': 'buttermilk'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '7', 'unit': 'dashes', 'name': 'hot sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground black pepper, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil'}","Combine chicken, buttermilk, eggs, hot sauce, 1 tablespoon salt, and 1 tablespoon black pepper in a large bowl. Stir until coated. Cover and refrigerate for at least 20 minutes or up to overnight,. Combine flour, remaining 1 teaspoons salt, remaining 1 tablespoon black pepper, onion powder, garlic powder, paprika, oregano, and cayenne in a large bowl; whisk until well combined. Set a wire rack over a rimmed baking sheet.. Remove chicken from the refrigerator. Working with one piece at a time, remove from the marinade and allow excess to drip off into flour dredge. Drop chicken into flour dredge. Coat evenly in the flour mixture, pressing dredge onto chicken. Set pieces on the prepared wire rack. When all pieces are coated, dredge and press each piece a second time; return chicken to the wire rack.. Pour oil into a large Dutch oven to a depth of 1 inch. Heat over medium-high heat until it reaches 350 degrees F (175 degrees C). Place a clean wire rack over a paper towel-lined baking sheet.. Add a few chicken pieces to the hot oil and cook, turning once or twice, until golden brown on the outside, no longer pink at the bone, and the juices run clear, 10 to 15 minutes. An instant read thermometer inserted near the bone should read 165 degrees F (74 degrees C). Maintain the oil temperature around 320 degrees F (160 degrees C) during cooking. Remove chicken to the prepared clean wire rack. Return oil to 350 degrees F (175 degrees C) and repeat to fry remaining chicken. Serve immediately.","calories: 503, fat: 29g, carbs: 29g, protein: 31g, servings: 8",https://cdn.jwplayer.com/v2/media/vsnpJLMn/thumbnails/iEX68opZ.jpg
Chicken Fried Bacon,https://www.allrecipes.com/chicken-fried-bacon-recipe-8633454,"{'quantity': '4', 'unit': 'cups', 'name': 'peanut oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'thick-cut bacon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'multi-purpose seasoning blend'}, {'quantity': '2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'beer or water'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ranch dressing'}","Line a rimmed baking sheet with paper towels and set a wire rack inside.. Heat oil in a large deep skillet or Dutch oven over medium heat to 350 degrees F (175 degrees C). Meanwhile, cut bacon in half crosswise and season evenly on both sides with multi-purpose seasoning.. Whisk together flour, salt, pepper, and paprika in a shallow bowl. Alternatively, season flour with additional multi-purpose seasoning blend. Whisk eggs, beer, and syrup together in a separate shallow bowl.. Coat each piece of bacon lightly in seasoned flour. Then coat in egg mixture, allowing the excess to drip off. Coat once more in flour mixture; set aside until all pieces are coated and oil is hot.. Working a few pieces at a time, fry each piece in hot oil, flipping occasionally, until crispy golden brown, 4 to 5 minutes. Maintain the oil temperature between 330 and 350 degrees F (165 to 175 degrees C) while cooking. Drain bacon on the prepared wire rack. Repeat with remaining bacon.. Serve with ranch dressing for dipping.","calories: 512, fat: 33g, carbs: 27g, protein: 24g, servings: 8",https://cdn.jwplayer.com/v2/media/ZA8HDDJ4/thumbnails/cqpZYwQJ.jpg
Crispy Caesar Chicken Cutlets,https://www.allrecipes.com/crispy-caesar-chicken-cutlets-recipe-8430531,"{'quantity': '1', 'unit': 'cup', 'name': 'seasoned croutons'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'seasoned breadcrumbs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'Parmesan cheese,'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon pepper seasoning'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground mustard'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'Caesar dressing'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '6', 'unit': '4 ounce)', 'name': 'chicken breasts cutlets'}",,"calories: 583, fat: 35g, carbs: 30g, protein: 34g, servings: 6",https://cdn.jwplayer.com/v2/media/zvRLGgZM/thumbnails/IvNlPIwi.jpg
Flamin’ Hot Cheetos Fried Chicken,https://www.allrecipes.com/flamin-hot-cheetos-fried-chicken-recipe-8423963,"{'quantity': '6', 'unit': 'cups', 'name': 'CHEETOS'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pound', 'name': 'chicken breast tenderloins (about 8 pieces)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}","Place Cheetos in a blender and pulse until fine crumbs. Pour crumbs into a 1-gallon resealable plastic bag. Add cayenne and salt. Seal the bag and shake to combine.. Place chicken tenders in a 1-quart resealable plastic bag. Add mayonnaise. Seal the bag and massage chicken in mayonnaise until evenly coated.. Transfer 2 chicken tenders from their bag to the bag with Cheeto crumbs. Seal the bag and shake until evenly coated. Place tenders on a plate. Repeat with remaining tenders.. Heat oil in a skillet over medium high heat. Add breaded chicken tenders in a single layer and cook for 6 minutes. Using a spatula, flip tenders over and cook until tenders are no longer pink in the center and the juices run clear, about 6 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).","calories: 636, fat: 40g, carbs: 28g, protein: 38g, servings: 4",https://www.allrecipes.com/thmb/r_si66BxHof46rYZ8OhdSiEPROo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8423963_Flamin-Hot-Cheetos-Fried-Chicken_Nicole-Russell_4x3-8f810385234b43aca5cd12a2b2fe3e96.jpg
Dooky Chase-Style Fried Chicken,https://www.allrecipes.com/dooky-chase-style-fried-chicken-recipe-7971700,"{'quantity': '4', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1 (4', 'unit': 'pound)', 'name': 'whole chicken'}, {'quantity': '2', 'unit': 'quarts', 'name': 'vegetable oil for frying'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}",,"calories: 1763, fat: 110g, carbs: 49g, protein: 135g, servings: 4",https://cdn.jwplayer.com/v2/media/9codUK5p/thumbnails/tsEZWCuO.jpg
Alligator Nuggets,https://www.allrecipes.com/alligator-nuggets-recipe-7375035,"{'quantity': '4', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': None, 'unit': 'ounces', 'name': 'seasoned crispy fish fry seafood breading mix (Louisiana® brand)'}, {'quantity': '1', 'unit': 'pound', 'name': 'Louisiana alligator prime filet,'}","Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C).. Pour fish fry mix into a 1-gallon resealable plastic bag. Add alligator nuggets, reseal the bag, and shake to coat. Let stand for 5 minutes. Shake the bag again.. Place half of seasoned alligator nuggets in the deep fryer. Cook until golden brown and nuggets float to the top of the oil, about 3 minutes. An instant-read thermometer inserted in the center should read at least 160 degrees F (70 degrees C). Using tongs, transfer nuggets to a paper-towel lined plate.. Repeat Step 3 with remaining nuggets. Serve immediately.","calories: 462, fat: 29g, carbs: 18g, protein: 31g, servings: 4",https://www.allrecipes.com/thmb/l9AfanG98zL6T5ZHVtnuASYS3D0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7375035_Alligator-Nuggets_Soup-Loving-Nicole_4x3-5f5756d2bfcc4c17ad1590f4328e97f7.jpg
Chef John's Buttermilk Fried Chicken,https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,"{'quantity': '1', 'unit': '(3 1/2) pound', 'name': 'chicken, cut into 8 pieces'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried rosemary'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground thyme'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried sage'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'buttermilk'}, {'quantity': '2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '2 ½', 'unit': 'quarts', 'name': 'peanut oil for frying'}",,"calories: 1262, fat: 85g, carbs: 56g, protein: 66g, servings: 4",https://cdn.jwplayer.com/v2/media/w3Tc7LxP/poster.jpg?width=720
Roscoe's Korean Fried Chicken,https://www.allrecipes.com/roscoes-korean-fried-chicken-recipe-8707371,"{'quantity': '12', 'unit': 'wingette or drummette', 'name': 'chicken wings'}, {'quantity': '6', 'unit': None, 'name': 'chicken legs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ginger'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'potato starch'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'cup', 'name': 'wheat dextrin, (Such as EverCrisp'}, {'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ginger'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'gochujang'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white vinegar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'toasted sesame seeds, or as needed for garnish (optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'peanuts , or as needed for garnish (optional)'}","Place a wire rack inside a rimmed baking sheet. In a large bowl toss chicken wings, chicken legs, ginger, garlic, salt, pepper, and water together. Mix well.. In another bowl combine flour, potato starch, cornstarch, and EverCrisp in a large mixing bowl. Whisk ingredients until fully mixed. Season with salt and pepper.. Add 1 cup of flour mixture to the bowl with chicken. Mix into chicken and water to make a very thin batter.. Add chicken to the flour bowl and toss and press until completely dredged in mixture. Place on the prepared wire rack until ready to fry.. Heat oil in a deep fryer or large saucepan to 325 degrees F (165 degrees C). Line a second rimmed baking sheet with paper towels, and place a clean wire rack on top.. Add chicken pieces to the hot oil about 5 pieces at a time so as not to drop the temperature of the oil. Fry for 6 minutes. Transfer chicken to the rack over the paper towel-lined baking sheet tray. Continue with remaining chicken pieces.. Increase oil temperature to 350 degrees F (175 degrees C) until continuously boiling. Carefully add the first batch of cooked chicken and fry again until cooked through and crispy, about 5 minutes more. Transfer to a plate lined with paper towels to drain. Repeat with the second batch of chicken pieces.. Transfer chicken to a medium-sized serving bowl. Heat a small saucepan over medium-low heat. Add sesame oil, grated garlic, grated ginger, brown sugar, gochujang paste, vinegar, and 1/2 cup water. Cook and stir continuously until sugar has melted and sauce is smooth, about 5 minutes. Drizzle sauce over twice-fried chicken pieces, garnish with sesame seed and peanuts, and serve.","calories: 750, fat: 41g, carbs: 70g, protein: 26g, servings: 6",https://cdn.jwplayer.com/v2/media/vsnpJLMn/thumbnails/iEX68opZ.jpg
Gospel Bird: The Sacred Roots of Fried Chicken,https://www.allrecipes.com/article/gospel-bird-how-fried-chicken-went-to-church/,,,,https://www.allrecipes.com/thmb/jIAv-z1CyDeIOPeXSLHQvEyAz6c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/fried-chicken-photo-by-meredith-MDP_9822_f3d1bc71fe8556f0c7c862a9ac20ae98cae7e328-cropped-8a99dd80499d4fe596c779a387b8d2ed.jpg
