name,link,ingredients,steps,nutrition,image_url
Chicken Adobo Fried Rice,https://www.allrecipes.com/chicken-adobo-fried-rice-recipe-8723894,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'green peas'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'carrots'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'pound', 'name': 'chicken adobo'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'white pepper'}, {'quantity': '1', 'unit': 'large', 'name': 'egg,'}, {'quantity': '2', 'unit': None, 'name': 'green onions'}","Pour oil into a large, nonstick skillet over medium heat. When oil is hot, add onions and stir about 1 minute. Add garlic and stir about 30 seconds.. Stir in frozen green peas and matchstick carrots and cook, stirring, 3 to 4 minutes. Add rice and stir in sesame oil and soy sauce. Cook, stirring, about 2 minutes.. Stir in chicken, using a lifting motion, to make sure all the rice is coated with any sauce from the chicken adobo. Cook and stir about 2 minutes. Season with salt and white pepper.. Move the skillet contents to one side of the skillet and pour in beaten egg. Allow egg to spread into a thin layer. When egg is set, score into strips, then stir into rice mixture. Remove from heat. Sprinkle on chopped scallions and serve warm.","calories: 464, fat: 22g, carbs: 32g, protein: 33g, servings: 4",https://www.allrecipes.com/thmb/rFhvxyQnTEbAPEWcsp2_P8PyM74=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8723894_Chicken-Adobo-Fried-Rice_Brenda-Venable_4x3-62a51772b0b749ab92452a264860c135.jpg
Hot Dog Fried Rice,https://www.allrecipes.com/hot-dog-fried-rice-recipe-8702340,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'peanut oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'onion'}, {'quantity': '6', 'unit': None, 'name': 'hot dogs, sliced'}, {'quantity': '3', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen mixed vegetables'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': None, 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce, plus more to taste'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'riracha'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '3', 'unit': None, 'name': 'green onions, thinly sliced'}","Heat oil over high in a large deep skillet or wok. Add onions and cook until lightly browned and softened, about 2 minutes. Add hot dogs and cook, stirring constantly until browned. Add in rice and sesame oil and cook, stirring constantly, about 1 minute. Stir in ginger, garlic, salt and pepper.. Spread mixture into an even layer and cook, undisturbed, until rice is lightly toasted, about 2 minutes. Add in mixed vegetables and stir, then cook undisturbed for 2 minutes. Push rice mixture to the sides and create a space in the center of the skillet. Add butter to the skillet and allow to melt. Crack in eggs and cook, stirring only the eggs until they are soft scrambled. Fold eggs into rice mixture and stir until evenly mixed. Stir in vinegar and soy sauce and cook for 1 minute. Remove from heat.. Combine mayo, Sriracha and lemon juice in a small bowl. Serve fried rice topped with a drizzle of mayo mixture and sprinkle with green onions.","calories: 683, fat: 47g, carbs: 46g, protein: 19g, servings: 4",https://cdn.jwplayer.com/v2/media/hNgbh90t/thumbnails/fLm4mu2q.jpg
Easy Chicken Fried Rice,https://www.allrecipes.com/easy-chicken-fried-rice-recipe-8644579,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'canola oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'diced carrots'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced green onions, white and lighter green parts'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '3', 'unit': 'cups', 'name': 'cold cooked rice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded cooked chicken'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen peas'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Sriracha mayonnaise, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sliced green onions, or to taste'}","Heat canola and sesame oils in a large, nonstick skillet over medium-high heat. Add carrot and 1/4 cup green onion; cook, stirring constantly, for 1 minute. Stir in garlic powder and ginger and cook for 2 minutes. Stir in rice, salt, and pepper; cook, stirring only once or twice, until rice is lightly browned, about 4 to 5 minutes. Stir in chicken and peas; cook for 2 minutes.. Push rice mixture to the sides of the pan, creating a circle in the middle. Add butter to the center of the pan. When melted, pour eggs into the center. Cook eggs, stirring often, until almost set, about 3 minutes. Stir eggs into the rice mixture. Stir in soy sauce and rice vinegar; cook for 2 more minutes.. Serve immediately topped with Sriracha mayo and green onions.","calories: 425, fat: 22g, carbs: 40g, protein: 17g, servings: 4",https://www.allrecipes.com/thmb/p4XS4g4VZigrZ_sdAfVpqo2SDIA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8644579_EasyOne-PanChickenFriedRice_RamonaCruz-Peters4x3-08943d4ae5b54cada908b4284097690c.jpg
Winter Vegetable Fried Rice,https://www.allrecipes.com/winter-vegetable-fried-rice-recipe-8401851,"{'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced or shaved'}, {'quantity': '2', 'unit': 'cups', 'name': 'green cabbage'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'snow peas'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'bean sprouts'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked brown rice'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'green onion'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'low-sodium soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'hot chili sauce, or more to taste'}","Spray a wok or deep skillet with cooking spray and preheat over medium-high heat.. Whisk eggs and water in a bowl until well mixed. Scramble eggs in wok until no longer runny, but still moist, about 1 minute. Remove from wok or skillet; set aside.. Wipe out the wok and return to medium-high heat. Add oil and garlic. Cook garlic until fragrant, about 30 seconds, stirring frequently. Add cabbage, carrots, snow peas, onions, and sprouts . Cook for 2 minutes, stirring frequently to mix ingredients. Add rice, egg, green onion, soy sauce, and chili sauce. and cook until heated through, 3 to 4 minutes, stirring frequently.","calories: 419, fat: 17g, carbs: 51g, protein: 17g, servings: 3",
Cabbage Fried Rice,https://www.allrecipes.com/cabbage-fried-rice-recipe-8384727,"{'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'sesame oil, divided'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'small', 'name': 'yellow onion, chopped'}, {'quantity': '1', 'unit': 'small', 'name': 'green pepper, chopped'}, {'quantity': '3', 'unit': 'cups', 'name': 'cabbage'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked white rice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ginger'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes (optional)'}, {'quantity': '1', 'unit': None, 'name': 'green onion, thinly sliced (optional)'}","In a bowl, whisk eggs with salt and pepper.. Heat a large skillet over medium high heat; add 1/2 tablespoon sesame oil. Cook and stir eggs in the hot oil until scrambled and set, 3 to 4 minutes. Transfer eggs to a plate, clean the pan, and return to medium high heat.. Pour in remaining 2 tablespoons sesame oil, then add garlic and cook for 1 minute. Stir in onions and green peppers and cook for about 5 minutes. Add cabbage and cook until softened, about 5 minutes more.. Stir in cooked rice, soy sauce, grated ginger, and cooked eggs. Stir until combined and heated thoroughly, about 5 minutes. Add red pepper flakes and top with green onions. Serve warm.","calories: 284, fat: 13g, carbs: 34g, protein: 10g, servings: 4",https://www.allrecipes.com/thmb/7p6FKkRR17T6WAWlassoBLv2ZZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8384727_Cabbage-Fried-Rice_Chef-Mo_4x3-2f19c0d33b4b44a0a16a1f58e3858c56.jpg
Easy Kimchi Fried Rice,https://www.allrecipes.com/recipe/277723/kimchi-fried-rice/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'drops', 'name': 'sesame oil, or to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded carrots'}, {'quantity': '2', 'unit': '', 'name': 'scallions, white and light green parts, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'cubed, fully cooked ham'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped kimchi'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'gochujang (Korean chile paste)'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Warm butter and olive oil together over medium-high heat in a large skillet or wok. Add in sesame oil. Add onion, carrots, and scallions and cook until onion is translucent, about 2 minutes. Mix in cubed ham and kimchi; cook for 1 more minute. Season with garlic powder.. Stir in rice and cook until mixture is heated throughout. Drizzle soy sauce over top and mix in gochujang. Stir until well combined and adjust seasoning with salt and pepper.","calories: 247, fat: 12g, carbs: 29g, protein: 7g, servings: 4",https://www.allrecipes.com/thmb/A46YbaPKZPAC_m-nK8E2cQGAO58=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7462948-279c10fd431346f59dff0b52ce619c22.jpg
Air Fryer Shrimp Fried Rice,https://www.allrecipes.com/air-fryer-shrimp-fried-rice-recipe-7555952,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'canola oil'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'carrot'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, divided'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '1', 'unit': 'pound', 'name': 'raw shrimp'}, {'quantity': '2', 'unit': 'ounce', 'name': 'brown rice'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'green peas'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'rice vinegar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'toasted sesame seeds, or as needed (optional)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'Sriracha mayonnaise,'}, {'quantity': '1', 'unit': None, 'name': 'scallion, sliced, or as needed'}","Remove the basket insert from air fryer. Preheat the air fryer to 400 degrees F (200 degrees C) for 5 minutes.. Add oil to the basket holder to coat; add onion, carrot, and 1/2 teaspoon of the salt, and stir to combine. Cook for 5 minutes. Add eggs; cook until partially set, about 3 minutes.. Add shrimp, rice, peas, soy sauce, vinegar, pepper, and remaining salt to egg mixture; stir to combine. Cook for 10 minutes. Stir mixture, sprinkle with sesame seeds, if desired, and cook until heated throughout and crisp, 10 to 15 minutes more. Drizzle with Sriracha mayonnaise, and sprinkle with scallions.","calories: 402, fat: 17g, carbs: 37g, protein: 24g, servings: 4",https://www.allrecipes.com/thmb/JlBi-9w_kqIYcUpkqKibu6DvKZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7555952_Air-Fried-Shrimp-Fried-Rice_Meredith-Food-Studios_4x3-355137e17b964f228bc101a425de9308.jpg
Leftover Pork Fried Rice,https://www.allrecipes.com/recipe/8535348/leftover-pork-fried-rice/,"{'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '4', 'unit': '', 'name': 'green onions, chopped, white and green parts separated'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen mixed peas and carrots'}, {'quantity': '¼', 'unit': '', 'name': 'onion, thinly sliced'}, {'quantity': '2', 'unit': '', 'name': 'cooked pork chops, meat cut into 1/2-inch pieces, bones discarded'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}","Whisk eggs and soy sauce in a bowl. Stir in rice, breaking up clumps; set aside.. Melt butter in a wok over medium-high heat. Stir in garlic, white part of green onion, peas and carrots, and onion slices. Stir fry for 3 minutes; stir in pork.. Pour egg mixture into wok; stir fry until eggs are cooked through and rice is golden, and all ingredients are hot, about 7 minutes. Season with salt and ground black pepper; garnish with chopped green onion tops.","calories: 735, fat: 39g, carbs: 56g, protein: 39g, servings: 2",https://www.allrecipes.com/thmb/OJ0BAt7vv0NVPpDQ7PoVaOxBlTs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8535348_Leftover-Pork-Fried-Rice_thedailygourmet_4x3-d5a1926b8a5641868dd48949f09d6463.jpg
Gochujang Fried Rice,https://www.allrecipes.com/recipe/8527056/gochujang-fried-rice/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced fresh ginger'}, {'quantity': '1', 'unit': 'cup', 'name': 'thinly-sliced mixed color bell peppers'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced carrots'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '4', 'unit': 'cups', 'name': 'cooked and refrigerated white rice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'gochujang (Korean hot and sweet pepper paste), or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'low-sodium soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sliced green onions'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'toasted sesame seeds'}","Heat a wok or large skillet over medium-high heat, and add vegetable oil. Add garlic and ginger, and cook until fragrant, about 30 seconds.. Add bell peppers, carrots, and onion, and cook until tender, 4 to 5 minutes. Add a splash of water if the pan gets too dry.. Add rice, gochujang, soy sauce, and sesame oil, mixing everything well, and stir fry until the rice is hot.. Garnish with green onions and sesame seeds, and serve.","calories: 340, fat: 10g, carbs: 55g, protein: 6g, servings: 4",https://www.allrecipes.com/thmb/FPgbqYCT5gQlIIS3ubC2y7AZuFc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1673284720Gochujang20Fried20Rice-2000-6d04212c792745a6b833220126b87e7f.jpeg
Easy Fried Rice,https://www.allrecipes.com/recipe/79543/fried-rice-restaurant-style/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'chopped baby carrots'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen green peas'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced, or to taste (Optional)'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'cups', 'name': 'leftover cooked and chilled white rice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce, or more to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil, or to taste'}",,"calories: 152, fat: 7g, carbs: 19g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/OTrgsEI5/poster.jpg?width=720
