name,link,ingredients,steps,nutrition,image_url
Loaded Sriracha Fries,https://www.allrecipes.com/loaded-sriracha-fries-recipe-8705697,"{'quantity': '2', 'unit': 'pounds', 'name': 'russet potatoes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vegetable oil'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'Sriracha sauce'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'bacon bits'}, {'quantity': '2', 'unit': None, 'name': 'green onions'}","Gather all ingredients.. Place cut fries in a large bowl. Cover with cold water and let stand for 20 minutes.. Preheat the oven to 400 degrees F (200 degrees C) and line a large baking sheet with foil.. Drain potatoes, rinse, and drain in a colander. Place potatoes back in the bowl.. Whisk oil and Sriracha in a small bowl until smooth. Pour mixture over potatoes. Toss to coat.. Arrange fries in a single layer on the prepared baking sheet. Bake in the preheated oven for 20 minutes. Flip fries and bake for 10 minutes more.. Pile fries up into the center of the baking sheet with a spatula. Add shredded Cheddar and bacon bits. Return to the oven and bake until cheese is melted, about 5 minutes.. Top with chopped green onions and serve immediately.","calories: 212, fat: 5g, carbs: 34g, protein: 7g, servings: 6",https://www.allrecipes.com/thmb/IFwvLTvKkFZ4NEREtQD9LNZ3l-s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-8705697-loaded-sriracha-fries-recipe-VAT-4x3-3-77261896a3c1451faf901f60e1c9c1f8.jpg
Air Fryer Sriracha Fries,https://www.allrecipes.com/air-fryer-sriracha-fries-recipe-8694021,"{'quantity': '2 to 3', 'unit': None, 'name': 'russet potatoes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'riracha'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Cut potatoes into fries. Place cut fries into a bowl of water; soak for 1 hour.. Preheat the oven to 200 degrees F (95 degrees C). Line a baking sheet with paper towels and set a wire rack over the sheet.. Preheat the air fryer to 375 degrees F according to manufacturer’s instructions.. Drain fries, and pat dry with a paper towel. Place fries in a resealable plastic bag. Add oil, 1 tablespoon Sriracha, and salt. Seal the bag and toss to coat.. Add fries to bottom of air fryer basket in a single flat layer, not stacked. You will have to work in batches.. Air fry until crispy and golden brown, about 13 minutes.. Place fries on the prepared baking sheet; keep warm in the preheated oven. Repeat with remaining fries.. Place fries on a platter; drizzle with remaining sriracha. Enjoy.","calories: 217, fat: 5g, carbs: 39g, protein: 5g, servings: 3",https://www.allrecipes.com/thmb/psierPSoD9WyKaVecclytZ0YrGM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8694021_Air-Fryer-Sriracha-Fries_TheDailyGourmet_4x3-2d5c88110c614e5385e748ab9e542196.jpg
Loaded Kimchi Fries,https://www.allrecipes.com/loaded-kimchi-fries-recipe-8648412,"{'quantity': '32', 'unit': 'ounce', 'name': 'frozen French fries'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': '8', 'unit': 'ounce', 'name': 'mozzarella cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'Cheez Whiz'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'Sriracha'}, {'quantity': '1', 'unit': 'cup', 'name': 'cabbage kimchi'}, {'quantity': '2', 'unit': None, 'name': 'scallions,'}",,"calories: 500, fat: 32g, carbs: 43g, protein: 13g, servings: 6",https://cdn.jwplayer.com/v2/media/oIu0mimr/thumbnails/Eq6CX4AW.jpg
Loaded Waffle Fries,https://www.allrecipes.com/loaded-waffle-fries-recipe-8551264,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'yellow mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dill pickle relish'}, {'quantity': '12', 'unit': 'ounces', 'name': 'waffle fries'}, {'quantity': '2', 'unit': 'slices', 'name': 'thick cut bacon'}, {'quantity': '8', 'unit': 'ounces', 'name': 'lean ground beef'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Seasoning)'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded lettuce'}, {'quantity': '1', 'unit': None, 'name': 'Roma tomato, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red onion'}","Whisk ketchup, mayonnaise, mustard, and dill pickle relish in a small bowl. Set sauce aside.. Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with foil, and arrange waffle fries on the sheet in a single layer.. Bake fries in the preheated oven until golden, about 20 minutes, or according to package directions.. Meanwhile, place bacon in a skillet over medium-high heat and cook until crisp, about 5 minutes. Transfer bacon to a paper towel-lined plate. Crumble when cool enough to handle.. Heat the same skillet over medium-high heat. Crumble beef into the skillet, sprinkle with Worcestershire pub burger seasoning, and cook and stir until browned, about 8 minutes. Drain in a colander.. Divide beef among the cooked fries and top with cheese. Return baking sheet to the oven and bake until cheese is melted, about 5 minutes.. Top fries with lettuce, tomato, onion, and bacon. Drizzle reserved sauce over the top and serve immediately.","calories: 387, fat: 22g, carbs: 27g, protein: 19g, servings: 6",https://www.allrecipes.com/thmb/NTZvKXS8CftsTF93idfgX1-VCD4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8551264_Loaded-Waffle-Fries_Nicole-Russell_4x3-a16f407ebf004bf0a9a44431d29a17e8.jpg
Waffle Fries,https://www.allrecipes.com/waffle-fries-recipe-7775399,"{'quantity': '2', 'unit': 'pounds', 'name': 'russet potatoes, peeled'}, {'quantity': None, 'unit': None, 'name': 'peanut or vegetable oil for frying'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ill pickle brine'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Sriracha sauce'}",,"calories: 190, fat: 14g, carbs: 15g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/_OmvIZ1nG6yxA85rJjqAMB9t58I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7775399-waffle-fries-ddmfs-4x3-0078-b66e170430614ef2941e5f59de258556.jpg
Loaded Steak Fries,https://www.allrecipes.com/loaded-steak-fries-recipe-7564469,"{'quantity': '1', 'unit': 'cup', 'name': 'light beer'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'orcestershire sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic'}, {'quantity': '1', 'unit': None, 'name': 'lime'}, {'quantity': '1', 'unit': 'pound', 'name': 'sirloin filet steak'}, {'quantity': '1', 'unit': '32', 'name': 'frozen French fries'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'half and half'}, {'quantity': '2', 'unit': 'cups', 'name': 'white Cheddar cheese'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried dill'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'tomato'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red onion'}, {'quantity': '1', 'unit': None, 'name': 'jalapeno, sliced'}","Place beer, Worcestershire sauce, red pepper flakes, and garlic in a resealable plastic bag. Squeeze in lime juice. Add steak, coat with marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for at least 2 hours, or overnight.. Preheat the oven to 425 degrees F (220 degrees C). Spread fries onto a baking sheet and spray with cooking spray.. Bake in the preheated oven until crisp, 25 to 30 minutes, or per package instructions.. Meanwhile, make cheese sauce. Melt butter in a saucepan over medium heat; whisk in flour; whisk continuously until mixture turns golden and forms a smooth paste. Pour in half and half and stir until mixture thickens, 3 to 5 minutes. Stir in cheese until melted, 2 to 3 minutes more. Stir garlic powder, oregano, and dill into the sauce.. Meanwhile, preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove steak from the marinade and shake off excess. Discard remaining marinade. Cook steak on the preheated until firm and reddish-pink and juicy in the center, about 5 minutes per side for medium rare. An instant-read thermometer inserted into the center should read 130 degrees F (54 degrees C). Remove from the grill and let rest for 5 minutes before slicing.. Place French fries evenly on a platter; pour cheese sauce over fries. Top with sliced steak, tomato, red onions, and thinly sliced jalapenos. Serve immediately.","calories: 1079, fat: 61g, carbs: 78g, protein: 54g, servings: 4",https://www.allrecipes.com/thmb/cOpXn3QmOg_AC6N4IsztTtpuQwY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7564469_Loaded-Steak-Fries_Chef-Mo_4x3-a063a379ddae46f0a21bafa9f08d4436.jpg
Air Fryer Cheesy Bacon Ranch French Fries,https://www.allrecipes.com/air-fryer-cheesy-bacon-ranch-french-fries-recipe-7560981,"{'quantity': '4', 'unit': 'cups', 'name': 'frozen French fries'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ranch salad dressing mix'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'bacon bits'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Preheat an air fryer to 400 degrees Fahrenheit (200 degrees C). Place frozen French fries in a large bowl.. Whisk olive oil and dry ranch salad mix in a separate small bowl until smooth. Pour olive oil mixture over the fries and toss to coat. Add bacon bits and salt. Toss again.. Place seasoned fries in the basket of the air fryer. Cook for 7 minutes. Shake the basket and cook 5 minutes more.. Sprinkle shredded cheese over the fries. Cook 2 minutes. Using a spatula, transfer to a serving platter and serve immediately.","calories: 527, fat: 29g, carbs: 61g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/rRqByx76RLk27s9-YYKfloAp_ng=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7560981_Air-Fryer-Cheesy-Bacon-Ranch-Fries-Soup-Loving-Nicole_4x3-3db3470e8a3d4bdb8523989590c2ca52.jpg
Air Fryer Potato Wedges,https://www.allrecipes.com/recipe/266826/air-fryer-potato-wedges/,"{'quantity': '2', 'unit': 'medium', 'name': 'russet potatoes'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'parsley flakes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,"calories: 129, fat: 5g, carbs: 19g, protein: 2g, servings: 4",https://cdn.jwplayer.com/v2/media/5K9WIvcP/poster.jpg?width=720
Oven-Fresh Seasoned Potato Wedges,https://www.allrecipes.com/recipe/199575/oven-fresh-seasoned-potato-wedges/,"{'quantity': '2', 'unit': '', 'name': 'russet potatoes, scrubbed and cut into eighths'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,"calories: 138, fat: 5g, carbs: 20g, protein: 4g, servings: 4",https://cdn.jwplayer.com/v2/media/BLtnmvYh/poster.jpg?width=720
Chef John's French Fries (How to Make),https://www.allrecipes.com/recipe/219634/chef-johns-french-fries/,"{'quantity': '1', 'unit': 'large', 'name': 'russet potato, cut into evenly sized strips'}, {'quantity': None, 'unit': None, 'name': 'vegetable oil for frying, about 2 cups or as needed'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}",,"calories: 386, fat: 27g, carbs: 32g, protein: 4g, servings: 2",https://cdn.jwplayer.com/v2/media/pse4VGox/poster.jpg?width=720
