name,link,ingredients,steps,nutrition,image_url
How to Frost a Cake,https://www.allrecipes.com/article/how-to-frost-a-cake/,,,,https://www.allrecipes.com/thmb/2ybp5fq8gtszmnn1ZrsUhYHFhl0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/101653887_preview-2000-d276ed9f720e4bfea63cc336d43f01e7.jpg
5 Light and Fluffy Pudding Frosting Recipes,https://www.allrecipes.com/gallery/pudding-frosting-recipes/,,,,https://www.allrecipes.com/thmb/tBXjBAxJNZABQZ52reupY3plSdc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/220411-whipped-cream-mousse-frosting-Sarah_Dippity-de780305f2bc4235b1f2ccf49c657f29.jpg
Our 8 Best Lemon Frostings for a Citrusy Finish to Your Favorite Cake,https://www.allrecipes.com/gallery/best-lemon-frosting-icing-recipes/,,,,https://www.allrecipes.com/thmb/HPulz7iZVJYKF4VlfjYNjxYL2lY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7556-lemon-cream-cheese-frosting-angela-dequasie-89d3619ab23f4a409c2d680294d10444.jpg
The Secret Feature You Didn’t Know Your Microwave Had,https://www.allrecipes.com/microwave-turntable-hack-for-frosting-cakes-8719428,,,,https://cdn.jwplayer.com/v2/media/tnmFEMxX/poster.jpg?width=720
Pink Velvet Cake,https://www.allrecipes.com/pink-velvet-cake-recipe-8637225,"{'quantity': None, 'unit': None, 'name': 'baking spray with flour'}, {'quantity': '1', 'unit': '(15.25-ounce) package', 'name': 'white cake\xa0mix'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole buttermilk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '6', 'unit': 'drops', 'name': 'soft pink food coloring gel'}, {'quantity': '1', 'unit': '(8-ounce) package', 'name': 'cream cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'cups', 'name': 'powdered sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': None, 'unit': None, 'name': 'sprinkles'}",,,https://cdn.jwplayer.com/v2/media/sMyQ0KGk/thumbnails/VIAf5GnK.jpg
Chocolate Stout Cake,https://www.allrecipes.com/chocolate-stout-cake-recipe-8426369,"{'quantity': '2', 'unit': 'cups', 'name': 'dark chocolate chips ('}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'light corn syrup'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'rish cream liqueur ('}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1 (11.2', 'unit': 'ounce) bottle', 'name': 'stout beer ('}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dark brown sugar'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'cocoa powder ('}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream, at room temperature'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Make frosting: Place dark chocolate chips in a large bowl; set aside.. Combine 1 1/2 cups white sugar, water, and corn syrup in a light colored, tall-sided saucepan. Place pan over medium heat and cook until mixture begins to turn a deep amber color, swirling pan often to combine ingredients; about 15 minutes. Remove pan from heat and carefully pour in heavy cream (mixture will bubble up rapidly and then seize, this is ok). Place pan back over low heat and bring to a boil, stirring constantly. Allow mixture to boil for 5 minutes, stirring constantly, then immediately pour caramel over the chocolate chips. Allow mixture to stand for 1 minute.. Gently stir until chocolate is melted and smooth. Add in 2 teaspoons vanilla and Irish Cream and mix until combined. Add in butter 1 tablespoon at a time, making sure each addition is fully incorporated before adding the next, until all 3 tablespoons of butter are incorporated. Loosely cover bowl with a kitchen towel and set aside to cool to room temperature, stirring occasionally (this will take 4 to 6 hours).. Combine stout beer and 1 tablespoon dark brown sugar in a saucepan set over medium heat. Bring to a simmer, stirring occasionally, until mixture has reduced to 1 cup, 8 to 10 minutes. Remove from heat and allow to cool to room temperature, about 20 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour 2 (9-inch) round cake pans.. Sift together flour, cocoa powder, baking powder, baking soda, and 3/4 teaspoon salt; set dry ingredients aside.. Beat 1/2 cup unsalted butter, vegetable oil, 1 cup dark brown sugar, and 1/2 cup white sugar together in a large bowl or the bowl of a stand mixer until light and fluffy, 3 to 4 minutes. Add in eggs 1 at a time, beating well after each addition, and scraping down the sides of the bowl as needed. Beat mixture on medium-high speed for 4 to 5 additional minutes after adding in the last egg. Mix in sour cream and 2 teaspoons vanilla extract.. Pour in half of dry ingredients and mix on low until just combined. Pour in cooled stout mixture and mix until just combined. Add in remaining dry ingredients and mix until just combined.. Divide batter evenly between the 2 prepared cake pans. Tap pans on the counter several times to remove any larger air bubbles.. Bake in the preheated oven and until the tops of the cakes spring back lightly when touched, 30 to 35 minutes. Allow cakes to cool in pans for 20 to 30 minutes before removing to a wire rack to cool completely, about 1 hour.. Once cakes and frosting are both cooled, place one cake layer on a serving platter. Top with about 1 cup frosting; spread it into an even layer. Top with remaining cake. Pour remaining frosting over the top of the cake and smooth over top and sides of cake until completely frosted on all sides.","calories: 759, fat: 39g, carbs: 92g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/dWI-yMofI4UwMEnNe-6USi0NnKI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8426369_Chocolate-Stout-Cake-with-Chocolate-Caramel-Frosting_Kim-Shupe_4x3-4087095180444d999df5e0de0730045d.jpg
Royal Icing,https://www.allrecipes.com/recipe/10197/royal-icing-i/,"{'quantity': '4', 'unit': '', 'name': 'pasteurized egg whites'}, {'quantity': '4', 'unit': 'cups', 'name': ""sifted confectioners' sugar""}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon or vanilla extract (Optional)'}",,"calories: 63, carbs: 16g, protein: 1g, servings: 32",https://www.allrecipes.com/thmb/rEdgNI7WM3uhsDvFq7WoP6dbU84=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6132383_RoyalIcing4x3winter-d1f5810023ce4043a69b0e44bac097d6.jpg
Sugar Cookie Icing,https://www.allrecipes.com/recipe/11587/sugar-cookie-icing/,"{'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'milk, or more if needed'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'light corn syrup'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '', 'unit': '', 'name': 'assorted food coloring'}",,"calories: 42, carbs: 11g, servings: 12",https://cdn.jwplayer.com/v2/media/JWgmacsP/thumbnails/IJExpQNf.jpg
White Chocolate Buttercream,https://www.allrecipes.com/white-chocolate-buttercream-recipe-7485999,"{'quantity': '1', 'unit': 'cup', 'name': 'white chocolate chips'}, {'quantity': '2¼', 'unit': 'cups', 'name': 'confectioners sugar, or more as needed'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk (Optional)'}","Gather all ingredients.. Melt white chocolate in a microwave-safe glass or ceramic bowl in 15-second intervals, stirring after each interval, 1 to 3 minutes. Set aside to cool.. Place about ½ of the confectioners sugar and butter in a large bowl; beat with an electric mixer while gradually adding the remaining sugar in batches, until mixture is smooth.. Add cooled white chocolate and mix until smooth. If frosting is too thick, you can beat in milk, or if the frosting is too runny, beat in more confectioners’ sugar to get the desired consistency.","calories: 224, fat: 12g, carbs: 29g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/xL0cQm5_8A1_AkFS5eTlb2wKZfY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-7485999-white-chocolate-buttercream-recipe-VAT-4x3-2-80372f400882415486706b11d7c54218.jpg
Black Forest Cake Icing,https://www.allrecipes.com/recipe/245750/black-forest-cake-icing/,"{'quantity': '3', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '4 ½', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Beat together cream, sugar, and vanilla in a bowl with an electric mixer until stiff. Place in the refrigerator until set, about 15 minutes.","calories: 225, fat: 22g, carbs: 6g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/NI5VD-IBvhxzRieNzrTYChavm_0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3291598-black-forest-cake-icing-thedailygourmet-4x3-1-84cf168984344d0b9b82e6d16fb7f882.jpg
