name,link,ingredients,steps,nutrition
Summer Fruit Salad with Mint Dressing,https://www.allrecipes.com/recipe/228231/summer-fruit-salad-with-a-lemon-honey-and-mint-dressing/,"{'quantity': '4', 'unit': 'cups', 'name': 'cubed seeded watermelon'}, {'quantity': '2', 'unit': 'cups', 'name': 'sliced fresh strawberries'}, {'quantity': '2', 'unit': 'large', 'name': 'fresh peaches, cut into cubes'}, {'quantity': '2', 'unit': 'large', 'name': 'nectarines, cut into cubes'}, {'quantity': '1', 'unit': '', 'name': 'red Anjou pear, cut into cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'seedless grapes, halved'}, {'quantity': '2', 'unit': '', 'name': 'lemons, juiced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced fresh mint (chocolate mint preferred)'}, {'quantity': '½', 'unit': '', 'name': 'lemon, zested'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey (fireweed honey preferred)'}","Combine watermelon, strawberries, peaches, nectarines, pear, and grapes in a large mixing bowl.. Whisk lemon juice, mint, lemon zest, and honey together in a small bowl; drizzle over the fruit mixture and toss to coat.. For best results, refrigerate the fruit salad for 1 hour before serving.","calories: 99, fat: 1g, carbs: 25g, protein: 2g, servings: 8"
Citrus and Pomegranate Salad,https://www.allrecipes.com/recipe/8516197/citrus-and-pomegranate-salad/,"{'quantity': '2', 'unit': '', 'name': 'pink or ruby-red grapefruits'}, {'quantity': '2', 'unit': '', 'name': 'navel oranges'}, {'quantity': '4', 'unit': '', 'name': 'tangerines'}, {'quantity': '½', 'unit': 'cup', 'name': 'pomegranate arils'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'frozen lemonade concentrate, undiluted'}, {'quantity': '', 'unit': '', 'name': 'fresh mint sprigs for garnish (optional)'}","Peel grapefruits, oranges, and tangerines with a serrated edge knife, being careful to remove the white pith.. Slice all citrus fruit crossways and remove any seeds. Evenly distribute slices amongst 4 salad plates. Sprinkle pomegranate arils evenly over each salad.. Stir together sour cream and undiluted lemonade concentrate in a small bowl for the dressing until smooth. Drizzle dressing over each salad. Garnish with mint sprigs.","calories: 225, fat: 6g, carbs: 43g, protein: 3g, servings: 4"
Balsamic Grape and Walnut Salad,https://www.allrecipes.com/recipe/109126/balsamic-grape-and-walnut-salad/,"{'quantity': '2', 'unit': 'cups', 'name': 'red seedless grapes, halved'}, {'quantity': '2', 'unit': 'cups', 'name': 'coarsely chopped walnuts'}, {'quantity': '½', 'unit': '', 'name': 'red onion, chopped'}, {'quantity': '3', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '3', 'unit': '', 'name': 'radishes, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1', 'unit': 'cup', 'name': 'balsamic vinaigrette salad dressing'}","In a medium serving bowl, combine the grapes, walnuts, onion, green onion, radishes and raisins. Toss with balsamic vinaigrette dressing just before serving.","calories: 508, fat: 39g, carbs: 42g, protein: 8g, servings: 6"
Perfect Summer Fruit Salad,https://www.allrecipes.com/recipe/214947/perfect-summer-fruit-salad/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'fresh orange juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'grated orange zest'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'grated lemon zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'cubed fresh pineapple'}, {'quantity': '2', 'unit': 'cups', 'name': 'strawberries, hulled and sliced'}, {'quantity': '3', 'unit': '', 'name': 'kiwi fruit, peeled and sliced'}, {'quantity': '3', 'unit': '', 'name': 'bananas, sliced'}, {'quantity': '2', 'unit': '', 'name': 'oranges, peeled and sectioned'}, {'quantity': '1', 'unit': 'cup', 'name': 'seedless grapes'}, {'quantity': '2', 'unit': 'cups', 'name': 'blueberries'}",,"calories: 155, fat: 1g, carbs: 39g, protein: 2g, servings: 10"
"Celebrate Summer with Watermelon, Feta, and Mint Salad",https://www.allrecipes.com/watermelon-feta-and-mint-salad-recipe-7511300,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'watermelon, cut into 1-inch cubes and chilled'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'extra virgin olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': None, 'unit': 'freshly ground', 'name': 'ground black pepper to taste'}, {'quantity': '4', 'unit': 'ounces', 'name': 'feta cheese, coarsely crumbled'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mint leaves'}","Place the chilled watermelon cubes in a large bowl.. Whisk olive oil, lemon juice, lemon zest, kosher salt, and black pepper together in a small bowl.. Just before serving, drizzle dressing over chilled watermelon, and toss gently. Sprinkle feta cheese and mint over the watermelon, but do not mix in. Serve immediately.","calories: 273, fat: 20g, carbs: 21g, protein: 6g, servings: 4"
Tomato Watermelon Salad,https://www.allrecipes.com/recipe/228277/tomato-watermelon-salad/,"{'quantity': '1', 'unit': 'large', 'name': 'seedless watermelon, cut into 1-inch cubes'}, {'quantity': '4', 'unit': '', 'name': 'tomatoes, cut into 1-inch dice'}, {'quantity': '1', 'unit': 'cup', 'name': 'crumbled feta cheese'}, {'quantity': '1', 'unit': 'large', 'name': 'sweet onion, thinly sliced'}, {'quantity': '12', 'unit': '', 'name': 'mint leaves, sliced thinly'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white balsamic vinegar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'coarse salt, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper, or to taste'}","Gently mix watermelon, tomatoes, feta cheese, onion, and mint in a large bowl.. Whisk olive oil, vinegar, salt, and pepper together in a small bowl; drizzle over salad and gently toss to coat.","calories: 314, fat: 9g, carbs: 61g, protein: 7g, servings: 12"
Cranberry Salad,https://www.allrecipes.com/recipe/13466/cranberry-salad-ii/,"{'quantity': '2', 'unit': 'cups', 'name': 'cranberries'}, {'quantity': '1', 'unit': 'large', 'name': 'orange, cut into small pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped walnuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'cranberry (or raspberry) flavored Jell-O mix'}, {'quantity': '2', 'unit': 'cups', 'name': 'hot water'}",,"calories: 315, fat: 11g, carbs: 55g, protein: 4g, servings: 7"
Easy Apple Slaw,https://www.allrecipes.com/recipe/34615/easy-apple-coleslaw/,"{'quantity': '3', 'unit': 'cups', 'name': 'chopped cabbage'}, {'quantity': '1', 'unit': '', 'name': 'unpeeled red apple, cored and chopped'}, {'quantity': '1', 'unit': '', 'name': 'unpeeled Granny Smith apple, cored and chopped'}, {'quantity': '1', 'unit': '', 'name': 'carrot, grated'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely chopped red bell pepper'}, {'quantity': '2', 'unit': '', 'name': 'green onions, finely chopped'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice, or to taste'}","Combine cabbage, red apple, green apple, carrot, red bell pepper, and green onions in a large bowl.. To make the dressing: Mix mayonnaise, brown sugar, and lemon juice together in a small bowl. Pour dressing over cabbage mixture; mix until evenly coated.","calories: 137, fat: 5g, carbs: 25g, protein: 1g, servings: 6"
Cream Cheese Fruit Salad,https://www.allrecipes.com/recipe/137346/cream-cheese-fruit-salad/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar, or to taste'}, {'quantity': '1', 'unit': '(12 ounce) container', 'name': 'frozen whipped topping, thawed'}, {'quantity': '1', 'unit': '(15.25 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': '(15.25 ounce) can', 'name': 'fruit cocktail, drained'}, {'quantity': '3', 'unit': '', 'name': 'bananas, peeled and sliced'}, {'quantity': '1', 'unit': 'large', 'name': 'Jonagold apple, peeled and chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'sweetened flaked coconut'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped pecans (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'golden raisins (Optional)'}, {'quantity': '1', 'unit': '(4 ounce) jar', 'name': 'maraschino cherries, drained and halved (Optional)'}","Beat cream cheese and sugar together in a large bowl with an electric mixer. Mix in whipped topping on high speed until incorporated. Fold in pineapple, fruit cocktail, bananas, apple, coconut, pecans, raisins, and cherries. Transfer to a serving bowl, cover, and chill for at least 1 hour before serving.","calories: 486, fat: 27g, carbs: 61g, protein: 5g, servings: 8"
Bionicos (Mexican Fruit Bowls),https://www.allrecipes.com/recipe/266532/bionicos-mexican-fruit-bowls/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'plain yogurt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sweetened condensed milk'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'Mexican crema'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced cantaloupe'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced papaya'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced red apple'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced banana'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced strawberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'granola'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded coconut'}","Make the topping: Mix yogurt, condensed milk, Mexican crema, and vanilla together in a bowl until well combined.. Make the fruit salads: Divide cantaloupe, papaya, apple, and banana among 4 individual bowls, arranging each fruit in its own section. Place strawberries in the center of each bowl. Sprinkle granola, raisins, and coconut over the bowls, then drizzle with the topping.","calories: 426, fat: 17g, carbs: 66g, protein: 8g, servings: 4"
