name,link,ingredients,steps,nutrition
Christmas Cake,https://www.allrecipes.com/recipe/9265/christmas-cake/,"{'quantity': '2', 'unit': '(8 ounce) containers', 'name': 'candied cherries'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'candied mixed citrus peel'}, {'quantity': '2', 'unit': '(2.25 ounce) packages', 'name': 'blanched slivered almonds'}, {'quantity': '2', 'unit': 'cups', 'name': 'raisins'}, {'quantity': '1', 'unit': 'cup', 'name': 'dried currants'}, {'quantity': '1', 'unit': 'cup', 'name': 'dates, pitted and chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'brandy'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '¾', 'unit': 'cup', 'name': 'apple juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '2', 'unit': 'cups', 'name': 'packed brown sugar'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}",,"calories: 645, fat: 18g, carbs: 113g, protein: 7g, servings: 16"
Best Boiled Fruitcake,https://www.allrecipes.com/recipe/7870/best-boiled-fruitcake/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '12', 'unit': 'ounces', 'name': 'candied mixed fruit'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '5', 'unit': 'ounces', 'name': 'glace cherries, roughly chopped'}, {'quantity': '2', 'unit': 'ounces', 'name': 'candied mixed citrus peel'}, {'quantity': '2', 'unit': 'ounces', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '12', 'unit': 'ounces', 'name': 'sifted self-rising flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}","Preheat the oven to 325 degrees F (160 degrees C). Line an 8-inch deep cake pan with parchment paper.. Place sugar, candied mixed fruit, milk, butter, cherries, citrus peel, walnuts, allspice, and baking soda in a medium-sized saucepan. Bring to a boil, reduce heat, and simmer for 5 minutes. Remove from heat and allow to cool slightly.. Stir flour and eggs into fruit mixture. Pour batter into the prepared pan. Wrap the outside of the pan with brown paper or newspaper.. Bake cake in the preheated oven for 40 minutes. Reduce temperature to 300 degrees F (150 degrees C) and continue baking cake for 1 1/2 hours.. Let cake sit at room temperature for 5 minutes, then invert it onto a wired rack. Remove parchment paper, flip cake, and allow to cool completely on the rack. Cake may be stored wrapped in foil and in an airtight container for up to 6 months.","calories: 588, fat: 19g, carbs: 99g, protein: 7g, servings: 10"
Sharon's Jamaican Fruit Cake,https://www.allrecipes.com/recipe/46182/sharons-jamaican-fruit-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '9', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white rum (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '', 'name': 'grated zest of one lime'}, {'quantity': '2', 'unit': 'pounds', 'name': 'chopped dried mixed fruit'}, {'quantity': '2', 'unit': 'cups', 'name': 'red wine'}, {'quantity': '1', 'unit': 'cup', 'name': 'dark molasses'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 9-inch round cake pans.. Place butter and sugar into a large bowl; beat with an electric mixer until light and fluffy.. Beat in eggs; add rum, lime juice, almond extract, vanilla, and lime zest.. Stir in dried fruit, wine and molasses.. Sift flour, baking powder, nutmeg, allspice, cinnamon, and salt together in a large bowl; gently fold into fruit mixture. Pour batter evenly into the prepared pans.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 80 to 90 minutes. Let cool in the pan for 10 minutes, then turn out onto a wire rack and cool completely.","calories: 598, fat: 24g, carbs: 93g, protein: 4g, servings: 16"
Quick and Easy British Fruitcake,https://www.allrecipes.com/recipe/262545/quick-and-easy-british-fruitcake/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'self-rising flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'dried mixed fruit'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'mixed spice (Optional)'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'light brown sugar, or as needed'}","Preheat the oven to 350 degrees F (175 degrees C). Butter a 6-inch round cake pan.. Place flour in a bowl. Rub butter into the flour until mixture resembles fine bread crumbs. Add mixed fruit, 1 cup plus 1 tablespoon sugar, and mixed spice. Stir to combine. Add milk and egg and mix until batter is soft and easy to drop.. Drop batter into the prepared pan. Sprinkle light brown sugar on top and pat down with the back of a spoon.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 1 to 1 1/4 hours.","calories: 348, fat: 13g, carbs: 56g, protein: 5g, servings: 8"
Rich Dark Fruitcake,https://www.allrecipes.com/recipe/7401/rich-dark-fruitcake/,"{'quantity': '6', 'unit': 'cups', 'name': 'golden raisins'}, {'quantity': '3', 'unit': 'cups', 'name': 'dried currants'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'pitted dates'}, {'quantity': '6', 'unit': 'cups', 'name': 'raisins'}, {'quantity': '1', 'unit': 'pound', 'name': 'candied mixed citrus peel'}, {'quantity': '½', 'unit': 'pound', 'name': 'candied cherries'}, {'quantity': '2', 'unit': 'cups', 'name': 'almonds'}, {'quantity': '2', 'unit': 'cups', 'name': 'butter'}, {'quantity': '3 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground allspice'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'almond extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '12', 'unit': '', 'name': 'egg yolks'}, {'quantity': '½', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '12', 'unit': '', 'name': 'egg whites'}, {'quantity': '½', 'unit': 'cup', 'name': 'grape juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'strong brewed coffee'}","Wash and dry the raisins and the currants. Wash, dry, pit, and chop the dates. Chop the raisins and the citrus peel. Slice the cherries. Blanch the almonds, and slice them lengthwise. Combine fruits and nuts in large bowl.. Grease and line 3 standard Christmas cake pans (these round pans are at least 3 inches deep and come in a set of three sizes- 5, 7, and 9 inch across) with 4 layers of heavy waxed paper, or 3 layers of brown paper. Grease again. Preheat oven to 275 degrees F (135 degrees C).. Sift together flour, baking powder, soda, salt, and spices onto a piece of waxed paper. Remove 1 cup of this flour mixture, and combine with fruit and nuts. Mix until fruit is well coated.. Cream the butter until fluffy. Add extracts. Gradually add sugar, mixing until creamy. Beat egg yolks until light and lemon-colored, and beat into the butter mixture. Stir in the molasses, and beat together well. Add half of the remaining flour mixture, and blend thoroughly.. Beat egg whites until stiff but not dry; fold into batter. Stir in lightly the remaining flour mixture alternately with grape juice and coffee. Add floured fruit and nuts, blending in until fruit is well distributed.. Turn batter into prepared cake tins, filling each about 2/3 full and spreading batter evenly. Bake in center of oven. Bake small cake 2 1/2 hours, medium cake 3 1/2 hours, and large cake 4 to 4 1/2 hours. Remove from oven and allow to stand 5 minutes, then turn out on wire rack to cool.","calories: 451, fat: 15g, carbs: 80g, protein: 6g, servings: 40"
Boiled Fruit Cake,https://www.allrecipes.com/recipe/70976/boiled-fruit-cake/,"{'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '4', 'unit': 'cups', 'name': 'candied mixed fruit'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'mixed spice'}, {'quantity': '2', 'unit': '', 'name': 'eggs, beaten'}","Preheat the oven to 300 degrees F (150 degrees C). Grease a 9x5 inch loaf pan, and line with parchment paper or aluminum foil.. Combine the water, mixed fruit, sugar and butter in a saucepan over medium heat. Bring to a boil, stirring occasionally, and boil gently for about 10 minutes. Sift the flour, baking soda and mixed spice into a large bowl. Pour in the boiled mixture, and stir until well blended. Mix in the eggs. Pour into the greased loaf pan.. Bake for 90 minutes in the preheated oven, until a skewer or knife inserted into the top comes out clean. Cool cake in the pan for at least 10 minutes before removing.","calories: 506, fat: 13g, carbs: 97g, protein: 4g, servings: 12"
Fruitcake,https://www.allrecipes.com/recipe/9273/fruitcake/,"{'quantity': '2', 'unit': 'cups', 'name': 'packed brown sugar'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground cinnamon, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground cloves, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground allspice, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground nutmeg, or to taste'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon zest'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'brandy'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'raisins'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped nuts'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'dried mixed fruit'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'butter, melted'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'brandy (Optional)'}","Preheat the oven to 225 degrees F (110 degrees C). Grease and flour a 9-inch tube pan.. Combine sugar, flour, soda, spices, eggs, lemon rind, vanilla, 1/2 cup brandy, fruit, nuts, and melted butter in a large bowl; mix thoroughly and pour into prepared pan.. Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 1 hour. Cool on a wire rack.. Store completely cooled fruitcake in an airtight tin. For a richer flavor, sprinkle two tablespoons of brandy over the cake every day for two weeks.","calories: 500, fat: 26g, carbs: 59g, protein: 7g, servings: 16"
White Fruitcake,https://www.allrecipes.com/recipe/9319/white-fruit-cake/,"{'quantity': '3', 'unit': 'cups', 'name': 'golden raisins'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'candied pineapple chunks'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'candied cherries'}, {'quantity': '1', 'unit': 'cup', 'name': 'dried currants'}, {'quantity': '2', 'unit': 'ounces', 'name': 'candied orange peel'}, {'quantity': '2', 'unit': 'ounces', 'name': 'candied citron peel'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '2', 'unit': 'cups', 'name': 'unsalted butter, softened'}, {'quantity': '4', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '8', 'unit': 'large', 'name': 'eggs, separated'}, {'quantity': '4', 'unit': 'cups', 'name': 'pecans, chopped'}, {'quantity': '3', 'unit': 'cups', 'name': 'sifted all-purpose flour'}",,"calories: 369, fat: 20g, carbs: 46g, protein: 4g, servings: 36"
Maritime War Cake,https://www.allrecipes.com/recipe/242234/maritime-war-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'raisins'}, {'quantity': '1', 'unit': 'cup', 'name': 'light molasses'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}","Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 9-inch tube pan or two 9x13-inch loaf pans.. Bring water, raisins, molasses, sugar, and shortening to a boil in a saucepan; reduce heat to low and simmer until raisins are plump, about 5 minutes. Allow to cool.. Whisk flour, baking soda, and cinnamon together in a bowl. Stir flour mixture into raisin mixture until well combined; pour into the prepared baking pan.. Bake in the preheated oven until a toothpick inserted near the center comes out clean, about 1 hour.","calories: 221, fat: 6g, carbs: 42g, protein: 2g, servings: 24"
No Bake Fruitcake,https://www.allrecipes.com/recipe/7605/no-bake-fruitcake/,"{'quantity': '1', 'unit': 'pound', 'name': 'halved candied cherries'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'coconut milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'vanilla wafers, crushed'}","In a large bowl mix the candied cherries, chopped pecans, sweetened condensed milk, coconut milk, flaked coconut, raisins, vanilla, and crushed vanilla wafers. Batter will be very stiff. Place into pan and store in the refrigerator.","calories: 475, fat: 29g, carbs: 53g, protein: 6g, servings: 18"
Ice Box Fruitcake,https://www.allrecipes.com/recipe/17562/ice-box-fruitcake/,"{'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped raisins'}, {'quantity': '1', 'unit': '(4 ounce) jar', 'name': 'maraschino cherries, drained and chopped'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'vanilla wafers, crushed'}","In a medium bowl, stir together the pecans, raisins, walnuts, cherries, condensed milk and vanilla wafers. Dough will be very thick, you will need to use your hands.. Form dough into a ring shape on top of a dinner plate. Wrap in many layers of plastic wrap and/or aluminum foil. Allow to age in the refrigerator for at least a week. The flavors will have a chance to blend and all of the milk will be absorbed into the cake.","calories: 356, fat: 18g, carbs: 46g, protein: 6g, servings: 14"
Crushed Pineapple Fruitcake,https://www.allrecipes.com/recipe/7673/crushed-pineapple-fruitcake/,"{'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'golden raisins'}, {'quantity': '½', 'unit': 'cup', 'name': 'red candied cherries'}, {'quantity': '1', 'unit': 'cup', 'name': 'candied mixed fruit peel'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'crushed pineapple with juice'}","Line an angel food pan with parchment paper and brush with melted butter.. Cream butter or margarine, and then beat in sugar. Beat in eggs one at a time, beating well after each addition. Stir in extract. Mix in flour, baking powder, and salt. Stir in raisins, cherries, pineapple, and mixed peel. Cover bowl and let sit at room temperature, 8 hours to overnight.. Bake at 300 degrees F (150 degrees C) for 2 1/2 hours with a pan of hot water placed on the lowest rack of your oven during baking. Brush warm cake with some melted butter.","calories: 400, fat: 11g, carbs: 75g, protein: 4g, servings: 14"
Gumdrop Cake,https://www.allrecipes.com/recipe/15758/gumdrop-cake/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'gumdrops, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour for coating'}","Preheat oven to 350 degrees (175 degrees C). Grease and flour 10 inch tube pan. Set aside.. In a large mixing bowl, cream butter and sugar until light and fluffy. Beat in the eggs, one at a time.. In a separate bowl, sift dry ingredients together and fold into creamed mixture alternately with water. Coat raisins and gumdrops with flour. Stir flavorings, gumdrops and raisins into creamed mixture.. Mix well and pour into prepared pan. Bake for 1 1/2 hours.","calories: 626, fat: 20g, carbs: 106g, protein: 7g, servings: 10"
