name,link,ingredients,steps,nutrition
White Gazpacho,https://www.allrecipes.com/white-gazpacho-recipe-7182068,"{'quantity': '12', 'unit': 'slices', 'name': 'Italian bread'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'raw cashews'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'medium', 'name': 'English cucumbers'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'green grapes'}, {'quantity': '2', 'unit': None, 'name': 'cloves garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sherry vinegar'}, {'quantity': '2 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'extra virgin olive oil, plus more for drizzling'}, {'quantity': None, 'unit': None, 'name': 'Chives, thinly sliced green grapes, and/or thinly sliced cucumbers'}","Let bread, cashews, and water stand in a high-powered blender 5 minutes.. Add chopped cucumbers, grapes, garlic, vinegar, and salt to blender; purée until mostly smooth, about 1 minute. With motor running, drizzle in olive oil; purée until smooth, about 30 seconds more. Chill, covered, about 1 hour. Serve soup drizzled with additional olive oil and garnished with chives, sliced grapes, and/or sliced cucumbers.","calories: 207, fat: 14g, carbs: 18g, protein: 4g, servings: 8"
Chef John's Gazpacho,https://www.allrecipes.com/recipe/222331/chef-johns-gazpacho/,"{'quantity': '4', 'unit': 'large', 'name': 'fresh tomatoes, peeled and diced'}, {'quantity': '½', 'unit': '', 'name': 'English cucumber, peeled and finely diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely diced red bell pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced green onion'}, {'quantity': '1', 'unit': 'large', 'name': 'jalapeño pepper, seeded and minced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'pinch', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '', 'unit': '', 'name': 'freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pint', 'name': 'cherry tomatoes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'balsamic vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'thinly sliced fresh basil'}",,"calories: 132, fat: 10g, carbs: 11g, protein: 2g, servings: 6"
Easy Gazpacho,https://www.allrecipes.com/recipe/19770/gazpacho/,"{'quantity': '4', 'unit': 'cups', 'name': 'tomato juice'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped tomatoes'}, {'quantity': '1', 'unit': '', 'name': 'onion, minced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, minced'}, {'quantity': '1', 'unit': '', 'name': 'cucumber, chopped'}, {'quantity': '2', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried tarragon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': None, 'unit': None, 'name': 'salt and pepper to taste'}","Combine tomato juice, tomatoes, onion, bell pepper, cucumber, green onions, parsley, lemon juice, red wine vinegar, garlic, tarragon, basil, sugar, salt, and pepper in a blender or food processor. Blend until well combined but still slightly chunky.. Pour into a serving bowl and cover. Place in the refrigerator to chill before serving, at least 2 hours.","calories: 39, fat: 0g, carbs: 9g, protein: 2g, servings: 10"
Quick Classic Gazpacho,https://www.allrecipes.com/recipe/76922/quick-classic-gazpacho/,"{'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': ""diced tomatoes (I use Hunt's Petite Diced)""}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'seedless cucumber, cut into 1/4-inch dice'}, {'quantity': '1', 'unit': 'small', 'name': 'yellow bell pepper, seeded and cut into 1/4-inch dice'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, cut into 1/4-inch dice'}, {'quantity': '1', 'unit': 'small', 'name': 'jalapeno pepper, seeded and minced (Optional)'}, {'quantity': '2', 'unit': 'medium', 'name': 'garlic cloves, minced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sherry vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley, basil or cilantro'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Pour 1/2 cup diced tomatoes into a food processor. Add water and oil to the food processor; blend until puréed. Pour into a medium bowl and add remaining diced tomatoes.. Stir in cucumber, bell pepper, onion, jalapeño, garlic, vinegar, and parsley; season with salt and pepper. Cover and refrigerate for at least 2 hours before serving.","calories: 85, fat: 5g, carbs: 8g, protein: 2g, servings: 6"
Golden State Gazpacho,https://www.allrecipes.com/recipe/274492/golden-state-gazpacho/,"{'quantity': '2', 'unit': 'small', 'name': 'ripe yellow peaches, peeled and cubed'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced peeled English cucumber'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped yellow onion'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped orange bell pepper'}, {'quantity': '2', 'unit': 'pints', 'name': 'Sungold cherry tomatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'red cherry tomatoes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, or more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white wine vinegar'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced, or to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'cold water, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'crumbled feta cheese, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced peach, or to taste'}, {'quantity': '6', 'unit': 'leaves', 'name': 'fresh basil, thinly sliced, or more to taste'}","Combine peaches, cucumber, onion, garlic, bell pepper, and tomatoes in a blender. Season with salt, cumin, and cayenne. Pour in vinegar, lime juice, olive oil, and water. Blend until smooth, starting with a few pulses and finishing on high speed.. Strain soup through a fine-mesh strainer into a large bowl. Cover with plastic wrap and refrigerate until completely chilled, at least 3 to 4 hours.. Stir soup and season to taste. Pour into serving cups and garnish with feta, diced peach, basil, and a sprinkle of cayenne.","calories: 138, fat: 10g, carbs: 11g, protein: 3g, servings: 6"
What Is Gazpacho? Get 7 Tips for Making Great Gazpacho,https://www.allrecipes.com/article/what-is-gazpacho/,,,
Mango Gazpacho,https://www.allrecipes.com/recipe/76988/mango-gazpacho/,"{'quantity': '2', 'unit': 'cups', 'name': '1/4-inch-diced fresh mangoes'}, {'quantity': '2', 'unit': 'cups', 'name': 'orange juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': '', 'name': 'seedless cucumber, cut into 1/4-inch dice'}, {'quantity': '1', 'unit': 'small', 'name': 'red bell pepper, seeded and cut into 1/4-inch dice'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, cut into 1/4-inch dice'}, {'quantity': '2', 'unit': '', 'name': 'medium garlic cloves, minced'}, {'quantity': '1', 'unit': 'small', 'name': 'jalapeno pepper, seeded and minced (Optional)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'fresh lime juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley, basil or cilantro'}, {'quantity': '', 'unit': '', 'name': 'Salt and freshly ground black pepper'}","Process mangoes, orange juice and oil in a blender or food processor until pureed. Transfer to a medium bowl, along with remaining ingredients. Season with salt and pepper to taste. Refrigerate until ready to serve. (Can be made several hours before serving.)","calories: 147, fat: 5g, carbs: 26g, protein: 2g, servings: 6"
Shrimp Gazpacho,https://www.allrecipes.com/recipe/142970/shrimp-gazpacho/,"{'quantity': '64', 'unit': 'fluid ounces', 'name': 'tomato and clam juice cocktail'}, {'quantity': '3', 'unit': 'pounds', 'name': 'cooked shrimp, peeled and deveined'}, {'quantity': '4', 'unit': '', 'name': 'avocados, peeled and chopped'}, {'quantity': '2', 'unit': '', 'name': 'cucumbers, cubed'}, {'quantity': '3', 'unit': 'large', 'name': 'tomatoes, diced'}, {'quantity': '1', 'unit': '', 'name': 'red onion, diced'}, {'quantity': '1', 'unit': 'bunch', 'name': 'cilantro, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'pepper'}","Combine tomato and clam juice cocktail, shrimp, avocados, cucumbers, tomatoes, onion, cilantro, lemon juice, salt, and pepper in a large bowl.. Cover the bowl with plastic wrap and store in the refrigerator until ready to serve.","calories: 322, fat: 11g, carbs: 29g, protein: 27g, servings: 12"
Green Gazpacho,https://www.allrecipes.com/recipe/223507/green-gazpacho/,"{'quantity': '2', 'unit': 'cups', 'name': 'diced honeydew melon'}, {'quantity': '1', 'unit': '', 'name': 'English (seedless) cucumber, peeled and diced'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '1', 'unit': None, 'name': 'avocado'}, {'quantity': '1', 'unit': None, 'name': 'jalape'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white balsamic vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lime juice'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}","Blend honeydew melon, cucumber, onion, avocado, jalapeño pepper, garlic, white balsamic vinegar, lime juice, salt, and black pepper in a blender until smooth. Adjust seasonings if desired and chill before serving.","calories: 276, fat: 15g, carbs: 36g, protein: 5g, servings: 2"
What to Serve With Gazpacho,https://www.allrecipes.com/gallery/what-to-serve-with-gazpacho/,,,
