name,link,ingredients,steps,nutrition
Mom's Ginger Snaps,https://www.allrecipes.com/recipe/10757/moms-ginger-snaps/,"{'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar for decoration'}","Gather the ingredients. Preheat the oven to 375 degrees F (190 degrees C).. Mix brown sugar, oil, molasses, and egg together in a large bowl.. Combine flour, baking soda, ginger, cinnamon, cloves, and salt; stir into the molasses mixture.. Roll dough into 1 1/4-inch balls. Roll each ball in white sugar before placing 2 inches apart on ungreased cookie sheets.. Bake in the preheated oven until center is firm, 10 to 12 minutes. Cool on wire racks.","calories: 105, fat: 5g, carbs: 15g, protein: 1g, servings: 36"
Grandma's Gingersnap Cookies,https://www.allrecipes.com/recipe/10365/grandmas-gingersnap-cookies/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'cinnamon sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'sifted all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground ginger'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dark molasses'}",,"calories: 58, fat: 2g, carbs: 9g, protein: 1g, servings: 60"
Grandma's Gingersnaps,https://www.allrecipes.com/recipe/25068/grandmas-gingersnaps/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'margarine'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 350 degrees F (175 degrees C).. Cream together 1 cup sugar and margarine until smooth. Beat in egg and molasses until well blended. Combine flour, baking soda, ginger, cinnamon, and salt; stir into molasses mixture to form a dough.. Roll dough into 1-inch balls and roll the balls in remaining 1/2 cup sugar. Place cookies 2 inches apart onto ungreased cookie sheets.. Bake in the preheated oven for 8 to 10 minutes. Allow cookies to cool on the baking sheet for 5 minutes before removing to a wire rack to cool completely.","calories: 100, fat: 4g, carbs: 16g, protein: 1g, servings: 36"
Gluten-Free Gingersnap Cookies,https://www.allrecipes.com/recipe/276476/gluten-free-gingersnap-cookies/,"{'quantity': '¾', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'unbleached cane sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'blackstrap molasses'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'oat flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'almond flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'coconut flour'}, {'quantity': '1', 'unit': '(1/4 inch thick) slice', 'name': 'fresh ginger, grated'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unbleached cane sugar, or as needed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon, or as needed'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg, or as needed'}","Beat butter, brown sugar, and 1/2 cup cane sugar together in a bowl using an electric mixer until creamy. Add egg and mix to combine. Mix in molasses and vanilla extract.. Mix oat flour, almond flour, coconut flour, fresh ginger, ground ginger, baking soda, 1 teaspoon cinnamon, 1 teaspoon nutmeg, and cloves together in a separate bowl. Add to butter mixture slowly and combine. Refrigerate dough for at least 1 hour, to overnight; dough will be very wet before it's chilled.. Preheat the oven to 350 degrees F (175 degrees C). Line 2 large baking sheets with parchment paper.. Combine 1/4 cup cane sugar, 1/2 teaspoon cinnamon, and 1/4 teaspoon nutmeg in a shallow dish.. Scoop dough by tablespoonfuls and roll into balls. Roll balls in cinnamon-sugar mixture to coat and place onto the prepared baking sheets, making sure not to overcrowd the sheets as they will flatten and spread.. Bake in the preheated oven until set and golden, 10 to 12 minutes. Let cookies sit for 5 minutes before transferring to a wire rack to cool. Serve warm or let cool completely before storing in an airtight container.","calories: 123, fat: 8g, carbs: 13g, protein: 2g, servings: 25"
Soft Gingersnaps,https://www.allrecipes.com/recipe/223410/soft-gingersnaps/,"{'quantity': '2 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '¼', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}","Preheat the oven to 375 degrees F (190 degrees C).. Beat 1 cup flour, brown sugar, shortening, molasses, egg, baking soda, ginger, cinnamon, and cloves in a large bowl until thoroughly combined. Stir in remaining 1 1/4 cups flour.. Roll dough into 1-inch balls; roll in white sugar. Place 2 inches apart on ungreased baking sheets.. Bake in the preheated oven until set and tops are crackled, 8 to 10 minutes.","calories: 104, fat: 5g, carbs: 15g, protein: 1g, servings: 36"
Gingersnap Cookies,https://www.allrecipes.com/recipe/240705/gingersnap-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}","Preheat oven to 350 degrees F (175 degrees C).. Beat butter and 1 cup sugar together with an electric mixer in a large bowl until creamy. Add egg and beat until smooth. Stir molasses into the butter mixture until completely integrated.. Sift flour, baking soda, ginger, cinnamon, salt, and cloves together in a separate bowl; add to the butter mixture and mix until you have a dough. Divide and shape the dough into 36 balls.. Put 1/2 cup sugar in a wide, shallow bowl. Roll dough balls in sugar to coat and arrange onto a baking sheet.. Bake in preheated oven until beginning to crisp around the edges, 13 to 15 minutes.","calories: 118, fat: 5g, carbs: 17g, protein: 1g, servings: 36"
Whole Wheat Ginger Snaps,https://www.allrecipes.com/recipe/79512/whole-wheat-ginger-snaps/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter or margarine'}, {'quantity': '2', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '4', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground ginger'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground nutmeg'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cloves'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground allspice'}","Preheat the oven to 350 degrees F (175 degrees C). Grease cookie sheets.. Beat 1 1/2 cups sugar and butter together in a large bowl until smooth. Stir in eggs, then stir in molasses. Combine whole wheat flour, baking soda, ginger, baking powder, nutmeg, cinnamon, cloves, and allspice, adding heaping measures if you like a lot of spice; stir into molasses mixture until just blended.. Roll dough into small balls; dip tops of balls into remaining 1 cup white sugar. Place cookies about 2 inches apart onto the prepared cookie sheets.. Bake in the preheated oven until tops are cracked, 10 to 15 minutes. Bake longer for crispy cookies, less time for chewy cookies. Cool on wire racks.","calories: 106, fat: 3g, carbs: 19g, protein: 1g, servings: 60"
Amazing Ginger Snaps,https://www.allrecipes.com/recipe/233642/amazing-ginger-snaps/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'canola oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsulfured molasses'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar, or as needed'}","Mix flour, 1 cup sugar, canola oil, molasses, egg, baking soda, cinnamon, ginger, and salt in a bowl. Refrigerate dough for 1 hour.. Preheat oven to 350 degrees F (175 degrees C). Pour 1/4 cup sugar into a bowl.. Roll dough into 1-inch balls and coat each ball in sugar. Flatten each coated ball onto a baking sheet.. Bake in the preheated oven until edges begin to harden, 7 to 8 minutes. Cool on the pan for 10 minutes before removing to cool completely on a wire rack.","calories: 147, fat: 7g, carbs: 21g, protein: 1g, servings: 24"
Chocolate Gingersnaps,https://www.allrecipes.com/recipe/279366/chocolate-gingersnaps/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed light brown sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking cocoa'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'milk chocolate chips, divided'}, {'quantity': '⅛', 'unit': 'cup', 'name': 'white sugar'}","Preheat the oven to 350 degrees F (175 degrees C). Line 2 baking sheets with parchment paper.. Combine butter and brown sugar in a large bowl; beat together until fluffy. Beat in molasses and water.. Combine flour, cocoa, baking soda, cinnamon, ginger, and nutmeg in a separate bowl. Slowly mix into the creamed butter mixture until smooth.. Place 1 cup chocolate chips in a microwave-safe bowl. Melt in the microwave in 15-second intervals, stirring after each interval, 1 to 3 minutes. Add to the dough and mix well.. Shape dough into 1-inch balls and roll in white sugar. Insert 1 chocolate chip into the center of each ball of dough. Make sure you can still see a bit of the chocolate chip sticking out, but not too much. Arrange on baking sheets.. Bake in the preheated oven until tops begin to crack, 10 to 12 minutes. Cool on the baking sheets for 3 minutes before moving to wire racks to finish cooling.","calories: 193, fat: 9g, carbs: 27g, protein: 2g, servings: 18"
Basic Gingersnap Cookies,https://www.allrecipes.com/recipe/25800/basic-gingersnap-cookies/,"{'quantity': '6', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'ground ginger'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cloves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsulfured molasses'}","Sift together the flour, baking soda, baking powder, salt, ginger, cinnamon, cloves, and black pepper; set aside. In a large bowl, or stand mixer with the paddle attachment, cream together the butter and sugar until smooth. Beat in the eggs one at a time, then stir in the molasses. Gradually mix in the sifted ingredients. Divide the dough into thirds and wrap in plastic wrap. Refrigerate for at least one hour.. Preheat oven to 350 degrees F (175 degrees C).. On a lightly floured surface, roll the dough out to 1/8 inch in thickness. Cut into desired shapes with cookie cutters. Place cookies 1 1/2 inches apart onto cookie sheets.. Bake for 8 to 10 minutes in the preheated oven, until cookies are crisp but not dark. Remove to wire racks to cool completely. Decorate as desired.","calories: 176, fat: 6g, carbs: 29g, protein: 3g, servings: 36"
