name,link,ingredients,steps,nutrition
Classic Goulash,https://www.allrecipes.com/recipe/213268/classic-goulash/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, chopped'}, {'quantity': '2', 'unit': 'pounds', 'name': 'lean ground beef'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'tomato sauce'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'diced tomatoes'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried Italian herb seasoning'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'seasoned salt, or to taste'}, {'quantity': '3', 'unit': '', 'name': 'bay leaves'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked elbow macaroni'}",,"calories: 476, fat: 26g, carbs: 32g, protein: 27g, servings: 8"
Hungarian Goulash,https://www.allrecipes.com/recipe/19954/hungarian-goulash-i/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': '', 'name': 'onions, sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Hungarian sweet paprika'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'salt, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'pounds', 'name': 'beef stew meat, cut into 1 1/2 inch cubes'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}","Heat oil in a large pot or Dutch oven over medium heat. Cook and stir onions in oil until soft, 2 to 4 minutes. Remove onions and set them aside.. Combine paprika, 2 teaspoons salt, and pepper in a medium bowl. Coat beef cubes in spice mixture, and cook in the onion pot until brown on all sides.. Return onions to the pot with beef; pour in water, tomato paste, garlic, and remaining 1 teaspoon salt. Bring to a boil, then reduce heat to low. Cover and simmer, stirring occasionally, until meat is tender, 1 1/2 to 2 hours.","calories: 549, fat: 42g, carbs: 9g, protein: 33g, servings: 8"
Chef John's American Goulash,https://www.allrecipes.com/recipe/275489/chef-johns-american-goulash/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, diced'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'large', 'name': 'bay leaves'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'paprika'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Italian seasoning'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '1', 'unit': 'quart', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(24 ounce) jar', 'name': 'marinara sauce'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'cups', 'name': 'elbow macaroni'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped Italian parsley'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded white Cheddar cheese (Optional)'}","Gather all ingredients.. Heat oil in a pot over medium-high heat. Add ground beef and onion; cook and stir until beef is browned and crumbly and onion is translucent, about 5 minutes. Continue to cook and stir until liquid is evaporated, 3 to 5 minutes. Add garlic, bay leaves, paprika, Italian seasoning, salt, black pepper, and cayenne.. Cook, stirring occasionally, until flavors come together, about 3 minutes. Pour in broth, marinara sauce, and diced tomatoes. Pour water into the sauce jar, swirl, and pour into the pot. Stir in soy sauce; bring to a simmer. Reduce the heat to medium and simmer until flavors intensify, about 30 minutes.. Increase the heat to medium-high and bring to a rapid simmer. Stir in macaroni; cook, stirring occasionally, until just barely tender, about 12 minutes. Check for doneness after 10 minutes.. Remove from the heat and discard bay leaves. Stir in Cheddar and parsley. Cover and let rest for 5 minutes. Taste and season as desired.","calories: 336, fat: 17g, carbs: 25g, protein: 19g, servings: 12"
Chef John's Beef Goulash,https://www.allrecipes.com/recipe/231009/chef-johns-beef-goulash/,"{'quantity': '2 ½', 'unit': 'pounds', 'name': 'boneless beef chuck roast, cut into 2-inch cubes'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': '', 'name': 'onions, chopped'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Hungarian paprika'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'caraway seeds, crushed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'tomato paste'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'balsamic vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}","Gather all ingredients.. Season beef with salt and black pepper.. Heat vegetable oil in a large skillet over high heat; cook and stir beef in hot oil in batches until browned on all sides, about 5 minutes per batch.. Transfer to a large stockpot and reserve drippings in the skillet.. Return skillet to medium heat; stir onions into the reserved drippings, drizzle olive oil over onions, season with 1/2 teaspoon salt and cook until onion has softened, about 5 minutes. Transfer to the stockpot with beef.. Combine paprika, caraway seeds, black pepper, marjoram, thyme, and cayenne pepper in the skillet and toast over medium heat until fragrant, about 3 minutes.. Add 1 cup chicken broth and stir; transfer to the beef and onion mixture.. Stir 3 cups chicken broth into beef mixture. Add tomato paste, garlic, vinegar, sugar, 1/2 teaspoon salt, and bay leaf; place stockpot over high heat and bring to a boil.. Reduce heat to low and simmer until a fork inserts easily into the meat, 1 1/2 to 2 hours.","calories: 573, fat: 41g, carbs: 13g, protein: 36g, servings: 4"
Authentic Hungarian Goulash,https://www.allrecipes.com/recipe/25369/authentic-hungarian-goulash/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'large', 'name': 'onions, diced'}, {'quantity': '2', 'unit': 'pounds', 'name': 'flank steak'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'caraway seed'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'paprika'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '4', 'unit': 'large', 'name': 'potatoes, peeled and cubed'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Melt butter in a large soup pot over medium high heat. Saute onions until soft, then add beef and brown. Stir in caraway seed, marjoram, garlic and paprika. Pour water over all, lower heat to low and simmer for 2 1/2 hours.. Add potatoes and cook until tender, another 45 minutes to 1 hour. Season with salt and pepper to taste and serve.","calories: 339, fat: 16g, carbs: 29g, protein: 22g, servings: 6"
Turkey Goulash,https://www.allrecipes.com/recipe/18783/turkey-goulash/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground turkey'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'stewed, diced tomatoes'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'tomato sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'bow tie pasta'}","In a large skillet over medium heat, cook the turkey until browned.. Stir in the stewed tomatoes, garlic, tomato sauce, sugar and basil, and then simmer for about 20 minutes.. Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente, and then drain. Combine the pasta and turkey mixture; toss and serve.","calories: 311, fat: 6g, carbs: 47g, protein: 18g, servings: 8"
Hamburger Goulash,https://www.allrecipes.com/recipe/12975/hamburger-goulash/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '4', 'unit': '', 'name': 'potatoes, peeled and cubed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced onion'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'frozen corn kernels'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'cut green beans, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'elbow macaroni'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': '(8 ounce) cans', 'name': 'tomato sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}","Place ground beef in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, crumble, and set aside.. Add all ingredients (except noodles) to browned ground meat and simmer for 1 hour, then add noodles.","calories: 334, fat: 12g, carbs: 41g, protein: 16g, servings: 8"
Instant Pot Goulash,https://www.allrecipes.com/recipe/264297/instant-pot-goulash/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'pint', 'name': 'sliced mushrooms'}, {'quantity': '½', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'tomato sauce'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'diced tomatoes'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'noodles'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Italian seasoning'}, {'quantity': '3', 'unit': '', 'name': 'bay leaves'}","Turn on a multi-functional pressure cooker (such as Instant Pot) and select Saute function. Add beef, mushrooms, onion, garlic, salt, and pepper. Cook and stir until browned and crumbly, 5 to 7 minutes. Drain and discard fat.. Add tomato sauce, diced tomatoes, water, dry noodles, soy sauce, Italian seasoning, and bay leaves. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 4 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Remove bay leaves before serving.","calories: 278, fat: 10g, carbs: 27g, protein: 20g, servings: 6"
Goulash Supreme,https://www.allrecipes.com/recipe/11847/goulash-supreme/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': 'quart', 'name': 'stewed tomatoes'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked macaroni'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'paprika'}, {'quantity': '6', 'unit': 'ounces', 'name': 'tomato paste (Optional)'}, {'quantity': '', 'unit': '', 'name': 'water, as needed'}","Heat a large saucepan over medium-high heat. Add ground beef; cook and stir until browned and crumbly, 5 to 7 minutes.. Reduce heat to low. Add stewed tomatoes, macaroni, onion, garlic, chili powder, and paprika; mix well. Stir in tomato paste. Simmer, adding a little water as needed if the mixture gets too dry, until macaroni is tender, about 20 minutes.","calories: 565, fat: 25g, carbs: 57g, protein: 30g, servings: 4"
Quick and Easy Goulash,https://www.allrecipes.com/recipe/22994/quick-and-easy-goulash/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'egg noodles'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': '(26 ounce) jar', 'name': 'spaghetti sauce'}, {'quantity': '1', 'unit': '(15.25 ounce) can', 'name': 'whole kernel corn'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Bring a large pot of lightly salted water to a boil. Add egg noodles and cook until al dente, 8 to 10 minutes; drain.. Brown beef in a skillet over medium heat; drain extra grease.. Mix in spaghetti sauce, corn, onion, and cheese with the beef over medium heat. Add in noodles and stir together to heat through.","calories: 885, fat: 35g, carbs: 101g, protein: 43g, servings: 4"
