name,link,ingredients,steps,nutrition
Granola Cups,https://www.allrecipes.com/granola-cups-recipe-8669258,"{'quantity': '1/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '2', 'unit': 'cups', 'name': 'old fashioned oats'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sliced almonds'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'flax meal'}, {'quantity': None, 'unit': None, 'name': ""nonstick baking spray with flour (such as Baker's Joy®)""}, {'quantity': '1', 'unit': 'cup', 'name': 'plain whole milk Greek yogurt, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh berries'}","Place butter and maple syrup in a large bowl and place into the microwave. Heat in 30 second intervals, stirring after every 30 seconds, until butter is melted, about 1 to 1 1/2 minutes. Remove bowl from microwave and add in vanilla, cinnamon, salt, and nutmeg. Stir until thoroughly combined. Add in oats, almonds, coconut, and flax meal. Stir until mixture is thoroughly combined.. Generously grease a standard muffin tin with nonstick baking spray with flour.. Divide oat mixture evenly between the muffin cups, about 2 heaped tablespoons per cup. With wet hands, press mixture into the bottom and up the sides of each cup. Place the pan into the fridge to chill for 15 minutes.. Preheat the oven to 350 degrees F (175 degrees C).. Bake chilled granola cups in the preheated oven until the outside edges of cups turn golden brown,  25 to 30 minutes. Remove cups from the oven; cool to room temperature in the pan, about 30 minutes.. Use an offset spatula or butter knife to pop them out of the pan. To serve, fill each granola cup with yogurt and top with berries. Serve immediately.","calories: 194, fat: 9g, carbs: 24g, protein: 5g, servings: 12"
Yogurt Parfait,https://www.allrecipes.com/recipe/37095/yogurt-parfait/,"{'quantity': '2', 'unit': 'cups', 'name': 'vanilla yogurt'}, {'quantity': '1', 'unit': 'cup', 'name': 'granola'}, {'quantity': '8', 'unit': '', 'name': 'blackberries'}","Layer 1 cup yogurt, 1/2 cup granola, and 4 blackberries in a large glass; repeat layers.","calories: 515, fat: 18g, carbs: 68g, protein: 21g, servings: 2"
Megan's Granola,https://www.allrecipes.com/recipe/98390/megans-granola/,"{'quantity': '8', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'wheat germ'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'oat bran'}, {'quantity': '1', 'unit': 'cup', 'name': 'sunflower seeds'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped almonds'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped pecans'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped walnuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '¾', 'unit': 'cup', 'name': 'honey'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'raisins'}","Preheat the oven to 325 degrees F (165 degrees C). Line two large baking sheets with parchment paper or aluminum foil.. Combine oats, wheat germ, oat bran, sunflower seeds, almonds, pecans, and walnuts in a large bowl.. Stir oil, honey, brown sugar, maple syrup, cinnamon, vanilla, and salt together in a saucepan over medium heat. Bring to a boil, then pour over dry ingredients and stir to coat. Transfer to the prepared baking sheets and spread out evenly.. Bake in the preheated oven until crispy and toasted, about 20 minutes, stirring once halfway through. Let cool for 15 to 20 minutes, then stir in raisins.","calories: 306, fat: 17g, carbs: 37g, protein: 7g, servings: 34"
Stovetop Granola,https://www.allrecipes.com/recipe/93132/stovetop-granola/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped almonds'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'dried cranberries'}","Heat the oil in a large skillet over medium-high heat. Add oats then cook and stir until starting to brown and crisp, about 5 minutes. Remove from heat and spread out on a cookie sheet to cool.. Melt the butter in the same pan over medium heat. Stir in the honey and brown sugar; cook, stirring constantly, until bubbly. Return the oats to the pan. Cook and stir for another 5 minutes or so. Pour out onto the cookie sheet and spread to cool.. Once cool, transfer to an airtight container and stir in the almonds and dried cranberries. Any additional nuts and fruit can be stirred in at this time also.","calories: 529, fat: 30g, carbs: 60g, protein: 9g, servings: 4"
Homemade Cereal,https://www.allrecipes.com/recipe/44162/homemade-cereal/,"{'quantity': '7', 'unit': 'cups', 'name': 'quick-cooking oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'wheat germ'}, {'quantity': '1', 'unit': 'cup', 'name': 'wheat bran'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'honey'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped dates'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': 'cup', 'name': 'flaked coconut (Optional)'}","Preheat the oven to 275 degrees F (135 degrees C).. Mix oats, wheat germ, and wheat bran together in a large bowl.. Stir brown sugar, vegetable oil, honey, and water together in another bowl until blended. Mix in vanilla, cinnamon, nutmeg, and salt. Pour brown sugar mixture into oat mixture and stir until evenly moist. Transfer to a large, shallow baking dish.. Bake in the preheated oven, stirring every 15 minutes, until lightly browned, about 45 minutes. Add dates, pecans, and coconut to the baking dish and stir to combine. Continue to bake for about 15 more minutes. Remove from the oven and cool to room temperature.","calories: 526, fat: 22g, carbs: 77g, protein: 11g, servings: 12"
Honey Nut Granola,https://www.allrecipes.com/recipe/21208/honey-nut-granola/,"{'quantity': '4', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced almonds'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': 'cup', 'name': 'raw sunflower seeds'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'canola oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'honey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 300 degrees F (150 degrees C).. Stir oats, almonds, pecans, and sunflower seeds together in a large bowl. Mix oil, honey, cinnamon, and vanilla together in a smaller bowl; pour over dry ingredients and mix well. Spread mixture onto two ungreased baking sheets.. Bake in the preheated oven until golden, about 20 minutes, stirring halfway through. Remove from the oven and let cool completely before storing.","calories: 188, fat: 11g, carbs: 20g, protein: 4g, servings: 20"
Maple Pecan Granola,https://www.allrecipes.com/recipe/220814/maple-pecan-granola/,"{'quantity': '4', 'unit': 'cups', 'name': 'old-fashioned oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'ground flax seed'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'canola oil'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'pure maple syrup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'maple flavoring'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 300 degrees F (150 degrees C).. Line a baking sheet with parchment paper.. Mix oats, pecans, walnuts, flax seed, and cinnamon in a large bowl.. Stir canola oil, maple syrup, maple flavoring, and salt together in a small bowl; pour over the oat mixture and stir to coat evenly.. Spread the resulting mixture evenly onto the prepared baking sheet.. Bake in the preheated oven until lightly browned, about 40 minutes.. Set granola aside to cool completely before breaking into chunks. Store in an air-tight container.","calories: 202, fat: 12g, carbs: 22g, protein: 4g, servings: 18"
Crunchy Sugar-Free Granola,https://www.allrecipes.com/recipe/261939/crunchy-sugar-free-granola/,"{'quantity': '3 ¾', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped almonds'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dried unsweetened coconut'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sesame seeds'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': '', 'name': 'large egg whites'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract (Optional)'}","Preheat oven to 225 degrees F (110 degrees C). Line a baking sheet with parchment paper.. Combine oats, almonds, coconut, sesame seeds, cinnamon, and salt in a large bowl.. Beat egg whites in a glass, metal, or ceramic bowl until stiff peaks form. Beat in vanilla extract. Fold egg whites into the oat mixture. Spread on the prepared baking sheet.. Bake in the preheated oven, stirring every 20 minutes, until granola is crispy, about 1 hour.","calories: 332, fat: 15g, carbs: 40g, protein: 12g, servings: 6"
Homemade Granola,https://www.allrecipes.com/recipe/232085/homemade-granola/,"{'quantity': '5', 'unit': 'cups', 'name': 'old-fashioned oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '1', 'unit': 'cup', 'name': 'wheat germ'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced almonds'}","Preheat the oven to 325 degrees F (165 degrees C).. Mix oats, brown sugar, coconut, wheat germ, cinnamon, and nutmeg together in a large bowl. Stir water, oil, and vanilla extract into oat mixture; spread onto a baking sheet.. Bake in the preheated oven, stirring every 15 minutes, until golden brown and crunchy, about 1 hour; transfer to a bowl. Stir raisins and almonds through granola.","calories: 367, fat: 16g, carbs: 50g, protein: 8g, servings: 12"
Grandma's Homemade Granola,https://www.allrecipes.com/recipe/275749/grandmas-homemade-granola/,"{'quantity': '', 'unit': '', 'name': 'nonstick cooking spray'}, {'quantity': '4', 'unit': 'cups', 'name': 'old-fashioned oats'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped pecans'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'slivered almonds'}, {'quantity': '1', 'unit': 'cup', 'name': 'coconut flakes'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'honey'}, {'quantity': '¼', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'dried cranberries (Optional)'}","Preheat the oven to 325 degrees F (165 degrees C). Line a baking sheet with aluminum foil and coat with nonstick cooking spray.. Mix together oats, pecans, almonds, and coconut in a large bowl. Set aside.. Combine oil, brown sugar, honey, maple syrup, cinnamon, vanilla, and salt in a medium saucepan over medium heat. Stir gently until mixture begins to boil; remove from heat. Pour over oat mixture and fold together until dry ingredients are well coated. Spread granola onto the prepared baking sheet.. Bake in the preheated oven for 20 minutes. Stir and continue to bake on the top rack until golden, about 5 minutes more. Remove from the oven and let cool for 20 to 30 minutes.. Toss cooled granola with cranberries. Store in an airtight container.","calories: 347, fat: 20g, carbs: 41g, protein: 5g, servings: 18"
