name,link,ingredients,steps,nutrition,image_url
Beef au Jus,https://www.allrecipes.com/recipe/221957/beef-au-jus/,"{'quantity': '¼', 'unit': 'cup', 'name': 'beef drippings'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'beef broth'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}",,"calories: 53, fat: 1g, carbs: 2g, protein: 8g, servings: 4",https://cdn.jwplayer.com/v2/media/ItKTAt7V/poster.jpg?width=720
Roast Beef and Pan Gravy for Beginners,https://www.allrecipes.com/roast-beef-and-pan-gravy-for-beginners-recipe-8404688,"{'quantity': '3 1/2', 'unit': 'teaspoons', 'name': 'kosher salt (use 1 teaspoon per pound of beef)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'granulated garlic'}, {'quantity': '3 1/2 to 4', 'unit': 'pounds', 'name': 'top round beef roast (sometimes sold as ""London Broil"")'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion, diced'}, {'quantity': '3', 'unit': 'cups', 'name': 'mushrooms, or any mushrooms'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sherry vinegar'}, {'quantity': '2', 'unit': 'cups', 'name': 'low-sodium beef broth'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': None, 'unit': None, 'name': 'cayenne pepper, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'thyme leaves'}",,"calories: 730, fat: 36g, carbs: 8g, protein: 96g, servings: 6",https://cdn.jwplayer.com/v2/media/TuS5LKMQ/thumbnails/At4JXaIU.jpg
Simple Turkey Gravy,https://www.allrecipes.com/recipe/239434/simple-turkey-gravy/,"{'quantity': '½', 'unit': 'cup', 'name': 'fat from turkey drippings'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'liquid from turkey drippings'}, {'quantity': '2', 'unit': 'cups', 'name': 'turkey stock'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","Heat fat from turkey drippings in a saucepan over medium-low heat until liquefied, 2 to 3 minutes. Whisk flour into turkey fat until golden, about 5 minutes.. Whisk liquid from turkey drippings and turkey stock into fat-flour mixture; increase heat to medium and cook, whisking continuously, until gravy is smooth and desired consistency, 5 to 10 minutes. Season gravy with pepper.","calories: 189, fat: 19g, carbs: 3g, protein: 1g, servings: 16",https://www.allrecipes.com/thmb/8OoQBfZqZBZ05tluHOSDQQDKMoI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1736598-simple-turkey-gravy-The-Gruntled-Gourmand-4x3-1-441f43fb90ea4665b503e8ff70d8dd8b.jpg
Make-Ahead Turkey Gravy,https://www.allrecipes.com/recipe/76604/make-ahead-turkey-gravy/,"{'quantity': '6', 'unit': 'large', 'name': 'turkey wings'}, {'quantity': '2', 'unit': 'medium', 'name': 'onions, peeled and quartered'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '8', 'unit': 'cups', 'name': 'chicken broth, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped carrots'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,"calories: 59, fat: 3g, carbs: 3g, protein: 5g, servings: 32",https://cdn.jwplayer.com/v2/media/hgoykoSJ/poster.jpg?width=720
I Tried Our 5 Most Popular Thanksgiving Gravy Recipes and Found a Make-Ahead Stunner,https://www.allrecipes.com/best-thanksgiving-gravy-recipes-8363024,,,,https://www.allrecipes.com/thmb/zPye1YXFv9IVLQIbiMX_lePxSiw=/1500x0/filters:no_upscale():max_bytes(200000):strip_icc()/ar-holiday-classics-gravy-ddmfs-4x3-BG-3472-11d06e456319401d86851da35ae72959.jpg
How to Make Gravy from Scratch,https://www.allrecipes.com/how-to-make-gravy-from-scratch-recipe-7497364,"{'quantity': '1/4', 'unit': 'cup', 'name': 'pan drippings from roasted chicken'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'all purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken stock or broth'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}",,"calories: 87, fat: 7g, carbs: 5g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/JgHCIlAEODsWDM_mWqIBjP7JOYc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7497364-how-to-make-gravy-from-scratch-ddmfs_4x3_1744-c16d4d6a799c468a86908e1f52347191.jpg
Prime Rib Gravy,https://www.allrecipes.com/recipe/8519674/prime-rib-gravy/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'butter for greasing pan'}, {'quantity': '½', 'unit': '', 'name': 'onion, unpeeled, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'roughly chopped carrots'}, {'quantity': '½', 'unit': 'cup', 'name': 'roughly chopped celery'}, {'quantity': '2', 'unit': '', 'name': 'beef rib bones'}, {'quantity': '4', 'unit': 'cups', 'name': 'beef bone broth or high quality, low-sodium beef broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced brown mushroom (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'reserved beef fat'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'reserved beef stock'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, or to taste'}, {'quantity': '', 'unit': '', 'name': 'Freshly ground black pepper to taste'}, {'quantity': '', 'unit': '', 'name': 'Cayenne to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'balsamic vinegar'}",,"calories: 730, fat: 60g, carbs: 14g, protein: 31g, servings: 4",https://cdn.jwplayer.com/v2/media/tn36onwa/poster.jpg?width=720
Homemade Chicken Gravy,https://www.allrecipes.com/recipe/219090/homemade-chicken-gravy/,"{'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'quart', 'name': 'cold chicken stock, or more if needed'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '', 'unit': '', 'name': 'salt and ground white pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}",,"calories: 170, fat: 16g, carbs: 7g, protein: 1g, servings: 8",https://cdn.jwplayer.com/v2/media/Tmxiz9AY/poster.jpg?width=720
Giblet Gravy,https://www.allrecipes.com/recipe/13867/giblet-gravy-i/,"{'quantity': '1', 'unit': 'quart', 'name': 'water'}, {'quantity': '', 'unit': '', 'name': 'giblets from a turkey'}, {'quantity': '¼', 'unit': 'medium', 'name': 'yellow onion'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, cut in half'}, {'quantity': '1', 'unit': 'cube', 'name': 'chicken bouillon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'chicken broth'}, {'quantity': '4', 'unit': 'large', 'name': 'hard-cooked eggs, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornstarch'}",,"calories: 69, fat: 3g, carbs: 3g, protein: 7g, servings: 12",https://cdn.jwplayer.com/v2/media/X5g9Ej1n/poster.jpg?width=720
The Best Chicken Fried Steak,https://www.allrecipes.com/recipe/150306/the-best-chicken-fried-steak/,"{'quantity': '4', 'unit': '(½ pound)', 'name': 'beef cube steaks'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'all-purpose flour, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'hot pepper sauce (e.g. Tabasco™)'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '3', 'unit': 'cups', 'name': 'vegetable shortening for frying'}, {'quantity': '4', 'unit': 'cups', 'name': 'milk'}, {'quantity': '', 'unit': '', 'name': 'kosher salt and ground black pepper to taste'}",,"calories: 832, fat: 29g, carbs: 71g, protein: 68g, servings: 4",https://cdn.jwplayer.com/v2/media/S8RFFmAS/poster.jpg?width=720
