name,link,ingredients,steps,nutrition,image_url
Apple Pecan Salad,https://www.allrecipes.com/apple-pecan-salad-recipe-8720990,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white wine vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': None, 'name': 'shallot'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt,'}, {'quantity': None, 'unit': None, 'name': 'ground black pepper'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '6', 'unit': 'cups', 'name': 'mixed greens'}, {'quantity': '1', 'unit': None, 'name': 'apple'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'pecan halves'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '2', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'feta cheese'}","Combine vinegar, Dijon, shallots, salt, and pepper in a small bowl. Whisk in olive oil until dressing starts to emulsify.. Combine mixed greens, apple, pecans, cranberries, and bacon in a large bowl and toss. Drizzle as much dressing over the salad as you like, and toss again. Sprinkle with feta, and serve.","calories: 401, fat: 32g, carbs: 26g, protein: 6g, servings: 4",https://www.allrecipes.com/thmb/1J_QZ__xwsuK925duZKQHQHR2jw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8720990_Apple-Pecan-Salad_Pat-Bernitt_4x3-69d7c77333954860b03fa13cc9ec5328.jpg
Peach Quinoa Salad,https://www.allrecipes.com/peach-quinoa-salad-recipe-8699665,"{'quantity': '1/3', 'unit': 'cup', 'name': 'quinoa'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable broth'}, {'quantity': '3', 'unit': 'ounces', 'name': 'fresh spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red bell pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'pecan pieces'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '3', 'unit': 'small', 'name': 'peaches'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'orange juice'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'extra-virgin olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'balsamic vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'honey'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'feta'}","Place quinoa in a fine mesh strainer and rinse under cold water. Drain.. Bring broth to a boil over medium heat in a saucepan. Add quinoa, cover, and reduce heat to low. Simmer until the liquid is absorbed and quinoa is tender, about 15 minutes. Remove from heat and let stand, covered, about 5 minutes. Fluff with a fork and allow to cool to room temperature, about 15 minutes.. Meanwhile, combine spinach, bell pepper, pecans, and drained red onion slices in a salad bowl.. In a small bowl, toss peach slices with orange juice (to slow oxidation) and add to the salad bowl.. For dressing, combine olive oil, balsamic vinegar, Dijon mustard, honey, and salt and pepper  in a small container or jar with a lid. Place the lid on the container and shake until ingredients are well blended.. Add quinoa to the salad ingredients, pour dressing over, and gently toss to combine. Garnish with feta crumbles and serve immediately.","calories: 355, fat: 28g, carbs: 25g, protein: 4g, servings: 4",https://www.allrecipes.com/thmb/5JdVcLWfn32F-DnPMkBmeAHR2_M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8699665_Peach-Quinoa-Salad_Brenda-Venable_4x3-28b8b480192e40d5ba6f9d6ccbcbd944.jpg
Peach and Blueberry Feta Salad,https://www.allrecipes.com/peach-and-blueberry-feta-salad-recipe-8674131,"{'quantity': '2', 'unit': 'cups', 'name': 'Romaine lettuce'}, {'quantity': '3', 'unit': None, 'name': 'fresh peaches'}, {'quantity': '1', 'unit': None, 'name': 'English cucumber'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh blueberries'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'feta cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1/2', 'unit': None, 'name': 'shallot'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh basil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}","Put chopped romaine, 2 peaches, cucumbers, and blueberries to a large bowl. Toss well, add feta on top, and set aside.. Add remaining peach, olive oil, shallot, lemon juice, basil, and agave to a food processor. Blend well, taste, and adjust if needed.. Drizzle dressing over salad and mix to combine.","calories: 311, fat: 18g, carbs: 36g, protein: 7g, servings: 4",https://www.allrecipes.com/thmb/CqNmKJpJ7SK_tlo8Kcv-YT80h-k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8674131_Peach-Blueberry-and-Feta-Salad_Shelia-Johnson_4x3-18cb8f8643f44059bfe49c585bb3381d.jpg
Grilled Radicchio and Avocado Salad with Zhug,https://www.allrecipes.com/grilled-radicchio-and-avocado-salad-with-zhug-recipe-8662276,"{'quantity': '1', 'unit': 'head', 'name': 'radicchio'}, {'quantity': '2', 'unit': None, 'name': 'avocados -'}, {'quantity': '1', 'unit': None, 'name': 'lemon, halved'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': None, 'name': 'jalapeno pepper'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'packed fresh parsley leaves'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'cilantro leaves'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, smashed'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'head', 'name': 'butterhead lettuce, torn'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}","Preheat an outdoor grill to medium heat (350 to 375 degrees F (175 to 190 degrees C)). Remove any wilted outer leaves from radicchio, then halve the head lengthwise through the core.. Brush cut sides of radicchio, avocados, and lemon with 1 tablespoon oil; arrange, cut sides down, along with the whole jalapeño, on grill grate. Cover grill. Grill radicchio, turning halfway through, until charred, 2 to 3 minutes. Grill avocados and lemon until cut sides are charred, 3 to 4 minutes. Grill jalapeño, turning to char on all sides, about 8 minutes.. When cool enough to handle, core and roughly chop radicchio and avocado; transfer to a serving bowl. Stem and (if desired) seed jalapeño.. For zhug, blend jalapeño, juice of grilled lemon, parsley, cilantro, garlic, coriander, salt, and remaining 4 tablespoons oil in a blender or food processor until smooth.. Add lettuce, Parmesan, and zhug to radicchio and avocado mixture; toss to coat. Serve immediately.","calories: 516, fat: 42g, carbs: 40g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/RrGn0GnMqbgcYjieT-o29JsRkDo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8662276-Grilled-Radicchio-and-Avocado-Salad-with-Zhug-KH-030724_AR6564-4x3-00f43d6d865c4ebf89c09376e2f7d0fa.jpg
Oregon Fall Salad,https://www.allrecipes.com/recipe/240094/oregon-fall-salad/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'extra virgin olive oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cider vinegar'}, {'quantity': '', 'unit': '', 'name': 'sea salt to taste'}, {'quantity': '', 'unit': '', 'name': 'coarse ground black pepper to taste'}, {'quantity': '1', 'unit': '(10 ounce) bag', 'name': 'mild field salad greens, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'hazelnuts'}, {'quantity': '2', 'unit': '', 'name': 'apples, cored and sliced paper-thin'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sharp Cheddar cheese rectangles'}","Whisk olive oil, cider vinegar, sea salt, and black pepper together in a large bowl until dressing is smooth. Pour salad greens into bowl and toss in dressing to coat.. Cook and stir hazelnuts in a skillet over medium heat until lightly browned, 4 to 7 minutes. Transfer hazelnuts to a work surface and roughly chop.. Layer apple slices, Cheddar cheese, and hazelnuts atop dressed greens.","calories: 458, fat: 35g, carbs: 30g, protein: 13g, servings: 2",https://www.allrecipes.com/thmb/uP-ONUHu9SIYD_2husPDWu8owqo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/240094-Oregon-Fall-Salad-AR1715-4x3-12a2b7052fae47c8ba91c6ca655d8387.jpg
Kale Sweet Potato Salad,https://www.allrecipes.com/kale-sweet-potato-salad-recipe-7569245,"{'quantity': '1', 'unit': None, 'name': 'sweet potato'}, {'quantity': '1/2', 'unit': None, 'name': 'red onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '4', 'unit': 'strips', 'name': 'bacon'}, {'quantity': '1', 'unit': 'bunch', 'name': 'kale'}, {'quantity': '1', 'unit': None, 'name': 'ranny Smith apple - cored and diced'}, {'quantity': '2', 'unit': None, 'name': 'green onions, sliced'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'apple cider vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ijon mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey, or to taste'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sunflower seeds (optional)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'bacon grease or other oil'}","Preheat the oven to 400 degrees F (200 degrees C). Line a 12 x18-inch rimmed baking sheet with parchment paper.. Peel and dice sweet potato into 3/4-inch pieces, about 2 cups, and place in a bowl. Dice onion into 3/4-inch pieces and add to sweet potatoes. Add olive oil; season with salt and pepper, and stir to combine. Spread vegetables in a single layer on the prepared baking sheet.. Bake in the center of the preheated oven until sweet potatoes are fork tender, but not mushy, about 20 minutes. Remove from the oven and allow to cool.. Meanwhile, cook bacon in a large skillet over medium heat until brown and crisp, 5 to 8 minutes, turning occasionally. Remove from heat, crumble, and set aside. Reserve bacon fat and allow to cool, but do not refrigerate.. Remove tough stems from kale, rinse well, and place in a colander to drain. Lightly press kale with paper towels to assist with drying.. Cut kale into bite-sized pieces and place in a large salad bowl. Add cooled sweet potatoes and onions, apple, and green onions.. To make dressing, place reserved bacon fat, about 1/4 cup, in a pint jar with a well-fitting lid. If you don't have enough bacon fat, add enough oil to get to 1/4 cup. Add vinegar, mustard, honey, and salt and pepper, to taste. Attach the lid and shake vigorously to combine.. Pour dressing over salad, and toss. Sprinkle crumbled bacon over salad, and garnish with sunflower seeds.","calories: 256, fat: 21g, carbs: 14g, protein: 4g, servings: 6",https://www.allrecipes.com/thmb/1O2uPqVNtoEIIoo7n-nt2dAO_Rg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7569245_Kale-Sweet-Potato-Salad_Bibi_4x3-24a33afef8c14b2682819f3384bc54e7.jpg
Grilled Chicken Caesar Salad,https://www.allrecipes.com/grilled-chicken-caesar-salad-recipe-7552423,"{'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '2', 'unit': None, 'name': 'anchovy filets'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ijon mustard'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'red wine vinegar'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'orcestershire sauce'}, {'quantity': '1 (1', 'unit': 'ounce) chunk', 'name': 'armesan cheese'}, {'quantity': None, 'unit': None, 'name': 'Salt'}, {'quantity': '8', 'unit': 'ounces', 'name': 'boneless chicken breasts'}, {'quantity': '1', 'unit': 'pound', 'name': 'omaine lettuce'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'shaved Parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'croutons'}","Add garlic cloves, anchovy filets, mustard, mayonnaise, red wine vinegar, Worcestershire sauce and Parmesan cheese to the jar of a high-powered blender (such as Vitamix). Blend on high until smooth. Season to taste with salt and pepper.. Pour half the dressing into a lidded glass jar; refrigerate dressing until ready to use. Pour remaining dressing into a resealable plastic bag. Add chicken breasts, reseal the bag, and place in the refrigerator to marinate overnight.. Preheat a gas grill to 400 degrees F (200 degrees C) and lightly oil the grate.. Grill chicken on the preheated grill with lid closed, until browned and juices run clear, 4 to 5 minutes per side.  An instant-read thermometer inserted near the center should read 165 degrees F (74 degrees C).. Remove chicken to rest on a plate for 10 minutes; slice into strips. Refrigerate chicken strips until chilled.. To assemble, roughly pull Romaine lettuce apart into bite-sized pieces. Pour chilled dressing over lettuce, toss. Divide salad onto 4 plates, top with croutons, shaved Parmesan and chicken strips. Enjoy!","calories: 384, fat: 28g, carbs: 9g, protein: 24g, servings: 4",https://www.allrecipes.com/thmb/w0R7dkHoDDU-bpxJ6hgDA5-cpSY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/grilled-chicken-caesar-salad-recipe-7552423fabeveryday4x3-4de53201e99a466398d92f8a5c55fb1f.jpg
"Red Pear, Pomegranate, and Gorgonzola Salad",https://www.allrecipes.com/recipe/8525642/red-pear-pomegranate-and-gorgonzola-salad/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'apple cider vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground white pepper'}, {'quantity': '6', 'unit': 'cups', 'name': 'romaine lettuce - torn, washed and dried'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped toasted walnuts'}, {'quantity': '¼', 'unit': 'cup', 'name': 'crumbled Gorgonzola cheese'}, {'quantity': '1', 'unit': '', 'name': 'red pear, cored and sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'pomegranate arils'}, {'quantity': '1', 'unit': '', 'name': 'green onion, chopped'}","Combine apple cider vinegar, extra-virgin olive oil, honey, Dijon mustard, salt, and white pepper in a small container with a lid. Cover tightly and shake until well combined. Set aside.. Place lettuce in a salad bowl. Sprinkle with toasted walnut pieces and cheese crumbles. Fan pear slices on the top of the salad and sprinkle with pomegranate arils and chopped scallion.. Drizzle with vinaigrette and serve.","calories: 106, fat: 6g, carbs: 11g, protein: 2g, servings: 6",https://www.allrecipes.com/thmb/iyLhHENmfRg_AEQQ-Ai7PEbAKMU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8525642-Red-Pear-Pomegranate-and-Gorgonzola-Salad-Bibi-8525649-4x3-1-6bdf8d9c716f4b5c85fd66bd8dc3eb1f.jpg
Green Goddess Salad,https://www.allrecipes.com/recipe/8530011/green-goddess-salad/,"{'quantity': '1', 'unit': 'cup', 'name': 'baby spinach'}, {'quantity': '1', 'unit': 'cup', 'name': 'coarsely chopped fresh flat-leaf parsley'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'loosely packed fresh basil leaves'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh chives'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'coarsely chopped tarragon leaves'}, {'quantity': '½', 'unit': 'medium', 'name': 'shallot, peeled, coarsely chopped'}, {'quantity': '1', 'unit': 'small', 'name': 'garlic clove, peeled and chopped'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'anchovy paste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lime juice (from 2 medium limes)'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped green cabbage'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped hearts of romaine'}, {'quantity': '3', 'unit': 'medium', 'name': 'Persian cucumbers, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'thinly sliced green onions'}, {'quantity': '1', 'unit': 'medium', 'name': 'ripe avocado, peeled and chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped roasted, salted pistachios'}","Combine spinach, parsley, basil, chives, tarragon, shallot, garlic, anchovy paste, and lime juice in a high-powered blender; blend and slowly add oil through top opening of blender until mixture is smooth, about 1 minute, scraping down sides if needed. Add mayonnaise and salt; blend until smooth. Cover and chill until ready to serve.. Combine cabbage, romaine, cucumber, and scallions in a large bowl; add 2/3 cup of the dressing and toss to evenly coat. Divide between 4 bowls and top each bowl with avocado and 1 tablespoon of the pistachios. Serve immediately with remaining dressing.","calories: 535, fat: 53g, carbs: 15g, protein: 5g, servings: 4",https://www.allrecipes.com/thmb/1kvMVGNoieyM3R5Qt76WEtIVasU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Green_Goddess_Dressing_4x3-STEP_060-9f2282f3c8a745508e5da1c2777a51c6.jpg
Apple Spinach Salad,https://www.allrecipes.com/recipe/129820/apple-spinach-salad/,"{'quantity': '2', 'unit': 'cups', 'name': 'baby spinach leaves'}, {'quantity': '1', 'unit': 'medium', 'name': 'apple, sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped celery'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'toasted PLANTERS Pecans, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'KRAFT LIGHT DONE RIGHT! House Italian Reduced Fat Dressing'}",Toss ingredients with dressing in large bowl.,,https://www.allrecipes.com/thmb/ZYabVk60GTPlKJE33Gz5uMQP6qI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/129820-Apple-Spinach-Salad-2000-a5f9f58a43fe48fca6ee2760f69fdd9b.jpg
