name,link,ingredients,steps,nutrition
Ground Turkey and Vegetable Stir Fry,https://www.allrecipes.com/ground-turkey-and-vegetable-stir-fry-recipe-8708979,"{'quantity': '1 1/2', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine or sherry'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'granulated garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'oil of choice'}, {'quantity': '1', 'unit': 'cup', 'name': 'onion'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'carrots'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red bell pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'cabbage'}, {'quantity': '1', 'unit': 'cup', 'name': 'snow peas'}, {'quantity': '2', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'green beans'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '1', 'unit': '(1 inch) piece', 'name': 'fresh ginger'}, {'quantity': None, 'unit': None, 'name': 'sesame seeds'}, {'quantity': '1', 'unit': None, 'name': 'green onion'}","To make the stir fry sauce, combine chicken stock, white wine or sherry, rice vinegar, sesame oil, soy sauce, white sugar, and cornstarch in a medium mixing bowl. Use a whisk to stir until the cornstarch is dissolved and there are no lumps. Set aside.. In a large skillet or wok, over medium high heat, combine turkey with granulated garlic, ground ginger, white pepper, and a pinch of salt, stirring and breaking up turkey until cooked through, 3 to 5 minutes.. Remove turkey from pan and keep warm. Wipe the pan clean, and heat cooking oil until very hot.. Add onions, celery, julienne carrots and red bell pepper pieces and cook, stirring continuously, about 1 minute.. Add shredded cabbage, snow peas, broccoli florets, and green beans and cook, stirring continuously, about 3 minutes. Add garlic and ginger and cook, stirring, about 1 minute.. Add cooked turkey back to the pan. Give the stir fry sauce a final whisk, and pour in the pan, stirring continuously, until the sauce thickens and comes to a boil.. Remove from heat and garnish with sesame seeds and sliced green onions, if desired.","calories: 608, fat: 31g, carbs: 41g, protein: 40g, servings: 4"
Ground Turkey Teriyaki Stir-Fry,https://www.allrecipes.com/ground-turkey-teriyaki-stir-fry-recipe-8705245,"{'quantity': '1/3', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mirin'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sake'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh ginger'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cornstarch'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': '1', 'unit': 'small', 'name': 'onion'}, {'quantity': '2', 'unit': 'cups', 'name': 'stir fry vegetables'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'cooked jasmine rice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'toasted sesame seeds'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'green onion'}","Stir soy sauce, mirin, sake, garlic, ginger, brown sugar, and cornstarch together in a small bowl; set aside.. Place a skillet over medium high heat. Add oil. Add ground turkey. Allow turkey to brown for 3 to 5 minutes before starting to crumble and break up with a spatula. Add in onions and stir fry vegetables. Cover and cook for 3 minutes.. Uncover and add the teriyaki sauce. Cook and stir until sauce thickens, about 3 minutes. Spoon over rice. Sprinkle sesame seeds and chopped green onions on top.","calories: 445, fat: 23g, carbs: 29g, protein: 28g, servings: 5"
Baked Turkey Curry Empanadas,https://www.allrecipes.com/baked-turkey-curry-empanadas-recipe-8690079,"{'quantity': '3', 'unit': 'cups', 'name': 'all purpose flour'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '14', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ice water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'yellow onion'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'curry powder'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Greek-style yogurt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'mango chutney'}","Stir together flour and salt in a large bowl. Cut butter into flour mixture with a pastry blender or fork until pea-size pieces form. Mix in ice water, 1 to 2 tablespoons at a time, just until dough comes together. (Dough should hold together when gently squeezed.) Divide dough into 2 portions; wrap each in plastic wrap. Chill at least 1 hour or up to 2 days.. Heat oil in a large skillet over medium-high heat. Cook onion, stirring frequently, until tender, about 4 minutes. Stir in 1 tablespoon curry powder and cook until fragrant, about 1 minute.. Add ground turkey, soy sauce, and remaining 3 tablespoons curry powder. Cook, stirring and breaking up lumps, until turkey is browned, about 8 minutes. Remove from heat; let filling cool completely.. Preheat the oven to 450 degrees F (230 degrees C). Line a large baking sheet with parchment paper. Working with one portion of dough at a time, remove plastic and roll out dough on a lightly floured surface to 1/8-inch thickness. Use a 3 1/2-inch round cutter to cut out circles, rerolling scraps as needed. Repeat with remaining dough until you have 24 circles.. Holding a dough circle in your palm, add 1 heaping tablespoon filling. Fold dough over filling and pinch (or use a fork) to seal edges. Repeat with remaining dough circles and filling. Arrange empanadas about 1/2- inch apart on the prepared baking sheet.. Beat together egg yolk and water in a small bowl; brush onto empanadas. Prick each empanada with a fork to vent. Bake until golden brown and crisp, 15 to 18 minutes. Let cool slightly.. Meanwhile, for creamy mango sauce, stir mayonnaise, yogurt, and mango chutney together; serve with empanadas.","calories: 201, fat: 13g, carbs: 14g, protein: 7g, servings: 24"
Turkey Meatballs in Maple-Bourbon Mustard Sauce,https://www.allrecipes.com/turkey-meatballs-in-maple-bourbon-mustard-sauce-recipe-8685411,"{'quantity': '1/4', 'unit': 'cup', 'name': 'onion'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'panko bread crumbs'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'yellow mustard'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'bourbon whiskey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley for garnish'}","Preheat the oven to 375 degrees F (190 degrees C). Line a rimmed baking sheet with aluminum foil. Place a baking rack on top, spray the rack with cooking spray, and set aside.. In a bowl, combine onion, panko, egg, Worcestershire, garlic, salt, and pepper. Add ground turkey, and gently mix together. Use a 1 tablespoon cookie scoop to gently shape into balls without packing too hard; place on the prepared baking rack.. Bake in the preheated oven until meatballs are cooked through, 15 to 20 minutes. An instant read thermometer inserted near the center should read 160 degrees F (71 degrees C).. Meanwhile, add mustard, maple syrup, bourbon, tomato paste, salt, pepper, and cayenne to a saucepan, and whisk until well combined. Cook over medium-low heat until sauce starts to thicken, 12 to 15 minutes. Add butter, and stir until melted.. Add meatballs to sauce; cook until meatballs are warmed up, 5 to 7 minutes. Transfer to a serving dish, and garnish with parsley.","calories: 529, fat: 26g, carbs: 40g, protein: 33g, servings: 4"
Mediterranean Ground Turkey Burgers with Olive and Feta Topping,https://www.allrecipes.com/mediterranean-ground-turkey-burgers-with-olive-and-feta-topping-recipe-7570594,"{'quantity': '1/3', 'unit': 'cup', 'name': 'feta'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'green olives'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'black olives'}, {'quantity': '1', 'unit': None, 'name': 'lemon, juiced'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'panko breadcrumbs'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'feta'}, {'quantity': '1', 'unit': None, 'name': 'lemon, zested'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh dill'}, {'quantity': '1/2', 'unit': 'tablespoon', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'smoked paprika'}","Mix together feta, green olives, black olives, and lemon juice in a small bowl. Season with salt and pepper. Place in the refrigerator until ready to serve.. Combine ground turkey, breadcrumbs, chopped onion, egg, feta, lemon zest, dill, oregano, garlic, and smoked paprika in a bowl. Shape mixture into four 1/4-pound patties.. Preheat an outdoor grill to medium-high heat and lightly oil the grate.. Cook the turkey burgers on the preheated grill until no longer pink in the center and the juices run clear, 7 to 10 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).. Top each burger with olive and feta topping.","calories: 487, fat: 32g, carbs: 14g, protein: 37g, servings: 4"
Mediterranean Turkey Meatball Sheet Pan Dinner,https://www.allrecipes.com/mediterranean-turkey-meatball-sheet-pan-dinner-recipe-7562426,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'parsley'}, {'quantity': '1', 'unit': 'tablespoon minced', 'name': 'fresh rosemary'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh oregano'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh dill'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh mint'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, or to taste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'breadcrumbs'}, {'quantity': '1/3', 'unit': 'cup minced', 'name': 'shallot'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': None, 'name': 'lemon, zested'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1/2', 'unit': None, 'name': 'lemon, juiced'}, {'quantity': '1/2', 'unit': 'red or', 'name': 'yellow bell pepper, sliced'}, {'quantity': '1/2', 'unit': None, 'name': 'green bell pepper, sliced'}, {'quantity': '1/2', 'unit': 'small', 'name': 'red onion, sliced'}, {'quantity': '1', 'unit': None, 'name': 'zucchini, sliced'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'feta cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'tomatoes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'alamata olives'}","Preheat the oven to 400 degrees F (200 degrees C). Line a sheet pan with foil or parchment paper.. In a large bowl, combine parsley, rosemary, oregano, dill, mint, salt, and pepper. Stir to combine. Set aside 2 tablespoons of herbs to use with vegetables later in the recipe.. To the large bowl, add breadcrumbs, shallot, garlic, and lemon zest; stir to combine. Whisk beaten egg with 1 tablespoon olive oil, and stir into the breadcrumb mixture. Add ground turkey.. Mix all ingredients well using your hands. If meatballs seem too wet, work in another tablespoon of bread crumbs. Form into 18 (1 1/4-inch) meatballs and place on the prepared pan. Spray meatballs with olive oil spray.. Bake in the preheated oven for 15 minutes.. Meanwhile, combine lemon juice, reserved 2 tablespoons herb mixture, and remaining 1 tablespoon olive oil, and toss with red pepper, green pepper, red onion, and zucchini slices.. Remove meatballs from the oven; distribute vegetables around the meatballs on the pan.. Return the pan to the oven; continue baking until vegetables are tender and meatballs are no longer pink in the center, about 15 minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).. Sprinkle with crumbled feta cheese, chopped tomatoes, and olives. Serve warm.","calories: 556, fat: 34g, carbs: 27g, protein: 38g, servings: 4"
Turkey Sliders,https://www.allrecipes.com/turkey-sliders-recipe-7560812,"{'quantity': '8', 'unit': None, 'name': 'slider buns'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ijon mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dill pickle relish, drained'}, {'quantity': '8', 'unit': None, 'name': 'dill pickle slices'}, {'quantity': '8', 'unit': 'thin slices', 'name': 'deli turkey'}, {'quantity': '8', 'unit': 'slices', 'name': 'wiss cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'everything bagel seasoning, or to taste'}","Preheat the oven to 350 degrees F (165 degrees C). Line a baking sheet with parchment paper.. Using a serrated knife, slice slider buns in half horizontally, and set tops aside.. In a small bowl, stir together mayonnaise, Dijon mustard, and pickle relish. Spread the dressing on the bottom halves of the buns, and place a pickle slice on top of each.. Put a half slice of turkey on each, folding to fit. Top with Swiss cheese, again either folding or cutting to fit, and place remaining half  turkey slices on top of the cheese. Place the tops of the buns on the sandwiches.. Place sliders on the prepared baking sheet. Stir together melted butter and Worcestershire, brush slider buns with butter, and sprinkle with everything seasoning. Cover with foil.. Bake in the preheated oven until cheese begins to melt, 12 to 15 minutes. Remove the foil, and bake until buns are golden, about 3 minutes. Cool for about 3 minutes, and serve warm.","calories: 316, fat: 17g, carbs: 27g, protein: 14g, servings: 8"
Seasoned Turkey Burgers,https://www.allrecipes.com/recipe/20040/seasoned-turkey-burgers/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground turkey'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten (Optional)'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'dry onion soup mix'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '6', 'unit': '', 'name': 'hamburger buns, split'}","Mix turkey, egg, onion soup mix, soy sauce, pepper, and garlic powder in a large bowl until well combined; refrigerate mixture for about 10 minutes, then form into 6 equal-sized patties.. Preheat an outdoor grill for medium-high heat and lightly oil the grate.. Cook turkey burgers on the preheated grill, turning once, until no longer pink in the center and the juices run clear, about 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Serve on buns.","calories: 315, fat: 11g, carbs: 25g, protein: 28g, servings: 6"
Turkey Meatball Stew,https://www.allrecipes.com/recipe/281661/turkey-meatball-stew/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'pound', 'name': '93% lean ground turkey'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh bread crumbs'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced fresh parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and ground black pepper to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'fire-roasted diced tomatoes, undrained'}, {'quantity': '3', 'unit': 'cups', 'name': 'low-sodium chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'cubed peeled potatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'peeled, chopped carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen peas'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes (Optional)'}","Preheat the oven to 375 degrees F (190 degrees C). Line a rimmed baking sheet with foil. Coat a wire rack with nonstick cooking spray, set on prepared baking sheet, and set aside.. Combine ground turkey, bread crumbs, egg, parsley, Worcestershire sauce, garlic powder, Italian seasoning, onion powder, salt, and pepper in a large bowl. Using a 2-teaspoon cookie scoop, shape the mixture into 1-inch balls and place on the baking rack.. Bake in the preheated oven until no longer pink in the center, about 12 minutes.. Meanwhile, heat olive oil in a Dutch oven over medium heat. Add onion and celery and cook until softened, about 5 minutes. Add tomatoes, chicken broth, potatoes, carrots, peas, basil, and red pepper flakes; stir until well combined. Bring to a boil, reduce heat to medium-low, and simmer, uncovered, until potatoes and carrots are cooked and the broth has somewhat reduced, 20 to 25 minutes.. Stir in meatballs and simmer until heated through, 5 to 7 minutes. Season stew with salt and pepper.","calories: 357, fat: 17g, carbs: 30g, protein: 22g, servings: 6"
Ground Turkey-Ricotta Meatballs,https://www.allrecipes.com/recipe/285091/ground-turkey-ricotta-meatballs/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': '½', 'unit': 'cup', 'name': 'ricotta cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'Italian-seasoned bread crumbs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh basil'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, slightly beaten'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}","Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.. Mix turkey, ricotta cheese, bread crumbs, basil, egg, salt, and pepper together in a bowl until just combined.. Scoop mixture using a 1-ounce measure onto the prepared baking sheet.. Bake in the preheated oven for 15 minutes. Flip meatballs and bake until browned and no longer pink in the centers, about 5 minutes more.","calories: 280, fat: 13g, carbs: 12g, protein: 29g, servings: 4"
