name,link,ingredients,steps,nutrition,image_url
Spicy Turkey Gumbo,https://www.allrecipes.com/spicy-turkey-gumbo-recipe-8744687,"{'quantity': '3/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'avocado oil, or any high-heat vegetable oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '8', 'unit': 'ounces', 'name': 'andouille sausage'}, {'quantity': '2', 'unit': 'cups', 'name': 'onions'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'green bell pepper'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'celery'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '8', 'unit': 'cups', 'name': 'turkey or chicken broth'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'turkey meat'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '1/4', 'unit': 'cup chopped', 'name': 'Italian parsley'}",,"calories: 474, fat: 29g, carbs: 20g, protein: 32g, servings: 8",https://cdn.jwplayer.com/v2/media/XLKp4nWv/thumbnails/dOOQbJwa.jpg
Cajun Chicken and Sausage Gumbo,https://www.allrecipes.com/cajun-chicken-and-sausage-gumbo-recipe-8621540,"{'quantity': '2', 'unit': 'pounds', 'name': 'skinless, boneless chicken thighs'}, {'quantity': '2 1/2', 'unit': 'teaspoons', 'name': 'Cajun seasoning'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil, divided'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage,'}, {'quantity': '1 1/3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'large', 'name': 'white onion, finely chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'green bell pepper, finely chopped'}, {'quantity': '1', 'unit': 'pepper', 'name': 'jalapeno pepper, seeded and chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, finely chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic.'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '6', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '2', 'unit': None, 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'fresh thyme, or 1/2 teaspoon dried thyme'}, {'quantity': '1', 'unit': 'pound', 'name': 'okra'}, {'quantity': None, 'unit': None, 'name': '4 cups cooked rice, or as needed, for serving'}, {'quantity': None, 'unit': None, 'name': 'sliced green onions for serving'}","Preheat the oven to 325 degrees F (165 degrees C). Place chicken in a baking dish and sprinkle with 1 teaspoon Cajun seasoning and garlic powder. Cover with foil.. Bake in the preheated oven until chicken is no longer pink at the center and juices run clear, 50 to 60 minutes. Allow to cool slightly and shred chicken into 1 to 2-inch pieces. Set aside.. Meanwhile, add 2 teaspoons oil and sausage to a large Dutch oven over medium-high heat. Cook, stirring occasionally, until sausage is browned, about 5 minutes. Remove sausage using a slotted spoon to drain on paper towels; set aside. Reserve drippings in the pot.. Reduce heat to medium-low. Add remaining oil to the pot and whisk in flour. Cook, stirring often, until roux is dark brown, about 1 hour.. Add onion, peppers, celery, garlic, and salt to the roux. Increase heat to medium-high and cook, stirring constantly, until vegetables are tender, about 5 minutes.  Stir in remaining Cajun seasoning, stock, bay leaves, black pepper, Worcestershire sauce, hot sauce, and thyme, and bring to a boil, stirring occasionally. Add reserved chicken and sausage, reduce heat to medium-low, and simmer for 20 minutes.. Stir in okra and cook for 20 minutes. Serve with hot cooked rice and green onions.","calories: 879, fat: 55g, carbs: 53g, protein: 45g, servings: 8",https://cdn.jwplayer.com/v2/media/P6l6ZgCM/thumbnails/XAH8tIIh.jpg
Green Lentil “Gumbo” Soup,https://www.allrecipes.com/green-lentil-gumbo-soup-recipe-7968859,"{'quantity': '8', 'unit': 'ounces', 'name': 'andouille sausage, cut into 1/4-inch cubes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'green bell pepper'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'celery'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt, plus more to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': None, 'name': 'bay leaf'}, {'quantity': '6', 'unit': 'cups', 'name': 'low-sodium chicken broth'}, {'quantity': '8', 'unit': 'ounces', 'name': 'chicken thighs, cut into small pieces'}, {'quantity': '4', 'unit': 'ounces', 'name': 'smoked ham, diced'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'okra'}, {'quantity': '1', 'unit': 'cup', 'name': 'lentils, rinsed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orcestershire sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'hot sauce'}, {'quantity': '1/4', 'unit': 'cup chopped', 'name': 'talian parsley'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked white rice (optional)'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'green onions, or as needed'}, {'quantity': None, 'unit': None, 'name': '1/8 teaspoon cayenne pepper, or to taste'}",,"calories: 374, fat: 23g, carbs: 20g, protein: 26g, servings: 6",https://cdn.jwplayer.com/v2/media/GjLZCcnM/thumbnails/uRmwgzas.jpg
Good New Orleans Creole Gumbo,https://www.allrecipes.com/recipe/216888/good-new-orleans-creole-gumbo/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'bacon drippings'}, {'quantity': '1', 'unit': 'cup', 'name': 'coarsely chopped celery'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, coarsely chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'green bell pepper, coarsely chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage, sliced'}, {'quantity': '3', 'unit': 'quarts', 'name': 'water'}, {'quantity': '6', 'unit': 'cubes', 'name': 'beef bouillon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'hot pepper sauce (such as Tabasco), or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': ""Cajun seasoning blend (such as Tony Chachere's), or to taste""}, {'quantity': '4', 'unit': '', 'name': 'bay leaves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme leaves'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'stewed tomatoes'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato sauce'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'file powder, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'bacon drippings'}, {'quantity': '2', 'unit': '(10 ounce) packages', 'name': 'frozen cut okra, thawed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'distilled white vinegar'}, {'quantity': '1', 'unit': 'pound', 'name': 'lump crabmeat'}, {'quantity': '3', 'unit': 'pounds', 'name': 'uncooked medium shrimp, peeled and deveined'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}",,"calories: 283, fat: 17g, carbs: 12g, protein: 21g, servings: 20",https://cdn.jwplayer.com/v2/media/xRCJ49Xb/thumbnails/27ES4G8d.jpg
Cajun Chicken and Sausage Gumbo,https://www.allrecipes.com/recipe/141114/cajun-chicken-and-sausage-gumbo/,"{'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille or smoked sausage, sliced 1/4 inch thick'}, {'quantity': '2', 'unit': '', 'name': 'celery stalks, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'Creole seasoning, or to taste'}, {'quantity': '6', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '1', 'unit': '', 'name': 'rotisserie chicken, boned and shredded'}","Gather all ingredients.. Heat oil in a stockpot over medium heat; whisk in flour until roux is smooth and has cooked to the color of chocolate milk, about 8 to 10 minutes. Be careful not to burn the roux. If you see black specks in the mixture, it's best to start over.. Add sausage, celery, bell pepper, and onion into the roux; cook and stir 5 minutes. Add garlic; continue to cook and stir another 5 minutes.. Season with salt, pepper, and Creole seasoning; stir well to blend. Pour in chicken broth and add bay leaf. Bring to a boil over high heat; reduce heat to medium-low and simmer, uncovered, for 1 hour, stirring occasionally.. Stir in the chicken and simmer 1 hour more. Skim off any foam that floats to the top during this time.. Serve and enjoy!","calories: 480, fat: 40g, carbs: 15g, protein: 16g, servings: 10",https://cdn.jwplayer.com/v2/media/1tpijTbp/thumbnails/LzgDYT1Q.jpg
Slow Cooker Chicken Gumbo with Shrimp,https://www.allrecipes.com/recipe/238411/slow-cooker-chicken-gumbo-with-shrimp/,"{'quantity': '1', 'unit': '', 'name': 'Reynolds® Slow Cooker Liner'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'stewed tomatoes, undrained'}, {'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken thighs, cut up'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'reduced-sodium chicken broth'}, {'quantity': '1', 'unit': '', 'name': 'green sweet pepper, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Cajun seasoning'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh or frozen medium shrimp (thawed if frozen), peeled and deveined'}, {'quantity': '4', 'unit': 'cups', 'name': 'hot cooked white or brown rice'}","Line a 5- to 6-quart slow cooker with Reynolds slow cooker liner.. Place tomatoes, chicken, broth, green pepper, onion, celery, garlic, Cajun seasoning, black pepper, and cayenne pepper into the prepared slow cooker. Stir gently with a wooden spoon or rubber scraper to combine.. Cover and cook on Low for 6 hours.. Remove the lid and stir in shrimp gently with a wooden spoon or rubber scraper. Cover and continue cooking on Low until shrimp is opaque, about 3 minutes more. Serve over cooked rice.","calories: 282, fat: 7g, carbs: 32g, protein: 22g, servings: 8",https://www.allrecipes.com/thmb/O7CVKikeQP4WfQZGqdTvdB_Ieis=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7656656-9bf2b52ed967410089f84e92bc2574b3.jpg
Easy Sausage and Shrimp Gumbo,https://www.allrecipes.com/recipe/256344/easy-sausage-and-shrimp-gumbo/,"{'quantity': '1', 'unit': 'cup', 'name': 'canola oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, diced'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Cajun seasoning'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '6', 'unit': 'cups', 'name': 'low-sodium chicken stock'}, {'quantity': '1', 'unit': 'pound', 'name': 'peeled and deveined small shrimp'}","Cook and stir oil and flour in a skillet over medium heat until mixture is thick and the color of peanut butter, about 20 minutes.. Stir onion, green bell pepper, and celery into flour mixture; cook and stir until softened, about 5 minutes. Add sausage; cook and stir until browned, about 5 minutes. Add Cajun seasoning, garlic, and black pepper; cook and stir until fragrant, about 2 minutes.. Pour chicken stock over vegetable-sausage mixture; reduce heat to low and simmer for 30 minutes. Add shrimp and cook until shrimp are pink and cooked through, about 10 minutes.","calories: 568, fat: 45g, carbs: 19g, protein: 21g, servings: 8",https://www.allrecipes.com/thmb/fFq35SBMj6SPw32ar_JPy_9UsDQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6717016-63c2bdb491754d7ea86db14c1238972d.jpg
11 Gumbo Cooking Mistakes You May Be Making,https://www.allrecipes.com/article/gumbo-tips/,,,,https://cdn.jwplayer.com/v2/media/otRoODS3/poster.jpg?width=720
Sausage and Shrimp Gumbo,https://www.allrecipes.com/recipe/239100/sausage-and-shrimp-gumbo/,"{'quantity': '1', 'unit': '(14 ounce) package', 'name': 'Hillshire Farm Smoked Sausage'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cooking oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'flour'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, seeded, chopped'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, seeded, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen sliced okra'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Cajun seasoning'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'hot pepper sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': None, 'unit': None, 'name': 'salt to taste'}, {'quantity': '½', 'unit': 'pound', 'name': 'large raw shrimp, peeled, deveined'}, {'quantity': '3', 'unit': 'cups', 'name': 'hot cooked long-grain white rice'}","Cut sausage into 1/2-inch slices; set aside.. Combine oil and flour in a 4-quart heavy saucepan; mix until smooth. Cook and stir over medium-high heat for 3 minutes. Reduce heat to medium; cook and stir until roux is a dark reddish brown, 6 to 8 minutes.. Stir in onion, bell peppers, celery, okra and garlic; cook and stir until vegetables are tender, 8 to 10 minutes. Stir in Cajun seasoning.. Pour in broth; bring to a boil. Cook and stir for 1 minute. Reduce heat to low; add sausage, pepper sauce, black pepper and salt. Cover and simmer for 15 minutes.. Remove the lid and bring to a boil; add shrimp and cook until shrimp turn pink, about 3 minutes.. Portion rice into bowls. Ladle gumbo over rice.","calories: 486, fat: 29g, carbs: 36g, protein: 18g, servings: 6",https://cdn.jwplayer.com/v2/media/qxGQA528/poster.jpg?width=720
Instant Pot Chicken and Sausage Gumbo,https://www.allrecipes.com/recipe/269146/instant-pot-chicken-and-sausage-gumbo/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'skinless, boneless chicken thighs, chopped into bite-sized pieces'}, {'quantity': '½', 'unit': 'pound', 'name': 'andouille sausage, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sliced okra'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Creole seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}","Turn on a multi-functional pressure cooker (such as Instant Pot) and select Sauté function. Add 1 tablespoon oil, chicken, and sausage to the pot; cook for 6 minutes. Remove meat with a slotted spoon and set aside. Add 1/2 cup oil and flour to the pot. Whisk until roux is the color of peanut butter, about 10 minutes. Add onion, bell pepper, celery, and garlic. Cook, stirring continually to prevent burning, for 5 minutes. Turn the pot off.. Add broth, tomatoes, okra, black pepper, cayenne pepper, thyme, Creole seasoning, and Worcestershire sauce to the pot. Stir in cooked chicken and sausage. Close and lock the lid. Select high pressure according to manufacturer's instructions and set the timer for 4 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Serve immediately.","calories: 538, fat: 40g, carbs: 17g, protein: 27g, servings: 6",https://www.allrecipes.com/thmb/fK_Bwmjp4gXr3t_xAS03Z0O9LnY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5960685-af1c3fb658e54a748177a7456a5c3f8c.jpg
