name,link,ingredients,steps,nutrition
Traditional Gyro Meat,https://www.allrecipes.com/recipe/173420/traditional-gyro-meat/,"{'quantity': '½', 'unit': None, 'name': 'medium onion, cut into chunks'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground lamb'}, {'quantity': '1', 'unit': 'pound', 'name': '80/20 ground beef'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground dried rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground dried thyme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1½', 'unit': 'teaspoons', 'name': 'fine sea salt'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}",,"calories: 258, fat: 17g, carbs: 1g, protein: 24g, servings: 10"
Turkish Doner Kebab,https://www.allrecipes.com/recipe/262546/authentic-turkish-doner-kebab/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried Italian herb seasoning'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1 ¼', 'unit': 'pounds', 'name': 'ground lamb'}","Preheat the oven to 350 degrees F (175 degrees C).. Combine flour, oregano, salt, garlic powder, onion powder, Italian seasoning, black pepper, and cayenne pepper in a large bowl. Add ground lamb and knead until thoroughly mixed together, about 3 minutes.. Shape seasoned lamb mixture and place into a loaf pan; set on top of a baking sheet.. Bake in the preheated oven, turning halfway to ensure even browning, for about 1 hour and 20 minutes.. Wrap loaf in aluminum foil and let rest for about 10 minutes. Slice as thinly as possible to make doner kebab pieces.","calories: 284, fat: 19g, carbs: 2g, protein: 24g, servings: 4"
Traditional Gyros,https://www.allrecipes.com/recipe/240559/traditional-gyros/,"{'quantity': '1', 'unit': 'small', 'name': 'onion, cut into chunks'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground lamb'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '12', 'unit': 'tablespoons', 'name': 'hummus'}, {'quantity': '12', 'unit': '', 'name': 'pita bread rounds'}, {'quantity': '1', 'unit': 'small head', 'name': 'lettuce, shredded'}, {'quantity': '1', 'unit': 'large', 'name': 'tomato, sliced'}, {'quantity': '1', 'unit': 'large', 'name': 'red onion, sliced'}, {'quantity': '6', 'unit': 'ounces', 'name': 'crumbled feta cheese'}, {'quantity': '24', 'unit': 'tablespoons', 'name': 'tzatziki sauce'}","Place onion in a food processor and finely chop. Transfer onion to a piece of cheesecloth and squeeze out the liquid. Place onion in a large bowl.. Mix lamb, beef, garlic, oregano, cumin, marjoram, thyme, rosemary, black pepper, and salt with the onion using your hands until well mixed. Cover bowl with plastic wrap and refrigerate until flavors blend, about 2 hours.. Preheat the oven to 325 degrees F (165 degrees C).. Place meat mixture in a food processor and pulse until finely chopped and tacky, about 1 minute. Pack meat mixture into a 7x4-inch loaf pan, ensuring there are no air pockets. Place the loaf pan into a roasting pan and pour enough boiling water around the loaf pan to reach halfway up the sides for a water bath.. Bake in the preheated oven until no longer pink in the center, 45 to 60 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Pour off any accumulated fat and cool slightly.. Thinly slice the cooked gyro meat loaf.. Spread 1 tablespoon hummus onto each pita bread. Then top each with some of the gyro meat slices, shredded lettuce, tomato slices, red onion slices, feta cheese crumbles, and 2 tablespoons tzatziki sauce to complete each sandwich.","calories: 425, fat: 41g, carbs: 43g, protein: 22g, servings: 12"
Dash's Donair,https://www.allrecipes.com/recipe/71963/dashs-donair/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'white vinegar, or as needed'}","Preheat the oven to 350 degrees F (175 degrees C).. Make loaf: Mix together salt, oregano, flour, black pepper, Italian seasoning, garlic powder, onion powder, and cayenne pepper in a cup or small bowl.. Place ground beef in a large steel mixing bowl on a sturdy surface; use your hands to blend in spice mixture. Pick up meat and throw it down with force about 20 times, kneading it after each throw. This will help meat hold together better when sliced.. Form meat into a loaf; place on a broiler pan or baking sheet.. Bake in the preheated oven for 1 hour and 15 minutes, rotating loaf halfway through to ensure even baking. Serve warm with sauce or allow meat to chill before slicing and reheating.. Make sauce: Mix together evaporated milk, sugar, and garlic powder in a medium bowl. Gradually whisk in white vinegar, 1 teaspoon at a time, until thickened to your desired consistency.","calories: 489, fat: 21g, carbs: 50g, protein: 26g, servings: 4"
The Original Donair From the East Coast of Canada,https://www.allrecipes.com/recipe/211191/the-original-donair-from-the-east-coast-of-canada/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': '(12 ounce) can', 'name': 'evaporated milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white vinegar, or to taste'}, {'quantity': '6', 'unit': 'large', 'name': 'pita bread rounds'}","Make the meatloaf: Mix ground beef, cayenne pepper, black pepper, onion powder, garlic powder, salt, paprika, and oregano together in a large bowl until combined. Shape mixture into a loaf and place on a baking tray; cover with plastic wrap and let rest in the refrigerator overnight.. Preheat the oven to 350 degrees F (175 degrees C).. Bake meatloaf in the preheated oven until no longer pink in the center, about 30 minutes, turning the loaf over halfway through cooking. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C). Allow the meatloaf to cool so it holds together for slicing.. Meanwhile, make the sauce: Stir evaporated milk and sugar together in a bowl until sugar is dissolved; add vinegar, 1 teaspoon at a time, to taste. Refrigerate sauce until ready to serve.. Slice meatloaf into 1/4-inch thick slices; brown each slice in a skillet over medium heat until browned and crisp, about 5 minutes per side.. Sprinkle pita bread rounds with a little water; warm briefly in a dry skillet over medium heat.. To serve: Place several slices of meatloaf into each warmed pita bread; spoon about 2 tablespoons of sauce on top and roll into a cone shape. Wrap each donair in aluminum foil to keep the sauce from dripping out; serve.","calories: 450, fat: 14g, carbs: 57g, protein: 22g, servings: 6"
Donair,https://www.allrecipes.com/recipe/55855/donair/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'nonfat evaporated milk'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vinegar'}, {'quantity': '6', 'unit': '', 'name': 'pita bread rounds'}, {'quantity': '3', 'unit': '', 'name': 'tomatoes, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}","Preheat the oven to 300 degrees F (150 degrees C).. Prepare meatloaf: Mix together beef, bread crumbs, paprika, cayenne pepper, onion powder, garlic powder, black pepper, and salt in a large bowl until well combined. Press into an 8x8-inch baking dish.. Bake in the preheated oven until cooked through, about 2 hours. An instant-read thermometer inserted into the center of meatloaf should read at least 160 degrees F ( 72 degrees C.) Set aside until cool enough to slice, at least 30 minutes; the longer it cools, the easier it will be to slice.. Make sauce: Combine evaporated milk, sugar, and vinegar in a jar with a lid; shake well to blend. Set aside.. Heat a large skillet over medium-high heat. Cut meatloaf into thin slices and fry in the hot skillet until browned on each side. Remove from the skillet and keep warm. Flick a little water onto the hot skillet and brown pita rounds on each side to soften.. Layer meatloaf slices, tomatoes, and onion down the center of each pita round. Drizzle with sauce. Fold pitas in half towards the center.","calories: 517, fat: 15g, carbs: 67g, protein: 28g, servings: 6"
Easy Chicken Gyro,https://www.allrecipes.com/recipe/220274/easy-chicken-gyro/,"{'quantity': '1', 'unit': '(16 ounce) container', 'name': 'Greek yogurt'}, {'quantity': '1', 'unit': 'medium', 'name': 'cucumber, peeled and coarsely chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-virgin olive oil'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'dried dill weed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'distilled white vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'red wine vinegar'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1 ¼', 'unit': 'pounds', 'name': 'skinless, boneless chicken breast halves - cut into strips'}, {'quantity': '6', 'unit': '(6 inch)', 'name': 'pita bread rounds'}, {'quantity': '1', 'unit': 'medium', 'name': 'tomato, diced'}, {'quantity': '1', 'unit': 'medium', 'name': 'red onion, thinly sliced'}, {'quantity': '½', 'unit': 'head', 'name': 'iceberg lettuce, chopped'}","Gather all ingredients.. Make the tzatziki: Combine yogurt, cucumber, garlic, oil, dill, vinegar, lemon juice, salt, and pepper in a blender. Blend until smooth, then cover and refrigerate until needed.. Make the chicken: Whisk garlic, lemon juice, oil, oregano, vinegar, salt, and pepper together in a large glass or ceramic bowl. Add chicken and toss until evenly coated. Cover with plastic wrap and marinate in the refrigerator for 1 hour.. Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Line a rimmed baking sheet with foil.. Remove chicken from the marinade and place onto the prepared baking sheet.. Broil in the preheated oven until lightly browned and no longer pink in the center, 2 to 4 minutes per side. Transfer cooked chicken to a plate and let rest for 5 minutes.. While the chicken is resting, make the gyros: Heat a large nonstick skillet over medium heat. Cook each pita in the hot skillet until warm and soft, about 1 minute per side.. Top warm pitas with chicken strips, tzatziki, lettuce, tomato, and onion.. Enjoy!","calories: 441, fat: 18g, carbs: 39g, protein: 30g, servings: 6"
Gyros,https://www.allrecipes.com/recipe/233230/gyros/,"{'quantity': '¼', 'unit': 'cup', 'name': 'chopped red onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried marjoram'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground dried rosemary'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'pound', 'name': '93%-lean ground beef'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground lamb'}","Preheat oven to 350 degrees F (175 degrees C).. Process red onion in a food processor until finely minced. Scoop onion into a piece of cheesecloth and squeeze it to release as much moisture as possible.. Return onion to the food processor. Add garlic and process until the garlic is well integrated. Blend in marjoram, rosemary, salt, and pepper.. Gradually blend ground beef and ground lamb with the onion and seasoning mixture by alternately adding small amounts of each meat to the mixture and processing until well incorporated before adding the next batch.. Firmly pack the meat mixture into a 9x5-inch loaf pan, assuring no air pockets are trapped in the meat.. Bake in the preheated oven until no longer pink in the center, about 1 hour 15 minutes. An instant-read thermometer inserted into the center should read at least 175 degrees F (80 degrees C).. Drain grease and slice thinly to serve.","calories: 224, fat: 14g, carbs: 1g, protein: 22g, servings: 8"
American Gyros,https://www.allrecipes.com/recipe/258848/american-gyros/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground lamb'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely diced yellow onion'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced fresh rosemary'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dry bread crumbs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}","Preheat oven to 350 degrees F (175 degrees C). Lightly oil a 9x13-inch baking dish. Line with parchment paper that extends up the sides. Turn the parchment paper over so the oiled side is up.. Place ground lamb and beef in a mixing bowl. Add onions, garlic, rosemary, oregano, salt, pepper, cumin, paprika, cinnamon, cayenne pepper, and bread crumbs. Mix until well combined. Transfer to prepared baking dish and press the meat mixture firmly into the dish in an even layer that extends to the edges. Meat mixture should be packed and fairly dense.. Bake in preheated oven until nicely browned, 40 to 45 minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C). Cool to room temperature. Transfer to a plate. Cover with plastic wrap and refrigerate until chilled, 1 to 2 hours.. Transfer meat to a cutting board. Cut into 3 pieces crosswise. Slice each piece into 1/8-inch thick slices as you need them.. Heat oil in a skillet over medium-high heat. Cook slices until browned, about 2 minutes per side.","calories: 255, fat: 18g, carbs: 3g, protein: 19g, servings: 8"
Gyros Burgers,https://www.allrecipes.com/recipe/47407/gyros-burgers/,"{'quantity': '½', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '½', 'unit': 'pound', 'name': 'lean ground lamb'}, {'quantity': '½', 'unit': '', 'name': 'onion, grated'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, pressed'}, {'quantity': '1', 'unit': 'slice', 'name': 'bread, toasted and crumbled'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried savory'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'dash', 'name': 'ground cumin'}","Preheat an outdoor grill for medium-high heat, and lightly oil grate.. In large bowl, combine ground beef, ground lamb, onion, garlic, and bread crumbs. Season with savory, allspice, coriander, salt, pepper, and cumin. Knead until mixture is stiff. Shape into 4 very thin patties (1/8-inch to 1/4-inch thick).. Grill patties for 5 to 7 minutes on each side, or until cooked through.","calories: 338, fat: 25g, carbs: 6g, protein: 20g, servings: 4"
