name,link,ingredients,steps,nutrition
Our 12 Best Pumpkin Seed Recipes Make Perfect Autumn Snacks,https://www.allrecipes.com/gallery/best-pumpkin-seed-recipes/,,,
10 Easy Halloween Treats With Store-Bought Shortcuts,https://www.allrecipes.com/gallery/halloween-treats-with-store-bought-shortcuts/,,,
13 Scary Halloween Cookies to Sink Your Fangs Into,https://www.allrecipes.com/gallery/scary-halloween-cookie-recipes/,,,
18 Easy Halloween Treats Kids Can Help Make,https://www.allrecipes.com/gallery/easy-kid-friendly-halloween-treats/,,,
Chef John's 13 Best Halloween Recipes Ever,https://www.allrecipes.com/chef-john-halloween-recipes-8737311,,,
“Black Magic” Chocolate Chip Cookies,https://www.allrecipes.com/black-magic-chocolate-chip-cookies-recipe-8732777,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, soft'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'activated charcoal powder'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2 1/4', 'unit': 'cups', 'name': 'all purpose flour'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'chocolate chips'}",,"calories: 161, fat: 8g, carbs: 21g, protein: 2g, servings: 32"
Pumpkin Oreo Cupcakes,https://www.allrecipes.com/pumpkin-oreo-cupcakes-recipe-8727217,"{'quantity': '2', 'unit': 'cups', 'name': 'cream-filled chocolate sandwich cookies (such as Oreo'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'unsalted butter,'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned pumpkin puree'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'cake flour'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'confectioners sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'cream-filled chocolate sandwich cookies (such as Oreo'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cocoa powder (such as The Cocoa Trader Black Dutched Cocoa Powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '16', 'unit': 'cookie', 'name': 'cream-filled chocolate sandwich cookies (such as Oreo'}","Preheat the oven to 350 degrees F (175 degrees C). Line 2 cupcake pans with liners.. Prepare crusts: Mix Oreo crumbs, melted butter, brown sugar, and salt together in a small bowl until combined. Place 1 packed tablespoon of crumb mixture into the bottom of about 16 cupcake liners and press into an even layer.. Bake crusts in the preheated oven for 10 minutes. Remove from oven; allow to cool. Do not turn oven off.. Meanwhile, prepare cupcakes: Beat butter, vegetable oil, white sugar, and brown sugar with an electric mixer until light and fluffy. Add egg and vanilla and beat for 3 minutes on medium-high speed. Add pumpkin and sour cream and mix until combined. Add cake flour, cinnamon, salt, baking powder, nutmeg, baking soda, cloves, and allspice and mix until just combined.. Spoon about 2 tablespoons of the pumpkin batter over each Oreo crust (see Note).. Bake cupcakes until tops spring back when lightly touched, 22 to 28 minutes. Allow cupcakes to cool in the pans for 10 minutes before removing to a wire rack to cool completely.. For frosting, beat butter with an electric mixer until smooth. Beat in cream cheese until thoroughly smooth and combined. Beat in 1 cup powdered sugar, vanilla, and salt until thoroughly combined, then beat in finely ground Oreos and black cocoa. Add in remaining 3/4 cup powdered sugar; beat until smooth and combined.. Pour in heavy cream, and mix on low speed. Gradually turn mixer speed up to medium-high and beat until frosting is light and fluffy, 3 to 4 minutes. Frost cooled cupcakes as desired and top with an additional Oreo cookie, if desired.","calories: 486, fat: 26g, carbs: 62g, protein: 4g, servings: 16"
Peanut Butter Bugle Bites,https://www.allrecipes.com/peanut-butter-bugle-bites-recipe-8724424,"{'quantity': '1', 'unit': '(7 1/2 ounce) bag', 'name': 'crunchy corn snacks (such as Bugles®)'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'light corn syrup'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'cup', 'name': 'chocolate chips'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coconut oil'}, {'quantity': None, 'unit': None, 'name': 'sea salt (optional)'}","Line a baking sheet with parchment or waxed paper. Spread Bugles out on the sheet.. Combine sugar, butter, peanut butter, and corn syrup in a small saucepan over medium heat. Bring mixture to a boil, stirring often. Boil for 2 minutes, remove from heat, and pour over Bugles. Toss quickly to coat and spread into an even layer.. Combine chocolate chips and coconut oil in a small bowl. Melt in the microwave in 30 second increments, stirring in between each. Drizzle melted chocolate over bugles and let cool completely. For best results, refrigerate for 5 minutes to allow chocolate to harden. Break into large pieces; store in an airtight container.","calories: 360, fat: 21g, carbs: 44g, protein: 5g, servings: 10"
Pumpkin Cheese Ball,https://www.allrecipes.com/pumpkin-cheese-ball-recipe-8725706,"{'quantity': '2', 'unit': '(8-ounce) packages cream', 'name': 'cheese, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'hot pepper sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'cups', 'name': 'heddar cheese'}, {'quantity': '1', 'unit': None, 'name': 'bell pepper'}, {'quantity': None, 'unit': None, 'name': 'crackers for serving'}","Gather all ingredients.. Combine cream cheese, hot pepper sauce, paprika, and garlic in a food processor. Process until well combined.. Add 1 1/2 cups shredded cheese and process until cheese is finely chopped but still very visible.. Sprinkle about 3 tablespoons of the remaining shredded cheese into a 4-inch pile on a large piece of plastic wrap, and top with a rounded scoop of the cheese ball mixture.. Sprinkle the cheese ball mound with the remaining shredded cheese.. Pull sides of plastic wrap up and over the cheese ball mixture to wrap tightly and shape into a ball. (If needed, wrap with an additional piece of plastic wrap to ensure the mixture is very tightly wrapped.). Wrap 4 wide rubber bands around the cheese ball, evenly spacing them to create the indentations that are found on a pumpkin. (Depending on the size of the rubber bands, you may need to double wrap each one to create indentations that are deep enough.). Chill cheese ball in the refrigerator at least 3 hours before serving to allow flavors to meld and the cream cheese to become firm.. Before serving, remove rubber bands and unwrap cheese ball. Place a bell pepper stem on top of the pumpkin and gently press to adhere. Serve with crackers.","calories: 111, fat: 10g, carbs: 2g, protein: 4g, servings: 24"
Sausage Head Charcuterie Board,https://www.allrecipes.com/sausage-head-charcuterie-board-recipe-8715948,"{'quantity': None, 'unit': None, 'name': 'foam mannequin head'}, {'quantity': '4', 'unit': '(8 ounce) packages', 'name': 'turkey or beef meat sticks,'}, {'quantity': None, 'unit': None, 'name': 'wooden picks'}, {'quantity': '4', 'unit': 'ounces', 'name': 'prosciutto'}, {'quantity': '1', 'unit': 'mini', 'name': 'cheese round, halved (such as Babybel® Cheese'}, {'quantity': '1', 'unit': None, 'name': 'pimiento-stuffed olive,'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cream cheese'}, {'quantity': '10', 'unit': 'halves', 'name': 'cocktail peanut'}, {'quantity': '2', 'unit': None, 'name': 'roasted red peppers'}, {'quantity': None, 'unit': None, 'name': 'whole grain crackers'}, {'quantity': None, 'unit': None, 'name': 'coarse grained'}, {'quantity': None, 'unit': None, 'name': 'assorted cheeses'}","Place foam head on a cake stand, and secure with tape, or place the base of head in a hollowed out pumpkin ring to secure in place.. Secure each meat stick piece with a wooden pick, arranging them around the head, custom fitting each one to resemble a face. Tear prosciutto into pieces and use the pieces to fill in any white spaces between the meat sticks.. Using wooden picks, place cheese round halves in foam head to resemble eyeballs. On the same picks, place an olive half over each cheese half to resemble pupils.. Spread cream cheese on the rounded side of peanut halves. Stick peanuts over mouth area on head, to resemble teeth.. Arrange roasted red pepper strips in between beef pieces on top of head to resemble veins.. Arrange crackers, mustard, assorted cheeses, olives, and other charcuterie accompaniments of your choice around sausage head. Enjoy!","calories: 3039, fat: 192g, carbs: 20g, protein: 292g"
