name,link,ingredients,steps,nutrition
Hanukkah Foods from Around the World,https://www.allrecipes.com/gallery/hanukkah-foods-from-around-the-world/,,,
Alane's Hanukkah Brisket,https://www.allrecipes.com/recipe/221044/alanes-hanukkah-brisket/,"{'quantity': '1', 'unit': '(4 pound)', 'name': 'beef brisket'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, sliced'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'beef broth'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'French onion soup'}, {'quantity': '2', 'unit': '(12 fluid ounce) cans or bottles', 'name': 'beer'}","Preheat the oven to 350 degrees F (175 degrees C).. Place a large roasting pan over medium-high heat. Sear brisket, fat-side down first, in the hot pan until browned, about 3 minutes per side. Remove brisket from the pan and set aside.. Place onion slices into the bottom of the same roasting pan; pour 1 can beef broth, 1 can French onion soup, and 1 can beer over onions. Lay brisket on top; pour remaining beef broth, French onion soup, and beer over brisket. Cover the roasting pan with a lid.. Bake in the preheated oven for 3 hours. Let brisket stand at room temperature for 30 minutes.. Remove brisket from the roasting pan and wrap tightly in aluminum foil. Pour pan juices and onion into a food storage container and cover tightly with a lid. Refrigerate brisket and pan juices, 8 hours to overnight.. The next day, preheat the oven to 350 degrees F (175 degrees C). Pour pan juices and onion into a 9x13-inch baking dish.. Unwrap brisket, cut away any visible fat, and slice thinly across the grain of the meat. Place brisket slices into pan juices.. Bake in the preheated oven until pan juices are thickened and meat is hot, about 45 minutes.","calories: 394, fat: 27g, carbs: 11g, protein: 22g, servings: 10"
Pumpkin Sufganiot with Cranberry Jelly,https://www.allrecipes.com/recipe/235467/pumpkin-sufganiot-with-cranberry-jelly/,"{'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'boiling milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned pumpkin puree'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '5', 'unit': 'cups', 'name': 'unbleached all-purpose flour'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'instant yeast'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'jellied cranberry sauce'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil for frying'}, {'quantity': '1', 'unit': '', 'name': 'egg white'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar, or as needed'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar, for dusting""}","Place butter in the mixing bowl of a stand mixer. Pour hot milk over butter; stir occasionally until butter melts. Whisk pumpkin puree, 3/4 cup white sugar, eggs, and egg yolk into milk mixture.. In separate bowl, combine flour, yeast, salt, ginger, cinnamon, and allspice. Using the paddle attachment, mix in about 4 cups of flour mixture on low speed. Scrape down sides of bowl and underneath paddle. Add remaining flour and mix, scraping down sides, on low speed until fully combined. Dough will be very wet, almost cookie-dough consistency; don't worry, it will absorb moisture as it sits.. Transfer dough to a greased bowl. Cover bowl with plastic wrap lightly coated with cooking spray. Refrigerate for at least 5 hours or overnight.. Combine canned cranberry sauce with 1/3 cup water in a small saucepan. Break the sauce up slightly with a spoon. Heat, covered, over medium-low heat, stirring occasionally, until cranberry sauce melts, about 25 minutes. Pour into a bowl and refrigerate.. Place chilled dough on well-floured work surface. Shape it into a ball, divide the dough in half, and return half the dough to the greased bowl. Cover with greased plastic wrap and refrigerate. Roll out remaining dough half, flouring surface as needed, to 1/4-inch thickness. Cut out dough rounds with a 3-inch cutter.. Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper or a silicone liner. This will prevent the dough from sticking and tearing.. Transfer dough rounds to prepared baking sheet in pairs (one will be the top half, the other the bottom half of the doughnut). Gather up remaining dough scraps and add them to the dough stored in the refrigerator.. Whisk egg white with 1 teaspoon water. Brush the rounds that will be the bottom halves of the doughnuts with the beaten egg white.. Spoon 1 teaspoon cranberry jelly into center of each bottom round; arrange second round on top and press edges to seal. Let doughnuts rest 20 minutes.. Working in batches, fry doughnuts until well browned, about 1 1/2 minutes per side. Drain doughnuts on paper towels. Pour 1/2 cup white sugar into a bag or large bowl; toss doughnuts in sugar to coat. Dust doughnuts with confectioners' sugar before serving. Repeat with remaining dough.","calories: 316, fat: 11g, carbs: 49g, protein: 5g, servings: 18"
Hanukkah Brunch Recipes,https://www.allrecipes.com/gallery/hanukkah-brunch-recipes/,,,
Sufganiyot,https://www.allrecipes.com/recipe/11438/sufganiyot/,"{'quantity': '4', 'unit': 'cups', 'name': 'self-rising flour'}, {'quantity': '2', 'unit': '(8 ounce) containers', 'name': 'yogurt'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vanilla sugar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '3', 'unit': 'quarts', 'name': 'vegetable oil for frying'}",,"calories: 720, fat: 40g, carbs: 76g, protein: 14g, servings: 6"
Air Fryer Potato-Apple Latkes,https://www.allrecipes.com/air-fryer-potato-apple-latkes-recipe-8347905,"{'quantity': '2', 'unit': 'cups', 'name': 'shredded potatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ranny Smith apple'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'flour'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}","Stir together potatoes, apple, egg yolk, flour, pepper, and salt in a large bowl.. Lightly coat air fryer basket with cooking spray. Drop 4 (1/4-cup) scoops potato mixture into basket. Press gently with a spatula to flatten; lightly coat tops with cooking spray.. Set the air fryer to 350 degrees F (175 degrees C). Cook latkes, turning halfway through, until browned on both sides, 8 to 10 minutes. Repeat with remaining potato mixture. Garnish with sliced green onion and serve with sour cream or crème fraîche.","calories: 178, fat: 11g, carbs: 18g, protein: 3g, servings: 8"
The Best Rolled Sugar Cookies,https://www.allrecipes.com/recipe/10402/the-best-rolled-sugar-cookies/,"{'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'butter, softened'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '5', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}",,"calories: 110, fat: 5g, carbs: 15g, protein: 2g, servings: 60"
Sarah's Homemade Applesauce,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,"{'quantity': '4', 'unit': '', 'name': 'apples - peeled, cored and chopped'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}",,"calories: 121, fat: 0g, carbs: 32g, protein: 0g, servings: 4"
Potato Pancakes,https://www.allrecipes.com/recipe/14089/potato-pancakes-i/,"{'quantity': '4', 'unit': 'large', 'name': 'potatoes'}, {'quantity': '1', 'unit': '', 'name': 'yellow onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': None, 'unit': None, 'name': 'freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour, or more as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil for frying, or as needed'}",,"calories: 283, fat: 8g, carbs: 47g, protein: 7g, servings: 6"
Potato Kugel,https://www.allrecipes.com/recipe/204133/old-fashioned-potato-kugel/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '10', 'unit': 'medium', 'name': 'potatoes, peeled and grated'}, {'quantity': '2', 'unit': 'medium', 'name': 'onions, peeled and grated'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with 1 tablespoon vegetable oil.. Combine grated potatoes and onions in a large bowl. Mix in eggs, 1/3 cup of vegetable oil, salt, and pepper until well combined; pour mixture into the prepared dish.. Bake in the preheated oven until golden brown and crisp on top, 1 ½ to 2 hours.","calories: 119, fat: 5g, carbs: 17g, protein: 3g, servings: 24"
Old-Fashioned Apple Dumplings,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,"{'quantity': '1', 'unit': '(14.1 ounce)', 'name': 'double-crust pie pastry, thawed'}, {'quantity': '6', 'unit': 'large', 'name': 'Granny Smith apples, peeled and cored'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 899, fat: 35g, carbs: 148g, protein: 5g, servings: 6"
Sarah's Knish,https://www.allrecipes.com/recipe/212834/sarahs-knish/,"{'quantity': '7', 'unit': '', 'name': 'baking potatoes, peeled and cubed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'medium', 'name': 'onions, chopped'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': '', 'name': 'egg yolks'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}","Place potatoes into a large pot and cover with salted water. Bring to a boil over high heat, then reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain and allow to steam dry for a minute or two.. Meanwhile, heat 1/4 cup vegetable oil in a skillet over medium heat. Stir in onion; cook and stir until onion has softened and turned translucent, about 5 minutes.. Combine cooked potatoes and onions in a large bowl; season with 2 teaspoons salt, pepper, sugar, and garlic. Mash until smooth; set aside.. Preheat an oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.. Beat 2 eggs, 1/2 cup vegetable oil, warm water, and 1 teaspoon salt together in a large bowl; gradually stir in flour. When dough has pulled together, turn it out onto a lightly floured surface and knead until smooth and elastic, about 8 minutes. Divide dough into thirds and roll each piece out to about 9x13-inches. Slice rolled dough in half lengthwise, then spread potato mixture down the center of each strip. Roll each strip around the filling and gently press to seal. Repeat with remaining dough and filling to end with six logs.. Cut each log into 1-inch slices and place cut-side down on the prepared baking sheet. Gently press the edges of the dough toward the center of the potato mixture to form a bun. Beat egg yolks and milk together in a small bowl. Brush each knish with egg yolk mixture.. Bake in the preheated oven until golden brown, 35 to 45 minutes.","calories: 80, fat: 3g, carbs: 11g, protein: 2g, servings: 60"
Rugelach,https://www.allrecipes.com/recipe/10115/rugelach/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, cut into cubes'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, cut into cubes'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins, finely chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}",,"calories: 102, fat: 7g, carbs: 8g, protein: 1g, servings: 48"
Braised Lamb Shanks,https://www.allrecipes.com/recipe/36927/rosemary-braised-lamb-shanks/,"{'quantity': '6', 'unit': '', 'name': 'lamb shanks'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'large', 'name': 'carrots, cut into 1/4 inch rounds'}, {'quantity': '2', 'unit': '', 'name': 'onions, chopped'}, {'quantity': '10', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(750 milliliter) bottle', 'name': 'red wine'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'whole peeled tomatoes with juice'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed chicken broth'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'beef broth'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'chopped fresh rosemary'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chopped fresh thyme'}",,"calories: 481, fat: 22g, carbs: 18g, protein: 30g, servings: 6"
