name,link,ingredients,steps,nutrition,image_url
10 Kale Smoothie Recipes That Pack a Powerfully Healthy Punch,https://www.allrecipes.com/gallery/kale-smoothie-recipes/,,,,https://www.allrecipes.com/thmb/loPQ5XhhaVvwT-J_lKleoGCJPf0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/237136-kale-banana-smoothie-france-c-84a3e06cbbbc4a95b0c5ed418c3b9f6a.jpeg
"26 Simple, Healthy Meals in a Bowl",https://www.allrecipes.com/gallery/easy-healthy-bowl-recipes/,,,,https://www.allrecipes.com/thmb/xH_SkbryOojkqsQNokQNaMfFJwQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6937181-1-2000-7e063d4eb36a43ec869dce24a4db7a78.jpg
Our 20 Best Healthy Recipes,https://www.allrecipes.com/article/our-20-best-healthy-recipes/,,,,https://www.allrecipes.com/thmb/WiYJG1N7234Gota185LqpCEH3eY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2627035_-Lemon-Pepper-Salmon-Photo-by-Chefd-2239c421468b4e558b909d8c0900066b.jpg
10 Recipes to Celebrate the Health Benefits of Big Breakfasts,https://www.allrecipes.com/article/the-big-benefits-of-big-breakfasts/,,,,https://cdn.jwplayer.com/v2/media/oK2qCQGP/poster.jpg?width=720
Cottage Cheese Brownie Batter,https://www.allrecipes.com/cottage-cheese-brownie-batter-recipe-8742653,"{'quantity': '1', 'unit': 'cup', 'name': '4% milkfat small curd cottage cheese'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'maple syrup,'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'quick oats'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'almond butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'espresso powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'almond flour'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'semisweet chocolate chips'}","Place cottage cheese, maple syrup, cocoa powder, oats, almond butter, vanilla, espresso powder, and salt into the cup of a high-speed blender. Blend until ingredients are smooth. Add almond flour to blender and blend until combined. Pulse if necessary to prevent warming the mixture.. Pour batter into a bowl and fold in chocolate chips. Serve immediately, or cover and keep stored in the refrigerator for up to 5 days.","calories: 275, fat: 15g, carbs: 28g, protein: 10g, servings: 6",https://www.allrecipes.com/thmb/2UEzmaU-CmToNc0T_7G927e57ig=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8742653_Cottage-Cheese-Brownie-Batter_Kim-Shupe_4x3-6e400ec9f961449ea45164a3ab513f54.jpg
Mediterranean Baked Fish,https://www.allrecipes.com/mediterranean-baked-fish-recipe-8733274,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic,'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'cherry tomatoes,'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'dried Italian herb seasoning'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olives'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'fish fillets'}, {'quantity': None, 'unit': None, 'name': 'cooked rice or pasta (optional)'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley for garnish (optional)'}","Preheat the oven to 400 degrees F (200 degrees C).. Heat 2 tablespoons olive oil in an oven-safe nonstick skillet over medium heat. When oil shimmers, add onions and cook, stirring frequently, until onions are translucent, 3 to 4 minutes. Stir in garlic, and cook, stirring, about 30 seconds.. Add cherry tomatoes and wine, and season with salt and pepper. Add 1 teaspoon Italian seasoning and red pepper flakes. Toss to combine, and cook about 1 minute. Remove from heat and stir in sliced olives, chopped spinach, and cream.. Nestle fillets into vegetable mixture, sprinkle each fillet with salt and pepper, and drizzle remaining olive oil over the entire dish. Brush the olive oil to cover the surface of each fillet. Sprinkle with remaining 1/2 teaspoon Italian seasoning.. Bake in the preheated oven until fish flakes easily with a fork, 20 to 25 minutes. An instant-read thermometer inserted near the center should read 145 degrees F (63 degrees C).. Serve with hot, cooked pasta or rice, and garnish with fresh parsley.","calories: 440, fat: 24g, carbs: 9g, protein: 43g, servings: 4",https://www.allrecipes.com/thmb/fDsgemMjYhaXbTGVtNRAEz5E41o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8733274_Mediterranean-Baked-Fish_Brenda-Venable_4x3-37d8bfa5cc2041ae897b866f0fbbf199.jpg
Copycat Din Tai Fung Cucumber Salad,https://www.allrecipes.com/copycat-din-tai-fung-cucumber-salad-recipe-8705202,"{'quantity': '1', 'unit': '(1 1/4 pound)', 'name': 'English cucumber'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'sugar'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'toasted sesame oil'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'chili oil'}","Place cucumbers in a large bowl. Sprinkle with salt and let stand for 30 minutes.. Rinse cucumbers with water to remove salt, and pat dry with paper towels.. In a separate bowl whisk soy sauce, vinegar, garlic, sugar, sesame oil, and chili oil until smooth.. Add cucumber slices to the oil mixture; stir to combine. Let stand for 10 minutes. Serve immediately.","calories: 43, fat: 2g, carbs: 5g, protein: 1g, servings: 6",https://www.allrecipes.com/thmb/g86OzZfDqzLBjG_b4sQnP3IcJL0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8705202_Copycat-Din-Tai-Fung-Cucumber-Salad_Nicole-Russell_4x3-1b7a82a4d5364465a6f8251cfabf35da.jpg
22 Easy and Healthy Zucchini Main Dish Recipes,https://www.allrecipes.com/healthy-zucchini-recipes-8707630,,,,https://www.allrecipes.com/thmb/BXORnjMc4ZGoG0ajCEgD1ZADCK8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/13941_ZucchinniPatties_MFS_123-f39f287ca14d4b93b0663481111d8a40.jpg
Seared Chuck Eye Steak,https://www.allrecipes.com/seared-chuck-eye-recipe-8696926,"{'quantity': '4', 'unit': '(8 ounce)', 'name': 'beef chuck steaks'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': None, 'unit': 'sprigs', 'name': 'thyme'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': None, 'name': 'shallot'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'beef broth'}","Pat steaks dry with a paper towel. Season generously with salt and pepper.. Heat oil in a skillet over high heat. Place steaks in the hot skillet and immediately turn down the heat to medium-high. Cook for 4 minutes. Turn steaks, add 1 tablespoon butter (or more as desired) and thyme sprigs to the pan, and cook for an additional 4 to 6 minutes, depending on your taste. Remove steaks from skillet and let rest, about 5 minutes.. Meanwhile, make pan sauce: remove skillet from heat. Quickly saute the garlic and shallot for 1 to 2 minutes in the skillet using residual heat. Return the skillet to medium-low heat and add beef broth. Bring to a boil and reduce for 3 minutes.. Remove pan from heat and whisk in remaining 2 tablespoons butter. Serve sauce over steaks.","calories: 780, fat: 56g, carbs: 4g, protein: 65g, servings: 4",https://www.allrecipes.com/thmb/I9JNHglJUnFGzAPoe2yObcujHIw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8696926_Seared-Chuck-Eye-Steak_Dotdash-Meredith-Food-Studios_4x3-820877383c1b445fa7a7c6c1315f75d0.jpg
Sheet Pan Black Pepper Tofu and Broccoli,https://www.allrecipes.com/sheet-pan-black-pepper-tofu-and-broccoli-recipe-8649317,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'tofu'}, {'quantity': '1', 'unit': 'head', 'name': 'broccoli'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sesame oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'black pepper'}","Slice tofu into thirds lengthwise so you have 3 even slabs. Stack the slabs on top of each other and slice through them lengthwise to make 3 even columns, then slice across to make 5 even rows.. Lay tofu evenly on a plate lined with a couple layers of paper towels. Layer more paper towels on top of the tofu and place another plate on top of the stack. Press out as much water as possible and let sit for at least 30 minutes.. Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.. Transfer pressed tofu and broccoli into a mixing bowl. Drizzle with sesame oil and soy sauce; toss lightly to combine. Mix cornstarch, garlic powder, ground ginger, and black pepper together in a small bowl; sprinkle over tofu and broccoli. Toss until evenly coated, and arrange in one layer on the prepared baking sheet.. Bake in the preheated oven for 10 minutes. Flip and continue baking until crispy, about 10 minutes more. Serve warm.","calories: 257, fat: 17g, carbs: 17g, protein: 15g, servings: 4",https://www.allrecipes.com/thmb/ZWD18qL2eGneKU8_CD8nKVDrup4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8649317_Sheet-Pan-Black-Pepper-Tofu-and-Broccoli_Maura-Rawlette_4x3-4e77fe608262472ca72a49f388c5cc46.jpg
