name,link,ingredients,steps,nutrition,image_url
Chef John's Turkey Manicotti,https://www.allrecipes.com/recipe/235159/how-to-make-turkey-manicotti/,"{'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced cooked turkey'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole-milk ricotta cheese'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped Italian parsley'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, or as needed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'marinara sauce, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil, divided'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly shredded Parmigiano-Reggiano cheese for garnish, or as desired'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped Italian parsley'}","Preheat oven to 350 degrees F (175 degrees C).. Whisk 2 eggs, flour, water, salt, and 1/2 teaspoon olive oil together thoroughly in a bowl to make a very smooth batter. Cover bowl with plastic wrap and refrigerate batter for 1 hour.. Mix turkey, ricotta cheese, 1 egg, 1/2 cup Parmigiano-Reggiano cheese, mozzarella cheese, marjoram, red pepper flakes, and 1/4 cup Italian parsley in a bowl until thoroughly combined. Season with salt to taste.. Place a nonstick skillet over medium-high heat and brush generously with 1 teaspoon olive oil or as needed. Swirl about 1/4 cup batter into the bottom of the pan and tilt to form a thin pancake covering the bottom of the skillet. Cook until bottom of crepe is dry, 60 to 90 seconds. Flip crepe and cook until other side has small browned spots, 60 to 90 seconds more. Repeat with remaining batter to make 6 crepes. Transfer crepes to a plate as you make them.. Spread about 1/2 cup marinara sauce into the bottom of a 9x12-inch baking dish. Use a brush to spread about 1/2 teaspoon of olive oil in a thin layer up the sides of the dish. Place a crepe, dimpled side down, onto a work surface; spread about 1/3 to 1/2 cup filling onto crepe in a line down the middle. Roll crepe over filling and tuck in ends if desired. Lay filled crepe into the baking dish. Repeat with remaining crepes and filling to make 6 manicotti.. Spread remaining 1 cup marinara sauce onto the manicotti in a line down the middle of the crepes, covering middle 1/3 of manicotti. Sprinkle 1/3 cup Parmigiano-Reggiano cheese all over manicotti. Drizzle manicotti with remaining 1 1/2 teaspoon olive oil.. Bake in the preheated oven until manicotti are slightly browned and puffy, about 45 minutes. Let stand 5 minutes to cool. Garnish with 1 tablespoon Parmigiano-Reggiano cheese or as desired and 1 tablespoon Italian parsley before serving.","calories: 286, fat: 13g, carbs: 22g, protein: 20g, servings: 6",https://cdn.jwplayer.com/v2/media/deqFf7Hw/poster.jpg?width=720
Easy Homemade Ricotta Gnocchi,https://www.allrecipes.com/easy-homemade-ricotta-gnocchi-recipe-8660369,"{'quantity': '2', 'unit': 'cups', 'name': 'ricotta'}, {'quantity': '2', 'unit': None, 'name': 'large eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'flour'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'Parmesan cheese'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground pepper to taste'}",,"calories: 298, fat: 13g, carbs: 26g, protein: 19g, servings: 5",https://www.allrecipes.com/thmb/wPcfSvV-oFmS-ji3aweI9cVHdRc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ricotta-gnocchi-with-tomato-trick-4x3-48fe2e4374e345ec89d01fe91ce237fa.jpg
Easy Homemade Pasta,https://www.allrecipes.com/recipe/241920/easy-homemade-pasta-dough/,"{'quantity': '2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water, or as needed'}",,"calories: 341, fat: 11g, carbs: 48g, protein: 11g, servings: 4",https://cdn.jwplayer.com/v2/media/iEBnUiBZ/thumbnails/6Uya0zB7.jpg
Fresh Semolina and Egg Pasta,https://www.allrecipes.com/recipe/17662/fresh-semolina-and-egg-pasta/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'semolina flour'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}","Gather all ingredients.. Sift all-purpose flour, semolina flour, and a pinch of salt together in a large bowl. Make a mountain out of flour mixture on a clean surface; create a deep well in the center. Break eggs into the well and add olive oil. Whisk eggs very gently with a fork, gradually incorporating flour from the sides of the well. When mixture becomes too thick to mix with a fork, begin kneading with your hands.. Knead dough until it is smooth and supple, 8 to 12 minutes, Dust dough and work surface with semolina as needed to keep dough from becoming sticky. Wrap dough tightly in plastic wrap; allow it to rest at room temperature for 30 minutes.. Roll out dough with a pasta machine or a rolling pin to desired thickness. Cut into your favorite style of noodle or stuff with your favorite filling to make ravioli.. Bring a large pot of lightly salted water to a boil. Cook pasta in the boiling water until tender yet firm to the bite, 1 to 3 minutes (or longer depending on thickness). Drain immediately and toss with your favorite sauce.","calories: 197, fat: 7g, carbs: 24g, protein: 8g, servings: 8",https://cdn.jwplayer.com/v2/media/Wfo2jylO/poster.jpg?width=720
Homemade Pappardelle,https://www.allrecipes.com/homemade-pappardelle-recipe-7570474,"{'quantity': '3/4', 'unit': 'cup', 'name': 'flour, plus more for dusting'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'semolina flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}","Combine 00 flour, semolina flour, and eggs in the bowl of a food processor. Pulse until dough comes together.. On a lightly floured cutting board, knead dough about 10 times with the palm of your hand. Cover dough with a damp towel, and rest for about 10 minutes. Shape dough into a disc. Wrap dough and refrigerate for at least 30 minutes.. Place dough on a lightly floured surface and dust with flour. Using a rolling pin, and starting in the middle of the dough, push away from you. Roll dough into a sheet, then tri-fold it like a letter: pick up one end of dough, fold it over 1/3 of the way, then bring the opposite end over 1/3 of the way. Continue rolling out dough until it is thin. Let rest 5 minutes.. Loosely roll dough like a cinnamon roll. Using a sharp knife, cut into 3/4-inch-wide slices. Unwrap noodles; dust with semolina, and gently toss to separate.. Bring a large pot of salted water to a boil, and cook noodles, until tender with a bite, 1 to 3 minutes.","calories: 221, fat: 4g, carbs: 35g, protein: 10g, servings: 3",https://www.allrecipes.com/thmb/6n2MfQDMGwKxmJLmrUeWhX7jeFI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7570474_Homemade-Pappardelle_TheDailyGourmet_4x3-2a538be0d20546ef9a3e3b22e301855f.jpg
Wonton Wrappers,https://www.allrecipes.com/recipe/20881/wonton-wrappers/,"{'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'water, or more as needed'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}",,"calories: 14, fat: 0g, carbs: 3g, protein: 0g, servings: 72",https://www.allrecipes.com/thmb/JpBnjqIUYdxm-zGy8ema5NmA2nk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/20881-Wonton-Wrappers-ddmfs-beauty-4x3-a1686c2c6bff4ee095286ec4ef49c89b.jpg
Homemade Pasta without a Pasta Machine,https://www.allrecipes.com/recipe/254220/homemade-pasta-without-a-pasta-machine/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'Italian-style tipo 00 flour, plus additional for dusting'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water, or as needed'}","Place flour on a marble or wooden work surface. Make a well in the center and crack in the eggs; add the salt. Gently beat eggs with a fork, incorporating the surrounding flour, until batter is runny. Bring remaining flour into the batter using a bench scraper until dough forms a ball. Mix in water, 1 tablespoon at a time, if dough feels too stiff.. Knead dough with your hands by flattening the ball, stretching it and folding the top towards the center. Turn 45 degrees and repeat until dough is soft and smooth, about 10 minutes.. Shape dough into a ball. Place in a bowl and cover with plastic wrap. Refrigerate until firm, 30 minutes to 1 hour.. Dust work surface with flour. Divide dough into 3 equal portions. Flatten 1 piece a little and roll out 5 to 6 times with a rolling pin. Turn dough 45 degrees and roll 5 to 6 times. Continue rolling and turning until dough is 1/16-inch thick.. Cut dough into a sheet. Dust generously with flour and roll into a cylinder. Slice cylinder into 1/4-inch thick strips. Unroll strips and toss generously in flour. Let tagliatelle air-dry, about 30 minutes.. Bring a large pan of salted water to a boil. Drop in tagliatelle and cook until tender yet still firm to the bite, 3 to 5 minutes. Drain.","calories: 324, fat: 5g, carbs: 55g, protein: 14g, servings: 4",https://cdn.jwplayer.com/v2/media/Nni3eGlI/poster.jpg?width=720
Lobster Ravioli,https://www.allrecipes.com/recipe/8465292/lobster-ravioli/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'mascarpone cheese'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'cold unsalted butter, divided'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, finely chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'shallot, finely chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped fresh chives'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped fresh basil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped fresh tarragon leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grated lemon zest'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cooked lobster meat, cut into bite-size pieces'}, {'quantity': '¾', 'unit': 'cup', 'name': 'bottled clam juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '¾', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'cherry tomatoes, halved'}, {'quantity': '', 'unit': '', 'name': 'fresh herbs, for garnish'}","Place flour in a large bowl and create a well in the center. Add eggs and 1/4 teaspoon salt to well; beat using a fork to break up egg mixture. Slowly begin to incorporate flour into egg mixture, stirring from the center and gradually working outwards until shaggy pieces of dough begin to form. Use your hands to bring shaggy dough pieces together to form a shaggy ball. Transfer shaggy ball and any remaining flour in bowl to a clean work surface. Knead, pressing any loose flour into dough, until dough is smooth and elastic, 10 to 12 minutes.. Wrap dough tightly in plastic wrap; let rest at room temperature at least 1 hour or up to 2 hours, or in a refrigerator up to 1 day. (If refrigerating, let come to room temperature before rolling.). Place mascarpone in a small bowl; set aside. Melt 2 tablespoons butter in a medium skillet over medium heat. Add garlic and shallot; cook, stirring often, until softened, about 2 minutes. Stir shallot mixture into mascarpone in bowl along with herbs, lemon zest and juice, pepper, and remaining salt until combined. Gently stir in lobster. Chill, covered, for 15 minutes.. While lobster filling chills, unwrap dough, and divide evenly into 2 portions. Place 1 dough portion on a clean work surface; wrap remaining dough portion in plastic wrap. Shape dough into a rectangle; press dough to flatten using heel of hand. Starting with the widest setting, pass dough through pasta machine 2 times. Fold the outer tapered ends of pasta sheet in toward the center like an envelope, so that the width of the pasta sheet is similar to the width of the pasta roller. Pass pasta sheet through widest setting 1 more time. Continue rolling pasta through machine, reducing roller width 1 notch at a time, until sheet is about 1/16-inch thick and you can see the outline of your hand through the sheet. Cut sheet in half crosswise to make them easier to work with. Cover 1 sheet loosely with plastic wrap. Lightly dust work surface with flour and place remaining dough sheet on surface.. Leaving a 1-inch edge from the short sides of the dough sheet, place 1-tablespoon mounds of lobster filling 2 inches apart along center of sheet (about 4 to 6 mounds per sheet). Lightly brush dough around lobster filling with water. Loosely lift long edge of dough sheet and fold over filling, lining up edges. Press on dough around each mound to seal and press out air pockets. Using a fluted pastry wheel or pizza cutter, trim the unfolded edge of the ravioli. Cut pasta between mounds to form individual ravioli. Place ravioli on a baking sheet lined with a clean kitchen towel. Cover with a second clean kitchen towel. Repeat process with remaining pasta sheet, dough, and filling.. Cut remaining 4 tablespoons butter into 4 pieces. Bring clam juice and wine to a simmer in a large skillet over high heat. Simmer, undisturbed, until reduced to about 1/3 cup, about 7 minutes. Gradually stir in remaining 4 tablespoons butter, one piece at a time, waiting until butter is nearly melted before adding the next piece. Stir in heavy cream. Cook over high heat, stirring often, until sauce is thick enough to lightly coat back of a spoon, about 2 minutes. Stir in tomatoes. Remove from heat and cover to keep warm.. Bring a large pot of salted water to a boil over high heat. Working in 2 batches if needed, boil ravioli until tender, 4 to 6 minutes. Drain. Divide ravioli among 4 plates. Drizzle cream sauce evenly over ravioli. Garnish with herbs.","calories: 799, fat: 57g, carbs: 45g, protein: 25g, servings: 4",https://www.allrecipes.com/thmb/FXnVPEsNX3uejRtnnqVVXfItB3w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Lobster-raviolis-mfs_004_4x3-d53a128124744dc6a75a2b4e317a8cd6.jpg
Gnocchi,https://www.allrecipes.com/recipe/18465/gnocchi-i/,"{'quantity': '3', 'unit': 'medium', 'name': 'russet potatoes, scrubbed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}",,"calories: 314, fat: 2g, carbs: 64g, protein: 10g, servings: 4",https://cdn.jwplayer.com/v2/media/VDk9CAYG/thumbnails/U6xUXLnp.jpg
Homemade Four Cheese Ravioli,https://www.allrecipes.com/recipe/213131/homemade-four-cheese-ravioli/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'whole milk ricotta cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded provolone cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated parmesan'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'dried parsley'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1⁄8', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': None, 'unit': None, 'name': 'cold water, for sealing'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, finely chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'prepared basil pesto'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'marinara sauce'}",,"calories: 1270, fat: 89g, carbs: 80g, protein: 38g, servings: 4",https://cdn.jwplayer.com/v2/media/4ggHTerl/thumbnails/aNBxkI2s.jpg
