name,link,ingredients,steps,nutrition,image_url
Garlic Parmesan Hummus,https://www.allrecipes.com/garlic-parmesan-hummus-recipe-8646020,"{'quantity': '1', 'unit': 'head', 'name': 'garlic, top third sliced off and discarded'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'chickpeas, drained and rinsed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'tahini'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 375 degrees F (190 degrees C).. Place garlic head on a piece of aluminum foil. Drizzle olive oil over garlic and season with salt and pepper. Wrap foil around garlic to fully enclose and place on a baking sheet.. Bake in the preheated oven until roasted and tender, about 40 minutes. Remove garlic from aluminum foil; set aside until cool enough to handle, about 10 to 20 minutes. Remove garlic cloves from the peels.. Combine roasted garlic, chickpeas, tahini, Parmesan cheese, olive oil, lemon juice, 1/2 teaspoon black pepper, cumin, and salt in a food processor or blender until smooth.","calories: 79, fat: 6g, carbs: 5g, protein: 2g, servings: 16",https://www.allrecipes.com/thmb/umm3V98se-HUQ5qa_9-vOMzOuQA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4431687-fbe271743aa248e88c75311e806cefba.jpg
Green No-Bean Hummus,https://www.allrecipes.com/green-no-bean-hummus-recipe-7566683,"{'quantity': '2 ½', 'unit': 'pounds', 'name': 'zucchini'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt, plus more to taste'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '3', 'unit': 'cloves', 'name': 'crushed garlic'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'tahini'}, {'quantity': '½', 'unit': None, 'name': 'lemon, juiced, plus more to taste'}, {'quantity': '6', 'unit': 'leaf', 'name': 'basil leaves, sliced'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne'}",,"calories: 60, fat: 5g, carbs: 3g, protein: 1g, servings: 16",https://cdn.jwplayer.com/v2/media/DYPf8odK/poster.jpg?width=720
Pumpkin Hummus,https://www.allrecipes.com/pumpkin-hummus-recipe-7484712,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil, plus more for garnish'}, {'quantity': '2', 'unit': None, 'name': 'cloves garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1', 'unit': '(15-oz can)', 'name': 'can)'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'canned pumpkin'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon freshly ground', 'name': 'pepper'}, {'quantity': '1', 'unit': None, 'name': 'green onions, sliced for garnish'}","Heat olive oil in a skillet over medium heat. Add garlic and cumin; cook and stir until fragrant, about 30 seconds.. Transfer garlic mixture to a food processor or blender. Add chickpeas, pumpkin, water, lemon juice, salt, cayenne, cinnamon, and black pepper. Blend until smooth.. Transfer into a serving bowl. Garnish with additional olive oil and sprinkle with green onions. Serve with pita bread and cut-up veggies.","calories: 202, fat: 7g, carbs: 30g, protein: 8g, servings: 4",https://www.allrecipes.com/thmb/INbKSoAy4Ua_3DoEMAjVTi-qgGs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7484712-pumpkin-hummus-AllrecipesJuly2018_0779-4x3-022f8c5ddd6b4fe29675c9397139ce29.jpg
Cranberry Hummus,https://www.allrecipes.com/recipe/8512619/cranberry-hummus/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'cannellini beans'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped dried cranberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly squeezed lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh thyme'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped pecans'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Drain cannellini beans and reserve liquid.. Combine cannellini beans, cranberries, olive oil, lemon juice, thyme, cinnamon, and garlic in a food processor; blend until smooth. If too thick, thin out to your desired consistency by blending in some of the reserved bean liquid.. Stir in chopped pecans, and season to taste with salt. Store in the refrigerator in an air-tight container until ready to serve.. Garnish with additional cranberries, pecans, and a drizzle of olive oil, if desired.","calories: 101, fat: 7g, carbs: 10g, protein: 1g, servings: 6",https://www.allrecipes.com/thmb/ONoAwDHEHUx39yJK936wy_m8O84=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1669489141Cranberry20Hummus-2000-075ee865f483482d981a0e8e6268f25b.jpeg
Super Easy Hummus,https://www.allrecipes.com/recipe/232962/super-easy-hummus/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'chickpeas, drained, liquid reserved'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'drops', 'name': 'sesame oil, or to taste (Optional)'}","Gather all ingredients.. Blend chickpeas, lemon juice, olive oil, garlic, cumin, salt, and sesame oil in a food processor.. Stream reserved chickpea liquid into the mixture as it blends until desired consistency is achieved.. Serve with pita chips or veggies.","calories: 121, fat: 5g, carbs: 17g, protein: 4g, servings: 4",https://cdn.jwplayer.com/v2/media/To2eCxNC/poster.jpg?width=720
Real Hummus,https://www.allrecipes.com/recipe/26921/real-hummus/,"{'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': '(19 ounce) can', 'name': 'garbanzo beans, half the liquid reserved'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tahini'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '', 'unit': '', 'name': 'black pepper to taste'}","Chop garlic in a blender.. Pour garbanzo beans into the blender, reserving about 1 tablespoon for garnish. Add reserved liquid, lemon juice, tahini, and salt to the blender. Blend until creamy and well mixed.. Transfer mixture to a medium serving bowl. Drizzle olive oil and sprinkle pepper over the top. Garnish with reserved garbanzo beans.","calories: 54, fat: 3g, carbs: 7g, protein: 2g, servings: 20",https://cdn.jwplayer.com/v2/media/ksB6jpi5/poster.jpg?width=720
Supremely Spicy Hummus,https://www.allrecipes.com/recipe/244269/supremely-spicy-hummus/,"{'quantity': '¼', 'unit': 'cup', 'name': 'tahini'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '5', 'unit': 'dashes', 'name': 'hot pepper sauce (such as Cholula)'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'garbanzo beans, drained and rinsed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold water'}","Combine tahini, olive oil, lemon juice, garlic, cayenne pepper, cumin, salt, sesame oil, and hot sauce in a food processor or blender; blend until very smooth, about 3 minutes. Add garbanzo beans and blend for 2 minutes. Add water and blend for 3 minutes more. Chill in refrigerator.","calories: 120, fat: 8g, carbs: 10g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/snwgUxFTdkeUVnwK0P-HNEJyJ94=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2916630-cff68325b2e143779cbdf5ee4f3ee58a.jpg
Black Bean Hummus,https://www.allrecipes.com/recipe/13930/black-bean-hummus/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice, or more to taste'}, {'quantity': '1½', 'unit': 'tablespoons', 'name': 'tahini'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin, or more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt, or more to taste'}, {'quantity': '1⁄8', 'unit': 'teaspoon', 'name': 'cayenne pepper, or more to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'paprika, or as needed'}, {'quantity': '10', 'unit': '', 'name': 'Greek olives'}","Drain beans and reserve liquid.. Place garlic into the bowl of a food processor and pulse until minced. Add black beans, 2 tablespoons bean liquid, lemon juice, tahini, cumin, salt, and cayenne pepper; process until smooth, scraping down the sides as needed.. Taste and add additional bean liquid, lemon juice, tahini, cumin, salt, and cayenne pepper as needed. Transfer to a serving bowl and sprinkle with paprika. Arrange Greek olives over top.","calories: 81, fat: 3g, carbs: 10g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/RfWBk3aD8Ck23eLkKramkXDphsU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/13930black-bean-hummusReneePaj-4a2cbe90fffd499395d558e2d348a40a.jpg
Easy Roasted Red Pepper Hummus,https://www.allrecipes.com/recipe/15436/easy-roasted-red-pepper-hummus/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'chickpeas, drained'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'tahini'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'cup', 'name': 'roasted red peppers'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste (Optional)'}","Combine chickpeas, tahini, lemon juice, and garlic in the bowl of a food processor; pulse until blended. Add roasted peppers and basil; process until the peppers are finely chopped. Season with salt and pepper.. Transfer hummus to a small bowl, cover, and chill until ready to serve.","calories: 50, fat: 3g, carbs: 5g, protein: 2g, servings: 18",https://www.allrecipes.com/thmb/cXP8eeTP4Wezs7fjcTqI8aXt8fo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5556953-6235c3405a7044e291491aed1e3a47fa.jpg
Best Hummus,https://www.allrecipes.com/recipe/231081/best-hummus/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'chickpeas, drained'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'tahini'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lemon juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin (Optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'paprika'}, {'quantity': '1', 'unit': 'sprig', 'name': 'fresh parsley, chopped'}",,"calories: 27, fat: 2g, carbs: 3g, protein: 1g, servings: 32",https://www.allrecipes.com/thmb/O_Qq8lJlDu6hnP79HbGZG6iSXic=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/231081-best-hummus-Kims-Cooking-Now-4x3-bd156df1f0ad426a9512265152ee8b00.jpg
