name,link,ingredients,steps,nutrition,image_url
Feta and Sardine Flatbread,https://www.allrecipes.com/feta-and-sardine-flatbread-recipe-8633618,"{'quantity': '1', 'unit': '12 inch)', 'name': 'pizza crust'}, {'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'seasoning'}, {'quantity': '1/4', 'unit': None, 'name': 'red onion'}, {'quantity': '12', 'unit': None, 'name': 'pitted Kalamata olives'}, {'quantity': '1', 'unit': '4.375 ounce) tin', 'name': 'sardines packed in olive oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'feta cheese'}, {'quantity': '1', 'unit': 'tomato', 'name': 'Roma tomato'}, {'quantity': '1', 'unit': 'small', 'name': 'lemon'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'spinach leaves'}","Preheat the oven to 450 degrees F (230 degrees C). Place pizza crust on a round pizza pan.. Whisk olive oil and Greek seasoning together in a small bowl. Brush mixture over the entire pizza crust, including the edges.. Divide onion, olives, and sardines over pizza crust. Sprinkle on feta, then scatter on chopped tomatoes.. Bake in the preheated oven for 15 minutes. Remove pizza from the oven; add lemon slices and spinach leaves. Cut into slices and serve immediately.","calories: 493, fat: 23g, carbs: 61g, protein: 18g, servings: 4",https://www.allrecipes.com/thmb/xqBjgj0ycmW4qhMW-AexKfhNJt8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8633618_Feta-and-Sardine-Flatbread_Nicole-Russell_4x3-584b4155c4c04799ac03c340299ddbea.jpg
Irish Soda Bread Scones,https://www.allrecipes.com/irish-soda-bread-scones-recipe-8550478,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'granulated sugar, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, cut into ½-inch pieces'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins or dried currants'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'orange zest'}, {'quantity': '¾', 'unit': 'cup', 'name': 'whole buttermilk, divided'}","Gather all ingredients.. Whisk together flour, oats, baking powder, salt, baking soda, and 1/4 cup sugar in a large bowl until combined.. Cut butter into flour mixture with your fingers or a pastry cutter until dough resembles coarse meal.. Add raisins, orange zest, and 3/4 cup plus 1 tablespoon buttermilk; stir until just combined.. Transfer dough to a lightly floured work surface; pat dough into a 7-inch circle, about 3/4-inch thick. Line a baking sheet with parchment.. Using a floured bench scraper or knife, cut dough circle into 8 wedges; place wedges on the prepared baking sheet, spacing about 1 inch apart. Alternatively, scoop 8 (1/3-cup) mounds of dough onto a parchment-lined baking sheet, about 2 inches apart. Brush each scone evenly with remaining 2 tablespoons buttermilk, and sprinkle with remaining 1 tablespoon sugar. Place baking sheet in freezer, and freeze until chilled, about 30 minutes.. Preheat the oven to 425 degrees F (220 degrees C).. Bake scones in the preheated oven until bottoms and tops are golden, about 20 minutes. Remove from the oven, and let cool completely on the baking sheet, about 30 minutes. Serve warm or at room temperature with butter and jam, if desired.","calories: 318, fat: 13g, carbs: 45g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/Q26atu_22qc-cVRwUViduOjAtVk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8550478-irish-soda-bread-scones-beauty-4x3-0134-a2dfedc81a0e49c483550ef445f03f08.jpg
Irish Brown Soda Bread,https://www.allrecipes.com/recipe/17873/irish-brown-soda-bread/,"{'quantity': '4', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'bread flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'buttermilk'}","Preheat the oven to 425 degrees F (220 degrees C). Lightly grease two baking sheets.. Mix whole wheat flour, bread flour, rolled oats, baking soda, and salt together in a large bowl. Gently mix in buttermilk until a soft dough is formed; knead very lightly. Divide dough into 4 pieces; form into rounded flat loaves. Mark each loaf with an ""X"" and place on the prepared baking sheets.. Bake in the preheated oven until golden brown and the loaves sound hollow when tapped on the bottom, about 30 to 45 minutes.","calories: 206, fat: 2g, carbs: 41g, protein: 9g, servings: 12",https://www.allrecipes.com/thmb/jt3QWIZ1XCZfBvqqnbm72Vj-C2k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/41738-f11733c2d8d5438d9243ca0f7b2732b4.jpg
Nana Dot's Irish Soda Bread,https://www.allrecipes.com/recipe/161706/nana-dots-irish-soda-bread/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, cut into pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '½', 'unit': 'cup', 'name': 'currants'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'caraway seed (Optional)'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'apple cider vinegar'}","Preheat oven to 400 degrees F (200 degrees C). Grease 2 baking sheets.. Stir together the flour, baking soda, baking powder, salt, and sugar in a large bowl until evenly blended. Cut in the butter using a pastry blender or your hands until the mixture resembles coarse cornmeal. Stir in the raisins, currants, and caraway seeds, then make a well in the center and pour in the milk and vinegar. Stir with a spoon until the dry ingredients are moistened.. Turn the dough out onto a well floured work surface, and knead gently 8 to 10 times. Divide the dough into two balls, and place onto the prepared baking sheets.. Bake in preheated oven for 15 minutes, then reduce heat to 375 degrees F (190 degrees C), and bake until the top of the bread is golden brown, about 15 minutes more.","calories: 122, fat: 4g, carbs: 20g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/wNYhAxHpNwJJ22AcHqffFMiSUkw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/808106-b1e5c16cf65e4287bc04d91555782848.jpg
Irish Soda Bread,https://www.allrecipes.com/recipe/6750/irish-soda-bread-i/,"{'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pint', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}","Preheat the oven to 325 degrees F (165 degrees C). Grease two 8x4-inch loaf pans.. Mix flour, sugar, baking powder, baking soda, and salt. Add sour cream, raisins, and eggs; mix until just combined. Distribute batter evenly between the prepared pans.. Bake loaves in the preheated oven for 1 hour.","calories: 215, fat: 6g, carbs: 37g, protein: 5g, servings: 20",https://cdn.jwplayer.com/v2/media/P7s5VrmM/poster.jpg?width=720
Real Traditional Irish Soda Bread,https://www.allrecipes.com/recipe/213827/real-traditional-irish-soda-bread/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}","Heat a heavy skillet, griddle, or cast-iron frying pan over medium-low heat.. Stir the flour and salt together in a bowl, and sift in the baking soda. Make a well in the center of the flour mixture, and pour in the buttermilk. Stir the mixture quickly together into a dough, and turn out onto a floured work surface. Knead the dough a few times, just until it comes together. Gently form the dough into a flattened, round cake about 1/2 inch thick, and cut the round into quarters with a floured knife.. Sprinkle a little bit of flour into the bottom of the hot skillet, and cook the wedges 6 to 8 minutes per side, until golden brown.","calories: 252, fat: 1g, carbs: 51g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/ZTCTMyXBa3MaYson-slcd3p-ZSM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/629777-63d78c8f5fd8425c9448a925c24a7647.jpg
Irresistible Irish Soda Bread,https://www.allrecipes.com/recipe/7095/irresistible-irish-soda-bread/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}, {'quantity': '2', 'unit': 'cups', 'name': 'buttermilk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, melted'}","Preheat the oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan.. Combine flour, baking powder, sugar, salt, and baking soda in a large bowl. Blend egg and buttermilk together; add all at once to the flour mixture and mix just until moistened. Stir in butter. Pour into prepared pan.. Bake in the preheated oven until the top is golden brown, about 65 to 70 minutes. A toothpick inserted into the bread should come out clean. Cool on a wire rack.","calories: 192, fat: 5g, carbs: 32g, protein: 5g, servings: 12",https://cdn.jwplayer.com/v2/media/k6HAG1bq/poster.jpg?width=720
Brennan's Irish Soda Bread,https://www.allrecipes.com/recipe/213830/brennans-irish-soda-bread/,"{'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'distilled white vinegar'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Stir milk and vinegar together in a small bowl; allow to stand until curdled, about 10 minutes.. Meanwhile, preheat the oven to 400 degrees F (200 degrees C). Lightly grease a baking sheet.. Whisk flour, sugar, baking soda, and salt together in a bowl; gradually stir in soured milk until dough just comes together. Turn dough out onto a well-floured surface; knead lightly and shape into a round.. Transfer dough to the prepared baking sheet. Cut an ""X"" into the top of the dough to release steam and help the bread keep its round shape while baking.. Bake in the preheated oven until golden brown and the bottom of the loaf sounds hollow when tapped, about 45 minutes.","calories: 135, fat: 1g, carbs: 27g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/ndP3YOiWA695hD3r31YezGIBIDc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/808386-50c8879559e74cf5b115f2cd764c1517.jpg
Amazingly Easy Irish Soda Bread,https://www.allrecipes.com/recipe/16947/amazingly-easy-irish-soda-bread/,"{'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'margarine or butter, softened'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '¼', 'unit': 'cup', 'name': 'buttermilk'}",,"calories: 172, fat: 7g, carbs: 23g, protein: 3g, servings: 20",https://cdn.jwplayer.com/v2/media/vIgOpfq9/poster.jpg?width=720
Irish Potato Farls,https://www.allrecipes.com/recipe/100506/irish-potato-farls/,"{'quantity': '4', 'unit': 'medium', 'name': 'potatoes, peeled and halved'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour, plus extra for dusting'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'melted butter'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Gather all ingredients.. Cover potatoes with water in a pot and bring to a boil over high heat. Simmer on medium-high heat until center of potatoes are tender when pricked with a fork, about 20 minutes. Turn off heat. Drain, return potatoes to the pot, and allow to completely dry out over the remaining residual heat.. Mash with a potato masher until smooth.. Place warm mashed potato in a medium bowl. Stir in flour, melted butter, and salt. Mix lightly until dough forms.. Knead dough lightly on a well-floured surface. The dough will be sticky. Use a floured rolling pin to flatten into a 9-inch circle about 1/4 inch thick. Cut into quarters using a floured knife.. Sprinkle a little flour into the bottom of a skillet and cook farls until evenly browned, about 3 minutes on each side. Season with a little salt and serve straight away.","calories: 218, fat: 3g, carbs: 43g, protein: 5g, servings: 4",https://www.allrecipes.com/thmb/EpQsg0EIB5VxStAQ6JhxzleAzLc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RM-100506-IrishPotatoFarls-ddmfs-2x3-7007-29292e86929342808de8c6b0c9f57519.jpg
