name,link,ingredients,steps,nutrition,image_url
13 Classic Italian Recipes Made Easy in the Instant Pot,https://www.allrecipes.com/gallery/instant-pot-italian-recipes/,,,,https://www.allrecipes.com/thmb/-aZwM0CA8NEnT3rSKW_n6BA6MP8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4558738_20Instant20PotC2AE20Chicken20Cacciatore20Photo20by20France20C.20650x465-bf33439910454fb7a3bd5b94dc184f21.jpg
Chef John's 26 Best Italian Recipes Ever,https://www.allrecipes.com/chef-john-best-italian-recipes-8699641,,,,https://www.allrecipes.com/thmb/Q2A3-QiIFeF7rJgp7LLXa0cf7DU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7571415_Pasta-alla-Trapanese_Chef-John_4x3-9d9541bc16bf4beda4e634e99780d01d.jpg
8 Easy Italian Classic Recipes You Can Make at Home,https://www.allrecipes.com/article/easy-italian-classic-recipes/,,,,https://cdn.jwplayer.com/v2/media/ymxhQqJT/poster.jpg?width=720
25 Essential Ingredients in the Italian Pantry,https://www.allrecipes.com/article/essential-italian-pantry-ingredients/,,,,https://cdn.jwplayer.com/v2/media/C0WMK45e/poster.jpg?width=720
Date and Dried Cherry Mostarda,https://www.allrecipes.com/date-and-dried-cherry-mostarda-recipe-8741651,"{'quantity': '1/2', 'unit': 'cup', 'name': 'medjool dates'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'tart cherries, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'shallot'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white balsamic vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange zest'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'orange juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'crystallized ginger'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'mustard powder'}","Combine dates, cherries, shallot, wine, vinegar, orange zest, orange juice, sugar, crystallized ginger, salt, cinnamon, and crushed red pepper in a small saucepan. Bring to a boil; reduce heat to low and simmer, covered, until liquid is absorbed and fruit is softened, about 10 minutes.. Stir in butter, mustard, and mustard powder. Simmer, uncovered, until mixture is thickened and jam-like, 2 to 3 minutes. Serve warm or at room temperature.","calories: 82, fat: 1g, carbs: 16g, protein: 1g, servings: 10",https://www.allrecipes.com/thmb/CZXJTKXrCAZnB8oU7f_7IzDNQc0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741651-Date-and-Dried-Cherry-Mostarda-Allrecipes-Magazine-4x3-b33c86059d4342d2a861d4af692649fe.jpg
Pappardelle with Jammy Onion Ragu,https://www.allrecipes.com/pappardelle-with-jammy-onion-ragu-recipe-8741109,"{'quantity': '7', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '8', 'unit': 'cups', 'name': 'yellow onions'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '3', 'unit': 'cups', 'name': 'low-sodium chicken broth or vegetable broth'}, {'quantity': '2', 'unit': None, 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme, plus more for garnish'}, {'quantity': '1/4', 'unit': 'teaspoons', 'name': 'crushed red pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'oil-packed sun-dried tomatoes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'balsamic vinegar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '16', 'unit': 'ounces', 'name': 'dried pappardelle'}, {'quantity': None, 'unit': None, 'name': 'shaved Parmesan cheese, for serving'}","Melt 5 tablespoons butter in a very large, deep, heavy-bottomed skillet or an 8-quart Dutch oven over medium heat. Add onions and 1/4 teaspoon salt. Toss to coat in butter. Cook, covered, stirring occasionally, until onions are tender, about 15 minutes. Increase heat to high. Cook, stirring constantly, until onions start to brown, 3 to 5 minutes.. Reduce heat to medium and add garlic; cook, stirring, until fragrant, about 1 minute. Add tomato paste. Cook, stirring constantly, until mixture begins to darken, 1 to 2 minutes. Add wine to skillet, then use a wooden spoon or spatula to scrape up any browned bits from bottom of pot. Simmer for 2 minutes.. Add broth, bay leaves, thyme, crushed red pepper, and cloves. Bring to a boil. Reduce heat to low; simmer, stirring occasionally, until liquid is reduced and onions are jammy, with just a bit of liquid at the edges of skillet, about 25 minutes.. While sauce simmers, cook pasta according to package directions. Drain, reserving 1/2 cup cooking water. Remove sauce from heat.. Remove  and discard bay leaves. Stir in sun-dried tomatoes, vinegar, black pepper, and remaining 2 tabelspoons butter and 1/2 teaspoon salt. Stir cooked pasta into warm sauce, adding reserved pasta cooking water a little at a time until sauce is desired thickness. Serve with Parmesan cheese and garnish with thyme.","calories: 530, fat: 17g, carbs: 78g, protein: 17g, servings: 6",https://www.allrecipes.com/thmb/2nxTEexzXQbf97InFYezhpNgoXo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741109-Pappardelle-with-Jammy-Onion-Ragu-Allrecipes-Magazine-4x3-8d45e74b928141ab96dbff8344473d87.jpg
One Pot Chicken Pomodoro,https://www.allrecipes.com/one-pot-chicken-pomodoro-recipe-8730087,"{'quantity': '1', 'unit': 'pound', 'name': 'boneless chicken breasts'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic granules'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': None, 'name': 'shallot'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'can crushed tomatoes'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh basil'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pinot grigio'}, {'quantity': '16', 'unit': 'ounces', 'name': 'pasta'}","Gather all ingredients. Heat a deep cast iron skillet over medium heat.. Season chicken breasts with salt, garlic, and Italian seasoning.. Pour 2 teaspoons oil into the skillet. Once hot, add chicken. Cook until golden, turning once, about 4 minutes per side. Move chicken to one side of the skillet.. Pour remaining oil into the skillet. Add minced shallot; cook until softened, about 3 minutes. Add the garlic, stir until fragrant, about 1 minute.. Add the crushed tomatoes, salt, sugar, red pepper flakes, and basil. Pour in chicken broth and wine. Stir to combine.. Add pasta to the skillet. Nestle chicken pieces on top of pasta. Reduce heat to medium-low. Cover, and cook until pasta is tender with a bite, about 8 minutes. Taste and adjust seasoning; serve immediately.","calories: 356, fat: 8g, carbs: 38g, protein: 31g, servings: 6",https://www.allrecipes.com/thmb/Q3GD1zARiVqbouBc3kMzkn1cb_c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-8730087-one-pot-chicken-pomodoro-recipe-VAT-4x3-1closeup-39a64dd4ec624e609e71f6f5133cd28a.jpg
Tuscan Chicken Casserole,https://www.allrecipes.com/tuscan-chicken-casserole-recipe-8735197,"{'quantity': '1', 'unit': 'pound', 'name': 'boneless chicken breasts'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'talian seasoning'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh spinach'}, {'quantity': '4', 'unit': '(4 ounce) can', 'name': 'sliced mushrooms'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sun-dried tomatoes'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, pressed'}, {'quantity': '2', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'chicken bouillon granules,'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'oil'}","Preheat the oven to 425 degrees F (220 degrees C). Spray an 8x8-inch baking dish with nonstick cooking spray.. Season both sides of chicken with Italian seasoning, paprika, onion powder, pepper flakes, garlic powder, salt and pepper. Place in the prepared pan. Place spinach over chicken, mushrooms over spinach, and sun-dried tomatoes over mushrooms. Top with mozzarella and Parmesan cheese.. For sauce, beat cream, Parmesan cheese, garlic, cream cheese, chicken bouillon, chicken broth, and oil together in a bowl until just combined. Season with salt and pepper. Pour mixture over chicken.. Bake casserole in the preheated oven until bubbly, chicken is no longer pink, and juices run clear, 20 to 25 minutes.  An instant-read thermometer inserted in the center of chicken should read 165 degrees F (74 degrees C).","calories: 597, fat: 40g, carbs: 13g, protein: 48g, servings: 4",https://www.allrecipes.com/thmb/0TPMTnN9PmtWYJngclEUOsom_cs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8735197_Tuscan-Chicken-Casserole_Yolanda-Gutierrez_4x3-01bc05f1c1514461834e94c8f8c8e3c2.jpg
Lemon Garlic Butter Chicken Spiedini,https://www.allrecipes.com/lemon-garlic-butter-chicken-spiedini-recipe-8727930,"{'quantity': '1/2', 'unit': 'cup', 'name': 'extra-virgin olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white wine, such as Pinot Grigio'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'oregano'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '2', 'unit': 'pounds', 'name': 'skinless boneless chicken thighs'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'Italian breadcrumbs'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'panko'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': None, 'unit': None, 'name': 'skewers'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'fresh parsley'}","Whisk together olive oil, wine, 2 tablespoons lemon juice, lemon zest, 1/2 of the garlic, crushed red pepper, oregano, 1 teaspoon salt, and 1/2 teaspoon pepper in a bowl. Add chicken and toss to coat. Cover and refrigerate 30 minutes to 1 hour.. Stir together remaining salt and pepper with bread crumbs, panko, Parmesan cheese, and garlic powder in a shallow dish. Remove chicken from marinade and toss to coat in breadcrumb mixture, pressing to adhere as necessary. Thread chicken onto skewers and coat with olive oil cooking spray.. Preheat an air fryer to 390 degrees F (198 degrees C).  Air fry until chicken is no longer pink at the center and juices run clear, and is until lightly golden brown and crisp, about 12 minutes. An instant read thermometer, inserted near the center, should read 165 degrees F (74 degrees C).. Meanwhile, melt butter with remaining garlic in a microwave-safe dish on High in the microwave, about 10 seconds.  Stir in remaining lemon juice and parsley. Drizzle butter mixture over chicken just before serving.","calories: 636, fat: 41g, carbs: 21g, protein: 43g, servings: 6",https://cdn.jwplayer.com/v2/media/ahbYMLcr/thumbnails/XB9XoPrt.jpg
Italian Steak Pizzaiola,https://www.allrecipes.com/italian-steak-pizzaiola-recipe-8732132,"{'quantity': '4', 'unit': None, 'name': 'ribeye steaks'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt, divided'}, {'quantity': '1', 'unit': 'teaspoon freshly ground black', 'name': 'freshly ground black'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'extra virgin olive oil, divied'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white or red wine'}, {'quantity': '8', 'unit': None, 'name': 'roma tomatoes, chopped'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'oregano'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olives'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped parsley'}","Season steaks with 1 teaspoon salt and 1/2 teaspoon pepper.  Heat 1 tablespoon oil in a large deep skillet over high heat. Add steaks to skillet and cook, undisturbed, until browned about 2 minutes.  Flip and cook 1 more minute. Remove steaks from skillet and set aside.. Add remaining oil to skillet and turn heat to medium.  Add onions, remaining salt and pepper, and cook, stirring occasionally until softened.  Add garlic and cook for 1 minute. Add wine and scrape bottom of skillet to loosen any browned bits. Add tomatoes  and oregano and bring mixture to a simmer.  Simmer until tomatoes soften, about 5 minutes, stirring occasionally.. Use a potato masher or the back of a spoon to crush the tomatoes.  Add in tomato paste and olives and stir to combine.  Simmer for 2 minutes.. Return steaks and any juices accumulated to the skillet and cover the steaks in the tomato mixture.  Cook until the steak is heated through, 2 to 3 minutes.  Remove from heat and add parsley. Serve with crusty bread or over pasta or rice.","calories: 477, fat: 33g, carbs: 12g, protein: 30g, servings: 4",https://cdn.jwplayer.com/v2/media/8RjNsUR5/thumbnails/kxH9foiv.jpg
