name,link,ingredients,steps,nutrition,image_url
18 Finger Food Recipes for July 4th,https://www.allrecipes.com/july-4th-finger-food-recipes-8667962,,,,https://www.allrecipes.com/thmb/LXHcdWAxurbFTLmHCvTlUHPcDI4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/212896-caprese-appetizer-ddmfs-4X3-0554-4a0a54607c45497ca348aea796fe6185.jpg
4th of July Menu Ideas,https://www.allrecipes.com/gallery/4th-of-july-menu/,,,,https://www.allrecipes.com/thmb/gQYLcdxuIwUh_tLK2JmZrQOaabw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/eatons-easy-pulled-pork-be3ee32742e747fc9c1169eb8dbb8a6e.jpeg
Chef John's Favorite Fourth of July Recipes,https://www.allrecipes.com/gallery/chef-johns-fourth-of-july-recipes/,,,,https://www.allrecipes.com/thmb/9h7AS_7wJ9utSwXqeee32uHDzzE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3672266-ae27a7f2fdc344b3b37bb6511df35a20.jpg
Our 25 Favorite Fourth of July Appetizers,https://www.allrecipes.com/best-july-fourth-appetizers-8670752,,,,https://www.allrecipes.com/thmb/JZwRdjNkpDX_tiwVyMXk9-XJF2w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6668617-zucchini-corn-fritters-Doug-4x3-1-ff7a4ff91aac4d909ca6df5960ae1dbe.jpg
"How to Decorate a Festive Red, White, and Blue Flag Cake",https://www.allrecipes.com/article/decorating-a-flag-cake/,,,,https://cdn.jwplayer.com/v2/media/Y6kIcJ6C/poster.jpg?width=720
20 Fourth of July Cocktails That Are Worthy of Celebration,https://www.allrecipes.com/july-fourth-drink-recipes-8671392,,,,https://www.allrecipes.com/thmb/QZvBR6OPOosivG6oEVJGGitVSeM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/72612-SangriaSangria-mfs-2X3-1483-f866d8b511ce4660a66774b3bb741679.jpg
"The Best Red, White, and Blue Fourth of July Treats to Make This Year",https://www.allrecipes.com/best-red-white-and-blue-recipes-6660040,,,,https://www.allrecipes.com/thmb/N1cC1NL8NTssqf7oUQLtc08GaGc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Patriotic-Pops-by-Allrecipes-Magazine-2000-46daa0a964ac4570ac199fd9e19e40f6.jpg
"How to Make Red, White, and Blue Deviled Eggs",https://www.allrecipes.com/article/how-make-red-white-and-blue-deviled-eggs/,,,,https://cdn.jwplayer.com/v2/media/v38TBHBN/poster.jpg?width=720
25 July Fourth Cakes Worth Celebrating,https://www.allrecipes.com/july-4th-cake-recipes-8669151,,,,https://www.allrecipes.com/thmb/AuNzO5O4Q9q0hRGgxTIS7Qt2ogg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/236755saskatoon-berry-cream-cheese-crumb-cakeKim4x3-6d802ebc4d0f45098c35ce4aedb68381.jpg
Frito Pie Casserole,https://www.allrecipes.com/frito-pie-casserole-recipe-8673071,"{'quantity': '1', 'unit': 'pound', 'name': 'ground chuck'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped yellow onion'}, {'quantity': '1', 'unit': None, 'name': 'green bell pepper, chopped'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'low-sodium chicken stock'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'red kidney beans, drained and rinsed'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'diced tomatoes, undrained'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'sweet whole kernel corn, drained'}, {'quantity': '1', 'unit': '(1 ounce) envelope', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': None, 'name': 'chipotle chile pepper in adobo sauce, finely chopped, plus 1 tablespoon adobo sauce'}, {'quantity': '8', 'unit': 'ounces', 'name': 'sharp Cheddar cheese, shredded, divided'}, {'quantity': '2½', 'unit': 'cups', 'name': 'corn chips (such as Fritos)'}, {'quantity': None, 'unit': None, 'name': 'sliced scallions, for garnish'}, {'quantity': None, 'unit': None, 'name': 'sour cream, guacamole, and salsa, for serving'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).. Heat a large skillet over medium-high heat. Add ground chuck, and cook, stirring and breaking up meat into smaller pieces with a wooden spoon, until browned and almost cooked through, 5 to 7 minutes. Add onion and bell pepper; cook, stirring often, until beef is cooked through and onion is softened, about 4 minutes.. Stir in stock, kidney beans, diced tomatoes, corn, taco seasoning, chipotle chile, and adobo sauce. Bring to a boil over medium-high. Reduce heat to medium, and simmer, stirring often, until slightly thickened, 7 to 10 minutes. Remove from heat, and stir in 1 cup of the Cheddar.. Transfer beef mixture to a 9 x 13-inch baking dish, and spread in an even layer. Top evenly with remaining Cheddar, and sprinkle evenly with corn chips.. Bake, uncovered, in the preheated oven until mixture is bubbling and Cheddar cheese is melted and starting to brown, 18 to 20 minutes. Let rest for 10 minutes. Garnish with scallions, and serve with sour cream, guacamole, and salsa.","calories: 429, fat: 24g, carbs: 27g, protein: 27g, servings: 8",https://www.allrecipes.com/thmb/2VpFy0uPyIlbCpy63BLeEd52hxk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8673071-frito-pie-casserole-5943-4x3-beauty-15e18206d6634eee9a4d8e49fdf8b238.jpg
Buffalo Chicken Tater Tot Casserole,https://www.allrecipes.com/buffalo-chicken-tater-tot-casserole-recipe-8672248,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'cream of chicken soup'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'ranch dressing'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'buffalo-style hot sauce (such as Frank’s RedHot'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '5', 'unit': 'cups', 'name': 'shredded rotisserie chicken'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'sharp Cheddar cheese, shredded'}, {'quantity': '6', 'unit': 'cups', 'name': 'potato tots'}, {'quantity': None, 'unit': None, 'name': 'scallions, for garnish'}","Gather all ingredients. Preheat oven to 425 degrees F (220 degrees C). Lightly coat a 9x13 inch baking dish with cooking spray.. Whisk together cream of chicken soup, ranch dressing, sour cream, hot sauce, garlic powder, and black pepper in a large bowl until fully combined. Fold in chicken and 3/4 cup Cheddar until fully coated in ranch mixture. Transfer to the prepared baking dish. Top evenly with potato tots.. Transfer to prepared baking dish. Top evenly with potato tots.. Bake in the preheated oven until potato tots are golden brown and cooked through and filling is bubbling around edges, about 25 minutes. Remove pan from oven, and sprinkle remaining 3/4 cup Cheddar evenly over potato tots.. Return to the oven, and continue to bake at 425 degrees F (220 degrees C) until Cheddar is melted, about 5 minutes. Garnish with scallions.","calories: 495, fat: 35g, carbs: 33g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/6P8UKq13X_nxl3040Xn342pExKk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8672248-buffalo-chicken-tater-tot-casserole-ddmfs-4x3-688ba2315484436b96dd9ad7ed451900.jpg
"Easy Red, White, and Blue Trifle",https://www.allrecipes.com/easy-red-white-and-blue-trifle-recipe-8662796,"{'quantity': '1', 'unit': None, 'name': 'angel food cake'}, {'quantity': '32', 'unit': 'ounces', 'name': 'vanilla yogurt, divided'}, {'quantity': '1', 'unit': 'pint', 'name': 'strawberries'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'strawberry preserves'}, {'quantity': '1', 'unit': 'tablespoons', 'name': 'water,'}, {'quantity': '2', 'unit': 'cups', 'name': 'blueberries, rinsed and dried'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'blueberry preserves'}, {'quantity': None, 'unit': None, 'name': 'strawberries'}","Place a layer of angel food cake pieces in the bottom of a small trifle dish or pretty cut glass bowl. Spread a thin layer of yogurt over cake layer.. Add a single layer of sliced strawberries. Place strawberry preserves and 1 tablespoon water in a microwave-safe bowl and heat on High until preserves liquefy, 1 to 2 minutes. Stir, and add up to 1 tablespoon more water if needed to make a syrup. Drizzle a portion of strawberry syrup over strawberry layer.. Add another single layer of cake pieces, and spread with yogurt. Sprinkle with blueberries.. Place blueberry preserves and 1 tablespoon water in a microwave-safe bowl and heat on High until preserves have melted, about 1 minute. Stir, and add up to 1 tablespoon more water if needed to make a syrup. Drizzle a portion of blueberry syrup over blueberries.. Add another layer of cake pieces; spread with yogurt, add a layer of strawberries, and drizzle with strawberry syrup. Add a layer of cake; spread with yogurt, sprinkle with blueberries, and drizzle with blueberry syrup. Spread with a final layer of yogurt.. Garnish with fresh strawberry slices, whole berries, and blueberries, and drizzle with any remaining syrup.. Cover and refrigerate until ready to serve. Store leftovers, covered, in the refrigerator.","calories: 367, fat: 3g, carbs: 79g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/hjV-RF1flDPkLRYw2rzq5XsRa90=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8662796_Easy-Red-White-and-Blue-Trifle_Brenda-Venable_4x3-4d8a924148fb41d7abf067bc7ef8a759.jpg
The Most Popular 4th of July Recipe in Each U.S. State,https://www.allrecipes.com/most-popular-4th-of-july-recipe-by-state-7551257,,,,https://www.allrecipes.com/thmb/Yn7UtXBn1YQ-X0_bug6ZQEtb83Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/red-white-blue-ice-cream-cake-sl-07-2014-2000x1500-b60d08134ab244e9852482cb25e982fe.jpg
"Red, White, and Blue Cheesecake Bites",https://www.allrecipes.com/red-white-and-blue-cheesecake-bites-recipe-7554460,"{'quantity': '1/2', 'unit': 'cup', 'name': 'crushed graham cracker crumbs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pound', 'name': 'cream cheese, at room temperature'}, {'quantity': '1', 'unit': None, 'name': 'lime'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sour cream'}, {'quantity': '24', 'unit': 'slices', 'name': 'strawberry'}, {'quantity': '72', 'unit': None, 'name': 'fresh blueberries'}",,"calories: 130, fat: 10g, carbs: 9g, protein: 2g, servings: 24",https://cdn.jwplayer.com/v2/media/5ioBwUOp/poster.jpg?width=720
