name,link,ingredients,steps,nutrition,image_url
Firehouse Jalapenos,https://www.allrecipes.com/recipe/97000/firehouse-jalapenos/,"{'quantity': '30', 'unit': '', 'name': 'jalapeno peppers, halved and seeded'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '30', 'unit': '', 'name': ""small smoked sausages (such as Lit'l Smokies®)""}, {'quantity': '1', 'unit': '(1 pound) package', 'name': 'thin-sliced bacon, cut in half'}, {'quantity': '60', 'unit': '', 'name': 'toothpicks'}, {'quantity': '½', 'unit': 'cup', 'name': 'barbeque sauce'}","Preheat an oven to 350 degrees F (175 degrees C).. Fill the jalapeno pepper halves with softened cream cheese, then place a smoked sausage into each pepper on top of the cheese. Wrap each piece with a half strip of bacon and secure with a toothpick. Place the peppers onto a baking sheet and brush with the barbeque sauce.. Bake in the preheated oven until the bacon is crispy, about 30 minutes.","calories: 138, fat: 13g, carbs: 3g, protein: 4g, servings: 30",https://www.allrecipes.com/thmb/joDnkvEiJCt49Popt-RKiSZmLZo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1620550-f36b1e9a810e4552b99057841421a306.jpg
Grilled Bacon Jalapeño Wraps,https://www.allrecipes.com/recipe/87076/grilled-bacon-jalapeno-wraps/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese'}, {'quantity': '6', 'unit': '', 'name': 'fresh jalapeno peppers, halved lengthwise and seeded'}, {'quantity': '12', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '12', 'unit': '', 'name': 'toothpicks, soaked in water (Optional)'}","Preheat an outdoor grill for high heat and lightly oil the grate.. Spread cream cheese in each jalapeño half; wrap with bacon. Secure with a toothpick if needed.. Cook on the preheated grill until bacon is crispy, turning often, about 10 minutes.","calories: 391, fat: 38g, carbs: 2g, protein: 10g, servings: 6",https://cdn.jwplayer.com/v2/media/k0is3NhC/poster.jpg?width=720
Air-Fried Jalapeno Poppers,https://www.allrecipes.com/recipe/281638/air-fried-jalapeno-poppers/,"{'quantity': '6', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'ounce', 'name': 'shredded Cheddar cheese, or to taste'}, {'quantity': '6', 'unit': 'medium', 'name': 'jalapeño peppers, halved lengthwise and seeded'}, {'quantity': '3', 'unit': 'slices', 'name': 'salami, quartered'}, {'quantity': '6', 'unit': 'strips', 'name': 'bacon, cut in half lengthwise'}","Preheat an air fryer to 390 degrees F (199 degrees C) according to manufacturer's instructions.. Divide and fill cream cheese and Cheddar cheese among jalapeño halves. Place 1/4 slice salami on each jalapeño half; wrap each with 1 halved strip bacon. Secure with a toothpick, if necessary.. Layer jalapeño poppers in the preheated air fryer; cook until bacon is browned and cheese is melted, 10 to 12 minutes.","calories: 113, fat: 10g, carbs: 1g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/WuzF2iWncrKxvWpHnhZLbdhOu5s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8461483-00a3efce4a184d60bcd5eb7d8887139a.jpg
Bacon Jalapeño Popper Puffs,https://www.allrecipes.com/recipe/246256/bacon-jalapeno-popper-puffs/,"{'quantity': '½', 'unit': 'cup', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'crème fraîche'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced green onions, plus some for garnish'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh lime juice'}, {'quantity': '4', 'unit': 'strips', 'name': 'bacon'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'bacon fat'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely diced jalapeno peppers'}, {'quantity': '2', 'unit': 'ounces', 'name': 'shredded extra-sharp white Cheddar cheese'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable oil for deep frying, or as needed'}","Make the dipping sauce: Mix cream cheese, crème fraîche, green onions, and lime juice together in a bowl. If mixture seems too thick, add enough water to thin it to your preferred consistency.. Make the puffs: Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned and crisp, about 10 minutes. Drain bacon slices on paper towels. Crumble or finely chop. Drain fat from skillet, reserving 1 tablespoon.. Place skillet over medium-high heat. Add cold water, butter, reserved bacon fat, and salt. Bring mixture to a simmer; reduce heat to medium. Pour in flour all at once. Stir to mix and mash with a wooden spoon until dough starts to pull together, 2 to 3 minutes. Remove pan from heat; transfer dough to a mixing bowl and let cool for about 5 minutes.. When dough is cool, whisk in 1 egg. Mixture will separate slightly. Continue whisking in first egg until mixture pulls back together. Repeat with the second egg. Scrape down sides of bowl. Add diced jalapeño, bacon pieces, shredded cheese, cayenne pepper, and black pepper. Mix thoroughly with a spatula. Wrap dough in plastic wrap and refrigerate until cool, 30 minutes to 1 hour.. Heat oil in a deep fryer to 375 degrees F (190 degrees C).. Using a small scoop, scoop out rounds of dough. Drop rounds of dough into hot oil and cook until golden brown and cooked through, 3 to 4 minutes. Work in batches if necessary. Transfer to a cooling rack.. Serve with dipping sauce garnished with a few green onion slices.","calories: 275, fat: 23g, carbs: 9g, protein: 8g, servings: 8",https://cdn.jwplayer.com/v2/media/JSkIhPci/poster.jpg?width=720
Jalapeño Popper Pigs in a Blanket,https://www.allrecipes.com/jalapeno-popper-pigs-in-a-blanket-recipe-8584146,"{'quantity': '8', 'unit': None, 'name': 'jalapeño\xa0peppers,'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'Cheddar cheese'}, {'quantity': '16', 'unit': None, 'name': 'Lil Smokies'}, {'quantity': '2', 'unit': '(8 ounce)', 'name': 'crescent roll dough'}","Preheat the oven to 375 degrees F (190 degrees C). Line 2 baking sheets with parchment. Rinse jalapeños to remove any remaining seeds and pat dry.. Stir cream cheese and Cheddar cheese together in a bowl until well combined. Divide cheese mixture among jalapeño halves and top each with a sausage.. Separate crescent dough into 16 triangles. Roll each filled pepper in crescent dough and place on the prepared baking sheets.. Bake in the preheated oven until golden brown, 13 to 15 minutes.  Let stand for 5 minutes before serving.","calories: 196, fat: 14g, carbs: 13g, protein: 6g, servings: 16",https://cdn.jwplayer.com/v2/media/fUkIDMdZ/thumbnails/3imTgbRX.jpg
Stuffed Jalapeño Firecrackers,https://www.allrecipes.com/recipe/216909/stuffed-jalapeno-firecrackers/,"{'quantity': '12', 'unit': None, 'name': 'jalapeño peppers, halved lengthwise'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': None, 'unit': None, 'name': 'Cajun seasoning, or to taste'}, {'quantity': '12', 'unit': 'slices', 'name': 'jalapeño bacon, cut in half'}, {'quantity': None, 'unit': None, 'name': 'toothpicks'}","Preheat the oven's broiler and set the oven rack about 6 inches from the heat source.. Fill jalapeños with cream cheese. Sprinkle with Cajun seasoning, then wrap each stuffed jalapeño with bacon slice. Secure with a toothpick. Arrange wrapped jalapeños in a single layer, face down on a broiler rack.. Broil in the preheated oven until bacon is crisp, 8 to 15 minutes per side.","calories: 179, fat: 16g, carbs: 2g, protein: 8g, servings: 8",https://cdn.jwplayer.com/v2/media/ttOBGJqk/poster.jpg?width=720
Texas Twinkies,https://www.allrecipes.com/recipe/281688/texas-twinkies/,"{'quantity': '12', 'unit': 'medium', 'name': 'jalapeño peppers'}, {'quantity': '12', 'unit': 'tablespoons', 'name': 'cream cheese, softened'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'cooked chopped brisket'}, {'quantity': '12', 'unit': 'slices', 'name': 'thick-cut bacon'}, {'quantity': '', 'unit': '', 'name': 'kosher salt and ground black pepper to taste'}, {'quantity': '½', 'unit': '(12 ounce) bottle', 'name': 'BBQ sauce'}","Preheat the oven to 300 degrees F (150 degrees C).. Slice jalapeños in the shape of a ""T."" Cut a straight vertical line from top to bottom with a crosscut directly under the stem, making sure to cut only halfway through the jalapeños. Use a spoon to remove and discard all seeds and membranes. Place jalapeños on a baking sheet.. Bake in the preheated oven for 10 minutes.. Transfer jalapeños to a bowl of ice water for a few minutes to extract the rest of the seeds' oil. Blot dry with a paper towel.. Increase oven temperature to 350 degrees F (175 degrees C).. Spread 1 tablespoon cream cheese inside each jalapeño. Place about 2 ounces brisket inside each, then wrap with a slice of bacon. Place poppers on a baking sheet and season with salt and pepper.. Bake in the preheated oven for 30 minutes. Remove from the oven and brush the tops with BBQ sauce. Return to the oven and bake 5 more minutes.","calories: 212, fat: 18g, carbs: 7g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/mkRexdNX9Tl47dtsbf8p52y0reY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/281688-texas-twinkies-ddmfs-3X4-0471-23f84e73656c46c0823b2d352483fa7f.jpg
Healthier Jalapeño Poppers,https://www.allrecipes.com/recipe/8525126/healthier-jalapeno-poppers/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'reduced-fat cream cheese (Neufchâtel), softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Gouda cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'plain Greek-style yogurt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh oregano'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt-free Italian seasoning'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pound', 'name': 'jalapeno peppers, halved and seeded'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'whole-wheat panko bread crumbs'}","For filling, stir together cream cheese, gouda, yogurt, oregano, Italian seasoning, and garlic in a bowl.. Transfer filling to a piping bag (fitted with a tip) or a small zip-top plastic bag and snip off a corner. Pipe filling into each pepper half. Put panko in a small dish. Dip peppers, filling sides down, in panko to coat. Lightly coat panko with cooking spray.. Preheat air fryer to 375 degrees F (190 degrees C). Air-fry peppers, panko sides up and working in batches as needed, until tender and lightly browned, about 8 minutes. f you like, garnish with additional fresh herbs.","calories: 63, fat: 4g, carbs: 4g, protein: 3g, servings: 16",https://www.allrecipes.com/thmb/bfgdzzQ-UBbmv3w5v2zYjEybiww=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4x3-GOLDMAN_ALR0323_BrightIdeas_2870-42abd34d4c024b0d88f31cb290e54501.jpg
Bacon-Wrapped Jalapeño Poppers,https://www.allrecipes.com/recipe/233603/bacon-wrapped-jalapeno-poppers/,"{'quantity': '½', 'unit': 'cup', 'name': 'cream cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded sharp Cheddar cheese'}, {'quantity': '12', 'unit': '', 'name': 'jalapeno peppers, halved lengthwise, seeds and membranes removed'}, {'quantity': '12', 'unit': 'slices', 'name': 'bacon'}",,"calories: 265, fat: 21g, carbs: 5g, protein: 14g, servings: 6",https://cdn.jwplayer.com/v2/media/Aet5pa1I/thumbnails/xiNdSO2G.jpg
Best Ever Jalapeño Poppers,https://www.allrecipes.com/recipe/20858/best-ever-jalapeno-poppers/,"{'quantity': '12', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'bacon bits'}, {'quantity': '12', 'unit': 'ounces', 'name': 'jalapeño peppers, seeded and halved'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'dry bread crumbs'}, {'quantity': '2', 'unit': 'quarts', 'name': 'oil for frying, or as needed'}",,"calories: 161, fat: 10g, carbs: 11g, protein: 6g, servings: 20",https://cdn.jwplayer.com/v2/media/xAODf9Gu/poster.jpg?width=720
