name,link,ingredients,steps,nutrition,image_url
Chicken and Sausage Jambalaya,https://www.allrecipes.com/chicken-and-sausage-jambalaya-recipe-8726289,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '3', 'unit': 'skin-on, bone-in', 'name': 'chicken thighs'}, {'quantity': '1', 'unit': '(14.5 ounce can)', 'name': 'tomatoes'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock, or as needed'}, {'quantity': '2', 'unit': None, 'name': 'ribs celery,'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, diced'}, {'quantity': '1', 'unit': None, 'name': 'bell pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': None, 'name': 'bay leaves'}, {'quantity': '4', 'unit': None, 'name': 'garlic cloves'}, {'quantity': '2', 'unit': 'cups', 'name': 'tasso or ham steak'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage'}, {'quantity': '2', 'unit': 'cups', 'name': 'long grain rice'}, {'quantity': '1', 'unit': 'bunch', 'name': 'scallions'}","Preheat the oven to 325 degrees F (165 degrees C).. Add canola oil to a large Dutch oven set over medium heat. Salt and pepper chicken liberally and sear on both sides until golden brown, about 5 minutes per side. Remove from Dutch oven.. Open canned tomatoes and strain liquid into a 4-cup measuring cup. Pour in enough chicken stock to total 4 cups; set aside. Roughly chop tomatoes.. Add celery, onion, bell pepper (the trinity), chopped tomatoes, cayenne, bay leaves, and garlic to the Dutch oven and stir until combined on medium heat. Mix in stock with tomato juice, seared chicken, tasso, andouille, and rice. Bring this to a nice simmer. Cover the pot.. Bake in the preheated oven for 30 minutes. Remove the pot from the oven and continue to let jambalaya steam for an additional 5 minutes.. Garnish with scallions and a few dashes of hot sauce when ready to serve.","calories: 623, fat: 40g, carbs: 29g, protein: 37g, servings: 6",https://cdn.jwplayer.com/v2/media/Ug0PzrYB/thumbnails/RflzUhLv.jpg
Best Jambalaya,https://www.allrecipes.com/recipe/31848/jambalaya/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'peanut oil, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Cajun seasoning'}, {'quantity': '10', 'unit': 'ounces', 'name': 'andouille sausage, sliced into rounds'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless skinless chicken breasts, cut into 1 inch pieces'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'small', 'name': 'green bell pepper, diced'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'crushed Italian tomatoes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'hot pepper sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'file powder'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'chicken broth'}",,"calories: 465, fat: 20g, carbs: 42g, protein: 28g, servings: 6",https://cdn.jwplayer.com/v2/media/j7EWQ6v0/thumbnails/dfjtasc7.jpg
Chef John's Sausage & Shrimp Jambalaya,https://www.allrecipes.com/recipe/220126/chef-johns-sausage-shrimp-jambalaya/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '8', 'unit': 'ounces', 'name': 'andouille sausage, cut into 1/4-inch slices'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground paprika'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced tomatoes'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, sliced 1/4 inch thick'}, {'quantity': '1', 'unit': 'large', 'name': 'green bell pepper, diced'}, {'quantity': '4', 'unit': '', 'name': 'green onions, thinly sliced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked brown rice'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1', 'unit': 'pound', 'name': 'large shrimp, peeled and deveined'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Gather all ingredients.. Place butter and sausage in a large stockpot over medium heat; cook and stir until sausage begins to brown, 5 to 6 minutes.. Stir in paprika, cumin, and cayenne; cook for 1 minute.. Stir tomatoes, celery, green pepper, green onions, salt, and bay leaf into the sausage mixture.. Add brown rice and stir to combine. Stir in chicken stock, bring it to a simmer, then turn heat to low. Cover and cook until rice is just tender, about 45 minutes.. Stir in shrimp, replace lid and cook until shrimp are cooked through, about 5 minutes. Season with salt and black pepper.","calories: 495, fat: 25g, carbs: 37g, protein: 30g, servings: 4",https://cdn.jwplayer.com/v2/media/qhI2JXy4/thumbnails/NgA60cZA.jpg
Colleen's Slow Cooker Jambalaya,https://www.allrecipes.com/recipe/73634/colleens-slow-cooker-jambalaya/,"{'quantity': '1', 'unit': '(28 ounce) can', 'name': 'diced tomatoes with juice'}, {'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken breast halves, cubed'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage, sliced'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried parsley'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Cajun seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'pound', 'name': 'frozen cooked shrimp without tails'}","Gather the ingredients.. Mix tomatoes with juice, chicken, sausage, onion, green bell pepper, celery, and broth in a slow cooker.. Season with oregano, parsley, Cajun seasoning, cayenne pepper, and thyme.. Cover and cook on Low for 7 to 8 hours, or on High for 3 to 4 hours. Stir in shrimp during the last 30 minutes of cook time.. Serve over rice.","calories: 235, fat: 14g, carbs: 6g, protein: 20g, servings: 12",https://cdn.jwplayer.com/v2/media/1YNmFz9Z/poster.jpg?width=720
Easy Cajun Jambalaya,https://www.allrecipes.com/recipe/31833/easy-cajun-jambalaya/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': '', 'name': 'boneless skinless chicken breasts, cut into bite-size pieces'}, {'quantity': '8', 'unit': 'ounces', 'name': 'kielbasa, diced'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped garlic'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '3', 'unit': '', 'name': 'bay leaves'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'hot pepper sauce'}","Heat oil in a large pot over medium-high heat. Add chicken and kielbasa; sauté until lightly browned, about 5 minutes.. Stir in onion, bell pepper, celery, and garlic. Season with cayenne, onion powder, salt, and pepper; cook and stir until onion is tender and translucent, about 5 minutes.. Add rice and stir in chicken stock and bay leaves. Bring to a boil; reduce heat, cover, and simmer for 20 minutes, or until rice is tender. Stir in Worcestershire sauce and hot pepper sauce.","calories: 488, fat: 14g, carbs: 59g, protein: 29g, servings: 6",https://cdn.jwplayer.com/v2/media/1Kd4w6WV/poster.jpg?width=720
Spruced-Up Zatarain's Jambalaya,https://www.allrecipes.com/recipe/234504/spruced-up-zatarains-jambalaya/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil, or as needed'}, {'quantity': '38', 'unit': 'ounces', 'name': 'andouille sausage, sliced'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': ""jambalaya mix (such as Zatarain's)""}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'diced tomatoes with green chile peppers (such as RO*TEL), drained'}","Heat oil in a large pot over medium-high heat. Add sausage and onion; sauté until sausage is browned and onion is translucent, 7 to 10 minutes.. Pour in water, then add jambalaya mix and diced tomatoes with chile peppers; bring to a boil. Reduce the heat to low, cover, and simmer until water is mostly absorbed and rice is tender, about 25 minutes.","calories: 861, fat: 53g, carbs: 65g, protein: 28g, servings: 6",https://www.allrecipes.com/thmb/MV5PfFybl2FMa9EYhrA9diEX9wE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8812121-spruced-up-zatarains-jambalaya-Heather-n-Jorja-Rollins-4x3-1-e7996e839b554b8f8abe88ddab46252a.jpg
Shrimp and Smoked Sausage Jambalaya,https://www.allrecipes.com/recipe/269944/shrimp-and-smoked-sausage-jambalaya/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'Hillshire Farm® Rope Smoked Sausage, cut in 1/2"" bias-cut slices'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped yellow onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped red bell pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '1', 'unit': '', 'name': 'jalapeno pepper, seeded and minced'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked jasmine rice'}, {'quantity': '3', 'unit': 'cups', 'name': 'unsalted chicken stock'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes, drained'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'large shrimp, peeled and deveined'}, {'quantity': '½', 'unit': 'cup', 'name': 'thinly sliced scallions, plus more for garnish'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}","Heat oil in a large Dutch oven over medium-high. Add sausage; cook about 6 minutes, stirring occasionally, until lightly browned. Add onion, celery, bell pepper, garlic, and jalapeno. Cook 5-6 minutes, stirring frequently, until vegetables are softened. Add rice and cook, stirring constantly, 30 seconds.. Add stock, tomatoes, salt, and cayenne pepper. Bring to a boil; cover, reduce heat to medium-low, and simmer until rice is just tender, 10 minutes. Add shrimp, cover, and cook until shrimp turn pink, about 4 minutes. Remove from heat. Stir in scallions and lemon juice. Garnish with additional scallions.","calories: 414, fat: 15g, carbs: 50g, protein: 20g, servings: 8",https://www.allrecipes.com/thmb/dN_0waxgC9NGm-LfrgUQcKH8Di4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6319133-shrimp-and-smoked-sausage-jambalaya-Hillshire-Farm-4x3-1-d2ab6ecfc50246c4a86d21580fdc8337.jpg
What's the Difference Between Gumbo and Jambalaya?,https://www.allrecipes.com/article/gumbo-vs-jambalaya/,,,,https://cdn.jwplayer.com/v2/media/eKS1Y3jM/poster.jpg?width=720
Bubba's Jambalaya,https://www.allrecipes.com/recipe/77572/bubbas-jambalaya/,"{'quantity': '6', 'unit': 'slices', 'name': 'bacon, cut into 1 inch pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, seeded and chopped'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '½', 'unit': 'pound', 'name': 'cubed cooked ham'}, {'quantity': '½', 'unit': 'pound', 'name': 'cubed cooked chicken'}, {'quantity': '½', 'unit': 'pound', 'name': 'cubed smoked sausage'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'crushed tomatoes, with liquid'}, {'quantity': '2', 'unit': 'cups', 'name': 'beef broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Cajun seasoning'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '½', 'unit': 'pound', 'name': 'salad shrimp'}","Heat a large pot over medium-high heat. Add bacon, and cook until crisp. Remove bacon pieces with a slotted spoon, and set aside. Add celery, bell pepper, and onion to the bacon drippings, and cook until tender.. Add the ham, chicken and sausage to the pot, and pour in the tomatoes, beef broth and chicken broth. Season with thyme and Cajun seasoning. Bring to a boil, and add the rice. Bring to a boil, then turn the heat to low, cover, and simmer for about 20 minutes, until the rice is tender.. Stir in the shrimp and bacon just before serving, and heat through. If you use uncooked shrimp, let it cook for about 5 minutes before serving.","calories: 349, fat: 14g, carbs: 32g, protein: 23g, servings: 12",https://cdn.jwplayer.com/v2/media/OIPtOZ8w/poster.jpg?width=720
Oven Baked Jambalaya,https://www.allrecipes.com/recipe/38060/oven-baked-jambalaya/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'large', 'name': 'green bell pepper, chopped'}, {'quantity': '4', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato paste'}, {'quantity': '3', 'unit': '', 'name': 'bay leaves'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'Creole seasoning blend'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': '(28 ounce) cans', 'name': 'whole peeled tomatoes'}, {'quantity': '7', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '3', 'unit': 'cups', 'name': 'chopped cooked ham'}, {'quantity': '3', 'unit': 'cups', 'name': 'cooked andouille sausage, sliced'}, {'quantity': '3', 'unit': 'cups', 'name': 'cooked chicken, cut into bite-sized pieces'}, {'quantity': '3', 'unit': 'cups', 'name': 'frozen cooked shrimp'}, {'quantity': '4', 'unit': 'cups', 'name': 'uncooked long-grain white rice'}","Preheat oven to 350 degrees F (175 degrees C).. Melt butter in large stock pot. Saute onion, green pepper, celery and garlic until tender, being careful not to burn the garlic. Add tomato paste and cook to brown slightly, stirring constantly. Stir in bay leaves, Creole seasoning blend and Worcestershire sauce. Pour into a large roasting pan. Squeeze tomatoes to break up into pieces, and add to mixture in pan. Stir in juice from tomatoes, chicken stock, ham, sausage, chicken, shrimp and rice. Mix well. Cover tightly with aluminum foil.. Bake in preheated oven for 1 1/2 hours, stirring once halfway through baking time. Remove bay leaves before serving.","calories: 541, fat: 26g, carbs: 48g, protein: 29g, servings: 16",https://cdn.jwplayer.com/v2/media/uAICKxqK/poster.jpg?width=720
