name,link,ingredients,steps,nutrition,image_url
5 Blackberry Jam and Jelly Recipes That Are Full of Fruity Flavor,https://www.allrecipes.com/blackberry-jam-recipes-8609535,,,,https://www.allrecipes.com/thmb/GFsyQUqQ3kmtT4UvZigIr-woNf8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6840793-blackberry-jam-photo-by-donnam-254dfdf3adf84e6e9168b9dd056d226a.jpg
Easy Onion Jam,https://www.allrecipes.com/recipe/237282/easy-onion-jam/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil, or as needed'}, {'quantity': '2', 'unit': '', 'name': 'onions, coarsely chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}","Heat olive oil in a saucepan over medium-high heat. Saute onion in hot oil until soft and caramelized, 10 to 12 minutes. Add water, balsamic vinegar, and brown sugar; stir until sugar is dissolved and mixture is simmering. Reduce heat to low and cook until mixture thickens and reaches desired consistency, about 30 minutes.","calories: 92, fat: 2g, carbs: 18g, protein: 1g, servings: 6",https://www.allrecipes.com/thmb/Z_7Fmy-rHJL_nkjcXJPDHY21uUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1935013-a6fb0b221e754962b9dd6916c97ad17f.jpg
Orange Marmalade,https://www.allrecipes.com/recipe/8530802/orange-marmalade/,"{'quantity': '5', 'unit': 'small', 'name': 'navel oranges (about 2¼ pounds), washed and scrubbed'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, washed and scrubbed'}, {'quantity': '6', 'unit': 'cups', 'name': 'water'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'granulated sugar'}","Slice off and discard tops and bottoms from oranges and lemon. Peel off and discard skin and pith of 3 of the oranges. Quarter all oranges and lemon lengthwise, then thinly slice into 1/8-inch slices, discarding seeds while slicing. Place all citrus slices in a large bowl and cover with water. Cover and refrigerate for at least 8 hours and up to 24 hours.. Pour orange and lemon slices along with water into a large stainless steel saucepan or Dutch oven. Bring to a boil over high heat. Once boiling, reduce heat to medium and simmer, uncovered, stirring occasionally, until orange rinds have softened and can be cut with a spoon with slight resistance, about 45 minutes, skimming any foam that rises to top during process.. Inspect four (½-pint) canning jars for cracks and rings for rust, discarding any defective ones. Immerse in simmering water until orange marmalade is ready. Wash new, unused lids and rings in warm soapy water. Place a small plate in the freezer.. Add sugar to orange mixture and bring to a boil over high heat. Cook, stirring occasionally, until liquid has slightly reduced, bubbles are slightly larger in center, and a thermometer reads 220 degrees F (104 degrees C) about 40 to 45 minutes. Mixture will stay between 212 degrees F (100 degrees C) and 216 degrees F (102 degrees C) for the majority of this time and will rise to 220 degrees F (104 degrees C) when enough liquid has evaporated.. To test if marmalade consistency is correct, remove plate from freezer and spoon a small amount of marmalade onto plate. Return plate to freezer for 1 minute. Remove plate from freezer; pull a finger through marmalade and across plate. It should leave a clean trail. If marmalade is runny and does not leave a clean trail, return mixture in pot to a boil over medium-high, and return plate to freezer. Boil marmalade, stirring often, for 3 minutes. Remove from heat, and retest thickness using plate again; repeat if necessary until it reaches desired thickness.. Carefully pour marmalade evenly into the prepared canning jars. Let cool to room temperature, uncovered, about 3 hours. Seal jars. Chill until marmalade sets, at least 2 hours. Store in refrigerator for up to 2 weeks.","calories: 96, carbs: 25g, protein: 0g, servings: 32",https://www.allrecipes.com/thmb/RIdqY-22ghEelTYFRWjNslwzIUA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/orange-marmalade-mfs-2x3-0471-09-baee3f095114446ba265ccb01df6754e.jpg
Strawberry Jam,https://www.allrecipes.com/recipe/38410/strawberry-jam/,"{'quantity': '2', 'unit': 'pounds', 'name': 'fresh strawberries, hulled'}, {'quantity': '4', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice'}",,"calories: 85, fat: 0g, carbs: 22g, protein: 0g, servings: 40",https://cdn.jwplayer.com/v2/media/mKnBB2Cw/thumbnails/o7rEtgbK.jpg
Hot Pepper Jelly,https://www.allrecipes.com/recipe/17692/hot-pepper-jelly/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'finely chopped red bell peppers'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'finely chopped green bell peppers'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely chopped jalapeño peppers'}, {'quantity': '1', 'unit': 'cup', 'name': 'apple cider vinegar'}, {'quantity': '1', 'unit': '(1.75 ounce) package', 'name': 'powdered pectin'}, {'quantity': '5', 'unit': 'cups', 'name': 'white sugar'}",,"calories: 89, carbs: 23g, protein: 0g, servings: 48",https://cdn.jwplayer.com/v2/media/oZT8aGP5/thumbnails/tBcEqoCt.jpg
Concord Grape Jelly,https://www.allrecipes.com/recipe/35158/concord-grape-jelly/,"{'quantity': '3 ½', 'unit': 'pounds', 'name': 'Concord grapes'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '7', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(3 ounce) pouch', 'name': 'liquid pectin'}","Gather all ingredients.. Sort and wash grapes; discard stems. Place grapes into a large kettle and crush them.. Add water, cover, and bring to a boil over high heat. Reduce heat to low and simmer for 10 minutes.. Remove from heat; pour juice into a strainer over a large bowl to extract juice. Allow juice to stand in a cool place 8 hours to overnight to prevent the formation of crystals in the jelly.. Strain juice through a double layer of damp cheesecloth.. Measure 4 cups juice into a large pot; stir in sugar and bring to a rolling boil.. Stir in pectin and allow to boil for 1 minute. Remove from heat and skim off any foam on the surface.. Pack jelly into hot, sterilized jars, filling to within 1/4 inch of the top. Run a clean knife or thin spatula around the insides of the jars to remove any air bubbles. Wipe rims with a moist paper towel to remove any residue. Top with sterile lids and screw rings on tightly.. Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars 2 inches apart into the boiling water using a holder. Pour in more boiling water to cover jars by at least 1 inch. Bring to a rolling boil, cover, and process for 5 minutes.. Press the center of each lid with a finger to ensure the lid does not move up or down. Remove the rings for storage and store in a cool, dark area.. Serve and enjoy!","calories: 101, fat: 0g, carbs: 26g, protein: 0g, servings: 64",https://cdn.jwplayer.com/v2/media/cuemCzTm/thumbnails/2TIefPhd.jpg
Easy Small-Batch Blueberry Jam,https://www.allrecipes.com/recipe/239514/easy-small-batch-blueberry-jam/,"{'quantity': '4', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lemon juice'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cinnamon (Optional)'}","Gather all ingredients.. Mix blueberries, sugar, lemon juice, and cinnamon in a saucepan.. Cook, stirring constantly, over medium heat until thickened, about 30 minutes.. Serve and enjoy!","calories: 69, fat: 0g, carbs: 18g, protein: 0g, servings: 16",https://cdn.jwplayer.com/v2/media/H9kqd0uQ/poster.jpg?width=720
Strawberry Freezer Jam,https://www.allrecipes.com/recipe/51835/strawberry-freezer-jam/,"{'quantity': '4', 'unit': 'cups', 'name': 'halved fresh strawberries'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': '(1.75 ounce) package', 'name': 'dry pectin'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}",,"calories: 41, carbs: 10g, servings: 32",https://cdn.jwplayer.com/v2/media/fyvol4d8/thumbnails/H57Cveda.jpg
Jalapeño Jelly,https://www.allrecipes.com/recipe/47520/jalapeno-jelly/,"{'quantity': '1', 'unit': 'large', 'name': 'green bell pepper'}, {'quantity': '12', 'unit': None, 'name': 'jalapeño peppers'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'apple cider vinegar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '4 ¼', 'unit': 'cups', 'name': 'granulated sugar'}, {'quantity': '4', 'unit': 'ounces', 'name': 'liquid pectin'}, {'quantity': '4', 'unit': None, 'name': 'jalapeño\xa0peppers, seeded and finely chopped'}","Gather the ingredients.. Combine green bell pepper and 12 whole jalapeño peppers in a food processor or blender, working in batches if necessary; process until finely chopped.. Transfer peppers to a large saucepan. Stir in cider vinegar and bring to a boil. Reduce heat and simmer for 15 to 20 minutes.. Strain mixture through at least 2 layers of cheesecloth, and discard pulp. You should have about 1 cup of liquid.. Return liquid to the saucepan; stir in salt and sugar until dissolved. Bring to a boil over medium-high heat. When the mixture comes to a rolling boil (one that cannot be stirred down), boil for one minute, then stir in liquid pectin.. Stir in remaining finely chopped jalapeño peppers.. Ladle into sterile jars leaving 1/4-inch headspace.. Seal jars in a hot water bath. Refrigerate jelly after the seal is broken.","calories: 109, fat: 0g, carbs: 28g, protein: 0g, servings: 32",https://www.allrecipes.com/thmb/7bF4EpZXTmA5r0goZd1f4bXlUW8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8420756-5af3a21a486e4cf28ba60be95d0c3ecb.jpg
Rhubarb Jam,https://www.allrecipes.com/recipe/86346/rhubarb-jam/,"{'quantity': '2 ½', 'unit': 'pounds', 'name': 'fresh rhubarb, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grated orange zest'}","Gather the ingredients.. Combine rhubarb, sugar, water, orange juice, and orange zest in a saucepan over high heat; bring to a boil. Reduce heat to medium-low; cook, stirring occasionally, until thick, about 45 minutes. Jam will continue to thicken as it cools.. Ladle into hot sterile jars; seal with the lids and rings. Store opened jars in the refrigerator.","calories: 57, fat: 0g, carbs: 14g, protein: 0g, servings: 32",https://www.allrecipes.com/thmb/QvCJCdVxwNQYZf-pQpMMt5wLAyo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1025682-1333ee0217af4fcbac17a46b5e0fcca8.jpg
