name,link,ingredients,steps,nutrition,image_url
Grandma's Cranberry-Orange Gelatin Salad,https://www.allrecipes.com/recipe/152405/grandmas-cranberry-orange-gelatin-salad/,"{'quantity': '1', 'unit': '(6 ounce) package', 'name': 'raspberry flavored Jell-O® mix'}, {'quantity': '2', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'whole berry cranberry sauce'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'crushed pineapple, undrained'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange zest'}, {'quantity': '1', 'unit': '(4 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'whipped topping'}","Place gelatin into a bowl, pour in boiling water, and stir until gelatin dissolves. Mix in cranberry sauce, pineapple, celery, pecans, and orange zest until evenly blended. Pour gelatin mixture into a mold or serving dish.. Chill in the refrigerator for 8 hours to overnight.. To make topping, beat cream cheese with 1/2 of the whipped topping. Fold in remaining whipped topping until well blended.. Unmold gelatin, then spread with topping mixture.","calories: 231, fat: 11g, carbs: 32g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/aet_XDdJOtGa3rfcp4JALhoFST8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/152405grandmas-cranberry-orange-gelatin-saladfabeveryday4x3-19a9677ae14d4888bc843279d1fccb85.jpg
Strawberry Pretzel Salad,https://www.allrecipes.com/recipe/20338/strawberry-pretzel-salad/,"{'quantity': '2', 'unit': 'cups', 'name': 'crushed pretzels'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'frozen whipped topping, thawed'}, {'quantity': '2', 'unit': '(3 ounce) packages', 'name': 'strawberry flavored Jell-O'}, {'quantity': '2', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '2', 'unit': '(10 ounce) packages', 'name': 'frozen strawberries'}",,"calories: 424, fat: 23g, carbs: 52g, protein: 5g, servings: 12",https://cdn.jwplayer.com/v2/media/UDgG5HvN/poster.jpg?width=720
Orange Gelatin Salad,https://www.allrecipes.com/recipe/14465/orange-gelatin-salad/,"{'quantity': '1', 'unit': '(11 ounce) can', 'name': 'mandarin oranges, drained'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': '(6 ounce) package', 'name': 'orange flavored Jell-O® mix'}, {'quantity': '16', 'unit': 'ounces', 'name': 'cottage cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'frozen whipped topping, thawed'}","Gather all ingredients.. Combine oranges, pineapple, and gelatin mix in a mixing bowl. Mix well and chill for 30 minutes.. Add cottage cheese to the fruit mixture; stir to combine.. Gently fold in whipped topping; chill and serve.","calories: 289, fat: 8g, carbs: 41g, protein: 10g, servings: 7",https://www.allrecipes.com/thmb/0g1eO5r8ZO9h7vMSAhiEeETmlyM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2314465-orange-gelatin-salad-ddmfs-4x3-0105-6130c98bbb4e4cf3a8fa91ed1ff38f99.jpg
Cranberry Salad,https://www.allrecipes.com/recipe/13466/cranberry-salad-ii/,"{'quantity': '2', 'unit': 'cups', 'name': 'cranberries'}, {'quantity': '1', 'unit': 'large', 'name': 'orange, cut into small pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped walnuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'cranberry (or raspberry) flavored Jell-O mix'}, {'quantity': '2', 'unit': 'cups', 'name': 'hot water'}",,"calories: 315, fat: 11g, carbs: 55g, protein: 4g, servings: 7",https://cdn.jwplayer.com/v2/media/W5h70jGp/poster.jpg?width=720
Lime Gelatin Salad,https://www.allrecipes.com/recipe/13595/lime-gelatin-salad-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '1', 'unit': '(6 ounce) package', 'name': 'lime flavored Jell-O® mix'}, {'quantity': '1', 'unit': '(20 ounce) can', 'name': 'crushed pineapple, drained with juice reserved'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}","Gather the ingredients.. Combine boiling water and gelatin mix in a large bowl; stir until dissolved. Stir in 1/2 cup pineapple juice. Refrigerate until thickened but not set, about 1 hour.. Meanwhile, place crushed pineapple and remaining juice in a small saucepan. Bring to a boil, reduce heat, and simmer for about 5 minutes. Remove from heat, and cool to room temperature. Blend softened cream cheese and prepared gelatin until smooth. Mix in cooled pineapple.. Beat cream in a chilled glass or metal bowl with an electric mixer until soft peaks form.. Fold cream into gelatin mixture. Fold in chopped nuts. Pour into a pretty glass bowl, and refrigerate for at least 4 hours or until set.","calories: 412, fat: 33g, carbs: 27g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/ecJcjNeB5xLFcLf0dwM_oCUxstQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/13595-lime-gelatin-salad-64-4x3-dd42215ab9b4497a94dd5f9c1e832631.jpg
Judy's Strawberry Pretzel Salad,https://www.allrecipes.com/recipe/16080/judys-strawberry-pretzel-salad/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'crushed pretzels'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '4 ½', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'frozen whipped topping, thawed'}, {'quantity': '2', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '1', 'unit': '(6 ounce) package', 'name': 'strawberry flavored Jell-O'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen strawberries'}","Gather ingredients, and preheat the oven to 350 degrees F (175 degrees C).. Mix together pretzels, melted butter, and 4 1/2 tablespoons sugar in a medium bowl until well combined. Press into the bottom of a 9x13-inch dish.. Press into the bottom of a 9x13 inch pan. Bake for 10 minutes, or until lightly toasted. Set aside to cool completely.. In a medium bowl, beat the sugar and cream cheese until smooth.. Fold in whipped topping and spread evenly over the cooled crust. Refrigerate until set, about 30 minutes.. Stir together boiling water and gelatin mix in a second large bowl. Mix in frozen strawberries; stir until thawed.. Pour over cream cheese mixture in the dish. Refrigerate until completely chilled, at least 1 hour.. Refrigerate until completely chilled, at least 1 hour. Slice and enjoy!","calories: 371, fat: 22g, carbs: 41g, protein: 4g, servings: 16",https://cdn.jwplayer.com/v2/media/Halh4zcb/poster.jpg?width=720
Pink Fluff,https://www.allrecipes.com/recipe/24613/pink-fluff/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'cottage cheese'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'frozen whipped topping, thawed'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': '(12 ounce) can', 'name': 'cherry pie filling'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'raspberry flavored Jell-O® mix'}","In a large bowl, stir together the cottage cheese, whipped topping, pineapple and cherry pie filling. Pour gelatin over the mixture and blend well. Divide into serving bowls and chill several hours, or overnight.","calories: 338, fat: 10g, carbs: 49g, protein: 11g, servings: 6",https://www.allrecipes.com/thmb/9VuZIvbb1r5CbeJaILqZYBDKKpM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5555830-7c0cff7b45d0433ab0e8d8aa25390b8b.jpg
Blueberry Salad,https://www.allrecipes.com/recipe/20260/blueberry-salad/,"{'quantity': '2', 'unit': '(3 ounce) packages', 'name': 'raspberry flavored Jell-O® mix'}, {'quantity': '2', 'unit': 'cups', 'name': 'hot water'}, {'quantity': '1', 'unit': '(20 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': '(21 ounce) can', 'name': 'blueberry pie filling'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}",Combine hot water and gelatin; stir until dissolved. Stir in pineapple and blueberry pie filling. Pour into a 9x13 inch dish and chill in refrigerator until firm.. Cream together cream cheese and sugar. Beat in sour cream and vanilla. Spread over firm gelatin. Chill until serving.,"calories: 248, fat: 9g, carbs: 41g, protein: 3g, servings: 15",https://www.allrecipes.com/thmb/3b-c9RDTMSY0RdeDgT9mqF4yNWI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/303657-3864404f45584c5ebcd195c3818438e3.jpg
Cranberry Jell-O Salad,https://www.allrecipes.com/recipe/17265/cranberry-gelatin-salad-i/,"{'quantity': '2', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '2', 'unit': '(0.3 ounce) packages', 'name': 'sugar-free cherry-flavored gelatin mix (such as Jell-O)'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'jellied cranberry sauce'}, {'quantity': '1', 'unit': '(20 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped pecans'}",,"calories: 123, fat: 3g, carbs: 23g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/CpIrDLT9iOnxy-V_XvuKID78KkY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-recipe-17265-cranberry-gelatin-salad-hero-04-VAT-4x3-6887a696cd6e49d3be52e625d80b51b7.jpg
Orange Fluff I,https://www.allrecipes.com/recipe/14251/orange-fluff-i/,"{'quantity': '2', 'unit': '(11 ounce) cans', 'name': 'mandarin oranges, drained'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'crushed pineapple'}, {'quantity': '1', 'unit': 'pound', 'name': 'cottage cheese'}, {'quantity': '2', 'unit': '(3 ounce) packages', 'name': 'orange flavored Jell-O® mix'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen whipped topping, thawed'}",Combine the well drained oranges and pineapple in a large bowl and mix together with the cottage cheese. Add the dry orange flavored gelatin powder and stir until well blended. Fold in the thawed frozen whipped topping and refrigerate for at least one hour.,"calories: 393, fat: 17g, carbs: 52g, protein: 10g, servings: 8",https://www.allrecipes.com/thmb/NtaVhUXSPAJB8bcO6bhP3GH2_IY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3613172-9ac36aa029bc4469b9cc6511e71e85a0.jpg
