name,link,ingredients,steps,nutrition
Pudding Shots,https://www.allrecipes.com/recipe/176054/pudding-shots/,"{'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': ""Irish cream liqueur (eg. Bailey's®)""}, {'quantity': '½', 'unit': 'cup', 'name': 'vodka (eg. Smirnoff®)'}, {'quantity': '1', 'unit': '(3.9 ounce) package', 'name': 'instant chocolate pudding mix'}","Whisk milk, Irish cream liqueur, vodka, and instant pudding mix together in a bowl until thoroughly combined, about 2 minutes.. Spoon the pudding mixture into shot glasses or disposable party shot cups. Chill until set, about 30 minutes. The shots will have the consistency of mousse.",
RumChata Pudding Shots,https://www.allrecipes.com/recipe/242116/rumchata-pudding-shots/,"{'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'rum cream liqueur (such as RumChata®)'}, {'quantity': '1', 'unit': '(4 ounce) package', 'name': 'instant chocolate pudding mix'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'frozen whipped topping (such as Cool Whip®), thawed'}","Gather all ingredients.. Mix milk, rum cream liqueur, and pudding mix together in a bowl until thickened.. Gently stir whipped topping into the pudding mixture.. Spoon into disposable shot cups and place on a plate.. Freeze until chilled and set, at least 3 hours.","calories: 138, fat: 6g, carbs: 17g, protein: 1g, servings: 15"
Halloween Jell-O Shots,https://www.allrecipes.com/recipe/254844/halloween-candy-corn-jell-o-shots/,"{'quantity': '¾', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'lemon-flavored gelatin mix (such as Jell-O)'}, {'quantity': '1', 'unit': 'cup', 'name': 'vodka'}, {'quantity': '3', 'unit': '', 'name': 'ice cubes, or as needed'}, {'quantity': '¾', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'orange-flavored gelatin mix (such as Jell-O)'}, {'quantity': '3', 'unit': '', 'name': 'ice cubes, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'vodka'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'hot water'}, {'quantity': '1', 'unit': '(.25 ounce) envelope', 'name': 'unflavored gelatin'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'light rum'}","To make the yellow layer: Pour boiling water into a small bowl. Add lemon gelatin mix and stir until dissolved.. Pour vodka into a 2-cup liquid measure; add enough ice to make 1 1/4 cups. Pour into lemon gelatin mixture and stir until slightly thickened; remove any unmelted ice. Pour mixture into 16 tall shot glasses, filling each 1/3 full. Refrigerate until lemon gelatin is set, at least 1 1/2 hours.. When lemon gelatin is set, make the orange layer: Pour boiling water into a small bowl. Add orange gelatin mix and stir until dissolved.. Pour vodka into a 2-cup liquid measure; add enough ice to make 1 1/4 cups. Pour into orange gelatin mixture and stir until slightly thickened; remove any unmelted ice. Pour into shot glasses over lemon gelatin. Refrigerate until orange gelatin is set, at least 1 1/2 hours.. When orange gelatin is set, make the white layer: Stir hot water and unflavored gelatin together in a bowl until gelatin is dissolved. Stir in condensed milk and rum. Pour into shot glasses over orange gelatin. Refrigerate until set, at least 30 minutes.","calories: 202, fat: 2g, carbs: 22g, protein: 3g, servings: 16"
Chocolate Pudding Shots,https://www.allrecipes.com/recipe/233741/chocolate-pudding-shots/,"{'quantity': '¾', 'unit': 'cup', 'name': 'cold milk'}, {'quantity': '1', 'unit': '(3.9 ounce) package', 'name': 'instant chocolate pudding mix'}, {'quantity': '½', 'unit': 'cup', 'name': 'Irish cream liqueur'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vodka'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'frozen whipped topping, thawed'}","Beat cold milk and pudding mix in a bowl with an electric mixer until smooth and beginning to thicken, 1 to 2 minutes. Stir in Irish cream liqueur and vodka, then fold in whipped topping until smooth.. Spoon into 16 small cups. Serve immediately, or refrigerate or freeze until ready to serve.","calories: 113, fat: 4g, carbs: 13g, protein: 1g, servings: 16"
Tainted Fruit Shots,https://www.allrecipes.com/recipe/23542/tainted-fruit-shots/,"{'quantity': '2', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '1', 'unit': '(6 ounce) package', 'name': 'fruit-flavored gelatin (such asJell-O)'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'vodka, chilled'}, {'quantity': '¾', 'unit': 'cup', 'name': 'cold water'}","Stir together boiling water and gelatin in a large bowl until gelatin dissolves. Stir in chilled vodka and cold water. Pour into plastic shot glasses and chill in the refrigerator until set, about 1 hour.",
White Russian Pudding Shot,https://www.allrecipes.com/recipe/242065/white-russian-pudding-shot/,"{'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': '(3.4 ounce) package', 'name': 'instant vanilla pudding mix'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vodka'}, {'quantity': '½', 'unit': 'cup', 'name': 'coffee-flavored liqueur (such as Kahlua)'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'frozen whipped topping (such as Cool Whip), thawed'}",Beat milk and pudding mix together in a bowl using an electric mixer until pudding is thickened. Stir vodka and coffee-flavored liqueur into pudding; fold in whipped topping. Pipe or spoon pudding mixture into shot glasses. Freeze until ready to serve.,"calories: 145, fat: 5g, carbs: 16g, protein: 1g, servings: 12"
Margarita Jell-O® Shots,https://www.allrecipes.com/recipe/264533/margarita-jell-o-shots/,"{'quantity': '1', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'lime-flavored gelatin mix (such as Jell-O®)'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'tequila'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'triple sec'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'water'}, {'quantity': '', 'unit': '', 'name': '15 plastic shot glasses, or as needed'}","Combine boiling water and gelatin mix in a bowl. Stir to dissolve. Add tequila, triple sec, and water. Stir again.. Pour mixture into shot glasses. Refrigerate until set, about 5 hours.","calories: 52, carbs: 7g, protein: 1g, servings: 15"
Raspberry Party Shots,https://www.allrecipes.com/recipe/104416/raspberry-party-shots/,"{'quantity': '1', 'unit': '(6 ounce) package', 'name': 'raspberry flavored Jell-O mix'}, {'quantity': '2', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'ice water'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'raspberry vodka'}","Stir gelatin into boiling water until dissolved. Pour in ice water and vodka; mix well. Pour into party shot glasses. Chill in the refrigerator for 1 to 2 hours, until set.",
Buttery Nipple Gourmet Pudding Shots,https://www.allrecipes.com/recipe/242118/buttery-nipple-gourmet-pudding-shots/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'cold milk'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'butterscotch schnapps'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': ""Irish cream liqueur (such as Bailey's®)""}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'vodka'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'coffee-flavored liqueur (such as Kahlua®)'}, {'quantity': '1', 'unit': '(3.4 ounce) package', 'name': 'instant butterscotch pudding mix'}","Stir milk, schnapps, Irish cream liqueur, vodka, and coffee-flavored liqueur together in a pitcher. Add pudding mix and blend thoroughly.. Pour mixture into disposable shot cups and refrigerate until chilled, at least 30 minutes.","calories: 97, fat: 1g, carbs: 14g, protein: 1g, servings: 12"
Mangonada Jell-O Shots,https://www.allrecipes.com/recipe/277691/mangonada-jell-o-shots/,"{'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': '(.25 ounce) packages', 'name': 'unflavored gelatin'}, {'quantity': '2', 'unit': 'cups', 'name': 'mango puree'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'vodka'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chamoy sauce, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chile-lime seasoning (such as Tajin®), or as needed'}","Heat water and gelatin in a small saucepan over medium-high heat; whisk until dissolved, about 5 minutes. Add mango purée, sugar, and lemon juice; whisk until dissolved, about 5 minutes. Remove from heat to cool slightly, about 5 minutes.. Whisk vodka into cooled mango gelatin until combined.. Add a few drops chamoy and a sprinkle Tajin to twenty (2-ounce) cups. Fill each cup evenly with mango gelatin and sprinkle with more Tajin. Let set in the refrigerator for 4 hours.","calories: 49, carbs: 5g, protein: 1g, servings: 20"
