name,link,ingredients,steps,nutrition,image_url
Doc's Best Beef Jerky,https://www.allrecipes.com/recipe/142948/docs-best-beef-jerky/,"{'quantity': '¼', 'unit': 'cup', 'name': 'low-sodium soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'liquid smoke'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'meat tenderizer'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '2', 'unit': 'pounds', 'name': 'beef round steak, cut into thin strips'}",,"calories: 228, fat: 14g, carbs: 5g, protein: 19g, servings: 10",https://cdn.jwplayer.com/v2/media/lcXdjZ2W/poster.jpg?width=720
Homemade Beef Jerky,https://www.allrecipes.com/recipe/241555/homemade-beef-jerky/,"{'quantity': '¾', 'unit': 'cup', 'name': 'Worcestershire sauce'}, {'quantity': '¾', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'smoked paprika, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey, or more to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '2', 'unit': 'pounds', 'name': 'beef top round, thinly sliced'}","Whisk together Worcestershire sauce, soy sauce, smoked paprika, honey, black pepper, red pepper flakes, garlic powder, and onion powder in a large bowl. Add beef; mix until completely coated with marinade. Cover the bowl with plastic wrap and marinate in the refrigerator, 3 hours to overnight.. Preheat the oven to 175 degrees F (80 degrees C). Line a baking sheet with aluminum foil and place a wire rack on top.. Transfer beef to paper towels to dry. Discard marinade.. Arrange beef slices in a single layer on the prepared wire rack on the baking sheet.. Bake in the preheated oven until dry and leathery, 3 to 4 hours.. Cut jerky with scissors into bite-sized pieces.. Enjoy!","calories: 286, fat: 11g, carbs: 14g, protein: 33g, servings: 6",https://cdn.jwplayer.com/v2/media/An6retTc/poster.jpg?width=720
Deer Jerky,https://www.allrecipes.com/recipe/46324/deer-jerky/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'liquid smoke flavoring'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ketchup'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'onion salt'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless venison roast'}","Gather all ingredients.. Combine soy sauce, Worcestershire sauce, liquid smoke, ketchup, salt, pepper, garlic powder, and onion salt in a large releasable plastic bag; set aside.. Slice venison into long strips, 1-inch wide and 1/8-inch thick. Add strips to marinade and seal the bag. Refrigerate 8 hours to overnight, kneading occasionally to evenly distribute marinade.. Preheat the oven to 160 degrees F (70 degrees C). Place a pan or aluminum foil on the oven floor to catch drippings. Remove venison from the marinade and shake off excess.. Arrange venison on a wire rack in a single layer and dehydrate in the preheated oven until desired texture is achieved, 6 to 8 hours.","calories: 111, fat: 5g, carbs: 3g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/q2_QSE-ZYROmoZCC48hni0N4SzY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-46324-deer-jerkey-DDMFS-4x3-d86da72c1bab4a9b996d932fac0c45cc.jpg
"Jerky Lover's Jerky - Sweet, Hot and Spicy!",https://www.allrecipes.com/recipe/86194/jerky-lovers-jerky-sweet-hot-and-spicy/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cracked black pepper, or to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean beef sirloin tip, sliced into 1/8 inch strips'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'pineapple juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'teriyaki sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Worcestershire sauce'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'liquid smoke flavoring'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper flakes, or to taste (Optional)'}","Gather the ingredients.. Mix together onion powder, garlic powder, and black pepper in a small bowl or cup. Season beef lightly, using only part of the spice blend and reserving the rest. Place beef into an airtight plastic container or bowl, and refrigerate.. Stir together brown sugar, soy sauce, pineapple juice, balsamic vinegar, teriyaki sauce, Worcestershire sauce, and liquid smoke flavoring. Heat until brown sugar has completely dissolved. Refrigerate marinade until cool.. Pour cooled marinade over the seasoned meat, and mix by hand to coat. Seal the bowl, and refrigerate for at least 3 hours.. Arrange beef strips on the rack of a dehydrator, and sprinkle with a little bit more of the spice mixture and red pepper flakes. Dry for 5 hours, or to your desired dryness.","calories: 527, fat: 28g, carbs: 47g, protein: 23g, servings: 4",https://www.allrecipes.com/thmb/BeV546GEY83J5gd8rhepi9DEqTg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/454384-jerky-lovers-jerky-sweet-hot-and-spicy-Alberta-Rose-4x3-1-15dae42b64024ac2a7fdf24f54950ebf.jpg
Sweet and Spicy Venison Jerky,https://www.allrecipes.com/recipe/212396/sweet-and-spicy-venison-jerky/,"{'quantity': '½', 'unit': 'cup', 'name': 'teriyaki sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'liquid smoke flavoring'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'hot pepper sauce'}, {'quantity': '1', 'unit': 'pound', 'name': 'venison, cut into 1/4 thick strips'}","Whisk teriyaki sauce, Worcestershire sauce, sugar, soy sauce, liquid smoke, pepper, onion powder, garlic salt, lemon juice, paprika, and hot pepper sauce together in a large glass or ceramic bowl. Add venison strips and toss to evenly coat. Cover the bowl with plastic wrap and marinate in the refrigerator for 24 hours, stirring it a few times as it marinates to ensure even absorption of marinade.. Remove venison strips from marinade and squeeze off excess. Discard remaining marinade. Arrange venison on the racks of a food dehydrator in a single layer.. Dry venison on High until dry but still pliable, about 4 hours. Jerky should bend without breaking. Store jerky in an airtight container or in a resealable plastic bag.","calories: 208, fat: 7g, carbs: 22g, protein: 15g, servings: 8",https://www.allrecipes.com/thmb/P_uNSPeNaN-ejFAVd1K1Xpq_gDY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8837208-c17dab3db438409693e7df3aaa98c4ca.jpg
Dad's Jerky Marinade,https://www.allrecipes.com/recipe/58946/dads-jerky-marinade/,"{'quantity': '½', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'hot pepper sauce (e.g. Tabasco™), or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'liquid smoke flavoring'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}","Stir together soy sauce, Worcestershire sauce, hot pepper sauce, and liquid smoke in a bowl. Mix in sugar, garlic powder, onion powder, and pepper until combined.","calories: 72, fat: 0g, carbs: 17g, protein: 1g, servings: 8",https://www.allrecipes.com/thmb/u7MozPEFhKZUBeBcvxw8V3POQsw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4416373-86f972b1b9fc4a0ab00900e9b5b8b6af.jpg
Smoked Beef Jerky,https://www.allrecipes.com/recipe/16242/beef-jerky-in-a-smoker/,"{'quantity': '1', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'ground black pepper, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cider vinegar'}, {'quantity': '1', 'unit': 'dash', 'name': 'hot pepper sauce'}, {'quantity': '1', 'unit': 'dash', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'pounds', 'name': 'sirloin, cut into 1/2 inch thick slices'}","Combine soy sauce, black pepper, vinegar, hot pepper sauce, and Worcestershire sauce in a large, nonporous bowl; add sirloin slices and mix well to coat. Cover the bowl with plastic wrap and marinate in the refrigerator for 8 hours to overnight.. Arrange sirloin slices, unstacked, onto wire racks; discard marinade. Place the racks into an outdoor smoker. Add wood chips according to manufacturer's directions.. Smoke over low heat until edges of sirloin slices appear dry with just a slight hint of moisture in the center, 6 to 8 hours.","calories: 362, fat: 23g, carbs: 6g, protein: 32g, servings: 6",https://www.allrecipes.com/thmb/B7mebzHfkiwaTrnFGlMAzUfK5fE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/348937-b45a2e18fd6f4037996ba84e1773738c.jpg
Ground Beef Jerky,https://www.allrecipes.com/recipe/234518/ground-beef-jerky/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'canning salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste (Optional)'}, {'quantity': '1', 'unit': 'pound', 'name': 'extra lean ground beef'}","Stir salt, chili powder, garlic powder, onion powder, ginger, black pepper, and cayenne pepper together in a large bowl; add ground beef and mix well.. Pass beef mixture through a meat grinder set with the finest blade.. Preheat oven to 250 degrees F (120 degrees C). Place wire-racks onto baking sheets.. Place 1/2 ground beef mixture between two sheets of heavy plastic on a solid, level surface. Firmly roll beef mixture to a thickness of 1/8 inch. Remove the top layer of plastic wrap, invert beef mixture onto prepared baking sheet, and remove the bottom layer of plastic wrap. Repeat for remaining beef mixture.. Bake beef mixture in the preheated oven with the oven door slightly ajar for 2 1/2 hours. Rotate the baking sheet. Bake until jerky is cooked through, another 3 hours. Remove jerky from oven and cut into strips while warm.","calories: 126, fat: 8g, carbs: 1g, protein: 12g, servings: 8",https://www.allrecipes.com/thmb/fg3Cr_p8Kp_SLXbXBTdGMWXhLfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2394978-03176549951d4a5ebf31de056ee7e615.jpg
Venison Jerky,https://www.allrecipes.com/recipe/57829/venison-jerky/,"{'quantity': '2', 'unit': 'pounds', 'name': 'lean ground venison or beef'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'monosodium glutamate (MSG)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sugar-based curing mixture (such as Morton Tender Quick)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'water'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hickory-flavored liquid smoke'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'barbecue seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'hot pepper sauce'}, {'quantity': '½', 'unit': 'teaspoon ground black', 'name': 'pepper'}","Combine ground venison, salt, MSG, curing mixture, water, liquid smoke, garlic powder, barbecue seasoning, hot pepper sauce, and black pepper in a large bowl; mix thoroughly. Cover bowl with plastic wrap and refrigerate for 2 hours.. Line food dehydrator trays with plastic wrap. Pat venison mixture into a very thin layer on the trays. Place in dehydrator; set according to manufacturers directions. Once venison firmed, after about 2 hours, remove from the plastic, cut into strips, and replace onto the racks. Continue dehydrating until venison dried, 5 to 10 hours total depending on machine.. Blot any grease from jerky with a paper towel. Store in the refrigerator in a jar with a tight-fitting lid.","calories: 81, fat: 2g, carbs: 0g, protein: 14g, servings: 15",https://www.allrecipes.com/thmb/XodWdalho2rg2ckwnUqxHgukw8o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4877587-15cf531ad4dc4ee4a5e26b84f6067b0a.jpg
Air Fryer Oven Beef Jerky,https://www.allrecipes.com/recipe/279345/air-fryer-oven-beef-jerky/,"{'quantity': '4', 'unit': 'pounds', 'name': 'London broil, thinly sliced and fat removed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'jerky seasoning'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cure'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cure'}","Place beef, jerky seasoning, and 2 tablespoons plus 2 teaspoons cure in a large bowl. Massage beef with your hands until evenly combined. Cover and refrigerate, 8 hours to overnight.. Preheat the air fryer to 160 degrees F (70 degrees C). Place beef slices on the rack, making sure none are overlapping.. Air fry for 3 hours. Open the air fryer and let beef sit for 1 hour for final drying and cooling. Store in an airtight container.","calories: 133, fat: 8g, carbs: 1g, protein: 13g, servings: 16",https://www.allrecipes.com/thmb/934A6X3jcOID1mI-EeDw5pzXfac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7827111-fa019a8d82ce4ac9a0a292e8657c2e93.jpg
