name,link,ingredients,steps,nutrition,image_url
Korean BBQ Short Ribs (Galbi),https://www.allrecipes.com/recipe/141716/korean-bbq-short-ribs-gal-bi/,"{'quantity': '¾', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame oil'}, {'quantity': '½', 'unit': 'large', 'name': 'onion, minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced garlic'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'black pepper'}, {'quantity': '3', 'unit': 'pounds', 'name': 'Korean-style short ribs (beef chuck flanken, cut 1/3- to 1/2-inch-thick across bones)'}",,"calories: 710, fat: 56g, carbs: 23g, protein: 29g, servings: 5",https://cdn.jwplayer.com/v2/media/0vTEGINi/thumbnails/bqxedDUF.jpg
Kalbi (Korean BBQ Short Ribs),https://www.allrecipes.com/recipe/96698/kalbi-korean-bbq-short-ribs/,"{'quantity': '¾', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '¾', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '1', 'unit': '', 'name': 'garlic clove, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Asian (toasted) sesame oil'}, {'quantity': '2', 'unit': 'pounds', 'name': 'Korean-style short ribs (beef chuck flanken, cut ⅓\xa0 to ½ inch thick across bones)'}","Gather the ingredients.. Stir soy sauce, brown sugar, water, green onions, garlic, and sesame oil together in a bowl until sugar has dissolved.. Place ribs in a large resealable plastic bag; pour in marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for 3 hours.. Preheat an outdoor grill for medium-high heat; lightly oil the grate. Remove ribs from the bag; shake off excess marinade and discard marinade. Grill ribs on the preheated grill until meat is still pink but not bloody nearest the bone, 5 to 7 minutes per side.","calories: 1096, fat: 86g, carbs: 45g, protein: 36g, servings: 4",https://cdn.jwplayer.com/v2/media/kRA7zWwP/poster.jpg?width=720
Korean BBQ Galbi,https://www.allrecipes.com/recipe/141268/korean-bbq-galbi/,"{'quantity': '5', 'unit': 'pounds', 'name': 'beef short ribs, cut flanken style'}, {'quantity': '1', 'unit': '', 'name': 'Asian pear, cored and cubed'}, {'quantity': '1', 'unit': '', 'name': 'onion, coarsely chopped'}, {'quantity': '5', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'cup', 'name': 'soy sauce (such as Kikkoman®)'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sesame oil'}, {'quantity': '', 'unit': '', 'name': 'black pepper to taste'}","Place ribs in a large pot and cover with cold water. Soak ribs in the refrigerator for 1 hour to pull out any blood. Drain.. Combine Asian pear, onion, and garlic in a blender; blend until smooth. Pour into a large bowl and stir in soy sauce, brown sugar, honey, sesame oil, and black pepper. Add ribs to soy mixture; turn to coat evenly. Cover the bowl and marinate in the refrigerator, 8 hours to overnight.. Preheat an outdoor grill for high heat and lightly oil the grate.. Remove ribs from marinade and cook on the preheated grill until meat is tender and the outside is crusty, 5 to 10 minutes per side. Discard marinade.","calories: 1092, fat: 79g, carbs: 58g, protein: 39g, servings: 6",https://www.allrecipes.com/thmb/z_eZq4UxcfrRjn0M1vZj-8pS4CI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/141268-KoreanBBQGalbi-ddmfs-4X3-0566-95426db597ae4191b9f9e527c743cf53.jpg
Kalbi (Marinated Beef Short Ribs),https://www.allrecipes.com/recipe/67001/kalbi-marinated-beef-short-ribs/,"{'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sesame oil'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '3', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame seeds'}, {'quantity': '5', 'unit': 'pounds', 'name': 'beef short ribs'}","Stir the sugar into the soy sauce in a bowl until the sugar dissolves completely. Whisk the sesame oil, garlic, green onions, and sesame seeds into the soy sauce. Place the short ribs in a large, sealable bag and pour the marinade over the meat. Marinate in refrigerator for 8 hours or overnight.. Preheat an outdoor grill for medium heat, and lightly oil the grate. Remove the ribs from the bag; discard the marinade.. Cook the short ribs on the preheated grill until they are very firm, hot, and grey in the center, about 15 minutes per side. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C).","calories: 995, fat: 80g, carbs: 29g, protein: 39g, servings: 6",https://www.allrecipes.com/thmb/vEOpsiBKFrZCH-jIlfMKN_kuSTI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3321797-e7d28ae17026498cb43626e502ad6122.jpg
Instant Pot Galbi (Korean-Style Short Ribs),https://www.allrecipes.com/recipe/270527/instant-pot-galbi-korean-style-short-ribs/,"{'quantity': '3', 'unit': 'pounds', 'name': 'beef short ribs'}, {'quantity': '1', 'unit': '', 'name': 'Asian pear - peeled, cored, and coarsely chopped'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'peeled and coarsely chopped fresh ginger'}, {'quantity': '1', 'unit': 'cup', 'name': 'low-sodium soy sauce, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'rice wine'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame oil, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': '', 'name': 'carrots, peeled and cut in chunks'}, {'quantity': '5', 'unit': '', 'name': 'radishes, peeled and cut into chunks'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'bunch', 'name': 'green onions, chopped, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sesame seeds, or to taste'}","Soak ribs in a large bowl of water for 1 hour.. Meanwhile, combine Asian pear, onion, garlic, and ginger in a blender or food processor; purée until smooth. Transfer mixture to a mixing bowl. Mix in 3/4 cup soy sauce, rice wine, water, brown sugar, 1 tablespoon sesame oil, and pepper to create a sauce. Set aside.. Drain ribs and dry them well. Trim off excess fat. Place ribs in a multi-functional pressure cooker (such as Instant Pot), then add carrots and radishes. Pour Asian pear sauce on top. Close and lock the lid. Select Meat function according to manufacturer's instructions; set the timer for 35 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid. Transfer meat and vegetables to a plate and set aside.. Select the Sauté function on your Instant Pot. Stir in white sugar, remaining 1/4 cup soy sauce, and remaining 1 tablespoon sesame oil. Cook, stirring occasionally, until sugar has melted and sauce has thickened, about 10 minutes. Return ribs and vegetables to the pot; stir to coat with sauce.. Garnish ribs and vegetables with green onions and sesame seeds.","calories: 657, fat: 47g, carbs: 31g, protein: 25g, servings: 6",https://www.allrecipes.com/thmb/AvNsPD1fVpeq4TVcS6TjdH1wMT8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6331634-instant-pot-galbi-korean-style-short-ribs-fabeveryday-4x3-1-b72f271cbc2e4dfc83f265a2e16119f8.jpg
Easy and Simple Korean BBQ Ribs,https://www.allrecipes.com/recipe/172476/easy-and-simple-korean-bbq-ribs/,"{'quantity': '1', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '5', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '3', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Asian (toasted) sesame oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame seeds'}, {'quantity': '2', 'unit': 'pounds', 'name': 'Korean-style short ribs (beef chuck flanken, cut 1/3 to 1/2 inch thick across bones)'}","Whisk together the soy sauce and sugar in a bowl until the sugar has dissolved, and stir in the black pepper, garlic, green onions, sesame oil, and sesame seeds.. Place the ribs in a large bowl, and pour the marinade over the ribs. Stir to coat the ribs with the marinade, and refrigerate for 1 hour. Stir the ribs and marinade again, and refrigerate for 1 more hour.. Preheat an outdoor grill for medium-high heat, and lightly oil the grate.. Remove the ribs from the marinade, discard the marinade, and grill the ribs until brown and no longer pink in the center, about 5 minutes per side. Have a spray bottle of water handy in case the ribs flare up.","calories: 771, fat: 49g, carbs: 57g, protein: 26g, servings: 4",https://www.allrecipes.com/thmb/UiEN3sjuZxjPC4GjrWyU-Mcdy8A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8056822-4cad1efefe2846c98d8882055252b419.jpg
Kalbi (Korean BBQ Short Ribs): Authentic Recipe,https://www.allrecipes.com/recipe/246645/kalbi-korean-bbq-short-ribs-authentic-recipe/,"{'quantity': '¾', 'unit': 'cup', 'name': 'cola-flavored carbonated beverage (such as Coca-Cola®)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'sesame seeds'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'pounds', 'name': 'short ribs'}","Combine cola beverage, white sugar, soy sauce, water, green onions, sesame oil, garlic, sesame seeds, and black pepper in a bowl until marinade is well-mixed.. Place short ribs in a resealable plastic bag and pour in marinade. Squeeze out excess air and seal the bag. Marinate in the refrigerator for at least 2 hours.. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove short ribs from marinade, discarding marinade.. Cook short ribs until browned and cooked to desired doneness, 3 to 4 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).","calories: 647, fat: 52g, carbs: 21g, protein: 23g, servings: 4",https://www.allrecipes.com/thmb/Y6AHlwmpSqKIwA-_MY0R-dqY24A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6918430-e72a5c356ec244be804807021862ae96.jpg
Kalbi (Korean Marinated Short Ribs),https://www.allrecipes.com/recipe/262014/kalbi-korean-marinated-short-ribs/,"{'quantity': '3', 'unit': 'pounds', 'name': 'beef short ribs'}, {'quantity': '½', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': '', 'name': 'Asian pear, cored and diced'}, {'quantity': '½', 'unit': 'small', 'name': 'onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'finely chopped garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped ginger'}, {'quantity': '2', 'unit': '', 'name': 'green onions, thinly sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'toasted sesame seeds'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Place ribs in a bowl and cover with water; soak until water turns pink, about 1 hour. Drain and rinse in cold water.. Combine soy sauce, Asian pear, onion, garlic, and ginger in a food processor. Pulse until smooth.. Combine green onions, sesame oil, brown sugar, sesame seeds, honey, and black pepper in a large bowl; mix well. Add ribs and coat thoroughly with the marinade. Cover with plastic wrap and refrigerate 8 hours to overnight.. Preheat an outdoor grill for high heat and lightly oil the grate.. Cook ribs on the grill until slightly charred and tender, about 4 minutes per side.","calories: 347, fat: 29g, carbs: 8g, protein: 14g, servings: 10",https://www.allrecipes.com/thmb/tVcId5PM2cJPGJ1NhWhFbD_dAdQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5072469-98458ddda0ba42118876f19564c6a889.jpg
The Real Deal Korean Beef Ribs,https://www.allrecipes.com/recipe/158229/the-real-deal-korean-beef-ribs/,"{'quantity': '4', 'unit': 'pounds', 'name': 'Korean-style short ribs (beef chuck flanken, cut 1/3 to 1/2 inch thick across bones)'}, {'quantity': '½', 'unit': 'cup', 'name': 'reduced-sodium soy sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Asian (toasted) sesame oil'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'Asian plum wine'}","Wash the ribs, removing any stray bits of bone, and allow to drain for 30 minutes.. Whisk together the soy sauce, sugar, honey, garlic, pepper, water, sesame oil, and plum wine until the sugar has dissolved; pour the mixture into a 1 gallon plastic zipper bag. Place the ribs into the marinade, squeeze all the air out of the bag, zip it up, and refrigerate at least 24 hours.. The next day, remove the ribs from the refrigerator and allow to come to room temperature before grilling. Remove the ribs from the marinade and discard the marinade.. Preheat an outdoor grill for medium-high heat, and lightly oil the grate. Grill the ribs until browned and no longer pink inside, 4 to 6 minutes per side.","calories: 692, fat: 27g, carbs: 47g, protein: 42g, servings: 6",https://www.allrecipes.com/thmb/7NScsNRq7JqnknyBv_ybewooQ94=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/845264-5dba50e632134e779d5e8695ffd8bba7.jpg
Gluten-Free Kalbi Beef,https://www.allrecipes.com/recipe/246643/gluten-free-kalbi-beef/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame seeds'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'gluten-free soy sauce (tamari)'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green onions'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '5', 'unit': 'pounds', 'name': 'Korean short ribs (cut flanken-style into 1/2-inch slices across the bones)'}","Toast sesame seeds in a small skillet over medium heat until lightly browned, 3 to 5 minutes.. Combine sesame seeds, soy sauce, sugar, green onions, sesame oil, garlic, and red pepper flakes in a saucepan. Simmer over medium-low heat, stirring constantly, until flavors combine, about 10 minutes. Remove from heat and let marinade cool completely, about 15 minutes.. Place short ribs in large resealable plastic bags and cover with cooled marinade. Seal and let marinate in the refrigerator, at least 1 hour or overnight for maximum flavor.. Preheat grill for medium heat and lightly oil the grate.. Drain short ribs, discarding marinade, and cook on the preheated grill until browned, about 5 minutes per side.","calories: 608, fat: 48g, carbs: 17g, protein: 26g, servings: 10",https://www.allrecipes.com/thmb/QNlQKDLBxziu6ZwUda90AHHajPI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5528131-4dd80ccb7e924bbfa33a53fe204c742c.jpg
