name,link,ingredients,steps,nutrition
Perfect Key Lime Pie with Coconut Rum Whipped Cream,https://www.allrecipes.com/perfect-key-lime-pie-with-coconut-rum-whipped-cream-recipe-8662000,"{'quantity': '11', 'unit': None, 'name': 'graham crackers'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': '(14 ounce) can plus 1/2 cup', 'name': 'sweetened condensed milk'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'lime juice or Key lime juice (see Note)'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'lime zest'}, {'quantity': '3', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'coconut rum'}","Preheat the oven to 350 degrees F (175 degrees C). Break graham crackers into the bowl of a food processor and add sugar. Pulse until coarsely ground. Add melted butter and pulse about 4 times until mixture resembles damp sand; transfer to a pie plate and very lightly press into bottom and up sides of the dish.. Bake in the preheated oven just until fragrant, 4 to 6 minutes. Let cool.. Whisk together sweetened condensed milk and lime juice until smooth. Whisk in egg yolks until well combined. Stir in sour cream and zest until smooth.. Pour filling over graham cracker crust; lightly spread in an even layer. Place pie dish on a rimmed baking sheet.. Bake  in the preheated oven until just set around the edges and slightly jiggly in the center, 14 to 16 minutes. Remove to a wire rack to cool to room temperature, about 40 minutes. Chill pie in the refrigerator for at least 8 hours.. Place cream, powdered sugar, and rum in a mixing bowl. Beat with an electric mixer until cream holds medium peaks. Serve pie with whipped cream.","calories: 576, fat: 31g, carbs: 64g, protein: 11g, servings: 8"
Key Lime Pie,https://www.allrecipes.com/recipe/15880/key-lime-pie-vii/,"{'quantity': '3', 'unit': 'cups', 'name': 'sweetened condensed milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'key lime juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated lime zest'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'prepared graham cracker crust'}",,"calories: 553, fat: 21g, carbs: 85g, protein: 11g, servings: 8"
Easy Key Lime Pie,https://www.allrecipes.com/recipe/12698/easy-key-lime-pie-i/,"{'quantity': '5', 'unit': '', 'name': 'egg yolks, beaten'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'key lime juice'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'prepared graham cracker crust'}","Gather all ingredients.. Preheat the oven to 375 degrees F (190 degrees C).. Combine sweetened condensed milk, key lime juice, and egg yolks in a large bowl; mix well.. Pour mixture into unbaked graham cracker crust.. Bake in the preheated oven until filling is set, about 15 minutes.. Allow to cool completely before slicing.","calories: 324, fat: 14g, carbs: 46g, protein: 7g, servings: 8"
Atlantic Beach Pie,https://www.allrecipes.com/atlantic-beach-pie-recipe-8685509,"{'quantity': '1', 'unit': '(4 1/2 ounce)', 'name': 'sleeve saltine crackers (about'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg white'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '14', 'unit': 'ounce', 'name': 'sweetened condensed milk'}, {'quantity': '4', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '3', 'unit': 'large', 'name': 'limes'}, {'quantity': '2', 'unit': 'large', 'name': 'lemons'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': None, 'unit': None, 'name': 'sea salt'}",,"calories: 684, fat: 40g, carbs: 76g, protein: 14g, servings: 8"
Key Lime Cake,https://www.allrecipes.com/recipe/8310/key-lime-cake-iii/,"{'quantity': '1', 'unit': '(15.25 ounce) package', 'name': 'lemon cake mix'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '¾', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'lime flavored Jell-O mix'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '4', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'fresh lime juice'}","Preheat the oven to 350 degrees F (175 degrees C). Grease three 8-inch round cake pans.. To make the cake: Beat cake mix, oil, orange juice, eggs, and gelatin mix in a large bowl until well combined. Pour into the prepared cake pans.. Bake in the preheated oven until a toothpick inserted into the center of a cake layer comes out clean, 16 to 18 minutes. Allow cake layers to cool completely.. Meanwhile, make frosting: Beat cream cheese and butter in a large bowl until light and fluffy. Add confectioners' sugar and lime juice; mix until well combined.. Fill and frost cooled cake layers.","calories: 477, fat: 30g, carbs: 50g, protein: 4g, servings: 12"
Mini Key Lime Pies,https://www.allrecipes.com/recipe/219470/mini-key-lime-pies/,"{'quantity': '12', 'unit': None, 'name': 'mini graham cracker crusts'}, {'quantity': '3', 'unit': 'cups', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'freshly squeezed Key lime juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grated Key lime zest'}, {'quantity': '2', 'unit': None, 'name': 'fresh Key limes, thinly sliced'}, {'quantity': '1', 'unit': '(7 ounce) can', 'name': 'whipped cream topping'}","Preheat the oven to 350 degrees F (175 degrees C). Place crusts on a baking sheet.. Whisk sweetened condensed milk, sour cream, Key lime juice, and Key lime zest together in a bow until smooth; divide and pour into crusts, filling to the top.. Bake in the preheated oven until hot, 5 to 8 minutes. Refrigerate until thoroughly chilled, at least 1 hour. Garnish each pie with a Key lime slice and dollop of whipped cream.","calories: 451, fat: 20g, carbs: 63g, protein: 9g, servings: 12"
World's Best Key Lime Pie,https://www.allrecipes.com/recipe/15808/worlds-best-key-lime-pie/,"{'quantity': '1', 'unit': '(10 inch)', 'name': 'prepared graham cracker pie crust'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'key lime juice'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen whipped topping, thawed'}","In a large bowl, mix together condensed milk and lime juice. Fold in whipped topping and mix until smooth. Pour mixture into graham cracker crust. Refrigerate at least 1 hour before serving.","calories: 495, fat: 26g, carbs: 62g, protein: 6g, servings: 8"
Classic Key Lime Pie,https://www.allrecipes.com/recipe/232897/classic-key-lime-pie/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'graham cracker crumbs'}, {'quantity': '2', 'unit': 'tablespoons white', 'name': 'sugar'}, {'quantity': '5', 'unit': 'tablespoons unsalted', 'name': 'butter, melted'}, {'quantity': '2', 'unit': '(14 ounce) cans', 'name': 'Eagle Brand sweetened condensed milk'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'fresh lime juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grated lime zest'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '¼', 'unit': ""cup confectioners'"", 'name': 'sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 325 degrees F (165 degrees C).. Combine graham cracker crumbs and sugar in a bowl; add melted butter. Mix until evenly moistened; press into the bottom and sides of a 9-inch pie plate. Bake in the preheated oven until crust begins to brown, about 10 minutes. Cool on a wire rack for 15 minutes.. Whisk sweetened condensed milk, lime juice, and sour cream together in a large bowl until combined; stir in lime zest. Pour filling into crust. Bake until tiny bubbles begin to form on surface of pie, 7 to 10 minutes. Cool completely on a wire rack.. Beat heavy cream, confectioners' sugar, and vanilla extract in a chilled glass or metal bowl with an electric mixer on medium speed until stiff. Top pie with whipped cream. Chill at least 1 hour before serving. Best served the same day.","calories: 731, fat: 32g, carbs: 52g, protein: 6g, servings: 8"
Key Lime Pie I,https://www.allrecipes.com/recipe/12224/key-lime-pie-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'graham cracker crumbs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'key lime juice'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cream of tartar'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': '', 'name': 'lime, sliced'}","Preheat oven to 325 degrees F (165 degrees C). Mix graham cracker crumbs with sugar and melted butter. Press into 9 inch pie plate and bake for 5 minutes. Remove from oven and let cool.. Separate 2 of the eggs, placing the two egg whites into a mixing bowl. Reserve the yolks in another bowl.. To the yolks, add one whole egg, lime juice and sweetened condensed milk. Whisk until smooth. With clean mixer blades or a whisk attachment, beat the egg whites with salt and cream of tartar until stiff, but not dry. Fold whites into filling mixture. Pour filling into partially baked crust.. Bake in preheated 325 degrees F (165 degrees C) for 10 to 15 minutes or until set. Let cool at room temperature, then freeze 4 hours to overnight. Just before serving, whip cream to form stiff peaks. Serve decorated with whipped cream and lime slices.","calories: 420, fat: 25g, carbs: 43g, protein: 8g, servings: 8"
Florida Key Lime Pie,https://www.allrecipes.com/recipe/15049/florida-key-lime-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'prepared graham cracker crust'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '2', 'unit': '(14 ounce) cans', 'name': 'low-fat sweetened condensed milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'key lime juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'grated lime zest'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream, chilled'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'tablespoons', 'name': ""confectioners' sugar""}","To Make Lime Filling: In a large mixing bowl, whip cream cheese until fluffy. Add condensed milk, lime juice, lime rind, and salt. Whip until mixture is smooth. Pour into graham cracker crust. Cover with plastic wrap and chill thoroughly.. To Make Topping: In a medium bowl, whip cream until soft peaks form. Add vanilla or lemon extract and confectioners' sugar. Continue to whip until cream forms stiff peaks. Place topping in a fine-mesh sieve and place sieve over a bowl to catch liquid that drains off. Cover topping tightly with plastic wrap and allow to drain for 2 hours.. Before serving, discard liquid that has drained from topping. Spread topping over pie.","calories: 921, fat: 43g, carbs: 108g, protein: 17g, servings: 8"
