name,link,ingredients,steps,nutrition,image_url
Easy Pancakes,https://www.allrecipes.com/recipe/45396/easy-pancakes/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}",,"calories: 247, fat: 10g, carbs: 34g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/dFFHhk88/thumbnails/8OafoIVA.jpg
Classic Macaroni Salad,https://www.allrecipes.com/recipe/81108/classic-macaroni-salad/,"{'quantity': '4', 'unit': 'cups', 'name': 'uncooked elbow macaroni'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'distilled white vinegar'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'prepared yellow mustard'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, seeded and chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated carrot (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped pimento peppers (Optional)'}",,"calories: 390, fat: 19g, carbs: 49g, protein: 7g, servings: 10",https://cdn.jwplayer.com/v2/media/4fZdoQVq/poster.jpg?width=720
To Die For Blueberry Muffins,https://www.allrecipes.com/recipe/6865/to-die-for-blueberry-muffins/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'milk, or more as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh blueberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, cubed'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}",,"calories: 381, fat: 16g, carbs: 57g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/10Vym2DP/thumbnails/kqpqqk9S.jpg
Banana Banana Bread,https://www.allrecipes.com/recipe/20144/banana-banana-bread/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '2 ⅓', 'unit': 'cups', 'name': 'mashed overripe bananas'}",,"calories: 231, fat: 9g, carbs: 35g, protein: 4g, servings: 12",https://cdn.jwplayer.com/v2/media/sKQCCYGD/poster.jpg?width=720
Juicy Roasted Chicken,https://www.allrecipes.com/recipe/83557/juicy-roasted-chicken/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'whole chicken, giblets removed'}, {'quantity': None, 'unit': None, 'name': 'salt and black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, leaves removed'}",,"calories: 423, fat: 32g, carbs: 1g, protein: 31g, servings: 6",https://cdn.jwplayer.com/v2/media/EFEVNJX8/thumbnails/brDCeQqa.jpg
Mom's Zucchini Bread,https://www.allrecipes.com/recipe/6698/moms-zucchini-bread/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'grated zucchini'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Gather all ingredients. Preheat the oven to 325 degrees F (165 degrees C). Grease and flour two 8x4-inch pans.. Sift flour, salt, baking powder, baking soda, and cinnamon together in a large bowl.. Beat eggs, oil, sugar, and vanilla together in a separate large bowl with an electric mixer until combined; add flour mixture and beat well.. Stir in zucchini and walnuts until well combined.. Pour batter into the prepared pans.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 40 to 60 minutes. Cool in the pans on a wire rack for 20 minutes.. Run a table knife around the edges to loosen. Invert carefully onto a wire rack and let cool completely.","calories: 256, fat: 13g, carbs: 32g, protein: 3g, servings: 24",https://cdn.jwplayer.com/v2/media/ihKuISyU/thumbnails/A11i9b5k.jpg
Three Ingredient Peanut Butter Cookies,https://www.allrecipes.com/recipe/11352/three-ingredient-peanut-butter-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}",,"calories: 394, fat: 23g, carbs: 42g, protein: 12g, servings: 12",https://cdn.jwplayer.com/v2/media/XBd2uALG/thumbnails/eLFoE8zh.jpg
Homemade Chicken Soup,https://www.allrecipes.com/recipe/8814/homemade-chicken-soup/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'whole chicken'}, {'quantity': '4', 'unit': '', 'name': 'carrots, halved'}, {'quantity': '4', 'unit': 'stalks', 'name': 'celery, halved'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, halved'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chicken bouillon granules (Optional)'}",,"calories: 152, fat: 9g, carbs: 4g, protein: 13g, servings: 10",https://cdn.jwplayer.com/v2/media/vtpYXSGK/thumbnails/tELiGDx0.jpg
Guacamole,https://www.allrecipes.com/recipe/14231/guacamole/,"{'quantity': '3', 'unit': '', 'name': 'avocados - peeled, pitted, and mashed'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '', 'name': 'roma (plum) tomatoes, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cayenne pepper (Optional)'}",,"calories: 262, fat: 22g, carbs: 18g, protein: 4g, servings: 4",https://cdn.jwplayer.com/v2/media/1pZmo2xt/poster.jpg?width=720
Classic Waffles,https://www.allrecipes.com/recipe/20513/classic-waffles/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'warm milk'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Gather all ingredients.. Mix flour, salt, baking powder, and sugar together in a large bowl; set aside. Preheat waffle iron to desired temperature.. Beat eggs in a separate bowl; stir in milk, butter, and vanilla.. Pour milk mixture into flour mixture; beat until blended.. Ladle batter into a preheated waffle iron.. Cook waffles until golden and crisp.. Serve immediately and enjoy!","calories: 379, fat: 16g, carbs: 48g, protein: 10g, servings: 5",https://cdn.jwplayer.com/v2/media/4SG2dcae/thumbnails/nryuBfwT.jpg
