name,link,ingredients,steps,nutrition,image_url
Smashed Stuffing Sandwich,https://www.allrecipes.com/smashed-stuffing-sandwich-recipe-8745367,"{'quantity': '4', 'unit': 'cups l', 'name': 'eftover stuffing'}, {'quantity': '2', 'unit': None, 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ravy, or more as needed'}, {'quantity': None, 'unit': 'pinch', 'name': 'alt, or to taste'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': None, 'name': 'mayonnaise, or to taste (optional)'}, {'quantity': None, 'unit': None, 'name': '2 tablespoons gravy'}, {'quantity': None, 'unit': None, 'name': 'slices of leftover turkey,'}, {'quantity': None, 'unit': None, 'name': '4 slices brie cheese, or to taste'}, {'quantity': None, 'unit': None, 'name': '2 tablespoons cranberry sauce'}","Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C).. Combine stuffing, eggs, gravy, and salt in a bowl and mix together until combined. Let rest for 10 to 15 minutes to allow everything to hydrate.. Form mixture into 4 equal-sized balls. Spray 13 x 18 baking pan with nonstick spray or oil. Place the stuffing balls on the pan, place parchment paper on top and smash the ball to desired thickness. Spray the top with more oil.. Bake in the preheated oven until the top has browned and the bottom has formed a golden brown crust, about 20 minutes. Remove from the pan using a metal spatula.. Assemble each sandwich with mayo, gravy, turkey, brie, and cranberry sauce.. Enjoy!","calories: 1042, fat: 62g, carbs: 84g, protein: 37g, servings: 2",https://www.allrecipes.com/thmb/jO7nZ303SLKTavrMoR9Wtc1UVMI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-thanksgiving-leftover-sandwich-8745367-VAT-4x3-5e47206abcb248ae8b4228c786a4be7b.jpg
Crispy Turkey Flautas,https://www.allrecipes.com/recipe/245584/crispy-turkey-flautas/,"{'quantity': '1', 'unit': 'pound', 'name': 'cooked, shredded turkey'}, {'quantity': '6', 'unit': 'ounces', 'name': 'shredded pepper Jack cheese'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped green onions'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '24', 'unit': '', 'name': 'small white corn tortillas'}, {'quantity': '1', 'unit': '', 'name': 'egg white to seal flautas (Optional)'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded napa cabbage'}, {'quantity': '¾', 'unit': 'cup', 'name': 'guacamole'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '¾', 'unit': 'cup', 'name': 'salsa'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}","Mix shredded turkey, pepper Jack cheese, green onions, salt and pepper together in a bowl.. Wrap stack of tortillas in a paper towel and place in a sealable plastic bag. Seal the bag only halfway. Microwave on high until tortillas are hot and flexible, about 45 seconds. Keep tortillas warm in the bag as you fill the others.. Place 2 tortillas on a work surface, one about 2 inches off center of the first creating a longer partially double tortilla. Spoon about 1/4 to 1/3 cup turkey mixture in a row just below the center of the long side of the tortilla. Paint a bit of egg white along the top edge of the tortillas. Bring bottom edge of the tortilla up and over the filling and roll rather tightly toward the top edge over the egg white. Set aside with the fold on the bottom while you fill the remaining tortillas.. Place 1/4 inch vegetable oil in a saute pan over medium heat. When oil is hot, place flautas in oil, seam side down. Press down gently with a spatula a couple of seconds to flatten bottoms. Fry in batches until flautas are crispy, golden, and heated through, 3 to 4 minutes per side. Drain about a minute on paper towels. Serve topped with shredded cabbage, guacamole, sour cream, salsa, and chopped cilantro.","calories: 578, fat: 25g, carbs: 54g, protein: 37g, servings: 6",https://cdn.jwplayer.com/v2/media/N2pNCPI7/poster.jpg?width=720
Chef John's Turkey Manicotti,https://www.allrecipes.com/recipe/235159/how-to-make-turkey-manicotti/,"{'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced cooked turkey'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole-milk ricotta cheese'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped Italian parsley'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, or as needed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'marinara sauce, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil, divided'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly shredded Parmigiano-Reggiano cheese for garnish, or as desired'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped Italian parsley'}","Preheat oven to 350 degrees F (175 degrees C).. Whisk 2 eggs, flour, water, salt, and 1/2 teaspoon olive oil together thoroughly in a bowl to make a very smooth batter. Cover bowl with plastic wrap and refrigerate batter for 1 hour.. Mix turkey, ricotta cheese, 1 egg, 1/2 cup Parmigiano-Reggiano cheese, mozzarella cheese, marjoram, red pepper flakes, and 1/4 cup Italian parsley in a bowl until thoroughly combined. Season with salt to taste.. Place a nonstick skillet over medium-high heat and brush generously with 1 teaspoon olive oil or as needed. Swirl about 1/4 cup batter into the bottom of the pan and tilt to form a thin pancake covering the bottom of the skillet. Cook until bottom of crepe is dry, 60 to 90 seconds. Flip crepe and cook until other side has small browned spots, 60 to 90 seconds more. Repeat with remaining batter to make 6 crepes. Transfer crepes to a plate as you make them.. Spread about 1/2 cup marinara sauce into the bottom of a 9x12-inch baking dish. Use a brush to spread about 1/2 teaspoon of olive oil in a thin layer up the sides of the dish. Place a crepe, dimpled side down, onto a work surface; spread about 1/3 to 1/2 cup filling onto crepe in a line down the middle. Roll crepe over filling and tuck in ends if desired. Lay filled crepe into the baking dish. Repeat with remaining crepes and filling to make 6 manicotti.. Spread remaining 1 cup marinara sauce onto the manicotti in a line down the middle of the crepes, covering middle 1/3 of manicotti. Sprinkle 1/3 cup Parmigiano-Reggiano cheese all over manicotti. Drizzle manicotti with remaining 1 1/2 teaspoon olive oil.. Bake in the preheated oven until manicotti are slightly browned and puffy, about 45 minutes. Let stand 5 minutes to cool. Garnish with 1 tablespoon Parmigiano-Reggiano cheese or as desired and 1 tablespoon Italian parsley before serving.","calories: 286, fat: 13g, carbs: 22g, protein: 20g, servings: 6",https://cdn.jwplayer.com/v2/media/deqFf7Hw/poster.jpg?width=720
Turkey Tom Kha Gai,https://www.allrecipes.com/recipe/240476/turkey-tom-kha-gai/,"{'quantity': '6', 'unit': 'cups', 'name': 'turkey broth'}, {'quantity': '2', 'unit': 'stalks', 'name': 'lemongrass, bruised and sliced'}, {'quantity': '1', 'unit': '(3 inch) piece', 'name': 'fresh ginger, sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro stems'}, {'quantity': '2', 'unit': '', 'name': 'makrut lime leaves, thinly sliced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes, or more to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'cooked turkey, cut into small cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'clamshell mushrooms, separated'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fish sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'palm sugar'}, {'quantity': '1', 'unit': '(13 ounce) can', 'name': 'coconut milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro leaves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'chili oil, or more to taste'}","Combine turkey broth, lemongrass, ginger, cilantro stems, lime leaves, and red pepper flakes in a pot over medium-high heat. Bring to a simmer, reduce heat to medium-low, and simmer until flavors blend, 20 to 30 minutes.. Stain broth mixture through a fine-mesh sieve, discard vegetables, and return broth to the pot.. Stir turkey, mushrooms, fish sauce, and palm sugar into broth; simmer until mushrooms are tender and turkey absorbs broth flavor, about 15 minutes.. Pour coconut milk, lime juice, green onions, and cilantro leaves into broth. Bring soup to a simmer and drizzle in chili oil.","calories: 441, fat: 27g, carbs: 13g, protein: 39g, servings: 4",https://cdn.jwplayer.com/v2/media/KGq4yoXo/poster.jpg?width=720
Boursin Chicken Pot Pie,https://www.allrecipes.com/boursin-chicken-pot-pie-recipe-8732565,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': None, 'name': 'leek, white and pale green parts, thinly sliced'}, {'quantity': '8', 'unit': 'ounces', 'name': 'button mushrooms, thinly sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'reduced-sodium chicken broth'}, {'quantity': '1', 'unit': '(5.3-ounce)', 'name': 'semi-soft cheese with garlic and fine herbs (siuch as Boursin®)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mustard'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen mixed vegetables'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded cooked chicken'}, {'quantity': '1/2', 'unit': '(14.1-ounce) package', 'name': 'rolled refrigerated unbaked pie crust'}","Gather all ingredients.. Preheat the oven to 425 degrees F (220 degrees C).. Melt butter in a large skillet over medium heat. Add leek and mushrooms. Cook and stir until tender and any liquid has evaporated, about 5 minutes.. Whisk together broth, Boursin®, sour cream, and mustard in a bowl. Add to the skillet. Cook and stir until thickened and bubbly, about 2 minutes.. Add frozen mixed vegetables and cook 3 minutes more. Stir in chicken and return to a simmer, about 1 minute.. Transfer hot filling to a 9-inch pie plate or 10-inch quiche dish.. Cut 3 slits in the center of the pie crust. Gently fold pie crust in quarters. Unfold pie crust atop the hot filling. Press edges of pastry to the inside edge of the pie plate, flute as desired.. Bake in the preheated oven until golden brown and bubbly, about 20 minutes. Let stand 15 minutes before serving.. Enjoy!","calories: 643, fat: 39g, carbs: 44g, protein: 28g, servings: 6",https://www.allrecipes.com/thmb/z4wVWFCeu6QdFMIfQJ1hEn819lE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8732565-Boursin-Chicken-Pot-Pie-ddmfs-5365-4x3-beauty-d8687cae2a81405084eb8865044105dd.jpg
Thanksgiving Turkey Congee,https://www.allrecipes.com/recipe/244323/thanksgiving-turkey-congee/,"{'quantity': '¼', 'unit': 'cup', 'name': 'dried scallops'}, {'quantity': '3', 'unit': '', 'name': 'dried black mushrooms'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked short-grain white rice'}, {'quantity': '½', 'unit': '', 'name': 'leftover turkey carcass, broken into pieces'}, {'quantity': '9', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh cilantro, chopped'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'thinly sliced fresh ginger'}, {'quantity': '¼', 'unit': 'cup', 'name': 'raw peanuts'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried red onion'}, {'quantity': '8', 'unit': 'dashes', 'name': 'sesame oil'}, {'quantity': '', 'unit': '', 'name': 'ground white pepper to taste'}","Place dried scallops and dried mushrooms in a bowl; pour in hot water to cover and let stand to rehydrate, about 10 minutes. Rinse and drain rice; set aside.. Separate any meat from bones of turkey carcass; set aside. Place bones and 9 cups hot water in a large stockpot and bring to a boil. Drain mushrooms and scallops; squeeze out any excess water. Break scallops into smaller pieces; slice mushrooms thinly.. Stir scallops, mushrooms, rice, and turkey meat into the stockpot; reduce heat to allow congee to simmer, partially covered, stirring occasionally for a smooth congee, until rice is tender and congee is thick, about 2 hours. If you like a thinner congee, stir in hot water a few tablespoons at a time.. Ladle congee into individual bowls; top each bowl with cilantro, green onions, ginger, peanuts, red onion, sesame oil, and white pepper as desired.","calories: 201, fat: 4g, carbs: 35g, protein: 6g, servings: 8",https://cdn.jwplayer.com/v2/media/d3FzBX1O/poster.jpg?width=720
Spicy Turkey Gumbo,https://www.allrecipes.com/spicy-turkey-gumbo-recipe-8744687,"{'quantity': '3/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'avocado oil, or any high-heat vegetable oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '8', 'unit': 'ounces', 'name': 'andouille sausage'}, {'quantity': '2', 'unit': 'cups', 'name': 'onions'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'green bell pepper'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'celery'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '8', 'unit': 'cups', 'name': 'turkey or chicken broth'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'turkey meat'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '1/4', 'unit': 'cup chopped', 'name': 'Italian parsley'}",,"calories: 474, fat: 29g, carbs: 20g, protein: 32g, servings: 8",https://cdn.jwplayer.com/v2/media/XLKp4nWv/thumbnails/dOOQbJwa.jpg
Chicken Adobo Fried Rice,https://www.allrecipes.com/chicken-adobo-fried-rice-recipe-8723894,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'green peas'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'carrots'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'pound', 'name': 'chicken adobo'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'white pepper'}, {'quantity': '1', 'unit': 'large', 'name': 'egg,'}, {'quantity': '2', 'unit': None, 'name': 'green onions'}","Pour oil into a large, nonstick skillet over medium heat. When oil is hot, add onions and stir about 1 minute. Add garlic and stir about 30 seconds.. Stir in frozen green peas and matchstick carrots and cook, stirring, 3 to 4 minutes. Add rice and stir in sesame oil and soy sauce. Cook, stirring, about 2 minutes.. Stir in chicken, using a lifting motion, to make sure all the rice is coated with any sauce from the chicken adobo. Cook and stir about 2 minutes. Season with salt and white pepper.. Move the skillet contents to one side of the skillet and pour in beaten egg. Allow egg to spread into a thin layer. When egg is set, score into strips, then stir into rice mixture. Remove from heat. Sprinkle on chopped scallions and serve warm.","calories: 464, fat: 22g, carbs: 32g, protein: 33g, servings: 4",https://www.allrecipes.com/thmb/rFhvxyQnTEbAPEWcsp2_P8PyM74=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8723894_Chicken-Adobo-Fried-Rice_Brenda-Venable_4x3-62a51772b0b749ab92452a264860c135.jpg
Hot Dog Fried Rice,https://www.allrecipes.com/hot-dog-fried-rice-recipe-8702340,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'peanut oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'onion'}, {'quantity': '6', 'unit': None, 'name': 'hot dogs, sliced'}, {'quantity': '3', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen mixed vegetables'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': None, 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce, plus more to taste'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'riracha'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '3', 'unit': None, 'name': 'green onions, thinly sliced'}","Heat oil over high in a large deep skillet or wok. Add onions and cook until lightly browned and softened, about 2 minutes. Add hot dogs and cook, stirring constantly until browned. Add in rice and sesame oil and cook, stirring constantly, about 1 minute. Stir in ginger, garlic, salt and pepper.. Spread mixture into an even layer and cook, undisturbed, until rice is lightly toasted, about 2 minutes. Add in mixed vegetables and stir, then cook undisturbed for 2 minutes. Push rice mixture to the sides and create a space in the center of the skillet. Add butter to the skillet and allow to melt. Crack in eggs and cook, stirring only the eggs until they are soft scrambled. Fold eggs into rice mixture and stir until evenly mixed. Stir in vinegar and soy sauce and cook for 1 minute. Remove from heat.. Combine mayo, Sriracha and lemon juice in a small bowl. Serve fried rice topped with a drizzle of mayo mixture and sprinkle with green onions.","calories: 683, fat: 47g, carbs: 46g, protein: 19g, servings: 4",https://cdn.jwplayer.com/v2/media/hNgbh90t/thumbnails/fLm4mu2q.jpg
Leftover Roast Chicken Coconut Soup,https://www.allrecipes.com/leftover-roast-chicken-coconut-soup-recipe-8701222,"{'quantity': '1', 'unit': None, 'name': 'roast chicken carcass'}, {'quantity': '8', 'unit': 'cups', 'name': 'water'}, {'quantity': '1/2', 'unit': 'large', 'name': 'onion'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery'}, {'quantity': None, 'unit': None, 'name': 'parsley stems (optional)'}, {'quantity': '1', 'unit': None, 'name': 'chicken bouillon cube or 2 teaspoons chicken bouillon paste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coconut oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ginger'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '8', 'unit': 'ounces', 'name': 'portobello mushrooms'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated carrots'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'can', 'name': 'unsweetened coconut milk'}, {'quantity': '1', 'unit': None, 'name': 'lime, juiced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'riracha'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'cooked rice'}","Place chicken in a large stock pot and add cold water, onions, celery, and parsley stems. Bring to a boil over high heat. Reduce heat to medium and simmer for 1 hour. Strain and reserve liquid. Separate any remaining chicken meat from the carcass and reserve. Discard remaining ingredients in the strainer. Stir bouillon into hot broth until dissolved.. Heat oil in a large pot over medium-high heat. Add white and light green parts of onion, along with the ginger, and cook until fragrant, about 1 minute. Sprinkle with 1/2 teaspoon salt and stir. Add mushrooms and cook until lightly browned, about 3 minutes. Add carrots and remaining salt and cook 3 minutes, stirring often. Add pepper, garlic powder and 6 cups of reserved broth. Stir, scraping up any browned bits from the bottom of the pot. Add in coconut milk and reserved chicken pieces and bring to a simmer. Cook for 10 minutes. Add remaining green onions, lime juice, and Sriracha. Serve topped with 1/4 cup of rice per serving.","calories: 145, fat: 6g, carbs: 18g, protein: 7g, servings: 6",https://www.allrecipes.com/thmb/3_MT5HQ-JayO9wYQ5r-Eo028NLA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8701222_Leftover-Roast-Chicken-Coconut-Soup_Dotdash-Meredith-Food-Studios_4x3-c84ccfab64104264a4fd21fd72d3b1d5.jpg
