name,link,ingredients,steps,nutrition
15 Crowd-Pleasing Recipes for That Middle Ground Between Summer and Fall,https://www.allrecipes.com/summer-fall-recipes-8701972,,,
Celebrate Labor Day With This Fun Menu,https://www.allrecipes.com/gallery/labor-day-menu/,,,
"14 Perfect Plum, Peach, and Pear Desserts for Late Summer",https://www.allrecipes.com/gallery/plum-peach-and-pear-dessert-recipes-for-late-summer/,,,
15 Thirst-Quenching Summer Punch Recipes,https://www.allrecipes.com/gallery/summer-punch-recipes/,,,
Classic Macaroni Salad,https://www.allrecipes.com/recipe/81108/classic-macaroni-salad/,"{'quantity': '4', 'unit': 'cups', 'name': 'uncooked elbow macaroni'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'distilled white vinegar'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'prepared yellow mustard'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, seeded and chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated carrot (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped pimento peppers (Optional)'}",,"calories: 390, fat: 19g, carbs: 49g, protein: 7g, servings: 10"
Guacamole,https://www.allrecipes.com/recipe/14231/guacamole/,"{'quantity': '3', 'unit': '', 'name': 'avocados - peeled, pitted, and mashed'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '', 'name': 'roma (plum) tomatoes, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cayenne pepper (Optional)'}",,"calories: 262, fat: 22g, carbs: 18g, protein: 4g, servings: 4"
Best Fried Green Tomatoes,https://www.allrecipes.com/recipe/16760/best-fried-green-tomatoes/,"{'quantity': '4', 'unit': 'large', 'name': 'green tomatoes'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '½', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'coarse kosher salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil for frying'}",,"calories: 510, fat: 27g, carbs: 56g, protein: 13g, servings: 4"
Perfect Summer Fruit Salad,https://www.allrecipes.com/recipe/214947/perfect-summer-fruit-salad/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'fresh orange juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'grated orange zest'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'grated lemon zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'cubed fresh pineapple'}, {'quantity': '2', 'unit': 'cups', 'name': 'strawberries, hulled and sliced'}, {'quantity': '3', 'unit': '', 'name': 'kiwi fruit, peeled and sliced'}, {'quantity': '3', 'unit': '', 'name': 'bananas, sliced'}, {'quantity': '2', 'unit': '', 'name': 'oranges, peeled and sectioned'}, {'quantity': '1', 'unit': 'cup', 'name': 'seedless grapes'}, {'quantity': '2', 'unit': 'cups', 'name': 'blueberries'}",,"calories: 155, fat: 1g, carbs: 39g, protein: 2g, servings: 10"
Microwave Corn on the Cob,https://www.allrecipes.com/recipe/51025/microwave-corn-on-the-cob/,"{'quantity': '1', 'unit': 'ear', 'name': 'fresh corn'}",,"calories: 123, fat: 2g, carbs: 27g, protein: 5g, servings: 1"
Blueberry Crisp,https://www.allrecipes.com/recipe/242088/classic-american-blueberry-crisp/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold butter, diced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'instant tapioca'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '6', 'unit': 'cups', 'name': 'fresh blueberries'}","Preheat the oven to 375 degrees F (190 degrees C).. Combine flour, brown sugar, butter, and salt in food processor; pulse mixture into coarse crumbs.. Stir white sugar, orange juice, tapioca, and cinnamon together in a bowl; add blueberries and stir to coat completely. Spoon blueberry mixture into a large baking dish; sprinkle crumb topping over blueberries.. Bake in the preheated oven until the topping is golden brown and the filling bubbles, about 40 minutes.","calories: 398, fat: 12g, carbs: 74g, protein: 3g, servings: 8"
Oven-Baked Baby Back Ribs,https://www.allrecipes.com/recipe/220987/baked-bbq-baby-back-ribs/,"{'quantity': '½', 'unit': 'cup', 'name': 'ancho chile powder'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dry mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground dried chipotle pepper'}, {'quantity': '1', 'unit': 'rack', 'name': 'baby back pork ribs'}, {'quantity': '1', 'unit': 'cup', 'name': 'barbeque sauce'}",,"calories: 488, fat: 23g, carbs: 52g, protein: 19g, servings: 4"
Sangria! Sangria!,https://www.allrecipes.com/recipe/72612/sangria-sangria/,"{'quantity': '1', 'unit': '(750 milliliter) bottle', 'name': 'dry red wine'}, {'quantity': '½', 'unit': 'cup', 'name': 'brandy'}, {'quantity': '½', 'unit': 'cup', 'name': 'triple sec'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'frozen lemonade concentrate'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar (Optional)'}, {'quantity': '1', 'unit': 'medium', 'name': 'orange, sliced into rounds'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, sliced into rounds'}, {'quantity': '1', 'unit': 'medium', 'name': 'lime, sliced into rounds'}, {'quantity': '8', 'unit': '', 'name': 'maraschino cherries'}, {'quantity': '2', 'unit': 'cups', 'name': 'carbonated water (Optional)'}",,
Squash Casserole,https://www.allrecipes.com/recipe/18045/yellow-squash-casserole/,"{'quantity': '4', 'unit': 'cups', 'name': 'sliced yellow squash'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water, or more as needed'}, {'quantity': '35', 'unit': '', 'name': 'buttery round crackers, crushed'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}",,"calories: 224, fat: 16g, carbs: 15g, protein: 6g, servings: 10"
Homemade Blueberry Pie,https://www.allrecipes.com/recipe/12196/blueberry-pie/,"{'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '1', 'unit': '(14.1 ounce) package', 'name': 'double-crust pie pastry, thawed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}",,"calories: 366, fat: 17g, carbs: 53g, protein: 3g, servings: 8"
Peach Pie the Old Fashioned Two Crust Way,https://www.allrecipes.com/recipe/87979/peach-pie-the-old-fashioned-two-crust-way/,"{'quantity': '1', 'unit': '(14.1 ounce) package', 'name': 'pastry for a double-crust 9-inch pie'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '5', 'unit': 'cups', 'name': 'sliced peeled peaches'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}",,"calories: 428, fat: 20g, carbs: 59g, protein: 5g, servings: 8"
Prize-Winning Baby Back Ribs,https://www.allrecipes.com/recipe/14539/prize-winning-baby-back-ribs/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'paprika'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '3', 'unit': 'pounds', 'name': 'baby back pork ribs'}, {'quantity': '1', 'unit': 'cup', 'name': 'barbeque sauce'}",,"calories: 911, fat: 71g, carbs: 21g, protein: 48g, servings: 6"
Best Hamburger Ever,https://www.allrecipes.com/recipe/72657/best-hamburger-ever/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'lean ground beef'}, {'quantity': '½', 'unit': '', 'name': 'onion, finely chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Colby Jack or Cheddar cheese'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': '(1 ounce) envelope', 'name': 'dry onion soup mix'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'crushed dried rosemary'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}",,"calories: 445, fat: 28g, carbs: 9g, protein: 39g, servings: 4"
Homemade Corn Dogs,https://www.allrecipes.com/recipe/35149/corn-dogs/,"{'quantity': '1', 'unit': 'cup', 'name': 'yellow cornmeal'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil for frying'}, {'quantity': '2', 'unit': '(16 ounce) packages', 'name': 'beef frankfurters'}, {'quantity': None, 'unit': None, 'name': 'wooden skewers'}",,"calories: 318, fat: 23g, carbs: 19g, protein: 9g, servings: 16"
Seven-Layer Taco Dip,https://www.allrecipes.com/recipe/19673/seven-layer-taco-dip/,"{'quantity': '1', 'unit': '(16 ounce) can', 'name': 'refried beans'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': '(16 ounce) container', 'name': 'sour cream'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'salsa'}, {'quantity': '1', 'unit': 'large', 'name': 'tomato, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': 'bunch', 'name': 'chopped green onions'}, {'quantity': '1', 'unit': 'small head', 'name': 'iceberg lettuce, shredded'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'sliced black olives, drained'}",,"calories: 66, fat: 5g, carbs: 4g, protein: 2g, servings: 56"
Pasta Salad with Homemade Dressing,https://www.allrecipes.com/recipe/73963/pasta-salad-with-homemade-dressing/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'uncooked tri-color rotini pasta'}, {'quantity': '6', 'unit': 'ounces', 'name': 'pepperoni sausage, diced'}, {'quantity': '6', 'unit': 'ounces', 'name': 'provolone cheese, cubed'}, {'quantity': '1', 'unit': 'medium', 'name': 'red onion, very thinly sliced and cut into 1-inch pieces'}, {'quantity': '1', 'unit': 'small', 'name': 'cucumber, thinly sliced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped red bell pepper'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'pitted black olives, drained'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced fresh parsley'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground mustard seed'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,"calories: 443, fat: 32g, carbs: 25g, protein: 16g, servings: 8"
Dave's Low Country Boil,https://www.allrecipes.com/recipe/44033/daves-low-country-boil/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'seafood seasoning (such as Old Bay), or to taste'}, {'quantity': '5', 'unit': 'pounds', 'name': 'new potatoes'}, {'quantity': '3', 'unit': '(16 ounce) packages', 'name': 'cooked kielbasa sausage, cut into 1 inch pieces'}, {'quantity': '8', 'unit': 'ears', 'name': 'fresh corn, husks and silks removed'}, {'quantity': '5', 'unit': 'pounds', 'name': 'whole crab, broken into pieces'}, {'quantity': '4', 'unit': 'pounds', 'name': 'fresh shrimp, peeled and deveined'}",,"calories: 722, fat: 29g, carbs: 46g, protein: 68g, servings: 15"
Easy Pavlova,https://www.allrecipes.com/recipe/12126/easy-pavlova/,"{'quantity': '4', 'unit': 'large', 'name': 'egg whites'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'pint', 'name': 'heavy cream'}, {'quantity': '6', 'unit': '', 'name': 'kiwi, peeled and sliced'}",,"calories: 373, fat: 22g, carbs: 42g, protein: 4g, servings: 8"
Roasted Okra,https://www.allrecipes.com/recipe/204478/roasted-okra/,"{'quantity': '18', 'unit': '', 'name': 'fresh okra pods, sliced 1/3 inch thick'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, or to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'black pepper, or to taste'}","Gather all ingredients.. Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with aluminum foil.. Arrange okra in a single layer on the prepared baking sheet. Drizzle with olive oil; sprinkle with kosher salt and pepper.. Roast in the preheated oven until okra is lightly browned and tender, 10 to 15 minutes.","calories: 65, fat: 5g, carbs: 6g, protein: 2g, servings: 3"
Crisp Pickled Green Beans,https://www.allrecipes.com/recipe/62594/crisp-pickled-green-beans/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'distilled white vinegar'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'salt'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, peeled'}, {'quantity': '2 ½', 'unit': 'pounds', 'name': 'fresh green beans'}, {'quantity': '6', 'unit': 'large', 'name': 'sprigs dill'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'red pepper flakes (Optional)'}",,"calories: 8, carbs: 2g, protein: 1g, servings: 48"
Strawberry Pie,https://www.allrecipes.com/recipe/15836/strawberry-pie-ii/,"{'quantity': '1', 'unit': 'quart', 'name': 'fresh strawberries, hulled'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'pie crust, baked'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy whipping cream'}","Gather all ingredients.. Arrange 1/2 of strawberries in baked pastry shell. Place remaining strawberries in a medium saucepan.. Add sugar to the strawberries in the saucepan; place over medium heat and bring to a boil, stirring frequently.. Whisk cornstarch and water together in a small bowl. Gradually stir cornstarch mixture into boiling strawberry mixture. Reduce heat and simmer mixture until thickened, about 10 minutes, stirring constantly.. Pour cooked strawberry mixture over berries in pastry shell. Refrigerate until chilled and set, at least 3 hours.. Before serving, whip cream in a medium bowl until soft peaks form.. Serve each slice of pie with a dollop of whipped cream. Enjoy!","calories: 265, fat: 11g, carbs: 42g, protein: 2g, servings: 8"
Blackberry Pie,https://www.allrecipes.com/recipe/12284/blackberry-pie-i/,"{'quantity': '4', 'unit': 'cups', 'name': 'fresh blackberries'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar or more to taste, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'double crust ready-to-use pie crust'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}",,"calories: 248, fat: 8g, carbs: 42g, protein: 3g, servings: 8"
Spicy Grilled Shrimp,https://www.allrecipes.com/recipe/12775/spicy-grilled-shrimp/,"{'quantity': '1', 'unit': 'large clove', 'name': 'garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coarse salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'pounds', 'name': 'large shrimp, peeled and deveined'}, {'quantity': '8', 'unit': 'wedges', 'name': 'lemon, for garnish'}",,"calories: 164, fat: 6g, carbs: 3g, protein: 25g, servings: 6"
Best Fruit Dip,https://www.allrecipes.com/recipe/16570/fruit-dip-ii/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': '(7 ounce) jar', 'name': 'marshmallow creme'}",Gather cream cheese and marshmallow creme.. Place cream cheese and creme in a medium bowl. Blend cream cheese and marshmallow creme with an electric mixer until smooth and well combined.. Serve with fruit and enjoy!,"calories: 118, fat: 7g, carbs: 13g, protein: 2g, servings: 12"
Crispy Fried Chicken,https://www.allrecipes.com/recipe/8805/crispy-fried-chicken/,"{'quantity': '1', 'unit': '(4 pound)', 'name': 'chicken, cut into pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour for coating'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '2', 'unit': 'quarts', 'name': 'vegetable oil for frying'}",,"calories: 489, fat: 22g, carbs: 30g, protein: 41g, servings: 8"
Melt in Your Mouth Blueberry Cake,https://www.allrecipes.com/recipe/7358/melt-in-your-mouth-blueberry-cake/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar, divided'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': '', 'name': 'egg yolks'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': '', 'name': 'egg whites'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}","Gather all ingredients and preheat the oven to 350 degrees F (175 degrees C). Grease and flour an 8-inch pan.. Beat butter and 1/2 cup sugar together in a large bowl with an electric mixer until soft and fluffy; mix in vanilla and salt. Add egg yolks and beat until creamy.. Combine 1 1/2 cups flour and baking powder in a bowl; add alternately with milk to creamed mixture.. Toss blueberries with 1 tablespoon flour in a small bowl. Add to the batter and fold in gently.. Beat egg whites in a separate bowl until soft peaks form. Add remaining 1/4 cup of sugar, 1 tablespoon at a time, and beat until stiff peaks form. Fold egg whites into cake batter.. Pour batter into the prepared pan. Sprinkle remaining 1 tablespoon sugar over top.. Bake in the preheated oven until a toothpick inserted in center comes out clean, about 50 minutes.. Serve and enjoy!","calories: 206, fat: 9g, carbs: 29g, protein: 3g, servings: 12"
Simple BBQ Ribs,https://www.allrecipes.com/recipe/16448/simple-bbq-ribs/,"{'quantity': '2 ½', 'unit': 'pounds', 'name': 'country-style pork ribs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'barbeque sauce'}",,"calories: 441, fat: 22g, carbs: 25g, protein: 33g, servings: 4"
Vanilla Milkshake,https://www.allrecipes.com/recipe/48974/vanilla-milkshake-i/,"{'quantity': '2', 'unit': 'cups', 'name': 'vanilla ice cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 345, fat: 19g, carbs: 37g, protein: 9g, servings: 2"
Smooth Sweet Tea,https://www.allrecipes.com/recipe/109190/smooth-sweet-tea/,"{'quantity': '1', 'unit': 'pinch', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '6', 'unit': '', 'name': 'tea bags'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '6', 'unit': 'cups', 'name': 'cool water'}","Gather ingredients.. Sprinkle a pinch of baking soda into a 64-ounce, heat-proof glass pitcher. Pour in boiling water and add tea bags. Cover and allow to steep for 15 minutes.. Remove tea bags and discard; stir in sugar until dissolved. Pour in cool water; refrigerate until cold, about 3 hours.. Enjoy!","calories: 73, carbs: 19g, servings: 7"
Ice Cream Sandwich Cake,https://www.allrecipes.com/recipe/232742/ice-cream-sandwich-cake/,"{'quantity': '24', 'unit': '', 'name': 'vanilla ice cream sandwiches, unwrapped'}, {'quantity': '2', 'unit': '(8 ounce) containers', 'name': 'whipped topping (such as Cool Whip®), thawed'}, {'quantity': '1', 'unit': '(12 ounce) jar', 'name': 'hot fudge ice cream topping, warmed'}, {'quantity': '1', 'unit': '(12 ounce) jar', 'name': 'caramel ice cream topping'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped pecans, or to taste'}","Gather the ingredients.. Arrange a layer of ice cream sandwiches in the bottom of a 9x13-inch dish; top with a layer of whipped topping, hot fudge topping, and caramel topping.. Repeat layering with remaining ice cream sandwiches, whipped topping, hot fudge topping, and caramel topping, ending with a top layer of whipped topping. Sprinkle with pecans.. Cover the dish with aluminum foil and freeze until set, about 30 minutes. Slice and serve with your favorite toppings!","calories: 576, fat: 25g, carbs: 85g, protein: 7g, servings: 12"
Basic Fruit Smoothie,https://www.allrecipes.com/recipe/23553/basic-fruit-smoothie/,"{'quantity': '1', 'unit': 'quart', 'name': 'strawberries, hulled'}, {'quantity': '2', 'unit': '', 'name': 'fresh peaches - peeled, pitted, and sliced'}, {'quantity': '1', 'unit': '', 'name': 'banana, broken into chunks'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '1', 'unit': 'cup', 'name': 'orange-peach-mango juice'}","Gather all ingredients.. Combine strawberries, peaches, and banana in a blender; blend until smooth.. Add ice and pour in juice; blend again to desired consistency.. Enjoy!","calories: 118, fat: 1g, carbs: 29g, protein: 2g, servings: 4"
