name,link,ingredients,steps,nutrition
Greek-Style Grilled Lamb Chops,https://www.allrecipes.com/greek-style-grilled-lamb-chops-recipe-8680071,"{'quantity': '8', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'pounds', 'name': 'lamb rib chops or (1-inch thick) lamb loin chops, trimmed'}","Gather all ingredients.. Whisk together garlic cloves, 1/4 cup olive oil, 3 tablespoons lemon juice, 2 teaspoons dried oregano, 2 teaspoons salt, 1/2 teaspoon red pepper, and 1/2 teaspoon black pepper in a small bowl until combined.. Place lamb chops in a resealable plastic bag, and pour marinade over chops. Remove air from bag, and seal. Store in the refrigerator to marinate at least 4 hours or up to 12 hours. Remove from refrigerator, and let stand 30 minutes to warm slightly.. Preheat an outdoor grill to High (450 to 500 degrees F (230 to 260 degrees C)). Scrape off excess marinade from lamb chops, and discard remaining marinade in bag. Sprinkle chops evenly with 1/2 teaspoon of the salt and remaining 1/4 teaspoon black pepper.. Place lamb chops on oiled grates; grill, covered, turning once or twice, until browned and a thermometer inserted into thickest portion of lamb chop registers 130 degrees F (54 degrees C) for medium-rare, about 4 minutes for rib chops and about 6 minutes for loin chops, or to desired degree of doneness. Carefully turn lamb chops with tongs to sear edges, as desired. Transfer lamb chops to a platter; let rest 5 minutes.. While lamb chops rest, whisk together remaining 2 tablespoons oil, 1 tablespoon lemon juice, 1 teaspoon oregano, 1/2 teaspoon salt, and 1/2 teaspoon crushed red pepper, as desired, in a small bowl until combined.. Drizzle olive oil mixture over lamb chops, and serve immediately with lemon wedges.","calories: 887, fat: 68g, carbs: 4g, protein: 65g, servings: 4"
Spiced Harissa Beef-and-Lamb Koftas,https://www.allrecipes.com/spiced-harissa-beef-and-lamb-koftas-recipe-8645735,"{'quantity': '1', 'unit': 'pound', 'name': '85% lean ground beef chuck'}, {'quantity': '8', 'unit': 'ounces', 'name': 'ground lamb'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'fresh cilantro'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'harissa paste (see Note)'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground coriander'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'plain yogurt'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'tahini'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'fresh parsley'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}","Preheat an outdoor grill for medium heat (350 to 375 degrees F (175 to 190 degrees C)).. Combine beef, lamb, egg, cilantro, onion, harissa, garlic, coriander, 1 teaspoon salt, the cumin, turmeric, ginger, and cinnamon in a large bowl. Be careful not to overmix, or meat will be tough. Shape mixture around 6 (10-inch) skewers, making the meat mixture 1-inch thick around the skewers.. Oil grill grates. Grill koftas, covered, turning occasionally, until an instant-read thermometer inserted into centers registers 160 degrees F (71 degrees C), about 15 minutes.. Meanwhile, stir yogurt, tahini, lemon juice, parsley, and 1/8 teaspoon salt together in a small bowl. Serve yogurt sauce with koftas.","calories: 366, fat: 23g, carbs: 6g, protein: 34g, servings: 6"
Barbacoa-Spiced Easter Lamb,https://www.allrecipes.com/barbacoa-spiced-easter-lamb-recipe-8604271,"{'quantity': '1', 'unit': '6 to 7 pound', 'name': 'lamb roas'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt (see Note)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chile'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'chipotle'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'oregano'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': None, 'name': 'orange,'}, {'quantity': '1', 'unit': None, 'name': 'lemon, juiced'}, {'quantity': '2', 'unit': None, 'name': 'limes,'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': None, 'name': 'red onion,'}, {'quantity': '2', 'unit': 'pounds', 'name': 'Yukon gold potatoes'}, {'quantity': '4', 'unit': 'large', 'name': 'carrots'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}","Place lamb, fat-side up, on a cutting board; use a knife to score the surface 1/4-inch deep in a crosshatch pattern. After scoring, poke all over with the knife, about 2 inches deep on both sides.. Combine salt, chili powder, black pepper, ancho chile, chipotle, oregano, cinnamon, and garlic powder in a large bowl. Squeeze in orange juice, lemon juice, and lime juice; whisk together thoroughly.. Place lamb into the bowl; turn over several times to coat completely. Transfer to the refrigerator and marinate, uncovered, for 24 to 48 hours, turning at least once halfway through.. Preheat the oven to 475 degrees F (245 degrees C).. Remove the rack from a roasting pan and scatter onions into bottom. Place the rack back on.. Toss potatoes, carrots, olive oil, minced garlic, and salt into a bowl and stir until evenly coated. Transfer to the pan, and space evenly around the outside on top of the rack. Place lamb, fat side up, in the center of rack. Pour chicken stock into the bowl used to marinate the lamb; give it a quick stir and pour all of the liquid into the bottom of the pan.. Place in the preheated oven, and immediately turn temperature down to 300 degrees F (150 degrees C).. Roast until internal temperature in the center of largest muscle reads 135 degrees F (57 degrees C) for medium doneness, about 3 hours. Internal temperature will rise up to 5 degrees while lamb rests, for a final temp of about 140 degrees F (60 degrees C). Roasting time will depend on size of lamb, so start to test with a thermometer after 2 hours, or roast with a probe thermometer inserted throughout.. Remove lamb to a plate or cutting board and cover loosely with foil. Let rest at least 30 minutes before slicing.. Meanwhile, transfer vegetables to a serving platter and keep warm. Pour pan jus into a large measuring cup. Wait for fat to rise to the surface; skim off fat and discard. Serve jus on sliced lamb.","calories: 1068, fat: 59g, carbs: 42g, protein: 91g, servings: 8"
Lamb Rogan Josh,https://www.allrecipes.com/lamb-rogan-josh-recipe-7485811,"{'quantity': '1/3', 'unit': 'cup', 'name': 'plain yogurt'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grated fresh ginger'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground coriander'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'lamb shoulder, cut into 2-inch pieces'}, {'quantity': '2', 'unit': 'medium', 'name': 'onions, finely chopped'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': 'pinch', 'unit': None, 'name': ''}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '2', 'unit': None, 'name': 'bay leaves, crumbled'}, {'quantity': '2', 'unit': None, 'name': 'green cardamom pods, split open at the top'}, {'quantity': '1', 'unit': '(2-inch)', 'name': 'cinnamon stick'}, {'quantity': '4', 'unit': None, 'name': 'whole cloves'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'nutmeg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'freshly chopped cilantro'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly chopped mint'}","Gather the ingredients.. Mix yogurt, garlic, ginger, coriander, cumin, cayenne, paprika, and turmeric in a bowl until well combined.. Place lamb in a nonstick saucepan; add onions and cook over medium heat until onions start to sizzle.. Stir in yogurt mixture; reduce heat to low, cover, and cook, stirring occasionally, until lamb has released all its natural juices, about 30 minutes.. Remove the lid, increase heat to medium and cook, stirring frequently, until sauce has reduced to a paste-like consistency, about 5 minutes.. Stir in tomato paste, salt, and 1 tablespoon of butter. Reduce heat to low; cook and stir for 3 to 4 minutes. Add boiling water, cover, and simmer for 15 minutes.. Melt remaining 1 tablespoon butter over low heat. Add bay leaves, cardamom, cinnamon, and cloves; allow them to sizzle for 30 seconds.. Stir in nutmeg and pour sauce over lamb; mix well, cover, and cook for 10 minutes.. Stir in chopped mint and coriander.","calories: 343, fat: 16g, carbs: 14g, protein: 37g, servings: 4"
Simple Roasted Lamb Breast,https://www.allrecipes.com/simple-roasted-lamb-breast-recipe-8662926,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'parsley flakes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': '(2 1/4 pound)', 'name': 'lamb breast'}","Preheat the oven to 325 degrees F (165 degrees C). Whisk olive oil, rosemary. parsley, paprika, garlic powder, salt, and pepper together in a small bowl.. Place lamb breast in a roasting pan fat side up. Brush seasoned oil on all sides of the breast.. Bake, covered, in the preheated oven until an instant-read thermometer inserted near the center reads 145 degrees F (63 degrees C), about 2 hours. Remove from the oven; let rest for 30 minutes. Cut each breast in half and serve.","calories: 755, fat: 52g, carbs: 1g, protein: 72g, servings: 4"
Roasted Rack of Lamb,https://www.allrecipes.com/recipe/45641/roasted-rack-of-lamb/,"{'quantity': '½', 'unit': 'cup', 'name': 'fresh bread crumbs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '(7 bone)', 'name': 'rack of lamb, trimmed and frenched'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Dijon mustard'}",,"calories: 481, fat: 41g, carbs: 6g, protein: 22g, servings: 4"
What Is Mutton?,https://www.allrecipes.com/article/what-is-mutton/,,,
Herb-Crusted Rack of Lamb,https://www.allrecipes.com/recipe/8463881/herb-crusted-rack-of-lamb/,"{'quantity': '1', 'unit': 'cup', 'name': 'panko bread crumbs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Italian parsley leaves'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh mint leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh rosemary leaves'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '2', 'unit': '(1 pound)', 'name': 'frenched racks of lamb, at room temperature, trimmed of excess fat'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'Dijon mustard'}","Gather ingredients.. Preheat oven to 400 degrees F (200 degrees C). Line a rimmed baking sheet with foil and place a wire rack on top.. Combine bread crumbs, parsley, 1 tablespoon olive oil, garlic, mint, rosemary, 1/4 teaspoon salt, and lemon zest in the bowl of a food processor. Process until well combined, about 45 seconds. Transfer to a shallow dish and set aside.. Heat remaining 2 tablespoons olive oil in a large cast iron skillet over medium-high. Pat lamb dry with paper towels. Season with black pepper and remaining 1/2 teaspoon salt.. Add lamb to skillet and cook until browned on all sides, 4 to 5 minutes total.. Brush the lamb with mustard, then dip and roll into prepared bread crumb mixture to coat, pressing gently to adhere.. Place lamb on the prepared rack, meat side up, with the bones pointed towards the middle of the rack.. Roast in the preheated oven until an instant-read thermometer registers 125 degrees F (52 degrees C) for medium-rare, about 20 minutes, or to desired degree of doneness. Tent loosely with foil and let rest for 10 minutes before slicing in between the bones. Serve immediately.","calories: 762, fat: 65g, carbs: 18g, protein: 30g, servings: 5"
Moroccan Harira Soup,https://www.allrecipes.com/recipe/8479335/moroccan-harira-soup/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil, plus more for garnish'}, {'quantity': '12', 'unit': 'ounces', 'name': 'boneless lamb shoulder, cut into 1/2 -inch pieces (Optional)'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, diced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, divided, or to taste'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'smoked paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'crushed tomatoes'}, {'quantity': '2', 'unit': 'ribs', 'name': 'celery with leaves, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'water, or to taste'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'chickpeas, drained'}, {'quantity': '¾', 'unit': 'cup', 'name': 'green lentils, rinsed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh parsley, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'vermicelli, broken into 1/2-inch pieces'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': '', 'name': 'lemon, juiced'}",,"calories: 214, fat: 6g, carbs: 33g, protein: 10g, servings: 6"
Stout-Braised Lamb Shanks,https://www.allrecipes.com/recipe/158799/stout-braised-lamb-shanks/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '4', 'unit': '', 'name': 'lamb shanks'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '2', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '2', 'unit': '', 'name': 'celery ribs, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'beef broth'}, {'quantity': '1', 'unit': '(12 fluid ounce) bottle', 'name': 'stout (such as Guinness®) or porter'}, {'quantity': '3', 'unit': 'sprigs', 'name': 'fresh thyme'}, {'quantity': '3', 'unit': 'sprigs', 'name': 'fresh parsley'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '1', 'unit': 'sprig', 'name': 'fresh rosemary'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Heat oil in a Dutch oven or large, wide pot over medium-high heat until oil begins to smoke. Sear lamb shanks in hot oil on all sides until browned, about 10 minutes. Remove lamb shanks and set aside. Drain excess grease.. Add onion and garlic to the Dutch oven over medium heat. Cook and stir until onion is softened and translucent, about 5 minutes. Stir in carrots, celery, and tomato paste; cook for 5 minutes more.. Return lamb shanks to the Dutch oven and pour in broth and stout beer. Use kitchen twine to tie together thyme, parsley, and bay leaf into a secure bundle; add to lamb shanks. Bring to a boil.. Reduce heat to medium-low, cover, and simmer, stirring occasionally, until lamb is tender and nearly falls off the bone, 2 to 3 hours. Stir in rosemary sprig and season with salt and pepper during the last 10 minutes of cooking. Remove rosemary sprig and herb bundle before serving.","calories: 348, fat: 15g, carbs: 16g, protein: 30g, servings: 4"
