name,link,ingredients,steps,nutrition
Margarita Bars,https://www.allrecipes.com/margarita-bars-recipe-8680582,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'graham cracker crumbs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '10', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '2', 'unit': '(14 ounce) cans', 'name': 'sweetened condensed milk'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'lime zest'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'tequila'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'orange liqueur'}, {'quantity': None, 'unit': None, 'name': 'sea salt'}","Gather all ingredients.. Preheat the oven to 350 degrees F (175 degrees C). Line a 9-inch square baking pan with aluminum foil, leaving a 2-inch overhang on all sides. Lightly coat with cooking spray; set aside.. Stir together graham cracker crumbs, melted butter, sugar, and 1/4 teaspoon of the salt in a bowl until fully combined and resembles wet sand. Transfer to prepared baking pan, and firmly press into an even layer on bottom of pan.. Bake in the preheated oven until just golden brown and fragrant, 8 to 10 minutes. Remove from oven, and let cool slightly, about 5 minutes.. Whisk together yolks, condensed milk, lime zest and juice, and remaining 1/2 teaspoon salt in a large bowl until smooth. Add tequila and orange liqueur, and whisk until fully combined, about 30 seconds. Pour over slightly cooled crust.. Bake in the preheated oven until edges are set and center has a slight jiggle, 25 to 28 minutes.. Remove from oven; let cool to room temperature in pan on wire rack, about 1 hour. Place in freezer, uncovered, until chilled and set, at least 2 hours or up to 12 hours.. Using excess foil as handles, remove bars from pan, transfer to a cutting board; cut evenly into 16 bars, trimming edges, as desired. Garnish with flaky sea salt and additional lime zest. Serve.","calories: 382, fat: 16g, carbs: 49g, protein: 10g, servings: 16"
Lemon Curd-Poppy Seed Crumb Bars,https://www.allrecipes.com/lemon-curd-poppy-seed-crumb-bars-recipe-8645738,"{'quantity': '3/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'poppy seeds'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'lemon curd'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}","Preheat the oven to 350 degrees F (175 degrees C). Line a 9x9-inch pan with enough parchment paper to have overhang all sides.. In a large bowl, mix together melted butter, brown sugar, vanilla, salt, and almond extract until thoroughly combined. Add in flour, baking powder, and poppy seeds and mix until combined.. Measure out about 1 1/2 cups of the mixture and press evenly into the bottom of the prepared pan. Reserve remaining mixture to use as the crumb topping.. Bake in the preheated oven until crust is just beginning to turn golden brown, 15 to 18 minutes.. Meanwhile, prepare the filling. Mix lemon curd, lemon zest, flour, egg, vanilla extract, and salt together in a bowl with a whisk or electric mixer until thoroughly combined. Pour in sweetened condensed milk and mix until combined.. Remove crust from oven and allow to cool for 5 minutes. Pour filling over crust and smooth into an even layer using a spatula. Sprinkle reserved crumbs evenly over filling.. Bake until bars look set, 20 to 25 minutes. Allow bars to cool completely in the pan. Place bars into the refrigerator until chilled, at least 4 hours. Cut into 16 bars before serving.","calories: 331, fat: 14g, carbs: 47g, protein: 5g, servings: 16"
Chef John's Lemon Bars,https://www.allrecipes.com/recipe/232799/chef-johns-lemon-bars/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter at room temperature'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'freshly squeezed lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly grated lemon zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': ""confectioners' sugar, or to taste""}","Set an oven rack to the middle position and preheat the oven to 350 degrees F (175 degrees C). Lightly grease an 8x8-inch baking dish.. Make crust: Use the back of a spatula or wooden spoon to mash flour and butter in a large bowl until thoroughly combined. Mix in confectioners' sugar, vanilla, and salt until mixture resembles slightly crumbly cookie dough. Moisten your fingers with a little water and press dough into the bottom of the prepared baking dish. Use a fork to prick holes all over crust.. Bake on the middle rack in the preheated oven until edges are barely golden brown, about 22 minutes. Set aside.. Make custard: Beat together eggs and egg yolks in a medium bowl until combined. Whisk in white sugar and flour until smooth. Add lemon juice and zest; whisk for 2 minutes. Pour over warm crust.. Bake on the center rack until custard is set and the top has a thin white sugary crust, about 25 minutes. Let cool completely before cutting into bars.. Dip a knife into very hot water, then run the blade around the edges and cut into 16 squares. Dust bars with confectioners' sugar.","calories: 153, fat: 7g, carbs: 22g, protein: 2g, servings: 16"
Cranberry Lemon Bars,https://www.allrecipes.com/cranberry-lemon-bars-recipe-8399101,"{'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '6', 'unit': 'ounces', 'name': 'cranberries'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'lemon zest'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest'}, {'quantity': None, 'unit': None, 'name': 'confectioners sugar, as needed'}","Preheat the oven to 350 degrees F (180 degrees C). Grease an 8x8-inch pan or line with parchment paper on the bottom, leaving a little overhang to easily remove bars.. Stir melted butter, 3 tablespoons sugar, almond extract, and salt together in a bowl. Add flour, and mix until well incorporated. Press dough mixture into the prepared pan in an even layer.. Bake in the preheated oven until edges start to turn a light brown, 15 to 20 minutes. Remove from the oven, and set aside.. Meanwhile, combine cranberries, 1/4 cup sugar, water, and 1 1/2 tablespoons lemon zest in a small saucepan. Cook over medium heat, stirring often. Once cranberries start to pop, mash down with the back of a spoon, until cranberries break down into a smooth consistency, 9 to 12 minutes. Set aside.. Whisk eggs, 3/4 cup sugar, lemon juice, flour, and 1 tablespoon lemon zest in a bowl until well combined.. To assemble, spread the cranberry mixture evenly over the crust, and pour the lemon layer mixture over the cranberry layer.. Return to the oven and bake until filling is set, 20 to 25 minutes.. Cool completely in the pan, and run a knife around the pan edges. Cut into squares and dust with confectioners sugar right before serving. Store leftovers in an airtight container.","calories: 169, fat: 6g, carbs: 26g, protein: 2g, servings: 16"
The Best Lemon Bars,https://www.allrecipes.com/recipe/10294/the-best-lemon-bars/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': '', 'name': 'lemons, juiced'}",,"calories: 175, fat: 8g, carbs: 26g, protein: 1g, servings: 24"
Lemon Cream Cheese Bars,https://www.allrecipes.com/recipe/237181/lemon-cream-cheese-bars/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'refrigerated crescent roll dough (such as Pillsbury® Recipe Creations®), divided'}, {'quantity': '2', 'unit': '', 'name': 'lemons, zested and juiced, divided'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}","Preheat the oven to 350 degrees F (175 degrees C). Line the bottom of a 9x13-inch baking dish with aluminum foil and coat with cooking spray.. Unroll 1 crescent roll dough; press into the bottom of the prepared baking dish, stretching to the edges.. Mix together lemon juice and 3/4 of the lemon zest in a large bowl. Beat cream cheese and 1/2 cup sugar into juice-zest mixture with an electric mixer until smooth and creamy; spread over crescent roll dough in the baking dish.. Unroll remaining crescent roll dough and place over cream cheese mixture, stretching to the edges. Brush melted butter on top. Mix together 3 tablespoons sugar and remaining lemon zest in a small bowl; sprinkle over melted butter.. Bake in the preheated oven until top is golden brown, about 30 minutes. Allow to cool for about 20 minutes.. Lift dessert from the baking dish using foil; transfer to a cutting board. Cut into squares, leaving on foil. Return dessert to the baking dish and refrigerate until chilled, at least 1 hour.","calories: 171, fat: 12g, carbs: 15g, protein: 3g, servings: 24"
Lemon Square Bars,https://www.allrecipes.com/recipe/25091/lemon-square-bars/,"{'quantity': '2', 'unit': 'cups', 'name': 'sifted all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '⅝', 'unit': 'cup', 'name': 'lemon juice'}","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch pan.. In a medium bowl, stir together 2 cups flour and confectioners' sugar. Blend in the melted butter. Press into the bottom of the prepared pan.. Bake in the preheated oven for 15 minutes, or until golden. In a large bowl, beat eggs until light. Combine the sugar, baking powder and 1/4 cup of flour so there will be no flour lumps. Stir the sugar mixture into the eggs. Finally, stir in the lemon juice. Pour over the prepared crust and return to the oven.. Bake for an additional 30 minutes or until bars are set. Allow to cool completely before cutting into bars.","calories: 208, fat: 9g, carbs: 31g, protein: 2g, servings: 24"
Lemon Pie Bars,https://www.allrecipes.com/recipe/11458/lemon-pie-bars/,"{'quantity': '2 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest'}","Preheat oven to 350 degrees F (175 degrees C).. Mix 2 cups of flour and confectioner's sugar together. Cut in the butter or margarine. Mix well until the dough resembles pie dough consistency. Press the dough into a 9x13 inch baking pan.. Bake 15 to 20 minutes or until golden brown.. Beat together eggs, sugar, 4 tablespoons flour, lemon juice and lemon rind for at least 1 minute. Pour the mixture over the baked crust.. Bake the bars another 20 minutes, or until the lemon topping has set. Sprinkle with confectioner's sugar when cooled.","calories: 136, fat: 7g, carbs: 18g, protein: 2g, servings: 32"
Do Lemon Bars Need to Be Refrigerated?,https://www.allrecipes.com/article/do-lemon-bars-need-to-be-refrigerated/,,,
Lemon Curd Bars,https://www.allrecipes.com/recipe/233813/lemon-curd-bars/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, softened*'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'Pillsbury BEST® All Purpose Flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '(10 ounce) jars', 'name': ""Dickinson's® Lemon Curd""}, {'quantity': '¾', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '½', 'unit': 'cup', 'name': 'almonds, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'powdered sugar'}","Heat oven to 350 degrees F. Beat butter and sugar in large bowl until creamy. Add flour, baking soda and salt. Mix until mixture forms coarse crumbs. Pat 3/4 of mixture into bottom of ungreased 13 x 9-inch baking pan.. Bake 10 minutes. Remove from oven and cool slightly. Spread curd over baked layer. Add coconut and almonds to remaining crumb mixture; stir to mix. Sprinkle over curd.. Bake additional 25 minutes or until lightly brown. Remove from oven and cool slightly. Dust with powdered sugar and cut into squares.","calories: 244, fat: 11g, carbs: 34g, protein: 2g, servings: 24"
