name,link,ingredients,steps,nutrition,image_url
Coconut Rum Brazilian Lemonade,https://www.allrecipes.com/coconut-rum-brazilian-lemonade-recipe-8662721,"{'quantity': '2', 'unit': None, 'name': 'limes'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'coconut rum'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sweetened condensed milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice'}","Rinse limes and cut the ends off.  Cut each lime in 8 wedges and add to a blender.  Add water, coconut rum, and sweetened condensed milk; blend until creamy.. Fill 3 glasses with ice and strain lemonade over.","calories: 169, fat: 2g, carbs: 28g, protein: 2g, servings: 3",https://www.allrecipes.com/thmb/_Fj4JORa7lkR8p3An7QW-VeNTMY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8662721_CoconutBrazilianLemonade4x3-13f50414a615436cb21d3209b2732c5a.jpg
7 Pink Lemonade Recipes That'll Brighten Even the Gloomiest of Days,https://www.allrecipes.com/pink-lemonade-recipes-8631367,,,,https://www.allrecipes.com/thmb/9HB39qHpiq5Pqykl_2xYxrJMmvU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2467328_-easy-raspberry-lemonade-24d35c3a4d414c12b6d71c2e36df8c2a.jpg
Best Homemade Lemonade Ever,https://www.allrecipes.com/recipe/32385/best-lemonade-ever/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '9', 'unit': 'medium', 'name': 'lemons, or more as needed'}, {'quantity': '7', 'unit': 'cups', 'name': 'ice-cold water'}, {'quantity': '', 'unit': '', 'name': 'ice as needed'}",,"calories: 145, carbs: 38g, protein: 0g, servings: 10",https://cdn.jwplayer.com/v2/media/mjJlGvr5/thumbnails/A7iz9zel.jpg
Spiked Strawberry Lemonade,https://www.allrecipes.com/spiked-strawberry-lemonade-recipe-7564731,"{'quantity': '1', 'unit': 'cup', 'name': 'fresh strawberries'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '3', 'unit': 'cups', 'name': 'water, divided'}, {'quantity': None, 'unit': 'tablespoons', 'name': 'sugar, or to taste (optional)'}, {'quantity': None, 'unit': None, 'name': 'vodka, divided'}, {'quantity': None, 'unit': None, 'name': 'ice, as needed'}","Combine strawberries, lemon juice, and 1 cup water in a blender; blend until smooth.. Pour into a pitcher and add remaining 2 cups water. Taste; add sugar as desired.. Fill each glass with ice, add 2 ounces vodka per glass, and top off with strawberry lemonade.","calories: 141, fat: 0g, carbs: 3g, protein: 0g, servings: 4",https://www.allrecipes.com/thmb/IXxQiO4A-34B9qZoomhfbl12nRw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7564731_Spiked-Strawberry-Lemonade_Yoly_4x3-216c3c5ea36445be9572fd34cb6f6205.jpg
Copycat Chick-fil-A Frosted Lemonade,https://www.allrecipes.com/copycat-chick-fil-a-frosted-lemonade-recipe-7550375,"{'quantity': '4', 'unit': 'cups', 'name': 'vanilla ice cream'}, {'quantity': '12', 'unit': 'ounces', 'name': 'frozen lemonade concentrate'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}","Place ice cream, frozen lemonade concentrate, and lemon zest in the jar of a blender, and blend until smooth. Divide into 4 glasses, and serve immediately.","calories: 445, fat: 15g, carbs: 74g, protein: 6g, servings: 4",https://cdn.jwplayer.com/v2/media/wdvEuM3n/poster.jpg?width=720
Old-Fashioned Pink Lemonade,https://www.allrecipes.com/recipe/20560/old-fashioned-pink-lemonade/,"{'quantity': '9', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh lemon juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'cranberry juice, chilled'}, {'quantity': '', 'unit': '', 'name': 'ice as needed'}",,"calories: 151, carbs: 40g, protein: 0g, servings: 12",https://www.allrecipes.com/thmb/i6TBfNG-BgR7MpCoLKatEs0_rJM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5478432-47ad16b56076489881c6b570993aaeec.jpg
Iced Peach Tea Lemonade,https://www.allrecipes.com/iced-peach-tea-lemonade-recipe-7495346,"{'quantity': '5 1/2', 'unit': 'cups', 'name': 'water, divided'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '4', 'unit': None, 'name': 'peaches - peeled, pitted, and sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '4', 'unit': None, 'name': 'each-flavored tea bags'}","Stir together 1 1/2 cups water, sugar, and sliced peaches in a large pot. Bring to a simmer, and simmer until sugar is dissolved, the mixture is syrupy, and syrup is infused with peach flavor, about 10 minutes. Set syrup aside to cool, then strain off peaches; reserve peaches for another use.. Meanwhile, in another pot bring remaining 4 cups water to a boil. Turn heat off. Add tea bags; steep 4 to 6 minutes. Remove tea bags and discard.. Add lemon juice to syrup. To each glass add ice and 6 ounces brewed tea. Sweeten each glass to taste with 1 to 2 ounces lemon-peach syrup.","calories: 185, fat: 0g, carbs: 48g, protein: 1g, servings: 8",https://www.allrecipes.com/thmb/XnjX2FK62qXexpuEKZzZDLZ-PoQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7495346_Iced-Peach-Tea-Lemonade_thedailygourmet_4x3-7b9af17abebd47fdb35f5d60fa3e6916.jpg
Old-Fashioned Lemonade,https://www.allrecipes.com/recipe/20487/old-fashioned-lemonade/,"{'quantity': '6', 'unit': '', 'name': 'lemons'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '6', 'unit': 'cups', 'name': 'water, or more as needed'}","Gather all ingredients.. Juice lemons; you should have 1 cup juice.. Combine juice, sugar, and water in a 1/2-gallon pitcher. Stir until sugar dissolves. Taste and add more water if desired.. Chill and serve over ice.","calories: 151, fat: 0g, carbs: 45g, protein: 1g, servings: 6",https://cdn.jwplayer.com/v2/media/fr8Fbo68/thumbnails/circuYgx.jpg
Hard Cranberry Limeade,https://www.allrecipes.com/hard-cranberry-limeade-recipe-8558931,"{'quantity': '3', 'unit': 'fluid ounces', 'name': 'cranberry vodka (such as Deep Eddy)'}, {'quantity': '1.5', 'unit': 'fluid ounces', 'name': 'lime vodka'}, {'quantity': None, 'unit': None, 'name': 'ice, as needed'}, {'quantity': '4', 'unit': 'ounces', 'name': 'Sprite'}, {'quantity': '1', 'unit': None, 'name': 'lime slice, for garnish'}","Combine cranberry vodka and lime vodka in a tall glass. Add ice, top off with Sprite, and stir. Garnish with lime slice.","calories: 233, fat: 0g, carbs: 29g, protein: 1g, servings: 1",https://www.allrecipes.com/thmb/t6sPCnPNFmnIF7nIM_j-eXTSNio=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8558931_Hard-Cranberry-Limeade_Chef-Mo_4x3-dd71d1c4387a4c77a9105080c6cffa47.jpg
Brazilian Lemonade,https://www.allrecipes.com/recipe/54083/brazilian-lemonade/,"{'quantity': '2', 'unit': '', 'name': 'limes'}, {'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sweetened condensed milk'}, {'quantity': '', 'unit': '', 'name': 'ice cubes'}","Wash limes thoroughly. Cut off the ends and slice into eight wedges.. Place limes in a blender with water, sugar, sweetened condensed milk, and ice; pulse 5 times, or until smooth. Strain through a fine mesh strainer to remove rinds. Serve over ice.","calories: 152, fat: 1g, carbs: 36g, protein: 1g, servings: 4",https://cdn.jwplayer.com/v2/media/4Gp66vjd/poster.jpg?width=720
