name,link,ingredients,steps,nutrition
Asian Lettuce Wraps,https://www.allrecipes.com/recipe/71722/asian-lettuce-wraps/,"{'quantity': '16', 'unit': '', 'name': 'Boston Bibb or butter lettuce leaves'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cooking oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'hoisin sauce'}, {'quantity': '2', 'unit': 'cloves', 'name': 'fresh garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rice wine vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced pickled ginger'}, {'quantity': '1', 'unit': 'dash', 'name': 'Asian chile pepper sauce, or to taste (Optional)'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'water chestnuts, drained and finely chopped'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Asian (dark) sesame oil'}","Gather all ingredients.. Rinse whole lettuce leaves and pat dry, being careful not to tear them; set aside.. Heat oil in a large skillet over medium-high heat. Add beef; cook and stir until browned and crumbly, 5 to 7 minutes. Drain and discard grease; transfer beef to a bowl.. Add onion to the same skillet; cook and stir until just tender, 5 to 7 minutes.. Stir in hoisin sauce, garlic, soy sauce, vinegar, ginger, and chile pepper sauce until well combined. Add water chestnuts, green onions, sesame oil, and cooked beef; cook and stir until the onions just begin to wilt, about 2 minutes.. Arrange lettuce leaves around the outer edge of a large serving platter; spoon beef mixture in the center.","calories: 388, fat: 22g, carbs: 24g, protein: 23g, servings: 4"
Quick Asian Lettuce Wraps,https://www.allrecipes.com/recipe/34721/quick-asian-lettuce-wraps/,"{'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, thinly sliced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': '(14 ounce) package', 'name': 'firm tofu, drained and cubed'}, {'quantity': '2', 'unit': '', 'name': 'carrots, shredded'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'hoisin sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'hot chile paste'}, {'quantity': '1', 'unit': 'head', 'name': 'iceberg lettuce leaves, separated'}","In a saucepan combine the water and rice. Bring to a boil, cover, and reduce heat to a simmer. Simmer for 20 minutes, until water is absorbed. Set aside and keep warm.. Heat oil in a wok over medium-high heat. Cook the pork, green onions, and garlic for 5 to 7 minutes, or until lightly brown. Add the tofu, carrot, Hoisin, and soy sauce, stirring frequently until heated through. Remove from heat, and stir in the sesame oil and chile paste.. To serve: spoon a small amount of rice into each lettuce leaf, top with the stir-fry mixture, and drizzle with additional soy sauce or hoisin, if desired. Wrap the lettuce leaf to enclose the filling.","calories: 836, fat: 31g, carbs: 96g, protein: 46g, servings: 4"
Chef John's Chicken Lettuce Wraps,https://www.allrecipes.com/recipe/239788/chef-johns-chicken-lettuce-wraps/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'skinless, boneless chicken thighs, coarsely chopped'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'water chestnuts, drained and minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced shiitake mushroom caps'}, {'quantity': '½', 'unit': 'cup', 'name': 'minced yellow onion'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped green onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly grated ginger'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chicken stock'}, {'quantity': '¼', 'unit': 'cup', 'name': 'rice wine vinegar'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dry mustard'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro, or to taste'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'chopped fresh basil, or to taste'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'chopped green onion, or to taste'}, {'quantity': '16', 'unit': 'leaves', 'name': 'iceberg lettuce, or as needed'}","Combine chicken, water chestnuts, mushrooms, yellow onion, 1/3 cup green onion, 1 tablespoon soy sauce, ginger, and 2 teaspoons brown sugar together in a bowl. Pat mixture down, cover bowl with plastic wrap, and refrigerate until ready to use.. Whisk chicken stock, vinegar, garlic, ketchup, 1 tablespoon soy sauce, sesame oil, 2 teaspoons brown sugar, pepper flakes, and dry mustard together in a bowl until glaze well-mixed.. Heat vegetable oil in a heavy nonstick skillet over high heat. Add chicken mixture; cook and stir until chicken no longer looks raw, about 2 minutes. Add 1/2 the glaze mixture; cook and stir until chicken begins to caramelize and brown, 10 to 15 minutes.. Reduce heat to medium-low. Pour remaining glaze into chicken mixture; cook until heated through and slightly reduced, about 3 minutes. Stir in cilantro, basil, and 1 1/2 tablespoons green onion. Transfer chicken mixture to a bowl; serve with lettuce leaves as wrappers.","calories: 212, fat: 11g, carbs: 11g, protein: 18g, servings: 8"
Chicken Lettuce Wraps,https://www.allrecipes.com/recipe/229786/chicken-lettuce-wraps/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground chicken'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, cut into large dice'}, {'quantity': '½', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rice wine vinegar, or more to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated fresh ginger'}, {'quantity': '5', 'unit': 'dashes', 'name': 'hot pepper sauce (such as Tabasco®)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Asian (toasted) sesame oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'chunky peanut butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'hot water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '5', 'unit': 'dashes', 'name': 'hot pepper sauce (such as Tabasco®)'}, {'quantity': '6', 'unit': '', 'name': 'large leaves of iceberg lettuce'}, {'quantity': '2', 'unit': '', 'name': 'carrots, shredded'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped green onion, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh cilantro'}","Cook and stir ground chicken in a large skillet until the meat is crumbly and no longer pink, about 10 minutes. Drain excess grease. Stir red bell pepper into chicken; cook and stir until pepper is slightly softened, about 5 more minutes.. Whisk 1/2 cup soy sauce, rice wine vinegar, ginger, 5 dashes hot pepper sauce, and sesame oil in a bowl; pour over chicken mixture. Cook and stir chicken mixture with sauce over low heat until flavors have blended, 5 to 10 minutes.. Mash peanut butter with hot water in a small bowl until smooth; stir 3 tablespoons soy sauce and 5 dashes hot pepper sauce into the mixture. Set dipping sauce aside.. Form lettuce leaves into cup shapes and fill with chicken mixture. Top lettuce wraps with shredded carrots, sprinkle with green onion and cilantro, and a spoonful of peanut dipping sauce.","calories: 292, fat: 13g, carbs: 11g, protein: 34g, servings: 6"
Tuna Lettuce Wraps,https://www.allrecipes.com/recipe/278456/tuna-lettuce-wraps/,"{'quantity': '1', 'unit': '(6 ounce) can', 'name': 'chunk light tuna, drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'light mayonnaise'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '3', 'unit': 'leaves', 'name': 'green lettuce, rinsed and patted dry'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'finely shredded low-fat Cheddar cheese (Optional)'}","Combine tuna, mayonnaise, onion, salt, and pepper in a bowl.. Lay lettuce leaves out. Divide tuna mixture among the leaves, placing it in the middle of each leaf. Sprinkle Cheddar cheese over the tuna. Roll leaves up to create wraps.","calories: 95, fat: 3g, carbs: 1g, protein: 16g, servings: 3"
Lettuce Leaf Tacos,https://www.allrecipes.com/recipe/232454/lettuce-leaf-tacos/,"{'quantity': '1', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': '', 'name': 'yellow onion, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chicken stock (Optional)'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'taco seasoning'}, {'quantity': '2', 'unit': 'large', 'name': 'roma (plum) tomatoes, chopped'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded Cheddar cheese'}, {'quantity': '12', 'unit': '', 'name': 'large romaine lettuce leaves'}","Cook and stir green bell pepper and yellow onion in a skillet over medium heat with olive oil and chicken broth until onion is translucent, about 5 minutes.. Place ground beef in a separate skillet over medium heat. Cook and stir with taco seasoning until beef is browned and crumbly, 5 to 8 minutes. Drain excess grease.. Sprinkle tomatoes with salt in a bowl. Place Cheddar cheese into a separate bowl.. Fill each lettuce leaf with about 2 tablespoons beef filling; top with 1 to 2 teaspoons green pepper mixture, tomato, and about 1 1/2 tablespoons Cheddar cheese.","calories: 550, fat: 39g, carbs: 14g, protein: 35g, servings: 4"
"Easy ""Peking Duck"" Lettuce Cups",https://www.allrecipes.com/recipe/245029/easy-peking-duck-lettuce-cups/,"{'quantity': '6', 'unit': '', 'name': 'whole duck legs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'five-spice powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '3', 'unit': '', 'name': 'green onions, cut into large pieces'}, {'quantity': '5', 'unit': 'cloves', 'name': 'garlic, halved'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped green onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'hoisin sauce'}, {'quantity': '½', 'unit': '', 'name': 'lemon, juiced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'hot sauce'}, {'quantity': '18', 'unit': '', 'name': 'whole butter or Bibb lettuce leaves'}, {'quantity': '1', 'unit': '', 'name': 'cucumber, diced'}, {'quantity': '5', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sesame seeds'}","Preheat the oven to 250 degrees F (120 degrees C).. Prepare duck: Place duck legs into a large bowl and drizzle with oil. Sprinkle with salt, five-spice powder, and black pepper; mix to evenly coat.. Sprinkle large green onion pieces into a baking dish large enough to hold duck legs in a single layer. Place duck legs, skin-side up, on top of green onions. Scatter garlic over duck. Place a piece of parchment paper directly on top of duck to help retain moisture. Cover the baking dish tightly with aluminum foil.. Bake in the preheated oven for 3 hours. Turn off the oven, crack open the oven door, and let duck rest in the oven for 1 hour; do not uncover the dish during this time.. Remove the dish from the oven and let cool to room temperature. Baste duck with rendered fat in the dish. Place the parchment paper back over duck and re-wrap the dish in aluminum foil. Refrigerate for 8 hours to overnight.. Make sauce: Mix together hoisin sauce, lemon juice, sesame oil, and hot sauce in a small bowl. Set aside.. Remove duck meat from bones; leave skin on. Cut meat into 1/2-inch cubes.. Remove 1 tablespoon rendered fat from the dish to a skillet over medium-high heat. Cook and stir 1/2 of the cubed meat in hot fat until pieces are brown and crispy, 4 to 5 minutes. Add remaining meat; cook and stir until duck is just heated through, about 1 minute more. Stir in 1 tablespoon chopped green onion.. Spoon duck mixture into lettuce leaves. Drizzle with sauce; garnish with cucumber, green onions, and sesame seeds.","calories: 280, fat: 15g, carbs: 12g, protein: 25g, servings: 6"
Easy Lettuce Wraps,https://www.allrecipes.com/recipe/65720/easy-lettuce-wraps/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'Kikkoman Stir-Fry Sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dry sherry'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'coarsely chopped cilantro leaves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'Oriental sesame oil'}, {'quantity': None, 'unit': None, 'name': 'i'}","Combine stir-fry sauce, sherry, and cornstarch; set aside.. Stir-fry pork, onion, and garlic together in hot wok or large skillet over high heat until pork is no longer pink; drain excess fat. Add stir-fry sauce mixture; cook, stirring, until pork is evenly coated with sauce. Remove from heat; stir in cilantro and sesame oil. To serve, place desired amount of meat mixture in lettuce leaf and wrap to enclose.",
Easy Chicken Lettuce Wraps,https://www.allrecipes.com/easy-chicken-lettuce-wraps-6786739,"{'quantity': '1', 'unit': '', 'name': 'deli-roasted chicken, meat removed and shredded'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded carrots'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped water chestnuts'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'Asian-style salad dressing'}, {'quantity': '¼', 'unit': 'cup', 'name': 'plain Greek yogurt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes, or to taste (Optional)'}, {'quantity': '1', 'unit': 'head', 'name': 'Boston lettuce leaves'}","Mix chicken, carrots, and water chestnuts together in a large bowl.. Stir salad dressing and yogurt together in a separate bowl until smooth; pour over the chicken mixture and toss to coat.. Spoon chicken mixture into lettuce leaves. Season with red pepper flakes.","calories: 362, fat: 25g, carbs: 8g, protein: 27g, servings: 4"
"One-Bite Thai ""Flavor Bomb"" Salad Wraps (Miang Kham)",https://www.allrecipes.com/recipe/284874/one-bite-thai-flavor-bomb-salad-wraps-miang-kham/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'unsweetened shredded dried coconut'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'finely chopped roasted peanuts'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced shallot'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely minced fresh ginger'}, {'quantity': '1', 'unit': 'small', 'name': 'lime, zested and juiced'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed dark brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fish sauce'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'cubed cooked chicken'}, {'quantity': '32', 'unit': 'leaves', 'name': 'fresh spinach'}, {'quantity': '½', 'unit': 'cup', 'name': 'toasted unsweetened coconut flakes'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'roasted peanuts'}, {'quantity': '32', 'unit': 'leaves', 'name': 'Thai basil'}, {'quantity': '8', 'unit': 'slices', 'name': 'lime, quartered'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely chopped Thai chile peppers'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'diced shallot'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'diced fresh ginger'}",,"calories: 225, fat: 12g, carbs: 24g, protein: 9g, servings: 8"
