name,link,ingredients,steps,nutrition,image_url
Linguine alla Vongole,https://www.allrecipes.com/linguine-alla-vongole-recipe-7508538,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, or as needed'}, {'quantity': '1/4', 'unit': None, 'name': 'white onion, minced'}, {'quantity': '2', 'unit': None, 'name': 'cloves garlic, minced'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '3/4', 'unit': 'cup dry', 'name': 'white wine'}, {'quantity': '2', 'unit': None, 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh parsley, plus more for garnish'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh oregano leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme leaves'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '(8 ounce) bottles', 'name': 'clam juice'}, {'quantity': '4', 'unit': '6.5 ounce) can', 'name': 'chopped clams, drained, juice reserved'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch, or as needed'}, {'quantity': '8', 'unit': 'ounces', 'name': 'linguine pasta'}, {'quantity': '12', 'unit': 'fresh', 'name': 'cherrystone or littleneck clams'}, {'quantity': None, 'unit': '2 tablespoons', 'name': 'armesan cheese, or as needed'}","Pour a thin layer of olive oil into a saucepan over medium-low heat. Add onions and sauté until soft and fragrant, about 5 minutes. Add garlic and crushed red pepper, and sauté until fragrant, about 30 seconds.. Pour in white wine, bay leaves, parsley, oregano, thyme, black pepper, and salt. Increase heat to bring mixture to a simmer; cook until volume is reduced by half.. Stir in bottled clam juice, plus clam juice from 3 cans of chopped clams (set chopped clams aside to use later in the recipe). Reduce heat to medium. Combine clam juice from remaining can of chopped clams with cornstarch in a small jar with a tight-fitting lid; place in the refrigerator to use later for thickening sauce.. Simmer sauce over medium heat, stirring frequently, until it begins to have the consistency of a sauce, about 20 minutes.. While sauce simmers, cook the pasta: bring a large pot of lightly salted water to a boil. Cook linguine at a boil until tender yet firm to the bite, about 11 minutes. Drain and set aside to keep warm.. While pasta cooks, steam the clams: In a pot with a steamer rack, bring water to a boil. Steam whole clams over medium heat, covered, stirring or shaking the pot occasionally until they open, 5 to 7 minutes. Set aside.. Now, pull it all together: add chopped canned clams to sauce; cook just until heated, about 3 minutes. If the sauce is still thin, shake the refrigerated clam juice-cornstarch slurry, and pour in a little at a time; cook and stir until just thick enough–the starch from the linguine will also thicken the sauce a little.. Toss linguine in the pan with clam sauce and coat evenly. Divide linguine onto individual plates; divide whole clams on top. Top with Parmesan cheese and fresh parsley.","calories: 601, fat: 13g, carbs: 38g, protein: 71g, servings: 4",https://www.allrecipes.com/thmb/AKsiqcudw-JaQ2BIUkMRAaTA-WM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/inguine-alla-vongole-recipe-7508538MsChefEsh4x3-6f97951b55934b09830aa2dc07c885e7.jpg
Shrimp Scampi with Pasta,https://www.allrecipes.com/recipe/229960/shrimp-scampi-with-pasta/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'linguine pasta'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '2', 'unit': '', 'name': 'shallots, finely diced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes (Optional)'}, {'quantity': '1', 'unit': 'pound', 'name': 'shrimp, peeled and deveined'}, {'quantity': '1', 'unit': 'pinch', 'name': 'kosher salt and freshly ground pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '1', 'unit': '', 'name': 'lemon, juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely chopped fresh parsley leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'extra-virgin olive oil, or to taste'}",,"calories: 511, fat: 19g, carbs: 58g, protein: 22g, servings: 6",https://cdn.jwplayer.com/v2/media/ojv2xdFi/poster.jpg?width=720
Linguine with Clam Sauce,https://www.allrecipes.com/recipe/11951/linguine-with-clam-sauce/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'linguini pasta'}, {'quantity': '2', 'unit': '(6.5 ounce) cans', 'name': 'minced clams, with juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried parsley'}, {'quantity': '¼', 'unit': 'tablespoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}",,"calories: 878, fat: 43g, carbs: 85g, protein: 37g, servings: 4",https://cdn.jwplayer.com/v2/media/sjdloD4l/thumbnails/6euLztHh.jpg
Pesto Cream Sauce,https://www.allrecipes.com/recipe/40186/pesto-cream-sauce/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'linguine pasta'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}, {'quantity': '8', 'unit': 'cloves', 'name': 'garlic, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'pepper'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'grated Romano cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'prepared basil pesto'}, {'quantity': '1', 'unit': 'pound', 'name': 'cooked shrimp, peeled and deveined'}, {'quantity': '20', 'unit': '', 'name': 'mushrooms, chopped'}, {'quantity': '3', 'unit': '', 'name': 'roma (plum) tomato, diced'}","Fill a large pot with lightly salted water and bring to a rolling boil. Stir in linguine and return to a boil. Cook pasta uncovered, stirring occasionally, until tender yet firm to the bite, about 8 to 10 minutes; drain.. Heat olive oil in a large skillet over medium heat. Sauté onion until tender and translucent. Stir in garlic and butter; sauté until garlic is soft and fragrant, about 1 minute.. Dissolve flour in milk; stir into onion mixture. Season with salt and pepper; simmer for 4 minutes, stirring constantly. Add cheese and stir until melted. Stir in pesto. Add shrimp, mushrooms, and tomatoes; cook for 4 minutes, or until heated through.. Add pasta and toss until evenly coated.","calories: 677, fat: 38g, carbs: 52g, protein: 34g, servings: 8",https://www.allrecipes.com/thmb/O2PlQuobG5SsJHFR99PXtdv74Nk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/40186-pesto-cream-sauce-ddmfs-4x3-5510-e616d59d6d0343e6a207be85e29c4931.jpg
Creamy Pesto Shrimp,https://www.allrecipes.com/recipe/11808/creamy-pesto-shrimp/,"{'quantity': '1', 'unit': 'pound', 'name': 'linguine pasta'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'pesto'}, {'quantity': '1', 'unit': 'pound', 'name': 'large shrimp, peeled and deveined'}","Gather ingredients together.. Fill a large pot with lightly salted water and bring to a rolling boil. Stir in linguine and return to a boil. Cook pasta uncovered, stirring occasionally, until tender yet firm to the bite, about 8 to 10 minutes; drain.. Meanwhile, melt butter in a large skillet over medium heat. Stir in cream and season with pepper; cook, stirring constantly, for 6 to 8 minutes.. Stir Parmesan cheese into cream sauce until thoroughly mixed. Stir in pesto and cook until thickened, 3 to 5 minutes.. Stir in shrimp and cook until they turn pink, about 5 minutes. Serve sauce over hot linguine.. Serve hot and enjoy!","calories: 646, fat: 43g, carbs: 43g, protein: 23g, servings: 8",https://cdn.jwplayer.com/v2/media/x2kK0a5J/poster.jpg?width=720
Garlic Shrimp Linguine,https://www.allrecipes.com/recipe/17048/garlic-shrimp-linguine/,"{'quantity': '1', 'unit': 'pound', 'name': 'uncooked linguine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white wine'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grated Parmesan cheese, plus more for serving'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped fresh parsley, plus more for garnish'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'medium shrimp, peeled and deveined'}","Bring a large pot of lightly salted water to a boil. Cook linguine at a boil until tender yet firm to the bite, about 11 minutes. Drain.. Melt butter in a medium saucepan over medium-low heat. Add wine, garlic, Parmesan cheese, and parsley. Season with salt and pepper. Simmer, stirring frequently, over low heat for 3 to 5 minutes.. Increase heat to medium-high and add shrimp to the saucepan; cook until shrimp begins to turn pink, 3 to 4 minutes. Do not overcook.. Divide pasta into 8 bowls. Spoon shrimp with sauce on top. Garnish with Parmesan cheese and parsley.","calories: 287, fat: 5g, carbs: 42g, protein: 18g, servings: 8",https://cdn.jwplayer.com/v2/media/cL34xOdN/poster.jpg?width=720
Linguine with White Clam Sauce,https://www.allrecipes.com/recipe/12029/linguine-with-white-clam-sauce-ii/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'linguine pasta'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '3', 'unit': '(8 ounce) cans', 'name': 'minced clams, with juice'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white wine'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Bring a large pot of lightly salted water to a boil. Cook linguine at a boil until tender yet firm to the bite, about 10 minutes.. Meanwhile, heat olive oil in a large skillet over medium heat. Add garlic; cook and stir until fragrant, about 1 minute. Stir in liquid from clams, parsley, white wine, basil, and salt; simmer for 10 minutes.. Stir in clams until heated through. Add cooked linguine pasta; toss to combine and serve warm.","calories: 545, fat: 15g, carbs: 57g, protein: 44g, servings: 6",https://cdn.jwplayer.com/v2/media/WBCTRlwS/poster.jpg?width=720
Pasta Pancetta,https://www.allrecipes.com/recipe/92525/pasta-pancetta/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'linguine pasta'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '6', 'unit': 'ounces', 'name': 'pancetta bacon, diced'}, {'quantity': '5', 'unit': '', 'name': 'shallots, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh sliced mushrooms'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '2', 'unit': 'pinches', 'name': 'freshly ground black pepper, or as needed'}, {'quantity': '2', 'unit': 'pinches', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese'}","Bring a large pot of lightly salted water to a boil. Cook linguine at a boil until tender yet firm to the bite, about 11 minutes. Drain, transfer back to the pot, and set aside.. Meanwhile, heat olive oil in a large skillet over medium heat. Cook pancetta in hot oil until just beginning to brown. Stir in shallots, mushrooms, garlic, pepper, and oregano; cook until fragrant, about 1 minute.. Pour in chicken broth; bring to a boil over medium-high heat, stirring occasionally, for 1 to 2 minutes. Reduce heat, cover, and simmer for 5 to 7 minutes.. Strain liquid from the pan into pasta; toss to coat. Divide pasta onto individual serving plates, then top with equal portions of pancetta and mushrooms. Serve with Parmesan cheese and pepper.","calories: 477, fat: 25g, carbs: 50g, protein: 15g, servings: 6",https://www.allrecipes.com/thmb/JMtbbpgUH5Y_XjF_fuqQ8DSQrbY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/966816-ad654254c8c74c89803d3dd6810301e3.jpg
Scrumptious Seafood Linguine,https://www.allrecipes.com/recipe/23970/scrumptious-seafood-linguine/,"{'quantity': '2', 'unit': '(9 ounce) packages', 'name': 'fresh linguine pasta'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '½', 'unit': 'pound', 'name': 'imitation crabmeat'}, {'quantity': '½', 'unit': 'pound', 'name': 'cooked salad shrimp'}, {'quantity': '1', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}","Bring a large pot of lightly salted water to a boil. Add linguine and cook until tender yet firm to the bite, about 3 minutes.. At the same time, melt butter in a large skillet over medium heat. Add garlic and sauté until fragrant, about 1 minute. Stir in cream and cook until thickened, about 5 minutes. Add crabmeat, shrimp, Parmesan, salt, and pepper. Reduce the heat to low and cook until heated through, 2 to 3 minutes.. Transfer cooked linguine to a serving platter. Pour seafood sauce over top and garnish with parsley.","calories: 437, fat: 22g, carbs: 41g, protein: 20g, servings: 8",https://www.allrecipes.com/thmb/A5KU5_q61iyzgPAGyXOFW7CK86s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Scrumptious-Seafood-Linguine4x3-73d45251a3b84306b796281ac67e9088.jpg
Pork Lo Mein,https://www.allrecipes.com/recipe/231523/pork-lo-mein/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'linguine'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'low-sodium soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'snap peas'}, {'quantity': '1', 'unit': 'small', 'name': 'sweet onion, chopped'}, {'quantity': '1', 'unit': '(12 ounce)', 'name': 'pork tenderloin, cut into thin strips'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'sliced white mushrooms'}, {'quantity': '1', 'unit': 'medium', 'name': 'red bell pepper, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, chopped, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chopped fresh ginger, or to taste'}, {'quantity': '3', 'unit': '', 'name': 'green onions, sliced'}","Bring a large pot of lightly salted water to a boil; cook the linguine at a boil until tender yet firm to the bite, 8 to 9 minutes; drain.. Meanwhile, whisk soy sauce, vinegar, cornstarch, sugar, and sesame oil together in a small bowl.. Heat canola oil in a large skillet over medium-high heat. Add snap peas and onion; cook and stir until onion is translucent, about 2 minutes. Add pork, mushrooms, red bell pepper, 1/3 of the garlic, and ginger; cook until pork is no longer pink, about 2 minutes.. Add remaining garlic to the skillet and cook until fragrant, about 1 minute. Pour in soy sauce mixture; cook and stir until sauce thickens, about 1 minute. Remove from the heat.. Stir linguine into the skillet until coated; sprinkle green onions over top.","calories: 415, fat: 11g, carbs: 55g, protein: 26g, servings: 4",https://www.allrecipes.com/thmb/sFxqk_zbuJWtmBGsBYHCFR7dl54=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049364-dab735471f0245f9a54958063655c22a.jpg
