name,link,ingredients,steps,nutrition,image_url
Jamie's Sweet and Easy Corn on the Cob,https://www.allrecipes.com/recipe/222352/jamies-sweet-and-easy-corn-on-the-cob/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '6', 'unit': 'ears', 'name': 'corn on the cob, husks and silk removed'}",,"calories: 94, fat: 1g, carbs: 22g, protein: 3g, servings: 6",https://cdn.jwplayer.com/v2/media/GxwPrM81/thumbnails/a6nlvrc2.jpg
Sarah's Homemade Applesauce,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,"{'quantity': '4', 'unit': '', 'name': 'apples - peeled, cored and chopped'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}",,"calories: 121, fat: 0g, carbs: 32g, protein: 0g, servings: 4",https://cdn.jwplayer.com/v2/media/647yo1IR/thumbnails/Z1b0R11Y.jpg
Best Spanish Rice,https://www.allrecipes.com/recipe/33385/best-spanish-rice/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped onion'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'picante sauce'}","Gather all ingredients.. Heat oil in a large, heavy skillet over medium heat. Add onion; cook and stir until tender, about 5 minutes.. Add rice; cook and stir until rice begins to turn golden brown.. Stir in chicken broth and picante sauce.. Reduce heat, cover, and simmer until liquid has been absorbed, about 15 to 20 minutes.","calories: 286, fat: 6g, carbs: 51g, protein: 6g, servings: 5",https://cdn.jwplayer.com/v2/media/KDfen3Gc/thumbnails/AvTbISZP.jpg
Apple Pie Filling,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,"{'quantity': '18', 'unit': 'cups', 'name': 'thinly sliced apples'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '10', 'unit': 'cups', 'name': 'water'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'cornstarch'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}",,"calories: 129, fat: 0g, carbs: 33g, protein: 0g, servings: 40",https://cdn.jwplayer.com/v2/media/dc1TFuHB/thumbnails/1Ol35D8D.jpg
Black Beans and Rice,https://www.allrecipes.com/recipe/15559/black-beans-and-rice/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'low sodium, low fat vegetable broth'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'canned black beans, drained'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}","Gather all ingredients.. Heat oil in a saucepan over medium-high heat. Add onion and garlic; cook and stir until onion has softened, about 4 minutes.. Stir in rice to coat; cook and stir for 2 minutes.. Add vegetable broth and bring to a boil. Cover, reduce to a simmer, and cook until liquid is absorbed, about 20 minutes.. Stir in beans, cumin, and cayenne; cook until beans are warmed through.. Serve and enjoy!","calories: 140, fat: 1g, carbs: 27g, protein: 6g, servings: 6",https://cdn.jwplayer.com/v2/media/85dDMahg/thumbnails/FCl8rxvo.jpg
Oven Roasted Potatoes,https://www.allrecipes.com/recipe/20963/oven-roasted-potatoes/,"{'quantity': '⅛', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried dill weed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'large', 'name': 'potatoes, peeled and cubed'}","Preheat the oven to 475 degrees F (245 degrees C).. Combine oil, garlic, basil, marjoram, dill, thyme, oregano, parsley, pepper flakes, and salt in a large bowl.. Stir in potatoes until evenly coated. Place potatoes in a single layer on a roasting pan or baking sheet.. Roast in the preheated oven, turning occasionally to brown on all sides, until tender with crispy edges, about 20 to 30 minutes.. Serve hot and enjoy!","calories: 289, fat: 7g, carbs: 53g, protein: 5g, servings: 4",https://cdn.jwplayer.com/v2/media/Gb9cbVSx/poster.jpg?width=720
Indian Style Basmati Rice,https://www.allrecipes.com/recipe/72349/indian-style-basmati-rice/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'basmati rice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '(2 inch) piece', 'name': 'cinnamon stick'}, {'quantity': '2', 'unit': 'pods', 'name': 'green cardamom'}, {'quantity': '2', 'unit': '', 'name': 'whole cloves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cumin seed'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, thinly sliced'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or to taste'}","Gather all ingredients.. Place rice into a bowl with enough water to cover. Set aside to soak for 20 minutes.. In the last 10 minutes of soaking, heat oil in a large pot or saucepan over medium heat. Add cinnamon stick, cardamom pods, and cloves, then stir in cumin seed.. Cook and stir until fragrant and toasted, about a minute. Add sliced onion and stir.. Sauté until the onion is tender and a rich golden brown color, about 10 minutes.. Drain water from rice, and stir into the pot. Cook and stir rice until lightly toasted, about 3 minutes.. Add water and salt, and bring to a boil. Cover and reduce heat to low. Simmer until all the water has been absorbed, about 15 minutes.. Let stand for 5 minutes, then fluff with a fork before serving.","calories: 216, fat: 5g, carbs: 39g, protein: 4g, servings: 6",https://cdn.jwplayer.com/v2/media/hQkztwvt/thumbnails/4oSjT7Qt.jpg
Pesto Pasta with Chicken,https://www.allrecipes.com/recipe/46982/pesto-pasta-with-chicken/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'bow tie pasta'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breasts, cut into bite-sized pieces'}, {'quantity': '1', 'unit': 'pinch', 'name': 'crushed red pepper flakes, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'pesto sauce'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'oil-packed sun-dried tomatoes, drained and cut into strips'}","Gather all ingredients.. Bring a large pot of lightly salted water to a boil. Add pasta and cook until al dente, 8 to 10 minutes; drain.. Heat oil in a large skillet over medium heat. Sauté garlic until tender.. Stir in chicken and season with red pepper flakes. Cook until chicken is golden and cooked through.. Combine pasta, chicken, pesto, and sun-dried tomatoes in a large bowl; toss to coat evenly.","calories: 328, fat: 10g, carbs: 43g, protein: 17g, servings: 8",https://cdn.jwplayer.com/v2/media/PawDvhTw/thumbnails/ooeDL4AP.jpg
Crisp Pickled Green Beans,https://www.allrecipes.com/recipe/62594/crisp-pickled-green-beans/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'distilled white vinegar'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'salt'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, peeled'}, {'quantity': '2 ½', 'unit': 'pounds', 'name': 'fresh green beans'}, {'quantity': '6', 'unit': 'large', 'name': 'sprigs dill'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'red pepper flakes (Optional)'}",,"calories: 8, carbs: 2g, protein: 1g, servings: 48",https://cdn.jwplayer.com/v2/media/lCpkVZET/thumbnails/hjXtJgy0.jpg
Air Fryer Baked Potatoes,https://www.allrecipes.com/recipe/265979/air-fryer-baked-potatoes/,"{'quantity': '2', 'unit': 'large', 'name': 'russet potatoes, scrubbed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'peanut oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'coarse sea salt'}",,"calories: 344, fat: 7g, carbs: 65g, protein: 8g, servings: 2",https://cdn.jwplayer.com/v2/media/SaYqKvoz/poster.jpg?width=720
