name,link,ingredients,steps,nutrition
Air Fryer Sweet Potato Chips,https://www.allrecipes.com/air-fryer-sweet-potato-chips-recipe-7510177,"{'quantity': '1 large (8', 'unit': 'ounces)', 'name': 'sweet potato'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'canola oil'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '1/4', 'unit': 'teaspoon freshly', 'name': 'ground black pepper'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}","Slice potato into 1/16-inch-thick rounds using a mandoline. Put potato slices in a large bowl of cold water; soak about 20 minutes. Drain and pat dry with paper towels. Wipe out bowl.. Return potato slices to dried bowl. Add oil, salt, and pepper; toss gently to coat.. Preheat air fryer to 350 degrees F (175 degrees C). Lightly coat air fryer basket with cooking spray. Working in batches if needed, arrange potato slices in an even layer in basket (do not overcrowd).. Cook until lightly golden and crispy, 12 to 16 minutes, turning and rearranging chips into an even layer every 4 minutes. Watch closely during the last 2 to 3 minutes of cooking. Check chips about every 30 seconds, using tongs to remove golden chips from the basket as needed to avoid overcooking and ending up with bitter chips.. Let chips cool about 5 minutes. Chips will continue to crisp as they cool.Store in an airtight container up to 3 days.","calories: 82, fat: 4g, carbs: 12g, protein: 1g, servings: 4"
Jamie's Sweet and Easy Corn on the Cob,https://www.allrecipes.com/recipe/222352/jamies-sweet-and-easy-corn-on-the-cob/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '6', 'unit': 'ears', 'name': 'corn on the cob, husks and silk removed'}",,"calories: 94, fat: 1g, carbs: 22g, protein: 3g, servings: 6"
Sarah's Homemade Applesauce,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,"{'quantity': '4', 'unit': '', 'name': 'apples - peeled, cored and chopped'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}",,"calories: 121, fat: 0g, carbs: 32g, protein: 0g, servings: 4"
Vietnamese Fresh Spring Rolls,https://www.allrecipes.com/recipe/24239/vietnamese-fresh-spring-rolls/,"{'quantity': '2', 'unit': 'ounces', 'name': 'rice vermicelli'}, {'quantity': '8', 'unit': '', 'name': 'rice wrappers (8.5 inch diameter)'}, {'quantity': '8', 'unit': 'large', 'name': 'cooked shrimp - peeled, deveined and cut in half'}, {'quantity': '2', 'unit': 'leaves', 'name': 'lettuce, chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh mint leaves'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}, {'quantity': '1 ⅓', 'unit': 'tablespoons', 'name': 'chopped fresh Thai basil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lime juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'fish sauce'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic chili sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'hoisin sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'finely chopped peanuts'}",,"calories: 82, fat: 1g, carbs: 16g, protein: 3g, servings: 8"
Perfect Summer Fruit Salad,https://www.allrecipes.com/recipe/214947/perfect-summer-fruit-salad/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'fresh orange juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'grated orange zest'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'grated lemon zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'cubed fresh pineapple'}, {'quantity': '2', 'unit': 'cups', 'name': 'strawberries, hulled and sliced'}, {'quantity': '3', 'unit': '', 'name': 'kiwi fruit, peeled and sliced'}, {'quantity': '3', 'unit': '', 'name': 'bananas, sliced'}, {'quantity': '2', 'unit': '', 'name': 'oranges, peeled and sectioned'}, {'quantity': '1', 'unit': 'cup', 'name': 'seedless grapes'}, {'quantity': '2', 'unit': 'cups', 'name': 'blueberries'}",,"calories: 155, fat: 1g, carbs: 39g, protein: 2g, servings: 10"
Split Pea Soup,https://www.allrecipes.com/recipe/13384/split-pea-soup/,"{'quantity': '2 ¼', 'unit': 'cups', 'name': 'dried split peas, rinsed well'}, {'quantity': '2', 'unit': 'quarts', 'name': 'cold water, plus more as needed'}, {'quantity': '1', 'unit': '(1 ½ pound)', 'name': 'ham bone'}, {'quantity': '2', 'unit': '', 'name': 'onions, thinly sliced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'dried marjoram'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '3', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '1', 'unit': '', 'name': 'potato, diced'}",,"calories: 310, fat: 1g, carbs: 58g, protein: 20g, servings: 6"
Gnocchi,https://www.allrecipes.com/recipe/18465/gnocchi-i/,"{'quantity': '3', 'unit': 'medium', 'name': 'russet potatoes, scrubbed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}",,"calories: 314, fat: 2g, carbs: 64g, protein: 10g, servings: 4"
Cabbage Fat-Burning Soup,https://www.allrecipes.com/recipe/13116/cabbage-fat-burning-soup/,"{'quantity': '10', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '5', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '3', 'unit': '', 'name': 'onions, chopped'}, {'quantity': '2', 'unit': '', 'name': 'green bell peppers, diced'}, {'quantity': '1', 'unit': 'large head', 'name': 'cabbage, chopped'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'cut green beans, drained'}, {'quantity': '2', 'unit': 'quarts', 'name': 'tomato juice'}, {'quantity': '2', 'unit': '(16 ounce) cans', 'name': 'whole peeled tomatoes, with liquid'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'beef broth'}, {'quantity': '', 'unit': '', 'name': 'cold water, to cover'}, {'quantity': '1', 'unit': '(1 ounce) envelope', 'name': 'dry onion soup mix'}","Gather all ingredients.. Place celery, carrots, onions, cabbage, bell peppers, and green beans in a large soup pot.. Add tomato juice, tomatoes, beef broth, and enough water to cover vegetables; add onion soup mix and stir to combine.. Bring to a boil over medium heat; reduce heat to low and simmer until vegetables are tender, about 25 minutes.. Serve and enjoy!","calories: 90, fat: 1g, carbs: 21g, protein: 4g, servings: 15"
Apple Pie Filling,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,"{'quantity': '18', 'unit': 'cups', 'name': 'thinly sliced apples'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '10', 'unit': 'cups', 'name': 'water'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'cornstarch'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}",,"calories: 129, fat: 0g, carbs: 33g, protein: 0g, servings: 40"
Black Beans and Rice,https://www.allrecipes.com/recipe/15559/black-beans-and-rice/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'low sodium, low fat vegetable broth'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'canned black beans, drained'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}","Gather all ingredients.. Heat oil in a saucepan over medium-high heat. Add onion and garlic; cook and stir until onion has softened, about 4 minutes.. Stir in rice to coat; cook and stir for 2 minutes.. Add vegetable broth and bring to a boil. Cover, reduce to a simmer, and cook until liquid is absorbed, about 20 minutes.. Stir in beans, cumin, and cayenne; cook until beans are warmed through.. Serve and enjoy!","calories: 140, fat: 1g, carbs: 27g, protein: 6g, servings: 6"
