name,link,ingredients,steps,nutrition
Miso Soup,https://www.allrecipes.com/recipe/13107/miso-soup/,"{'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dashi granules'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'miso paste'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'silken tofu, diced'}, {'quantity': '2', 'unit': '', 'name': 'green onions, sliced diagonally into 1/2 inch pieces'}","Gather all ingredients.. Combine water and dashi granules in a medium saucepan over medium-high heat; bring to a boil.. Reduce heat to medium and whisk in miso paste.. Stir in tofu.. Separate the layers of green onions, and add them to the soup. Simmer gently for 2 to 3 minutes before serving.","calories: 63, fat: 2g, carbs: 5g, protein: 6g, servings: 4"
The Best Vegetarian Chili in the World,https://www.allrecipes.com/recipe/72508/the-best-vegetarian-chili-in-the-world/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '2', 'unit': '', 'name': 'bay leaves'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': '', 'name': 'green bell peppers, chopped'}, {'quantity': '2', 'unit': '', 'name': 'jalapeno peppers, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '2', 'unit': '(4 ounce) cans', 'name': 'chopped green chile peppers, drained'}, {'quantity': '2', 'unit': '(12 ounce) packages', 'name': 'vegetarian burger crumbles'}, {'quantity': '3', 'unit': '(28 ounce) cans', 'name': 'whole peeled tomatoes, crushed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'kidney beans, drained'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'garbanzo beans, drained'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'whole kernel corn'}",,"calories: 391, fat: 8g, carbs: 59g, protein: 28g, servings: 8"
Grilled Asparagus,https://www.allrecipes.com/recipe/17445/grilled-asparagus/,"{'quantity': '1', 'unit': 'pound', 'name': 'fresh asparagus spears, trimmed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}",,"calories: 55, fat: 4g, carbs: 5g, protein: 3g, servings: 4"
Creole Seasoning Blend,https://www.allrecipes.com/recipe/38214/creole-seasoning-blend/,"{'quantity': '5', 'unit': 'tablespoons', 'name': 'paprika'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'onion powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cayenne pepper'}","Gather all ingredients.. Combine paprika, salt, onion powder, garlic powder, oregano, basil, thyme, black pepper, white pepper, and cayenne pepper.. Store in an airtight container.","calories: 16, fat: 0g, carbs: 3g, protein: 1g, servings: 20"
Slow Cooker Venison Roast,https://www.allrecipes.com/recipe/23825/slow-cooker-venison-roast/,"{'quantity': '3', 'unit': 'pounds', 'name': 'boneless venison roast'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, sliced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'dry onion soup mix'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed cream of mushroom soup'}","Gather all ingredients.. Clean venison roast and place in a slow cooker. Cover with onion slices, then sprinkle with soy sauce, Worcestershire sauce, garlic salt, and pepper.. Stir onion soup mix and condensed soup together in a small bowl. Pour mixture over venison.. Cover and cook on Low setting for 6 hours.. Serve and enjoy!","calories: 314, fat: 8g, carbs: 10g, protein: 48g, servings: 6"
Easy Baked Tilapia,https://www.allrecipes.com/recipe/70163/easy-baked-tilapia/,"{'quantity': '4', 'unit': '(4 ounce) fillets', 'name': 'tilapia'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic salt, or to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'seafood seasoning (such as Old Bay®), or to taste'}, {'quantity': '1', 'unit': '', 'name': 'lemon, sliced'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen cauliflower with broccoli and red pepper'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Preheat the oven to 375 degrees F (190 degrees F). Grease a 9x13-inch baking dish.. Place tilapia fillets in the bottom of the baking dish, then dot with butter and season with garlic salt and seafood seasoning.. Top each fillet with a slice or two of lemon.. Arrange frozen mixed vegetables around fillets and season lightly with salt and pepper. Cover the dish with aluminum foil.. Bake in the preheated oven until vegetables are tender and fish flakes easily with a fork, 25 to 30 minutes.. Serve hot and enjoy!","calories: 172, fat: 4g, carbs: 7g, protein: 25g, servings: 4"
Pesto Pasta with Chicken,https://www.allrecipes.com/recipe/46982/pesto-pasta-with-chicken/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'bow tie pasta'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breasts, cut into bite-sized pieces'}, {'quantity': '1', 'unit': 'pinch', 'name': 'crushed red pepper flakes, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'pesto sauce'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'oil-packed sun-dried tomatoes, drained and cut into strips'}","Gather all ingredients.. Bring a large pot of lightly salted water to a boil. Add pasta and cook until al dente, 8 to 10 minutes; drain.. Heat oil in a large skillet over medium heat. Sauté garlic until tender.. Stir in chicken and season with red pepper flakes. Cook until chicken is golden and cooked through.. Combine pasta, chicken, pesto, and sun-dried tomatoes in a large bowl; toss to coat evenly.","calories: 328, fat: 10g, carbs: 43g, protein: 17g, servings: 8"
Slow Cooker Chili,https://www.allrecipes.com/recipe/48449/slow-cooker-chili-ii/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '¾', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '¾', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '¾', 'unit': 'cup', 'name': 'diced green bell pepper'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': '(10.75 ounce) cans', 'name': 'tomato puree'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'kidney beans with liquid'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'kidney beans, drained'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'cannellini beans with liquid'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried parsley'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'hot pepper sauce'}","Place beef in a skillet over medium heat and cook until evenly brown, 8 to 10 minutes. Drain grease.. Transfer beef to a slow cooker and mix in onion, celery, bell pepper, garlic, tomato puree, kidney beans, and cannellini beans. Season with chili powder, salt, basil, oregano, parsley, black pepper, and hot pepper sauce.. Cover and cook on Low for 8 hours.. Serve hot and enjoy!","calories: 273, fat: 8g, carbs: 33g, protein: 19g, servings: 8"
Fajita Marinade,https://www.allrecipes.com/recipe/19963/fajita-marinade-i/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'liquid smoke flavoring'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,
Ham and Beans,https://www.allrecipes.com/recipe/21403/ham-and-beans/,"{'quantity': '1', 'unit': 'pound', 'name': 'dry great Northern beans'}, {'quantity': '½', 'unit': 'pound', 'name': 'cooked ham, diced'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried parsley'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '6', 'unit': 'cups', 'name': 'water, or as needed to cover'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Gather all ingredients.. Rinse beans; transfer to a large stockpot. Cover with cold water and let stand overnight or at least 8 hours. Drain and rinse beans.. Return beans to stockpot; add ham, onion, sugar, parsley, and cayenne pepper. Pour in enough water to cover and season with salt and pepper.. Bring to a boil; reduce heat to low and simmer until beans are tender, adding more water if needed, about 1 1/2 to 2 hours.. Serve and enjoy!","calories: 300, fat: 7g, carbs: 43g, protein: 19g, servings: 7"
