name,link,ingredients,steps,nutrition
Jamie's Sweet and Easy Corn on the Cob,https://www.allrecipes.com/recipe/222352/jamies-sweet-and-easy-corn-on-the-cob/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '6', 'unit': 'ears', 'name': 'corn on the cob, husks and silk removed'}",,"calories: 94, fat: 1g, carbs: 22g, protein: 3g, servings: 6"
Homemade Chicken Soup,https://www.allrecipes.com/recipe/8814/homemade-chicken-soup/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'whole chicken'}, {'quantity': '4', 'unit': '', 'name': 'carrots, halved'}, {'quantity': '4', 'unit': 'stalks', 'name': 'celery, halved'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, halved'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chicken bouillon granules (Optional)'}",,"calories: 152, fat: 9g, carbs: 4g, protein: 13g, servings: 10"
Roasted Pork Loin,https://www.allrecipes.com/recipe/21766/roasted-pork-loin/,"{'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried rosemary'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '2', 'unit': 'pounds', 'name': 'boneless pork loin roast'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}","Gather all ingredients. Preheat oven to 350 degrees F (175 degrees C).. Crush garlic with rosemary, salt, and pepper in a mortar and pestle to make a paste.. Pierce meat with a sharp knife in several places and press garlic paste into the openings. Rub pork loin with the remaining garlic mixture and olive oil. Set into an oven-safe pan.. Place pork loin into the preheated oven, turning and basting with pan liquids every 30 minutes. Cook until the pork is no longer pink in the center, 90 minutes to 2 hours. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C). Remove roast to a platter and keep warm.. Place pan onto the stove over medium-high heat and pour wine into it. Heat wine and stir to loosen browned bits from the bottom of the pan. Simmer for 3 to 5 minutes.. Slice pork loin and serve with pan juices.","calories: 300, fat: 21g, carbs: 1g, protein: 23g, servings: 8"
Sarah's Homemade Applesauce,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,"{'quantity': '4', 'unit': '', 'name': 'apples - peeled, cored and chopped'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}",,"calories: 121, fat: 0g, carbs: 32g, protein: 0g, servings: 4"
Homemade Crispy Hash Browns,https://www.allrecipes.com/recipe/57783/emilys-famous-hash-browns/,"{'quantity': '2', 'unit': 'medium', 'name': 'russet potatoes, shredded'}, {'quantity': '½', 'unit': 'medium', 'name': 'onion, finely chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'cup', 'name': 'oil for frying, or as needed'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}",,"calories: 183, fat: 7g, carbs: 26g, protein: 5g, servings: 4"
Perfect Summer Fruit Salad,https://www.allrecipes.com/recipe/214947/perfect-summer-fruit-salad/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'fresh orange juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'grated orange zest'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'grated lemon zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'cubed fresh pineapple'}, {'quantity': '2', 'unit': 'cups', 'name': 'strawberries, hulled and sliced'}, {'quantity': '3', 'unit': '', 'name': 'kiwi fruit, peeled and sliced'}, {'quantity': '3', 'unit': '', 'name': 'bananas, sliced'}, {'quantity': '2', 'unit': '', 'name': 'oranges, peeled and sectioned'}, {'quantity': '1', 'unit': 'cup', 'name': 'seedless grapes'}, {'quantity': '2', 'unit': 'cups', 'name': 'blueberries'}",,"calories: 155, fat: 1g, carbs: 39g, protein: 2g, servings: 10"
Gnocchi,https://www.allrecipes.com/recipe/18465/gnocchi-i/,"{'quantity': '3', 'unit': 'medium', 'name': 'russet potatoes, scrubbed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}",,"calories: 314, fat: 2g, carbs: 64g, protein: 10g, servings: 4"
Easy Roasted Broccoli,https://www.allrecipes.com/recipe/240438/easy-roasted-broccoli/,"{'quantity': '14', 'unit': 'ounces', 'name': 'broccoli'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Preheat the oven to 400 degrees F (200 degrees C).. Cut broccoli florets from the stalk. Peel the stalk and slice into 1/4-inch slices. Mix florets and stem pieces with olive oil in a bowl and transfer to a baking sheet; season with salt and pepper.. Roast in the preheated oven until broccoli is tender and lightly browned, about 18 to 20 minutes.","calories: 63, fat: 4g, carbs: 7g, protein: 3g, servings: 4"
Grilled Asparagus,https://www.allrecipes.com/recipe/17445/grilled-asparagus/,"{'quantity': '1', 'unit': 'pound', 'name': 'fresh asparagus spears, trimmed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}",,"calories: 55, fat: 4g, carbs: 5g, protein: 3g, servings: 4"
High Temperature Eye-of-Round Roast,https://www.allrecipes.com/recipe/94113/high-temperature-eye-of-round-roast/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'beef eye of round roast'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Gather the ingredients. Preheat the oven to 500 degrees F (260 degrees C).. Season roast with salt and pepper.. Place in a roasting pan or baking dish. Do not cover or add water.. Place roast in the preheated oven and reduce temperature to 475 degrees F (245 degrees C). Roast for 21 minutes (7 minutes per pound), then turn off the oven and let roast sit in the hot oven for 2 1/2 hours. Do not open the door at all during this time.. Remove roast from the oven and check that the internal temperature is at least 145 degrees F (65 degrees C). Carve into thin slices to serve.","calories: 227, fat: 13g, protein: 27g, servings: 6"
