name,link,ingredients,steps,nutrition,image_url
Chinese Spareribs,https://www.allrecipes.com/recipe/77408/chinese-spareribs/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'hoisin sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sake (or Chinese rice wine)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'grated fresh ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'grated fresh garlic'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'Chinese five-spice powder'}, {'quantity': '1', 'unit': 'pound', 'name': 'pork spareribs'}","Gather all ingredients.. Mix hoisin sauce, ketchup, honey, soy sauce, sake, rice vinegar, lemon juice, ginger, garlic, and five-spice powder together in a shallow glass dish. Place ribs in the dish and turn to coat. Cover and marinate in the refrigerator for 2 hours or up to overnight.. Preheat the oven to 325 degrees F (165 degrees C). Fill a broiler tray with enough water to cover the bottom. Place the grate or a rack over the tray; arrange ribs on the grate.. Cook in the preheated oven on the center rack for 40 minutes, turning and brushing with marinade every 10 minutes.. Let marinade cook on for final 10 minutes to make a glaze. Finish under the broiler if desired. Discard any remaining marinade.","calories: 503, fat: 31g, carbs: 23g, protein: 30g, servings: 2",https://cdn.jwplayer.com/v2/media/y8VMQTMz/thumbnails/p0qne36N.jpg
Bibimbap (Korean Rice With Mixed Vegetables),https://www.allrecipes.com/recipe/228240/bibimbap-korean-rice-with-mixed-vegetables/,"{'quantity': '1', 'unit': '', 'name': 'English cucumber, cut into matchsticks'}, {'quantity': '¼', 'unit': 'cup', 'name': 'gochujang (Korean hot pepper paste) (Optional)'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh spinach, cut into thin strips'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil, divided'}, {'quantity': '2', 'unit': '', 'name': 'carrots, cut into matchsticks'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': 'pound', 'name': 'thinly-sliced beef top round steak'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '4', 'unit': 'cups', 'name': 'cooked white rice'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'toasted sesame oil, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame seeds'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'gochujang (Korean hot pepper paste), divided (Optional)'}",,"calories: 569, fat: 19g, carbs: 63g, protein: 35g, servings: 4",https://www.allrecipes.com/thmb/13bwvp_BroDy_FSFu_iTePvmjlo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228240-BibimbapKoreanRiceWithMixedVegtables-ddmfs-4X3-0667-6033d57010ea4dd3bd7b95fb36d3dd51.jpg
Fortune Cookies,https://www.allrecipes.com/recipe/9684/fortune-cookies-i/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'large', 'name': 'egg white'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unbleached all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Preheat the oven to 400 degrees F (200 degrees C). Generously grease two cookie sheets with cooking spray.. Write fortunes on strips of paper about 4 inches long and 1/2 inch wide.. Mix egg white and vanilla together in a bowl until foamy but not stiff. Sift in flour, sugar, and salt; stir until blended.. Drop two spoonfuls of batter at least 4 inches apart onto one prepared cookie sheet. Tilt the sheet to spread batter into 3-inch-diameter circles.. Bake in the preheated oven until cookies are pale in the center and golden on the outer 1/2-inch edge, about 5 minutes.. Remove from the oven. Quickly lift one cookie with a wide spatula and place upside down onto a wooden board. Place a fortune on the cookie (close to the middle) and fold cookie in half around the paper. Place the folded edge over the rim of a measuring cup or coffee mug and pull the pointed edges down, one inside the cup and one outside. Place cookie into a muffin tin or egg carton to hold its shape as it cools. Repeat to form and fill the second cookie.. While the first batch is baking in Step 5, repeat Step 4 to form two more cookies on the second cookie sheet. When you are shaping the first batch of baked cookies in Step 6, bake the second batch. Repeat until all cookies are baked and shaped.","calories: 27, carbs: 6g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/LYO-eGpBwVq-cvkAZsfppDJ4Kdw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/688734-840980e1364d47ce9151bdfa9ce2ce1f.jpg
Lumpia (Shanghai Version),https://www.allrecipes.com/recipe/40351/lumpia-shanghai-version/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': '', 'name': 'medium onion, finely chopped'}, {'quantity': '1', 'unit': '', 'name': 'carrot, grated'}, {'quantity': '¼', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'garlic powder'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'black pepper'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'spring roll wrappers'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water, or as needed'}, {'quantity': '1 ½', 'unit': 'quarts', 'name': 'oil for frying'}","Combine ground pork, ground beef, onion, and carrot in a large bowl; mix well with hands. Gradually blend in soy sauce, salt, garlic powder, and pepper until incorporated.. Working one at a time, lay a wrapper on a flat surface with a corner pointing at you. Place about 2 tablespoons filling in a line, no thicker than your thumb, across the center of the wrapper. Moisten the edges of wrapper with water. Fold the bottom edge of wrapper snugly over filling. Fold in the left and right sides of wrapper towards the center. Roll up tightly to seal in filling.. Heat oil in a deep fryer or heavy skillet to 375 degrees F (190 degrees C).. Working in batches, fry lumpia in hot oil, turning once, until golden brown, 3 to 4 minutes. Drain on a paper towel-lined plate. Cut lumpia in half, or serve as-is with dipping sauce.","calories: 262, fat: 18g, carbs: 15g, protein: 10g, servings: 20",https://www.allrecipes.com/thmb/IhtHWZCYE1HdUkq1yiR5PHvT-uU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/732449-lumpia-shanghai-version-Kim-Watson-4x3-1-2d53e45f71fa49e6999ddbd9a238be36.jpg
Shrimp Egg Foo Young,https://www.allrecipes.com/recipe/163370/shrimp-egg-foo-young/,"{'quantity': '8', 'unit': 'ounces', 'name': 'fresh bean sprouts'}, {'quantity': '1', 'unit': 'cup', 'name': 'cooked small shrimp'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'thinly sliced green onions'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Chinese cooking wine, sherry, or apple cider vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}",,"calories: 227, fat: 12g, carbs: 15g, protein: 15g, servings: 4",https://www.allrecipes.com/thmb/uwbZKXU6mzFEHCHJEIFAOlpsbLg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/163370-ShrimpEggFooYoung-ddmfs-4X3-0724-bff6046f788b4acaa1692192d130d0ef.jpg
Chinese Tea Leaf Eggs,https://www.allrecipes.com/recipe/51326/chinese-tea-leaf-eggs/,"{'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'black tea leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'black soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tangerine zest'}, {'quantity': '1', 'unit': '(2 inch) piece', 'name': 'cinnamon stick'}, {'quantity': '2', 'unit': 'pods', 'name': 'star anise'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'salt, divided'}, {'quantity': '8', 'unit': 'large', 'name': 'eggs'}","Combine 3 cups water, tea leaves, soy sauce, black soy sauce, zest, cinnamon stick, star anise, and 1/4 teaspoon salt in a large saucepan; bring to a boil. Reduce heat, cover, and simmer for 3 hours.. Meanwhile, place eggs and remaining 1 teaspoon salt into a medium pot; cover with cold water. Bring to a boil, reduce heat, and simmer for 20 minutes. Remove from heat, drain, and cool. Tap cooled eggs with the back of a spoon to crack shells; do not remove shells.. Remove the saucepan from the heat. Add eggs and let steep for at least 8 hours, or for a richer flavor, up to 1 1/2 days.","calories: 75, fat: 5g, carbs: 1g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/IyTjl1bXJO6wweqbOZAZmEPWSss=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15879-4222c1bf9def427997989c3eea2e5c22.jpg
Easy Mochi,https://www.allrecipes.com/recipe/193307/easy-mochi/,"{'quantity': '1', 'unit': 'cup', 'name': 'sweetened red bean paste'}, {'quantity': '1', 'unit': 'cup', 'name': 'glutinous rice flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'green tea powder (matcha)'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'cornstarch, for rolling out the dough'}",,"calories: 183, fat: 0g, carbs: 43g, protein: 3g, servings: 8",https://cdn.jwplayer.com/v2/media/EHv7WtJ4/poster.jpg?width=720
Perfect Pot Stickers,https://www.allrecipes.com/recipe/261153/perfect-pot-stickers/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '4', 'unit': 'cloves', 'name': 'minced garlic'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely chopped green onions'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'very finely minced fresh ginger'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'finely chopped green cabbage'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour, or more as needed'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'hot water, about 130 - 150 F (55-65 C)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'seasoned rice vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'vegetable oil for frying, or as needed - divided'}, {'quantity': '8', 'unit': 'tablespoons', 'name': 'water for steaming, divided'}",,"calories: 439, fat: 19g, carbs: 46g, protein: 20g, servings: 6",https://cdn.jwplayer.com/v2/media/iuIjaLjq/poster.jpg?width=720
Super Easy Stir-Fried Cabbage,https://www.allrecipes.com/recipe/174210/super-easy-stir-fried-cabbage/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pound', 'name': 'shredded cabbage'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Chinese cooking wine (Shaoxing wine)'}","Heat vegetable oil in a wok or large skillet over medium heat. Stir in garlic and cook until it begins to brown, 3 to 5 seconds.. Stir in cabbage until coated in oil; cover the wok and cook for 1 minute.. Pour in soy sauce; cook and stir for another minute. Increase heat to high and stir in Chinese cooking wine. Cook and stir until cabbage is tender, about 2 minutes more.. Serve hot and enjoy!","calories: 65, fat: 4g, carbs: 7g, protein: 2g, servings: 4",https://cdn.jwplayer.com/v2/media/e2LbISQr/poster.jpg?width=720
Chinese Pork Dumplings,https://www.allrecipes.com/recipe/228052/chinese-pork-dumplings/,"{'quantity': '½', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'seasoned rice vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped Chinese chives'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sesame seeds'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chile-garlic sauce (such as Sriracha)'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'finely chopped Chinese chives'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced fresh ginger'}, {'quantity': '50', 'unit': '', 'name': 'dumpling wrappers'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil for frying, or as needed'}","Prepare dipping sauce: Combine soy sauce, rice vinegar, chives, sesame seeds, and chile sauce in a small bowl. Set aside.. Prepare dumplings: Mix pork, garlic, egg, chives, soy sauce, sesame oil, and ginger in a large bowl until thoroughly combined.. Place a dumpling wrapper on a lightly floured work surface and spoon about 1 tablespoon of the filling in the middle.. Wet the edge with a little water and crimp together forming small pleats to seal the dumpling. Repeat to form remaining dumplings.. Heat 1 to 2 tablespoons vegetable oil in a large skillet over medium-high heat. Place 8 to 10 dumplings in the pan and cook until browned, about 2 minutes per side.. Pour in 1 cup of water; cover and cook until the dumplings are tender and pork is cooked through, about 5 minutes.. Repeat to cook remaining dumplings, adding more oil and water for each batch.. Serve dumplings with dipping sauce.","calories: 540, fat: 25g, carbs: 50g, protein: 28g, servings: 5",https://cdn.jwplayer.com/v2/media/Pi28uCmT/poster.jpg?width=720
